"dates","A.Open","A.High","A.Low","A.Close","A.Volume","A.Adjusted"
"2010-01-04",22.453505,22.625179,22.267525,22.389128,3815561,20.545469
"2010-01-05",22.324751,22.331903,22.002861,22.145924,4186031,20.322289
"2010-01-06",22.06724,22.174536,22.002861,22.06724,3243779,20.250088
"2010-01-07",22.017166,22.04578,21.816881,22.038628,3095172,20.223829
"2010-01-08",21.917025,22.06724,21.745352,22.031473,3733918,20.217272
"2010-01-11",22.088697,22.2103,21.938484,22.04578,4781579,20.230391
"2010-01-12",21.8598,21.924177,21.616594,21.781116,2871073,19.987524
"2010-01-13",21.795422,22.017166,21.494993,21.952789,3418949,20.145065
"2010-01-14",21.88126,22.346209,21.816881,22.281832,6163782,20.447008
"2010-01-15",22.331903,22.432047,21.695278,21.766809,4626681,19.974398
"2010-01-19",21.716738,22.052933,21.709585,22.031473,3563642,20.217272
"2010-01-20",21.838341,21.938484,21.595137,21.90987,4589075,20.10568
"2010-01-21",22.174536,22.25322,21.587982,21.831186,6081440,20.033472
"2010-01-22",21.709585,21.709585,20.808298,20.865522,4263061,19.147324
"2010-01-25",21.04435,21.20887,20.908442,21.065807,3608518,19.331121
"2010-01-26",21.008583,21.101574,20.729614,20.951359,2696882,19.226099
"2010-01-27",20.88698,20.951359,20.550787,20.865522,4362179,19.147324
"2010-01-28",20.83691,21.008583,20.379112,20.522175,4937177,18.832256
"2010-01-29",20.693848,20.865522,19.971388,20.050072,5923046,18.399025
"2010-02-01",20.143063,20.972818,20.121601,20.83691,5585429,19.121077
"2010-02-02",20.901287,21.165951,20.808298,21.101574,5884741,19.363941
"2010-02-03",21.02289,21.380545,21.001431,21.130186,6085634,19.390202
"2010-02-04",20.958511,21.065807,20.701,20.793991,6632392,19.081684
"2010-02-05",20.679543,20.929899,20.157368,20.865522,9546662,19.147324
"2010-02-08",20.894135,21.23033,20.83691,20.88698,6924154,19.167013
"2010-02-09",21.123034,21.258942,20.872675,21.037195,5150651,19.304861
"2010-02-10",21.072962,21.094421,20.658083,20.922747,3255523,19.199835
"2010-02-11",20.922747,21.180258,20.579399,21.001431,6982451,19.272039
"2010-02-12",21.924177,21.988556,21.151646,21.444921,11457868,19.67901
"2010-02-16",21.630901,21.702433,21.437769,21.638054,6559556,19.856241
"2010-02-17",21.716738,21.988556,21.552217,21.90987,4891183,20.10568
"2010-02-18",21.866953,22.174536,21.773964,22.160229,3313959,20.335421
"2010-02-19",22.060085,22.367668,21.902718,22.317596,4186171,20.479832
"2010-02-22",22.381973,22.381973,22.06724,22.281832,4038123,20.447008
"2010-02-23",22.238913,22.288984,21.838341,22.06724,4366373,20.250088
"2010-02-24",22.153076,22.346209,22.074392,22.339056,3945855,20.499512
"2010-02-25",22.060085,22.267525,21.623749,22.238913,4778504,20.407621
"2010-02-26",22.296137,22.546495,22.160229,22.503576,4678127,20.650494
"2010-03-01",22.482117,22.982834,22.482117,22.95422,4723562,21.06403
"2010-03-02",22.889843,23.27611,22.782545,23.147352,6018250,21.241262
"2010-03-03",23.190271,23.27611,23.104435,23.204578,6419616,21.29377
"2010-03-04",23.218884,23.218884,22.775393,23.075823,6100173,21.175619
"2010-03-05",23.483547,23.783978,23.340487,23.719599,7695291,21.766376
"2010-03-08",23.683834,23.712446,23.476395,23.60515,7017820,21.66135
"2010-03-09",23.555079,23.841202,23.512159,23.798283,7083386,21.838589
"2010-03-10",23.748213,24.14163,23.669527,24.077253,4696721,22.094582
"2010-03-11",23.876966,24.034334,23.783978,24.020029,3942360,22.042074
"2010-03-12",24.048641,24.155937,23.841202,23.905579,4015755,21.937044
"2010-03-15",23.834049,23.962805,23.633762,23.826897,3619282,21.864851
"2010-03-16",23.884121,24.020029,23.762518,23.905579,3285999,21.937044
"2010-03-17",23.919886,24.062946,23.834049,23.876966,3926003,21.910788
"2010-03-18",23.819742,24.020029,23.719599,23.934193,4494710,21.963301
"2010-03-19",23.905579,24.077253,23.698139,23.905579,5882504,21.937044
"2010-03-22",23.79113,24.198856,23.669527,24.120173,3946694,22.133968
"2010-03-23",24.16309,24.470673,24.077253,24.399141,5195807,22.389965
"2010-03-24",24.306152,24.399141,24.220316,24.248926,3791516,22.252119
"2010-03-25",24.391989,24.856937,24.370529,24.713877,6941350,22.67878
"2010-03-26",24.785408,24.821173,24.399141,24.542204,4705808,22.52125
"2010-03-29",24.542204,24.821173,24.520744,24.606581,5377687,22.580322
"2010-03-30",24.6495,24.821173,24.642345,24.763948,5980364,22.72473
"2010-03-31",24.713877,24.735336,24.527897,24.599428,5293387,22.573765
"2010-04-01",24.706724,24.942776,24.499285,24.713877,3105098,22.67878
"2010-04-05",24.742489,24.921316,24.706724,24.907009,3731961,22.856014
"2010-04-06",24.778255,24.81402,24.620888,24.721029,3499054,22.685349
"2010-04-07",24.656652,24.713877,24.413448,24.527897,3269503,22.50812
"2010-04-08",24.391989,24.427753,23.998569,24.313305,4199872,22.311193
"2010-04-09",24.34907,24.48498,24.227468,24.48498,3908668,22.468737
"2010-04-12",24.470673,24.556509,24.34907,24.470673,4134585,22.455605
"2010-04-13",24.427753,24.48498,24.234621,24.248926,3616486,22.252119
"2010-04-14",24.277538,24.749641,24.277538,24.613733,11638210,22.586884
"2010-04-15",24.642345,25.686695,24.477825,25.486408,12788624,23.387699
"2010-04-16",25.422031,25.679543,25.085836,25.228897,8066180,23.151396
"2010-04-19",25.278971,25.3505,24.785408,25.150215,4006388,23.079191
"2010-04-20",25.307583,26.087269,25.307583,25.958511,6989860,23.820934
"2010-04-21",25.879827,26.030043,25.600859,25.844063,3142424,23.715908
"2010-04-22",25.608011,26.094421,25.228897,26.065807,4662050,23.919388
"2010-04-23",26.030043,26.237482,25.822603,26.20887,3653673,24.050674
"2010-04-26",26.23033,26.459227,26.087269,26.337626,3953544,24.168818
"2010-04-27",26.180258,26.437769,25.844063,25.908442,6097377,23.774973
"2010-04-28",26.087269,26.359083,26.037195,26.20887,4384408,24.050674
"2010-04-29",26.416309,26.752504,26.366238,26.630901,3237349,24.437946
"2010-04-30",26.645206,26.773964,25.915594,25.937054,4195678,23.801239
"2010-05-03",26.108727,26.387697,26.015738,26.301861,2599162,24.136005
"2010-05-04",26.008583,26.008583,25.121601,25.293276,4539446,23.21047
"2010-05-05",24.97854,25.257511,24.642345,24.864092,4609905,22.816631
"2010-05-06",24.692417,24.907009,21.93133,23.805435,9026606,21.845146
"2010-05-07",23.669527,23.805435,22.532188,22.796852,11155061,20.919622
"2010-05-10",23.733906,24.477825,23.597998,24.456366,5671826,22.442474
"2010-05-11",24.091558,24.692417,23.941345,24.370529,4720207,22.363707
"2010-05-12",24.434908,25.028612,24.413448,24.899857,3972836,22.849455
"2010-05-13",24.914164,25.243204,24.62804,24.878399,6149942,22.82975
"2010-05-14",24.599428,24.828325,23.919886,24.220316,4725659,22.225855
"2010-05-17",24.334764,24.678112,24.027182,24.456366,5824767,22.442474
"2010-05-18",24.320457,24.356222,22.76824,22.939915,16516531,21.050905
"2010-05-19",22.896996,23.426323,22.889843,23.311874,7204174,21.392231
"2010-05-20",22.696711,22.846924,22.174536,22.203148,6588634,20.374807
