"dates","ABC.Open","ABC.High","ABC.Low","ABC.Close","ABC.Volume","ABC.Adjusted"
"2010-01-04",26.290001,26.690001,26.139999,26.629999,2455900,22.419764
"2010-01-05",26.65,26.65,26.379999,26.440001,2476800,22.259808
"2010-01-06",26.389999,26.43,26.08,26.190001,4039300,22.04933
"2010-01-07",25.77,26.16,25.66,25.77,5244600,21.69573
"2010-01-08",25.860001,26.1,25.68,26.049999,4277500,21.931467
"2010-01-11",26.24,26.48,26.110001,26.34,1914400,22.175611
"2010-01-12",26.32,26.549999,26.190001,26.52,3142600,22.327156
"2010-01-13",26.59,27.129999,26.59,27.040001,3150100,22.764944
"2010-01-14",26.969999,27.25,26.85,27.209999,2054300,22.908066
"2010-01-15",27.26,27.27,26.809999,26.92,2076400,22.663923
"2010-01-19",26.959999,27.610001,26.92,27.370001,2826200,23.04277
"2010-01-20",27.35,27.35,26.76,27.139999,2683700,22.849134
"2010-01-21",27.110001,27.18,26.25,26.58,3961000,22.377668
"2010-01-22",26.469999,26.799999,26.02,26.66,4321500,22.445023
"2010-01-25",26.790001,27.34,26.68,27.110001,5285000,22.823877
"2010-01-26",27.860001,28,27.34,27.440001,5530700,23.101704
"2010-01-27",27.370001,27.639999,27.040001,27.26,4885100,22.950163
"2010-01-28",27.24,27.76,27.24,27.280001,3374300,22.966997
"2010-01-29",27.41,27.610001,27.23,27.26,4136700,22.950163
"2010-02-01",27.459999,27.780001,27.08,27.75,3682900,23.362692
"2010-02-02",27.799999,28.610001,27.66,28.549999,6012600,24.036207
"2010-02-03",28.51,28.59,28.030001,28.32,3801100,23.842579
"2010-02-04",28.26,28.26,27.42,27.42,4607500,23.084869
"2010-02-05",27.370001,27.4,26.65,27.01,5637600,22.739681
"2010-02-08",27.030001,27.190001,26.82,26.950001,2811300,22.689173
"2010-02-09",27.18,27.4,27,27.16,2167600,22.865971
"2010-02-10",27.309999,27.32,26.68,27.190001,5655300,22.958858
"2010-02-11",27.18,27.57,26.950001,27.52,4093800,23.237505
"2010-02-12",27.389999,27.389999,27.02,27.35,2583700,23.09396
"2010-02-16",27.66,27.66,27.309999,27.57,3328800,23.279724
"2010-02-17",27.73,27.780001,27.059999,27.59,5869000,23.296608
"2010-02-18",27.58,27.9,27.5,27.860001,2931200,23.524593
"2010-02-19",27.870001,28.190001,27.6,28.139999,3862400,23.761017
"2010-02-22",28.24,28.24,27.76,27.889999,3256200,23.549925
