"dates","ADI.Open","ADI.High","ADI.Low","ADI.Close","ADI.Volume","ADI.Adjusted"
"2010-01-04",31.790001,32.189999,31.610001,31.67,2102700,23.794266
"2010-01-05",31.67,31.809999,31.41,31.620001,2040100,23.756701
"2010-01-06",31.709999,31.85,31.34,31.559999,2105000,23.711624
"2010-01-07",31.459999,31.65,31.07,31.309999,2033400,23.523796
"2010-01-08",31.200001,31.51,31,31.49,2393100,23.659035
"2010-01-11",31.58,31.59,30.84,31.309999,2963900,23.523796
"2010-01-12",30.549999,30.75,29.700001,30.01,6868800,22.547079
"2010-01-13",30.200001,30.200001,29.389999,30,5327100,22.539568
"2010-01-14",30,30.049999,29.379999,29.969999,5073700,22.517021
"2010-01-15",29.85,29.85,28.93,28.959999,5807800,21.758192
"2010-01-19",29.030001,29.549999,29.02,29.469999,3906700,22.141363
"2010-01-20",29.52,29.52,28.549999,28.93,4657200,21.735659
"2010-01-21",29.129999,29.52,28.780001,29.059999,4415200,21.833323
"2010-01-22",29.1,29.1,27.66,27.76,4761400,20.856611
"2010-01-25",27.870001,28.32,27.780001,28.01,2937000,21.044441
"2010-01-26",27.74,27.99,27.549999,27.6,3203300,20.736399
"2010-01-27",27.43,28,27.370001,27.700001,4760700,20.811537
"2010-01-28",27.66,27.700001,26.620001,27.15,7521600,20.398304
"2010-01-29",27.6,27.950001,26.76,26.959999,7080100,20.255552
"2010-02-01",27.049999,27.610001,26.92,27.52,4133900,20.676292
"2010-02-02",27.549999,27.93,27.35,27.780001,2902000,20.871639
"2010-02-03",27.620001,27.870001,27.469999,27.65,2201000,20.773966
"2010-02-04",27.440001,27.440001,26.5,26.5,5900100,19.909945
"2010-02-05",26.5,26.950001,26.379999,26.9,5844800,20.210478
"2010-02-08",26.98,27.15,26.48,26.799999,5526400,20.135345
"2010-02-09",27.209999,27.559999,26.92,27.120001,4841300,20.375767
"2010-02-10",27.030001,27.42,26.82,27.049999,4745300,20.323175
"2010-02-11",27.18,27.98,26.93,27.67,8066300,20.788992
"2010-02-12",27.51,28.200001,27.190001,27.99,7836200,21.029417
"2010-02-16",28.6,28.690001,28.139999,28.6,6318100,21.487719
"2010-02-17",28.67,28.85,28.01,28.379999,6629000,21.322426
"2010-02-18",28.959999,29.799999,28.530001,29.57,10230000,22.216503
"2010-02-19",29.360001,30,29.280001,29.75,3853400,22.351738
"2010-02-22",29.950001,30.040001,29.59,29.889999,4298200,22.456919
"2010-02-23",29.77,29.879999,28.92,29.15,6081200,21.900949
"2010-02-24",29.299999,29.66,29.209999,29.49,3698100,22.156393
"2010-02-25",29.200001,29.629999,28.75,29.629999,4270500,22.261581
"2010-02-26",29.790001,29.790001,28.98,29.24,3606800,21.968565
"2010-03-01",29.309999,29.85,29.299999,29.82,3629400,22.404327
"2010-03-02",29.91,30.139999,29.450001,29.620001,4293600,22.254063
"2010-03-03",29.620001,29.76,29.16,29.190001,2398800,22.08009
"2010-03-04",29.299999,29.4,28.889999,29.07,2814600,21.989313
"2010-03-05",29.299999,29.790001,29.120001,29.5,3195700,22.314579
"2010-03-08",29.43,29.6,29.33,29.52,2995700,22.329704
"2010-03-09",29.27,29.440001,28.91,29.25,4010700,22.125473
"2010-03-10",29.76,30.42,29.68,30.08,5723100,22.753309
"2010-03-11",30,30,28.98,29.17,5894800,22.064959
"2010-03-12",29.309999,29.51,28.950001,28.98,3475400,21.921232
"2010-03-15",29.02,29.049999,28.75,28.92,2589200,21.875849
