"dates","ADP.Open","ADP.High","ADP.Low","ADP.Close","ADP.Volume","ADP.Adjusted"
"2010-01-04",38.226513,38.226513,37.489025,37.603161,3930120,28.400835
"2010-01-05",37.445126,37.673397,37.199299,37.40123,3252415,28.248327
"2010-01-06",37.57682,37.655838,36.91835,37.313435,3111406,28.18202
"2010-01-07",36.988586,37.313435,36.953468,37.295876,2513317,28.168755
"2010-01-08",37.243195,37.278313,36.909569,37.243195,2310462,28.128962
"2010-01-11",37.243195,37.410007,36.988586,37.410007,2446230,28.254953
"2010-01-12",37.190517,37.436348,36.865673,37.146622,2571293,28.056023
"2010-01-13",37.076382,37.515366,36.927128,37.418789,2546007,28.261581
"2010-01-14",37.129063,37.559261,37.093941,37.313435,2402721,28.18202
"2010-01-15",37.506584,37.682178,36.742756,37.1115,3384880,28.029493
"2010-01-19",37.023705,37.690956,36.874451,37.673397,2931786,28.453886
"2010-01-20",37.260754,37.489025,36.549606,37.172958,4057232,28.075914
"2010-01-21",37.269535,37.655838,36.89201,37.006145,4356106,27.949936
"2010-01-22",37.006145,37.18174,36.084286,36.145741,4463513,27.300074
"2010-01-25",36.461807,36.488148,36.049168,36.23354,2400670,27.366386
"2010-01-26",36.066727,36.23354,35.97015,36.049168,2786905,27.227142
"2010-01-27",35.785778,36.18964,35.759438,36.014046,4096983,27.200617
"2010-01-28",35.785778,36.154522,35.46093,35.715542,4972760,26.975166
"2010-01-29",35.70676,36.154522,35.689201,35.812115,4173866,27.048107
"2010-02-01",36.022827,36.136963,35.741879,36.057945,3638649,27.23377
"2010-02-02",36.365234,36.365234,35.715542,36.154522,4142999,27.306711
"2010-02-03",35.873573,36.014046,35.566284,35.820896,3141704,27.054733
"2010-02-04",35.610184,35.899914,35.452152,35.452152,4410778,26.776224
"2010-02-05",35.399471,35.557507,34.872696,35.364353,4745530,26.709921
"2010-02-08",35.338017,35.618965,35.136086,35.469711,3460738,26.789484
"2010-02-09",35.856014,36.075504,35.513607,35.733101,3358000,26.988428
"2010-02-10",35.627743,35.820896,35.381912,35.715542,2091774,26.975166
"2010-02-11",35.610184,36.093063,35.294117,35.908691,2630407,27.121048
"2010-02-12",35.373135,35.750656,35.373135,35.636524,3429871,26.915487
"2010-02-16",35.899914,36.303776,35.697983,36.259876,2762075,27.38629
"2010-02-17",36.303776,36.435471,36.215981,36.400352,2425842,27.492382
"2010-02-18",36.62862,36.654961,36.093063,36.1633,4233891,27.313343
"2010-02-19",36.224758,36.654961,35.978928,36.488148,4293802,27.558693
"2010-02-22",36.496925,36.812992,36.382793,36.523266,3410963,27.585217
"2010-02-23",36.523266,36.663738,36.014046,36.172081,3778519,27.319975
"2010-02-24",36.172081,37.085163,36.145741,37.085163,4643134,28.009615
"2010-02-25",36.716419,36.786655,36.005268,36.619843,4149605,27.65815
"2010-02-26",36.707638,36.812992,36.286217,36.532047,3740248,27.591854
"2010-03-01",36.593502,36.874451,36.505707,36.84811,3315971,27.830564
