"dates","AJG.Open","AJG.High","AJG.Low","AJG.Close","AJG.Volume","AJG.Adjusted"
"2010-01-04",22.6,22.809999,22.280001,22.33,379300,15.730213
"2010-01-05",22.35,22.42,21.9,22.209999,545700,15.645672
"2010-01-06",22.26,22.440001,22.110001,22.219999,349400,15.652721
"2010-01-07",22.1,22.15,21.959999,22.08,633500,15.554096
"2010-01-08",22.1,22.18,22,22.139999,391300,15.596359
"2010-01-11",22.139999,22.299999,22.049999,22.17,582600,15.617496
"2010-01-12",22.1,22.35,22.1,22.299999,447000,15.709073
"2010-01-13",22.309999,22.360001,22.200001,22.290001,244200,15.70203
"2010-01-14",22.219999,22.280001,22.129999,22.23,299400,15.659765
"2010-01-15",22.24,22.280001,21.98,22,243300,15.49774
"2010-01-19",22.02,22.26,22.02,22.25,400800,15.67386
"2010-01-20",22.08,22.139999,21.9,22.139999,278800,15.596359
"2010-01-21",22.09,22.370001,22.02,22.309999,501600,15.716111
"2010-01-22",22.360001,22.73,22.309999,22.700001,778500,15.99085
"2010-01-25",22.82,23.34,22.68,22.82,558700,16.075394
"2010-01-26",22.84,22.99,22.66,22.66,317000,15.962668
"2010-01-27",22.59,22.83,22.32,22.48,561700,15.835876
"2010-01-28",22.549999,22.74,22.27,22.6,385900,15.920407
"2010-01-29",22.66,22.98,22.549999,22.549999,470000,15.885187
"2010-02-01",22.610001,22.84,22.530001,22.780001,404700,16.047203
"2010-02-02",22.83,23,22.549999,22.700001,903500,15.99085
"2010-02-03",22.799999,24.120001,22.799999,23.74,1457900,16.723467
"2010-02-04",23.5,23.780001,23.32,23.559999,925300,16.59667
"2010-02-05",23.49,23.52,22.82,23.1,843400,16.272635
"2010-02-08",23.25,23.25,22.709999,22.77,571100,16.040163
"2010-02-09",22.92,23,22.719999,22.860001,530800,16.103563
"2010-02-10",22.85,22.950001,22.709999,22.879999,339600,16.117651
"2010-02-11",22.9,23,22.76,22.940001,304500,16.159916
"2010-02-12",22.85,22.98,22.68,22.98,523700,16.188095
"2010-02-16",23.040001,23.040001,22.76,23.040001,399100,16.230366
"2010-02-17",23.059999,23.33,22.950001,23.27,588600,16.392382
"2010-02-18",23.280001,23.360001,23.15,23.34,443600,16.4417
"2010-02-19",23.34,23.540001,23.280001,23.540001,361100,16.582582
"2010-02-22",23.6,23.620001,23.41,23.610001,317200,16.631897
"2010-02-23",23.6,23.809999,23.49,23.719999,455900,16.709387
"2010-02-24",23.790001,23.879999,23.73,23.870001,378800,16.815052
"2010-02-25",23.629999,23.799999,23.59,23.77,362500,16.744608
"2010-02-26",23.790001,23.83,23.59,23.73,480800,16.716427
"2010-03-01",23.77,24.030001,23.700001,24.02,567700,16.920721
"2010-03-02",24.01,24.16,23.879999,24.129999,484400,16.998203
"2010-03-03",24.09,24.32,24.059999,24.290001,389100,17.110916
"2010-03-04",24.389999,24.5,24.02,24.17,482800,17.026388
"2010-03-05",24.32,24.450001,24.049999,24.43,334800,17.209536
"2010-03-08",24.42,24.559999,24.360001,24.389999,541200,17.18136
"2010-03-09",24.370001,24.48,24.190001,24.43,728800,17.209536
"2010-03-10",24.42,24.639999,24.200001,24.639999,768400,17.357475
"2010-03-11",24.58,24.809999,24.459999,24.73,434900,17.420872
"2010-03-12",24.860001,25.209999,24.700001,25.209999,729200,17.758999
"2010-03-15",25.25,25.440001,25.049999,25.32,625900,17.836498
"2010-03-16",25.299999,25.610001,25.290001,25.49,496500,17.956245
"2010-03-17",25.559999,25.68,25.4,25.639999,325300,18.061911
"2010-03-18",25.700001,25.84,25.610001,25.73,327900,18.125313
"2010-03-19",25.58,25.6,24.959999,25.58,915900,18.019648
"2010-03-22",25.5,25.5,24.92,24.969999,2011100,17.589937
"2010-03-23",24.93,25.209999,24.76,25.209999,746600,17.758999
"2010-03-24",25.17,25.17,24.74,25.059999,510500,17.653339
"2010-03-25",25.18,25.280001,25.059999,25.17,569800,17.730825
"2010-03-26",25.25,25.309999,25.02,25.09,410500,17.674479
"2010-03-29",25.01,25.120001,24.77,24.950001,450800,17.80291
"2010-03-30",25.01,25.040001,24.76,24.91,425100,17.774364
"2010-03-31",24.83,24.940001,24.530001,24.549999,451000,17.517492
"2010-04-01",24.59,24.73,24.33,24.5,463400,17.481813
"2010-04-05",24.5,24.65,24.459999,24.6,510200,17.553169
"2010-04-06",24.459999,24.82,24.459999,24.73,467900,17.645926
"2010-04-07",24.57,24.77,24.459999,24.68,455200,17.610249
"2010-04-08",24.68,24.73,24.5,24.58,537900,17.538898
"2010-04-09",24.51,24.620001,24.290001,24.610001,398900,17.560305
"2010-04-12",24.549999,24.809999,24.299999,24.809999,307200,17.703011
"2010-04-13",24.709999,25.02,24.709999,25.02,410200,17.852858
"2010-04-14",25.01,25.24,24.99,25.24,286500,18.009834
"2010-04-15",25.18,25.42,25.1,25.34,454200,18.081194
"2010-04-16",25.35,25.530001,25.17,25.370001,598800,18.102602
"2010-04-19",25.25,25.440001,25.07,25.4,505100,18.124004
"2010-04-20",25.49,25.84,25.309999,25.84,437800,18.437965
"2010-04-21",25.790001,25.889999,25.51,25.76,551300,18.38088
"2010-04-22",25.68,26.35,25.51,26.309999,631800,18.773325
"2010-04-23",26.5,27,26.209999,26.51,782600,18.916035
"2010-04-26",26.549999,26.65,26.379999,26.440001,520000,18.866093
"2010-04-27",26.4,26.790001,26.02,26.059999,752400,18.594938
"2010-04-28",26.209999,26.290001,25.709999,25.809999,706800,18.416559
"2010-04-29",25.85,26.559999,25.799999,26.559999,785200,18.951714
"2010-04-30",26.5,26.559999,26.219999,26.27,560900,18.744785
"2010-05-03",26.379999,26.610001,26.299999,26.59,496700,18.973116
"2010-05-04",26.35,26.530001,26.26,26.41,675100,18.844681
"2010-05-05",26.16,26.5,25.74,25.870001,855000,18.459368
"2010-05-06",25.76,25.85,22.629999,24.58,1912500,17.538898
"2010-05-07",24.620001,24.73,24.030001,24.290001,1491500,17.331966
"2010-05-10",25.24,25.24,24.6,25.190001,584300,17.974165
"2010-05-11",24.91,25.58,24.91,25.290001,446600,18.045511
"2010-05-12",25.42,25.540001,25.139999,25.459999,508400,18.166815
"2010-05-13",25.379999,25.450001,25.190001,25.190001,631500,17.974165
"2010-05-14",25.01,25.200001,24.940001,25.129999,880400,17.931345
"2010-05-17",25.139999,25.26,24.629999,25.110001,593900,17.917074
"2010-05-18",25.360001,25.360001,24.84,25,820600,17.838587
"2010-05-19",24.85,25.129999,24.690001,24.9,560200,17.767235
"2010-05-20",24.51,24.83,24.43,24.43,1326600,17.431864
"2010-05-21",24.17,24.67,23.93,24.65,965300,17.58884
"2010-05-24",24.52,24.67,24.4,24.450001,469700,17.446142
"2010-05-25",23.85,24.190001,23.66,24.15,549600,17.232077
"2010-05-26",24.190001,24.370001,23.92,23.950001,620700,17.089369
"2010-05-27",24.34,24.85,24.209999,24.84,620700,17.724417
"2010-05-28",24.77,24.92,24.559999,24.690001,348900,17.617388
"2010-06-01",24.620001,24.870001,24.370001,24.370001,410900,17.389051
"2010-06-02",24.41,24.700001,24.280001,24.700001,458900,17.624521
"2010-06-03",25.66,25.66,24.870001,25.540001,778200,18.223898
"2010-06-04",25.200001,25.34,24.49,24.52,566200,17.496086
"2010-06-07",24.629999,24.74,24.290001,24.290001,448000,17.331966
"2010-06-08",24.280001,24.459999,23.959999,24.42,543800,17.424728
"2010-06-09",24.549999,24.65,24.24,24.27,632200,17.317698
"2010-06-10",24.639999,24.82,24.530001,24.790001,389900,17.68874
"2010-06-11",24.549999,25.1,24.530001,25.08,349000,17.895662
"2010-06-14",25.290001,25.549999,25.120001,25.360001,859300,18.095461
"2010-06-15",25.42,25.77,25.280001,25.74,519500,18.366608
"2010-06-16",25.65,25.75,25.440001,25.719999,499100,18.352337
"2010-06-17",25.790001,25.799999,25.360001,25.67,482900,18.316668
"2010-06-18",25.68,25.68,25.35,25.66,427300,18.309523
"2010-06-21",25.93,25.99,25.73,25.809999,499200,18.416559
"2010-06-22",25.860001,26.049999,25.59,25.59,373900,18.259575
"2010-06-23",25.6,25.799999,25.379999,25.67,454300,18.316668
"2010-06-24",25.540001,25.799999,25.5,25.68,613400,18.323799
"2010-06-25",25.67,26.049999,25.440001,25.9,1962600,18.480776
"2010-06-28",25.75,25.75,25.34,25.389999,614700,18.343506
"2010-06-29",25.120001,25.190001,24.719999,24.790001,668800,17.910023
"2010-06-30",24.75,24.889999,24.379999,24.379999,549700,17.613813
"2010-07-01",24.360001,24.42,23.959999,24.389999,688400,17.621038
"2010-07-02",24.43,24.540001,24.200001,24.35,451900,17.592138
"2010-07-06",24.629999,24.709999,24.129999,24.290001,380400,17.548786
"2010-07-07",24.290001,24.940001,24.290001,24.92,438800,18.003944
"2010-07-08",25.110001,25.27,24.9,25.209999,632600,18.213455
"2010-07-09",25.18,25.370001,25.07,25.34,246100,18.307384
"2010-07-12",25.219999,25.280001,24.98,25.120001,277100,18.148439
"2010-07-13",25.27,26,25.25,25.92,582800,18.726414
"2010-07-14",25.77,25.91,25.700001,25.809999,403000,18.646948
"2010-07-15",25.83,25.83,25.49,25.77,308800,18.618042
"2010-07-16",25.700001,25.75,25.27,25.280001,557800,18.264029
"2010-07-19",25.4,25.41,25.02,25.190001,271900,18.199017
