"dates","ALB.Open","ALB.High","ALB.Low","ALB.Close","ALB.Volume","ALB.Adjusted"
"2010-01-04",36.91,38.240002,36.900002,38.09,712900,31.999407
"2010-01-05",38.700001,38.700001,37.599998,38.02,398900,31.940594
"2010-01-06",37.959999,38.48,37.889999,38.09,717200,31.999407
"2010-01-07",38.029999,38.169998,37.799999,37.82,603700,31.772585
"2010-01-08",37.66,38.57,37.66,38.389999,759000,32.251431
"2010-01-11",38.639999,38.790001,37.860001,38.220001,763000,32.108604
"2010-01-12",37.889999,38.040001,37.400002,37.689999,323400,31.663368
"2010-01-13",37.900002,38.110001,37.490002,38.07,330500,31.982601
"2010-01-14",38.009998,38.290001,37.709999,37.919998,221100,31.856585
"2010-01-15",38.799999,38.889999,37.639999,37.889999,450400,31.831383
"2010-01-19",37.970001,38.369999,37.889999,38.369999,474100,32.234623
"2010-01-20",37.91,38.080002,37.59,37.959999,360900,31.890203
"2010-01-21",37.889999,38.290001,37.119999,37.119999,624700,31.184513
"2010-01-22",37,37.290001,35.970001,36.09,607800,30.319197
"2010-01-25",36.630001,37.099998,36.400002,36.5,831500,30.663649
"2010-01-26",37.110001,38.779999,37.080002,37.369999,1156200,31.394535
"2010-01-27",37.259998,37.619999,36.549999,36.860001,669000,30.96608
"2010-01-28",36.950001,37.040001,36.009998,36.439999,545300,30.61323
"2010-01-29",36.560001,36.869999,35.720001,35.720001,852200,30.008371
"2010-02-01",35.950001,36.349998,35.799999,36.25,1012700,30.453625
"2010-02-02",36.380001,37.119999,35.990002,36.900002,951800,30.999678
"2010-02-03",36.779999,37.299999,36.549999,36.630001,704100,30.772854
"2010-02-04",36.220001,36.48,35.389999,35.389999,486000,29.731123
"2010-02-05",35.48,35.68,34.490002,35.16,759400,29.537903
"2010-02-08",35.200001,35.299999,34.560001,34.860001,682600,29.285885
"2010-02-09",35.580002,35.650002,34.93,35.32,440500,29.672321
"2010-02-10",35.110001,35.529999,34.59,35.380001,417500,29.722734
"2010-02-11",35.299999,35.959999,34.959999,35.869999,407100,30.134378
"2010-02-12",35.41,36.650002,35.32,36.599998,788700,30.747644
"2010-02-16",36.919998,37.709999,36.77,37.709999,633600,31.680159
"2010-02-17",37.880001,38.040001,37.52,37.77,946500,31.730577
"2010-02-18",37.77,38.110001,37.759998,37.869999,708300,31.814589
"2010-02-19",37.84,38.290001,37.700001,38.130001,462500,32.033009
"2010-02-22",38.34,38.34,37.82,38.139999,285400,32.041393
"2010-02-23",37.919998,38.200001,36.740002,36.970001,710900,31.058498
"2010-02-24",37.040001,37.360001,36.66,36.880001,734400,30.982882
"2010-02-25",36.43,37.080002,36.110001,36.91,648700,31.008081
"2010-02-26",37.049999,37.529999,36.669998,37.490002,632600,31.495338
"2010-03-01",37.560001,39.459999,37.560001,39.439999,1212000,33.133533
"2010-03-02",39.860001,40.860001,39.849998,40.330002,1359800,33.881229
"2010-03-03",40.290001,40.630001,40.09,40.349998,597800,33.898026
"2010-03-04",40.32,40.740002,40.080002,40.290001,338200,33.847618
"2010-03-05",40.52,41.439999,40.34,41.169998,565400,34.586922
"2010-03-08",41.080002,41.77,41.080002,41.25,466500,34.654114
