"dates","ALGN.Open","ALGN.High","ALGN.Low","ALGN.Close","ALGN.Volume","ALGN.Adjusted"
"2010-01-04",18.049999,18.5,18.049999,18.5,374200,18.5
"2010-01-05",18.5,18.5,17.700001,18.01,431900,18.01
"2010-01-06",17.969999,17.969999,17.370001,17.48,667000,17.48
"2010-01-07",17.49,17.49,16.950001,17.43,450000,17.43
"2010-01-08",17.41,17.799999,17.049999,17.66,675200,17.66
"2010-01-11",17.26,17.76,17.26,17.540001,440800,17.540001
"2010-01-12",17.379999,17.610001,17.110001,17.23,317300,17.23
"2010-01-13",17.23,17.700001,17.120001,17.58,296800,17.58
"2010-01-14",17.48,17.51,17.049999,17.129999,379000,17.129999
"2010-01-15",17.219999,17.219999,16.469999,16.93,706500,16.93
"2010-01-19",16.950001,17.35,16.950001,17.34,492200,17.34
"2010-01-20",17.18,17.790001,17.139999,17.68,646600,17.68
"2010-01-21",17.700001,17.75,16.83,16.85,931800,16.85
"2010-01-22",16.76,16.93,16.469999,16.530001,667000,16.530001
"2010-01-25",16.65,16.889999,16.25,16.700001,549700,16.700001
"2010-01-26",16.6,17.040001,16.4,16.459999,494400,16.459999
"2010-01-27",16.41,16.780001,16.110001,16.690001,575500,16.690001
"2010-01-28",18.74,19.25,17.99,18.030001,2492500,18.030001
"2010-01-29",18.18,19.09,18.139999,18.75,1092700,18.75
"2010-02-01",18.73,18.75,18.5,18.58,594300,18.58
"2010-02-02",18,18.52,17.969999,18.120001,1289100,18.120001
"2010-02-03",18.1,18.48,17.83,18.110001,553300,18.110001
"2010-02-04",17.940001,17.940001,17.33,17.49,897800,17.49
"2010-02-05",17.49,17.860001,17.27,17.68,540600,17.68
"2010-02-08",17.620001,17.809999,17.25,17.280001,310500,17.280001
"2010-02-09",17.5,17.6,17.09,17.200001,423500,17.200001
"2010-02-10",17.07,17.299999,16.93,17.26,446000,17.26
"2010-02-11",17.25,17.74,17.18,17.450001,405300,17.450001
"2010-02-12",17.299999,17.540001,17.219999,17.530001,371700,17.530001
"2010-02-16",17.700001,17.950001,17.4,17.950001,268400,17.950001
"2010-02-17",18,18,17.83,17.92,190100,17.92
"2010-02-18",17.85,18,17.809999,17.99,187200,17.99
"2010-02-19",18,18.02,17.9,17.940001,317100,17.940001
"2010-02-22",17.889999,18,17.67,17.92,477200,17.92
"2010-02-23",17.200001,18,17.17,17.92,677800,17.92
"2010-02-24",17.879999,18.25,17.870001,18,557100,18
"2010-02-25",17.549999,18.16,17.4,18.120001,750500,18.120001
"2010-02-26",17.84,18.200001,17.84,18.1,800400,18.1
"2010-03-01",18.16,18.780001,18.08,18.780001,797400,18.780001
"2010-03-02",18.77,19.01,18.58,18.959999,815200,18.959999
"2010-03-03",19.08,19.08,18.6,18.75,520200,18.75
"2010-03-04",18.74,18.870001,18.6,18.83,243600,18.83
"2010-03-05",18.84,19.34,18.799999,19.17,628000,19.17
"2010-03-08",19.17,19.43,19.08,19.27,336400,19.27
"2010-03-09",19.200001,19.6,19.08,19.440001,514500,19.440001
"2010-03-10",19.43,19.709999,19.35,19.469999,275500,19.469999
"2010-03-11",19.389999,19.51,19.25,19.43,171100,19.43
"2010-03-12",19.5,19.530001,19.09,19.18,377700,19.18
"2010-03-15",19.049999,19.059999,18.120001,18.540001,699300,18.540001
"2010-03-16",18.620001,19.129999,18.370001,18.9,497900,18.9
"2010-03-17",18.99,19.58,18.809999,19.32,625500,19.32
"2010-03-18",19.34,19.440001,19.07,19.200001,281000,19.200001
"2010-03-19",19.34,19.34,19.040001,19.16,556600,19.16
"2010-03-22",19.030001,19.91,19.030001,19.610001,558100,19.610001
"2010-03-23",19.65,19.9,19.540001,19.889999,400500,19.889999
"2010-03-24",19.799999,19.98,19.48,19.66,315200,19.66
"2010-03-25",19.719999,20,19.35,19.35,270500,19.35
"2010-03-26",19.450001,19.879999,19.299999,19.459999,877300,19.459999
"2010-03-29",19.559999,19.65,19.309999,19.52,436000,19.52
"2010-03-30",19.549999,19.940001,19.41,19.51,339900,19.51
"2010-03-31",19.5,19.85,19.299999,19.34,245700,19.34
"2010-04-01",19.440001,19.790001,19.34,19.58,272800,19.58
"2010-04-05",19.58,20.559999,19.459999,20.440001,405900,20.440001
"2010-04-06",19.9,20.030001,18.18,18.440001,4069500,18.440001
"2010-04-07",18.370001,18.889999,17.959999,18.17,1414600,18.17
"2010-04-08",18.1,18.15,17.48,17.49,1831800,17.49
"2010-04-09",17.540001,18.129999,17.33,17.57,1000700,17.57
"2010-04-12",17.620001,17.889999,17.52,17.700001,990200,17.700001
"2010-04-13",17.709999,18.18,17.690001,18.09,618200,18.09
"2010-04-14",18.219999,18.379999,17.93,18.34,793400,18.34
"2010-04-15",18.49,18.77,18.290001,18.67,583200,18.67
"2010-04-16",18.65,18.9,18.040001,18.700001,850200,18.700001
"2010-04-19",18.59,18.66,18.07,18.629999,544600,18.629999
"2010-04-20",18.66,18.82,18.469999,18.82,360600,18.82
"2010-04-21",18.780001,18.889999,18.51,18.799999,702800,18.799999
"2010-04-22",19.42,19.42,17.18,17.620001,5676800,17.620001
"2010-04-23",17.74,17.790001,16.42,16.879999,4019800,16.879999
"2010-04-26",16.92,17.25,16.5,17.139999,2787400,17.139999
"2010-04-27",17.040001,17.129999,16.73,17,3349400,17
"2010-04-28",17.120001,17.16,16.51,16.559999,1182800,16.559999
"2010-04-29",16.700001,18.200001,16.58,17.93,3052300,17.93
"2010-04-30",17.889999,17.93,16.889999,17,1533300,17
"2010-05-03",17,17.59,16.93,17.4,1232700,17.4
"2010-05-04",17.27,17.530001,16.93,17.530001,1469600,17.530001
"2010-05-05",17.450001,17.59,17.25,17.49,1395000,17.49
"2010-05-06",16.99,17.58,16.57,17.26,1772900,17.26
"2010-05-07",17.110001,17.110001,16.360001,16.52,2664900,16.52
"2010-05-10",17.030001,17.459999,17.030001,17.26,1066700,17.26
"2010-05-11",17.07,17.4,17,17.17,1145000,17.17
"2010-05-12",17.17,17.459999,17.09,17.459999,730600,17.459999
"2010-05-13",17.370001,17.48,17.17,17.309999,940400,17.309999
"2010-05-14",17.17,17.17,16.620001,17.02,1088900,17.02
"2010-05-17",17.01,17.370001,16.940001,17.309999,798900,17.309999
"2010-05-18",17.309999,17.91,17.219999,17.299999,997400,17.299999
"2010-05-19",17.209999,17.370001,16.67,16.91,862000,16.91
"2010-05-20",16.629999,16.639999,15.8,16.01,1460000,16.01
"2010-05-21",15.77,16.120001,15.5,15.86,1333400,15.86
"2010-05-24",15.81,16.219999,15.81,15.84,993000,15.84
"2010-05-25",15.54,15.61,14.87,15.25,1542200,15.25
"2010-05-26",15.29,15.45,14.73,14.75,1535600,14.75
"2010-05-27",15.02,15.22,14.87,15.19,1139400,15.19
"2010-05-28",15.18,15.23,14.88,14.92,933500,14.92
"2010-06-01",14.85,14.85,14.21,14.38,1673000,14.38
"2010-06-02",14.42,14.79,14.31,14.77,1013000,14.77
"2010-06-03",14.87,15.08,14.25,14.43,1199600,14.43
"2010-06-04",14,14.05,13.38,13.79,2776300,13.79
"2010-06-07",13.86,14.41,13.84,14.19,1935200,14.19
"2010-06-08",14.19,14.19,13.44,13.51,1264200,13.51
"2010-06-09",13.6,13.8,13.18,13.27,978800,13.27
"2010-06-10",13.49,13.98,13.33,13.7,1452600,13.7
"2010-06-11",13.61,14.56,13.43,14.54,1368700,14.54
"2010-06-14",14.6,15.23,14.6,14.81,1223100,14.81
"2010-06-15",14.87,15.03,14.8,15,692400,15
"2010-06-16",14.9,15.02,14.69,14.85,362100,14.85
"2010-06-17",14.86,15.02,14.71,14.88,431700,14.88
"2010-06-18",14.97,14.97,14.69,14.75,1039700,14.75
"2010-06-21",14.94,15.34,14.87,15.2,783200,15.2
"2010-06-22",15.28,15.37,14.85,14.96,771000,14.96
"2010-06-23",14.96,14.96,14.35,14.75,779400,14.75
"2010-06-24",14.68,14.81,14.44,14.49,587300,14.49
"2010-06-25",14.5,15,14.41,14.96,797600,14.96
"2010-06-28",15,15.1,14.93,15,698200,15
"2010-06-29",14.78,14.97,14.01,14.91,1107700,14.91
"2010-06-30",14.95,15.17,14.78,14.87,1060500,14.87
"2010-07-01",14.89,14.89,13.9,14.3,662500,14.3
"2010-07-02",14.39,14.45,13.97,14.2,328800,14.2
"2010-07-06",14.37,14.6,14.01,14.1,612500,14.1
"2010-07-07",14.21,14.92,14.14,14.88,651900,14.88
"2010-07-08",14.97,15.16,14.69,14.88,557200,14.88
"2010-07-09",14.82,14.82,14.25,14.44,674800,14.44
"2010-07-12",14.36,14.58,14.2,14.27,387900,14.27
"2010-07-13",14.45,14.87,14.42,14.84,447300,14.84
"2010-07-14",15.07,16.379999,15.07,15.62,2141800,15.62
"2010-07-15",15.62,15.68,15.05,15.27,651700,15.27
"2010-07-16",15.12,15.12,14.46,14.57,790700,14.57
"2010-07-19",14.6,14.74,14.19,14.29,207500,14.29
"2010-07-20",14.13,14.51,14,14.44,1068500,14.44
"2010-07-21",14.49,14.69,14.28,14.49,687000,14.49
"2010-07-22",14.61,15.27,14.55,14.83,1459800,14.83
"2010-07-23",17.26,17.5,15.86,17.120001,3750700,17.120001
"2010-07-26",17.17,18.459999,17.129999,18.35,2234600,18.35
"2010-07-27",18.35,18.5,17.809999,18.049999,973600,18.049999
"2010-07-28",17.889999,18.23,17.24,17.370001,1340800,17.370001
"2010-07-29",17.42,17.49,17.08,17.469999,667100,17.469999
"2010-07-30",17.25,17.67,17.190001,17.35,685200,17.35
"2010-08-02",17.469999,18.02,17.469999,17.9,771700,17.9
"2010-08-03",17.790001,17.92,17.42,17.790001,918100,17.790001
"2010-08-04",17.82,17.969999,17.370001,17.76,899800,17.76
"2010-08-05",17.610001,17.76,17.33,17.65,385900,17.65
"2010-08-06",17.5,17.92,17.049999,17.83,496400,17.83
"2010-08-09",17.969999,18.280001,17.73,18.110001,543700,18.110001
"2010-08-10",17.91,18.25,17.700001,17.959999,527800,17.959999
