"dates","AME.Open","AME.High","AME.Low","AME.Close","AME.Volume","AME.Adjusted"
"2010-01-04",17.088888,17.422222,17.088888,17.155556,876825,15.95341
"2010-01-05",17.177778,17.217777,17.057777,17.08,714150,15.883141
"2010-01-06",17.111111,17.173332,17.044443,17.097778,725625,15.899675
"2010-01-07",16.977777,17.186666,16.968889,17.142221,799650,15.94101
"2010-01-08",17.137777,17.48889,16.986668,17.475555,991575,16.250988
"2010-01-11",17.48889,17.595556,17.324444,17.577778,446850,16.346045
"2010-01-12",17.444445,17.48,17.195557,17.217777,675225,16.011271
"2010-01-13",17.208889,17.284445,17.08,17.266666,569250,16.056734
"2010-01-14",17.173332,17.471111,17.155556,17.271111,428400,16.060862
"2010-01-15",17.280001,17.373333,17.017778,17.084444,320850,15.887269
"2010-01-19",17.124443,17.453333,17.106667,17.191111,718650,15.986472
"2010-01-20",17.066668,17.137777,16.933332,17.031111,631125,15.837679
"2010-01-21",16.995556,17.244444,16.879999,16.977777,827550,15.788088
"2010-01-22",17.022223,17.048889,16.582222,16.608889,677700,15.445046
"2010-01-25",16.702223,16.711111,16.417778,16.502222,1804275,15.345851
"2010-01-26",16.528889,16.533333,16.044443,16.293333,2155725,15.151604
"2010-01-27",16.24889,16.32889,15.915556,16.088888,1091250,14.961481
"2010-01-28",16.093332,16.253332,15.955556,16.204445,1163250,15.068946
"2010-01-29",16.302221,16.635555,16.195557,16.195557,1729350,15.060678
"2010-02-01",16.280001,16.444445,16.257778,16.337778,869625,15.192935
"2010-02-02",16.311111,16.64889,16.262222,16.573334,981000,15.411984
"2010-02-03",16.493334,16.706667,16.40889,16.533333,715275,15.374787
"2010-02-04",16.377777,16.4,16.071112,16.071112,1068975,14.944954
"2010-02-05",16.062222,16.16,15.84,16.128889,1216575,14.998683
"2010-02-08",16.088888,16.302221,16.004444,16.124443,1080225,14.99455
"2010-02-09",16.262222,16.395555,16.191111,16.342222,972900,15.197066
"2010-02-10",16.257778,16.506666,16.24889,16.311111,891000,15.168137
"2010-02-11",16.32,16.59111,16.280001,16.555555,737550,15.395452
"2010-02-12",16.440001,16.737778,16.288889,16.733334,970200,15.560774
"2010-02-16",16.831112,16.924444,16.786667,16.902222,794925,15.717826
"2010-02-17",16.924444,17.040001,16.755556,16.871111,674550,15.688893
"2010-02-18",16.915556,17.066668,16.853333,17.053333,411525,15.858351
"2010-02-19",17,17.275557,17,17.253332,743850,16.044336
"2010-02-22",17.284445,17.333332,17.208889,17.275557,627075,16.065001
"2010-02-23",17.195557,17.297777,16.92,16.955557,578250,15.767423
"2010-02-24",17.035557,17.048889,16.911112,16.977777,770175,15.788088
"2010-02-25",16.688889,17.280001,16.64889,17.244444,1327275,16.036062
"2010-02-26",17.297777,17.391111,17.177778,17.35111,1030275,16.135263
"2010-03-01",17.364445,17.711111,17.346666,17.577778,618750,16.346045
"2010-03-02",17.559999,17.777779,17.533333,17.68,652725,16.441107
"2010-03-03",17.76,17.955557,17.666668,17.84,699750,16.589897
"2010-03-04",17.84,17.871111,17.639999,17.724443,783900,16.482435
"2010-03-05",17.75111,17.791111,17.662222,17.755556,989325,16.511366
"2010-03-08",17.702223,17.777779,17.582222,17.657778,596925,16.420435
"2010-03-09",17.653334,17.755556,17.626667,17.68,617400,16.441107
"2010-03-10",17.617779,17.817778,17.582222,17.755556,1279575,16.511366
"2010-03-11",17.626667,17.799999,17.551111,17.795555,1041975,16.548555
"2010-03-12",17.826668,17.862223,17.653334,17.84,820350,16.589897
"2010-03-15",17.826668,17.902222,17.6,17.75111,594000,16.531939
"2010-03-16",17.76,17.799999,17.586666,17.684444,1462725,16.469854
"2010-03-17",17.675556,17.84,17.635555,17.64889,1151775,16.436741
"2010-03-18",17.644444,17.688889,17.462221,17.613333,1152000,16.403625
"2010-03-19",17.564444,17.626667,17.422222,17.564444,1333350,16.358101
"2010-03-22",17.440001,17.804443,17.440001,17.688889,1642500,16.473999
"2010-03-23",17.746668,17.897778,17.639999,17.857779,1379925,16.631287
"2010-03-24",17.817778,17.92,17.777779,17.786667,1820475,16.565052
"2010-03-25",17.84,17.915556,17.631111,17.631111,1717875,16.420187
"2010-03-26",17.631111,17.844444,17.622223,17.742222,1452375,16.523659
"2010-03-29",17.764444,18.066668,17.764444,18.066668,865575,16.825825
"2010-03-30",18.071112,18.484444,18.057777,18.444445,1746450,17.177652
