"dates","AMGN.Open","AMGN.High","AMGN.Low","AMGN.Close","AMGN.Volume","AMGN.Adjusted"
"2010-01-04",56.630001,57.869999,56.560001,57.720001,5277400,45.675011
"2010-01-05",57.330002,57.689999,56.27,57.220001,7882800,45.279354
"2010-01-06",56.939999,57.389999,56.5,56.790001,6015100,44.939075
"2010-01-07",56.41,56.529999,54.650002,56.27,10371600,44.527592
"2010-01-08",56.07,56.830002,55.639999,56.77,6576000,44.923252
"2010-01-11",56.93,57.360001,56.619999,57.02,4062700,45.121078
"2010-01-12",57.139999,57.419998,54.82,56.029999,11268300,44.337666
"2010-01-13",56.349998,56.75,55.959999,56.529999,5056200,44.733334
"2010-01-14",56.349998,56.529999,55.91,56.16,4668900,44.440552
"2010-01-15",56.029999,56.509998,55.650002,56.25,7240000,44.511757
"2010-01-19",56.41,57.75,56.240002,57.549999,8570100,45.540482
"2010-01-20",57.619999,57.619999,56.41,57.200001,6625700,45.263523
"2010-01-21",57.43,57.560001,56.310001,56.630001,5833700,44.812462
"2010-01-22",56.669998,57.299999,56.529999,56.599998,5967600,44.788723
"2010-01-25",56.720001,56.790001,55.549999,55.709999,6719400,44.08445
"2010-01-26",56.200001,56.869999,55.700001,56.580002,14880300,44.772903
"2010-01-27",56.349998,57.880001,56.349998,57.740002,9695000,45.69083
"2010-01-28",57.869999,58.779999,57.560001,58.080002,11638200,45.959885
"2010-01-29",58.349998,58.93,58.16,58.48,9465700,46.276409
"2010-02-01",58.52,58.84,58.369999,58.720001,7079100,46.466324
"2010-02-02",58.599998,59.299999,58.41,59.23,7660900,46.869896
"2010-02-03",58.900002,59.419998,58.860001,59.07,7082600,46.743286
"2010-02-04",58.900002,59.060001,57.330002,57.529999,9534500,45.524654
"2010-02-05",57.540001,58.029999,56.639999,57.68,8409900,45.643349
"2010-02-08",57.540001,57.919998,56.700001,57.459999,5947800,45.469254
"2010-02-09",58.240002,58.400002,56.700001,57.209999,18732200,45.271431
"2010-02-10",57.09,57.290001,56.369999,56.84,6019100,44.978653
"2010-02-11",56.560001,57,56.23,56.5,8491100,44.709591
"2010-02-12",56.220001,56.720001,56.02,56.48,8008700,44.693771
"2010-02-16",56.619999,57,56.200001,56.990002,5245900,45.097347
"2010-02-17",56.93,57.57,56.75,57.200001,6831900,45.263523
"2010-02-18",57.299999,57.439999,57.099998,57.27,8120500,45.318901
"2010-02-19",57.049999,57.709999,56.950001,57.380001,7131600,45.405956
"2010-02-22",57.360001,57.439999,56.799999,57.099998,7176800,45.184391
"2010-02-23",56.959999,57.220001,56.349998,56.380001,7703000,44.614651
"2010-02-24",56.66,56.98,56.349998,56.740002,4887700,44.899513
"2010-02-25",56.48,56.48,55.779999,56.25,6592200,44.511757
"2010-02-26",56.25,57.029999,56.099998,56.610001,6351700,44.796635
"2010-03-01",56.740002,57.09,56.720001,56.900002,5638400,45.026123
"2010-03-02",56.91,57.02,56.470001,56.869999,7219100,45.002384
"2010-03-03",56.869999,57.169998,56.669998,56.900002,5655600,45.026123
"2010-03-04",57.009998,57.080002,56.369999,56.77,6127000,44.923252
"2010-03-05",56.75,57.259998,56.209999,57.240002,6529100,45.29517
"2010-03-08",57.25,58.099998,57.200001,57.610001,4409300,45.587963
"2010-03-09",57.27,57.93,57.259998,57.759998,5095400,45.706665
"2010-03-10",57.98,57.990002,57.5,57.779999,4620700,45.722488
"2010-03-11",57.43,57.740002,57.080002,57.490002,4346900,45.492996
"2010-03-12",57.720001,57.75,57.16,57.43,3601400,45.445503
"2010-03-15",57.27,57.75,56.529999,56.889999,7051800,45.018192
"2010-03-16",57.290001,57.540001,56.709999,57.419998,6256500,45.437603
"2010-03-17",57.360001,57.43,56.900002,57.43,5348600,45.445503
"2010-03-18",57.41,58.439999,57.16,58.310001,6442600,46.141876
"2010-03-19",58.919998,60.130001,57.650002,60,18901000,47.479221
"2010-03-22",59.610001,60.389999,59.5,60.09,8837000,47.55043
"2010-03-23",59.889999,60.080002,59.610001,60.060001,5024800,47.526688
"2010-03-24",59.790001,60,58.959999,59.07,9367100,46.743286
"2010-03-25",59.400002,59.790001,59,59.259998,8863000,46.893639
"2010-03-26",59.34,59.919998,59,59.41,5627100,47.012352
"2010-03-29",59.700001,60.150002,59.610001,59.91,4268700,47.407997
"2010-03-30",59.810001,60.27,59.560001,60.09,4360400,47.55043
"2010-03-31",60,60.220001,59.689999,59.84,4975100,47.352596
"2010-04-01",59.950001,60.939999,59.950001,60.799999,5916500,48.11227
"2010-04-05",60.740002,60.889999,60.27,60.419998,3679800,47.811577
"2010-04-06",60.25,60.490002,59.84,60.290001,3947200,47.708702
"2010-04-07",60.290001,60.759998,60.080002,60.349998,4573500,47.756172
"2010-04-08",60.41,60.830002,59.869999,60.52,4367700,47.890697
"2010-04-09",60.259998,60.919998,60.259998,60.900002,3585500,48.191399
"2010-04-12",60.66,60.900002,60.169998,60.369999,5588600,47.772003
"2010-04-13",59.93,60.900002,59.93,60.68,4710500,48.017303
"2010-04-14",60.419998,61.200001,60.380001,61.139999,5183600,48.381306
"2010-04-15",60.869999,61.07,60.450001,60.639999,4636700,47.985668
"2010-04-16",60.68,61.060001,60.040001,60.720001,7315800,48.048965
"2010-04-19",60.59,61.259998,60.16,61.07,4270300,48.325924
"2010-04-20",61.099998,61.099998,59.900002,60.18,7220000,47.621651
"2010-04-21",59.849998,60,58.110001,58.709999,13763400,46.458412
"2010-04-22",57.810001,58.73,57.029999,58.16,10389400,46.023182
"2010-04-23",58.09,59,57.759998,58.880001,7107600,46.592937
"2010-04-26",58.98,59.200001,58.41,58.43,6157000,46.236839
"2010-04-27",58.200001,58.919998,57.779999,57.84,6178400,45.769966
"2010-04-28",57.919998,58.560001,57.779999,58.18,6236100,46.039009
"2010-04-29",58.380001,59.049999,58.07,58.59,4342600,46.363449
"2010-04-30",58.810001,59.029999,57.290001,57.310001,8187900,45.350559
"2010-05-03",57.450001,57.950001,57.130001,57.59,5912300,45.572144
"2010-05-04",57.110001,57.23,55.91,56.830002,7686400,44.970726
"2010-05-05",56.939999,57.349998,56.299999,56.599998,5988200,44.788723
"2010-05-06",56.43,56.490002,52.799999,54.75,9744800,43.324791
"2010-05-07",54.529999,55.279999,53.52,54.459999,10580700,43.095291
"2010-05-10",55.299999,56.950001,55.16,55.580002,8395700,43.981583
"2010-05-11",55.290001,56.740002,55,55.93,5909600,44.258541
"2010-05-12",55.919998,56.84,55.52,56.599998,5446800,44.788723
