"dates","AMT.Open","AMT.High","AMT.Low","AMT.Close","AMT.Volume","AMT.Adjusted"
"2010-01-04",43.490002,43.889999,43.279999,43.459999,2750500,36.800934
"2010-01-05",43.5,44.25,43.400002,44.18,2575800,37.410606
"2010-01-06",44.240002,44.560001,43.77,44.41,3215300,37.605373
"2010-01-07",44.43,44.57,44.009998,44.290001,2615000,37.503769
"2010-01-08",44.380001,44.57,44.009998,44.380001,1934600,37.579975
"2010-01-11",44.869999,44.900002,43.66,43.98,3276000,37.241253
"2010-01-12",43.75,43.939999,43.009998,43.439999,2973600,36.783993
"2010-01-13",43.610001,44.470001,43.610001,44.360001,2799900,37.56303
"2010-01-14",44.349998,44.66,44.040001,44.610001,4387600,37.774731
"2010-01-15",44.490002,45,43.799999,44,3130300,37.258202
"2010-01-19",44.060001,44.380001,43.77,44.189999,1995700,37.419075
"2010-01-20",44.02,44.43,43.779999,44.330002,3053000,37.537636
"2010-01-21",44.419998,44.5,43.779999,43.98,3301000,37.241253
"2010-01-22",43.830002,44.59,42.07,42.18,4021100,35.717052
"2010-01-25",42.560001,43.5,42.560001,43.200001,3857100,36.580784
"2010-01-26",43.169998,43.169998,42.150002,42.540001,3730800,36.021893
"2010-01-27",42.580002,42.810001,41.810001,42.66,3584400,36.123516
"2010-01-28",42.740002,43.310001,41.869999,42.32,3739600,35.835602
"2010-01-29",42.389999,42.810001,42.240002,42.450001,3757100,35.945694
"2010-02-01",42.950001,43.150002,42.279999,43.080002,2711800,36.479168
"2010-02-02",43.07,43.09,42.279999,43.029999,2360800,36.436813
"2010-02-03",42.950001,43.369999,42.66,42.790001,3047700,36.233593
"2010-02-04",42.630001,42.630001,41,41.02,3757500,34.734798
"2010-02-05",40.959999,41.060001,39.459999,40.099998,7923800,33.955769
"2010-02-08",40.029999,41.18,40,40.669998,4943200,34.438423
"2010-02-09",41.279999,41.630001,40.830002,41.450001,4121300,35.098915
"2010-02-10",41.5,41.919998,41.25,41.59,3020500,35.217464
"2010-02-11",41.599998,42.759998,41.259998,42.52,2959900,36.004963
"2010-02-12",42.259998,42.880001,42.029999,42.619999,2758300,36.089642
"2010-02-16",42.919998,43.41,42.919998,43.360001,2839400,36.716263
"2010-02-17",43.5,43.810001,43.310001,43.709999,2247900,37.01263
"2010-02-18",43.619999,43.830002,43.200001,43.389999,2924700,36.741661
"2010-02-19",43.25,44.279999,43.110001,43.919998,3065200,37.190456
"2010-02-22",44.080002,44.080002,43.349998,43.779999,2535100,37.071907
"2010-02-23",43.709999,43.709999,42.48,42.810001,4557400,36.250523
"2010-02-24",42.869999,43.099998,41.650002,42.619999,6001800,36.089642
"2010-02-25",42.34,42.919998,41.799999,42.799999,4325600,36.242065
"2010-02-26",42.810001,42.959999,42.169998,42.66,4030100,36.123516
"2010-03-01",42.779999,43.310001,42.77,42.93,2656600,36.35215
"2010-03-02",43.07,43.299999,42.700001,42.779999,3801400,36.225128
"2010-03-03",42.810001,43.43,42.57,42.98,2697200,36.39447
"2010-03-04",43.119999,43.150002,42.529999,42.959999,2586900,36.377548
"2010-03-05",43.169998,43.549999,43.049999,43.41,1992600,36.758602
"2010-03-08",43.25,43.450001,42.380001,42.450001,4482000,35.945694
"2010-03-09",42.220001,43.27,42.130001,42.889999,4712500,36.31826
"2010-03-10",42.860001,43.25,42.740002,43.110001,2098100,36.504566
"2010-03-11",43,43.5,42.799999,43.5,2309100,36.834797
"2010-03-12",43.540001,43.799999,43.330002,43.380001,3540100,36.733196
"2010-03-15",43.119999,43.57,42.93,43.34,2748300,36.699326
"2010-03-16",43.310001,44.439999,43.299999,44.259998,4366600,37.478355
"2010-03-17",44.27,44.290001,43.959999,44.25,3143500,37.469872
"2010-03-18",44.25,44.5,43.740002,44.009998,3211700,37.266659
"2010-03-19",44.290001,44.419998,43.990002,44.290001,3288400,37.503769
"2010-03-22",43.970001,44.459999,43.810001,44.25,2887300,37.469872
"2010-03-23",44.299999,44.68,44.200001,44.57,2728000,37.740856
"2010-03-24",44.560001,44.849998,43.950001,44.470001,3220700,37.656178
"2010-03-25",44.549999,44.619999,42.330002,42.459999,11561400,35.954166
"2010-03-26",42.57,42.810001,41.360001,41.650002,8362100,35.268265
"2010-03-29",41.889999,43,41.889999,42.77,5162100,36.21664
"2010-03-30",42.560001,42.869999,42.5,42.779999,6004900,36.225128
"2010-03-31",42.599998,43.130001,42.41,42.610001,3150800,36.081161
"2010-04-01",42.91,43.290001,42.369999,42.700001,3596900,36.157383
"2010-04-05",42.77,43.439999,42.689999,43.32,2581900,36.682381
"2010-04-06",43.189999,43.189999,42.759998,42.810001,3148600,36.250523
"2010-04-07",42.669998,42.669998,41.599998,41.830002,6299000,35.420692
"2010-04-08",42.049999,42.07,41.52,42.029999,5007100,35.590038
"2010-04-09",42.07,42.779999,42.02,42.619999,4283900,36.089642
"2010-04-12",42.75,42.98,42.200001,42.349998,3040100,35.861
"2010-04-13",42.240002,42.290001,41.619999,42.150002,4219000,35.69165
"2010-04-14",42.110001,42.279999,41.599998,42.110001,4620100,35.657776
"2010-04-15",41.990002,42.23,41.630001,42.029999,4793500,35.590038
"2010-04-16",41.91,42.189999,41.200001,41.970001,8992800,35.539242
"2010-04-19",41.849998,42.080002,41.209999,41.540001,4472400,35.175125
"2010-04-20",41.84,42.32,41.669998,42.18,2618200,35.717052
"2010-04-21",42.369999,42.369999,41.799999,42.02,2950500,35.581573
"2010-04-22",41.630001,42.220001,41.439999,42.169998,2068200,35.708588
"2010-04-23",42.150002,42.41,41.75,42.369999,2741100,35.877945
"2010-04-26",42.380001,42.490002,41.779999,41.860001,2479000,35.446087
"2010-04-27",41.650002,41.75,41.09,41.139999,2943900,34.836403
"2010-04-28",41.310001,41.470001,40.549999,40.790001,4043900,34.540047
"2010-04-29",40.939999,41.400002,40.799999,41.049999,4155000,34.760197
"2010-04-30",41.189999,41.849998,40.810001,40.810001,3773100,34.556976
"2010-05-03",41.220001,41.540001,40.93,41.279999,3107700,34.954948
"2010-05-04",40.919998,41.41,40,41.009998,5001500,34.726318
"2010-05-05",40.52,41.169998,40.509998,40.880001,4261300,34.616257
"2010-05-06",40.75,41.169998,38.099998,40.029999,7400100,33.896473
"2010-05-07",39.779999,40.27,38.310001,38.860001,8435500,32.905758
"2010-05-10",40.349998,41.220001,39.849998,40.860001,7397900,34.599308
"2010-05-11",41.150002,41.639999,40.650002,40.970001,3524700,34.692455
"2010-05-12",41.18,41.810001,41.07,41.720001,2220400,35.327541
"2010-05-13",41.709999,42.040001,41.580002,41.75,2913400,35.352943
"2010-05-14",41.509998,41.639999,40.900002,41.18,3928000,34.870293
"2010-05-17",41.23,41.619999,40.880001,41.52,3585200,35.15818
"2010-05-18",41.77,42.200001,40.970001,41.130001,2457300,34.827942
"2010-05-19",40.93,41.02,39.860001,40.490002,4030300,34.286011
"2010-05-20",39.77,39.799999,38.77,39.049999,7225800,33.066639
"2010-05-21",38.099998,40.380001,38.09,40.380001,8338800,34.192852
"2010-05-24",40.18,40.540001,39.48,39.509998,5048700,33.456165
"2010-05-25",38.82,39.68,38.400002,39.630001,5042600,33.557774
"2010-05-26",39.82,40.509998,39.599998,39.75,5107000,33.659386
"2010-05-27",40.299999,41.02,40.02,40.990002,3104900,34.709385
"2010-05-28",40.740002,41.259998,40.330002,40.529999,2345400,34.319881
"2010-06-01",40.310001,40.959999,39.82,39.84,2966700,33.735603
"2010-06-02",40.139999,41.509998,40.139999,41.450001,4244900,35.098915
"2010-06-03",41.59,42.599998,41.57,42.48,3877000,35.9711
"2010-06-04",41.669998,42.310001,41.259998,41.509998,5088800,35.149704
"2010-06-07",41.75,42.470001,41.48,41.900002,5720900,35.479954
"2010-06-08",42.02,42.619999,41.59,42.25,6440500,35.776321
"2010-06-09",42.389999,42.939999,41.810001,41.970001,3887000,35.539242
"2010-06-10",42.490002,43.200001,42.360001,43.189999,4107000,36.572315
"2010-06-11",42.720001,44.360001,42.720001,44.220001,5072600,37.444477
"2010-06-14",44.32,44.98,43.57,43.669998,4747400,36.978752
"2010-06-15",43.880001,44.459999,43.77,44.389999,3132600,37.588428
"2010-06-16",44,44.950001,43.950001,44.700001,3006900,37.850948
"2010-06-17",44.860001,45,44.509998,44.970001,3128800,38.079575
"2010-06-18",45.009998,45.299999,44.869999,45.07,6436900,38.164246
"2010-06-21",45.610001,46.209999,44.91,45.119999,4048100,38.206589
"2010-06-22",45.150002,45.459999,44.290001,44.369999,3624000,37.571499
"2010-06-23",44.41,45.200001,43.849998,44.709999,4913100,37.859413
"2010-06-24",44.52,44.75,43.5,43.540001,4295600,36.868675
"2010-06-25",43.689999,44.450001,43.509998,43.98,3421700,37.241253
"2010-06-28",44.200001,45.720001,44.189999,45.330002,4765400,38.384407
"2010-06-29",44.84,44.919998,44.130001,44.509998,6408900,37.690048
"2010-06-30",44.43,45.220001,44.23,44.5,5082800,37.681576
"2010-07-01",44.330002,44.779999,43.259998,44.09,6245800,37.334408
"2010-07-02",44.290001,44.419998,43.369999,43.700001,3370700,37.004162
"2010-07-06",44.34,45.349998,44.099998,45.110001,5759500,38.198116
"2010-07-07",45.43,46.91,45.18,46.880001,5949600,39.696915
"2010-07-08",47.139999,47.209999,45.990002,46.389999,4222700,39.28199
"2010-07-09",46.310001,46.82,45.810001,46.009998,3528000,38.960205
"2010-07-12",45.73,45.950001,45.080002,45.32,3608000,38.375942
"2010-07-13",45.830002,45.970001,45.240002,45.599998,3408800,38.613033
"2010-07-14",45.849998,45.939999,45.25,45.779999,2765200,38.765457
"2010-07-15",45.639999,45.880001,45.07,45.549999,2334300,38.570694
"2010-07-16",45.299999,45.43,44.02,44.189999,3613300,37.419075
"2010-07-19",44.299999,44.360001,43.740002,44.130001,2042700,37.368263
"2010-07-20",44.630001,46.75,44.619999,46.580002,8159800,39.442879
"2010-07-21",46.73,46.75,45.189999,45.619999,5728400,38.629982
"2010-07-22",46.139999,46.5,45.84,46.389999,2892200,39.28199
"2010-07-23",46.360001,46.77,45.720001,46.77,2764300,39.603756
"2010-07-26",46.919998,46.919998,45.970001,46.299999,3661900,39.205772
"2010-07-27",46.560001,46.610001,45.25,45.610001,3350400,38.621513
"2010-07-28",45.52,46.16,45.41,45.709999,2388500,38.706177
"2010-07-29",45.93,46.279999,45.330002,45.529999,4301100,38.553764
"2010-07-30",45.07,46.41,44.73,46.240002,3465800,39.154976
"2010-08-02",46.810001,47.09,46.099998,46.689999,4463100,39.536022
"2010-08-03",46.610001,46.810001,45.959999,46.459999,3007300,39.34127
"2010-08-04",46.450001,47.040001,46.400002,46.939999,3800500,39.747715
"2010-08-05",46.77,47.060001,46.419998,46.959999,2516200,39.76466
"2010-08-06",46.66,47.419998,46.130001,46.75,3159700,39.586838
"2010-08-09",46.990002,47.27,46.52,46.75,1816700,39.586838
"2010-08-10",46.450001,46.919998,46.07,46.669998,2431900,39.519093
"2010-08-11",45.900002,45.91,45.169998,45.220001,5093500,38.29126
"2010-08-12",44.509998,46.110001,44.27,45.889999,4635100,38.858601
"2010-08-13",45.799999,46.060001,45.529999,45.759998,1789100,38.748524
"2010-08-16",45.41,46.060001,45.139999,46.040001,1730000,38.985619
"2010-08-17",46.25,47.459999,46,47.41,3669400,40.145714
"2010-08-18",47.470001,48.330002,47.009998,48.02,4249900,40.662251
"2010-08-19",47.799999,47.98,47.16,47.490002,3815800,40.213444
"2010-08-20",47.509998,47.759998,46.740002,47.43,2632800,40.162632
"2010-08-23",47.459999,47.720001,46.91,46.939999,1972600,39.747715
"2010-08-24",46.360001,46.759998,46.02,46.220001,3480200,39.138042
"2010-08-25",45.790001,47.259998,45.779999,47.16,3050400,39.934002
"2010-08-26",47.25,47.860001,46.950001,47.099998,3057100,39.883198
"2010-08-27",47.459999,47.669998,46.540001,47.360001,2376600,40.103363
