"dates","AOS.Open","AOS.High","AOS.Low","AOS.Close","AOS.Volume","AOS.Adjusted"
"2010-01-04",7.295,7.48,7.261667,7.435,1104600,6.335361
"2010-01-05",7.431667,7.431667,7.308333,7.34,1207200,6.254412
"2010-01-06",7.335,7.405,7.301667,7.343333,663000,6.257251
"2010-01-07",7.356667,7.425,7.311667,7.365,564000,6.275713
"2010-01-08",7.331667,7.485,7.311667,7.473333,504600,6.368024
"2010-01-11",7.491667,7.498333,7.406667,7.438333,564600,6.338201
"2010-01-12",7.393333,7.453333,7.286667,7.386667,486600,6.294175
"2010-01-13",7.405,7.433333,7.281667,7.345,675600,6.25867
"2010-01-14",7.341667,7.475,7.341667,7.38,520200,6.288495
"2010-01-15",7.408333,7.408333,7.176667,7.323333,694200,6.24021
"2010-01-19",7.35,7.493333,7.35,7.451667,741000,6.349562
"2010-01-20",7.415,7.515,7.303333,7.493333,1063800,6.385064
"2010-01-21",7.49,7.52,7.146667,7.236667,1091400,6.166361
"2010-01-22",7.228333,7.29,7.12,7.156667,1195200,6.098193
"2010-01-25",7.196667,7.285,7.091667,7.141667,1794000,6.085411
"2010-01-26",7.418333,7.418333,7.011667,7.065,1850400,6.020083
"2010-01-27",7.198333,7.338333,7.016667,7.301667,2554800,6.250501
"2010-01-28",7.338333,7.353333,7.138333,7.193333,1046400,6.157762
"2010-01-29",7.211667,7.291667,7.086667,7.096667,987000,6.075011
"2010-02-01",7.093333,7.166667,7.058333,7.083333,1291800,6.063598
"2010-02-02",7.083333,7.166667,7.04,7.093333,1066200,6.072158
"2010-02-03",7.05,7.166667,7.05,7.108333,427200,6.084999
"2010-02-04",7.06,7.078333,6.881667,6.91,798000,5.915218
"2010-02-05",6.913333,7.066667,6.848333,6.948333,1509600,5.948034
"2010-02-08",6.993333,7.093333,6.871667,6.99,953400,5.983702
"2010-02-09",7.083333,7.225,7.048333,7.165,1026600,6.133509
"2010-02-10",7.125,7.196667,7.078333,7.141667,1363200,6.113535
"2010-02-11",7.115,7.326667,7.05,7.266667,948000,6.220539
"2010-02-12",7.215,7.408333,7.181667,7.316667,1018200,6.263342
"2010-02-16",7.358333,7.411667,7.301667,7.328333,972000,6.273328
"2010-02-17",7.333333,7.358333,7.258333,7.28,925800,6.231954
"2010-02-18",7.288333,7.418333,7.288333,7.415,749400,6.347517
"2010-02-19",7.418333,7.548333,7.4,7.446667,1224000,6.374627
"2010-02-22",7.476667,7.5,7.403333,7.488333,668400,6.410293
"2010-02-23",7.498333,7.498333,7.405,7.428333,1189200,6.35893
"2010-02-24",7.465,7.538333,7.453333,7.538333,1102800,6.453097
"2010-02-25",7.44,7.541667,7.381667,7.541667,730200,6.455948
"2010-02-26",7.541667,7.588333,7.485,7.55,2046000,6.463083
"2010-03-01",7.591667,7.803333,7.59,7.65,2423400,6.548687
"2010-03-02",7.798333,7.94,7.783333,7.856667,3207000,6.725601
"2010-03-03",7.895,7.965,7.858333,7.901667,1667400,6.764122
"2010-03-04",7.863333,7.92,7.856667,7.901667,1356600,6.764122
"2010-03-05",7.926667,7.965,7.895,7.963333,1378200,6.816912
"2010-03-08",7.95,7.985,7.846667,7.901667,636000,6.764122
"2010-03-09",7.866667,7.961667,7.828333,7.926667,727800,6.785522
"2010-03-10",7.908333,7.968333,7.88,7.943333,598200,6.79979
"2010-03-11",7.905,8.073333,7.886667,8.058333,1338600,6.898235
"2010-03-12",8.065,8.093333,7.956667,8.093333,478200,6.928197
"2010-03-15",8.101667,8.238333,8.071667,8.216667,1840200,7.033776
"2010-03-16",8.263333,8.405,8.225,8.26,1503600,7.070869
"2010-03-17",8.296667,8.398333,8.261667,8.3,993600,7.105111
"2010-03-18",8.275,8.316667,8.208333,8.275,601800,7.083708
"2010-03-19",8.19,8.32,8.156667,8.19,1117200,7.010946
"2010-03-22",8.148333,8.32,8.106667,8.313333,1345800,7.116524
"2010-03-23",8.633333,8.893333,8.601667,8.753333,4684200,7.493182
"2010-03-24",8.805,8.805,8.651667,8.71,1651800,7.456085
"2010-03-25",8.746667,8.921667,8.568333,8.57,1921200,7.336241
"2010-03-26",8.62,8.7,8.521667,8.566667,1320000,7.333389
"2010-03-29",8.731667,8.9,8.636667,8.666667,2083800,7.418993
"2010-03-30",8.678333,8.83,8.678333,8.785,1377000,7.520287
"2010-03-31",8.788333,8.87,8.751667,8.761667,1830600,7.500317
"2010-04-01",8.788333,8.838333,8.696667,8.753333,1438200,7.493182
"2010-04-05",8.815,8.956667,8.773333,8.956667,1413600,7.667241
"2010-04-06",8.888333,9.04,8.858333,8.988333,1264800,7.69435
"2010-04-07",8.951667,9.025,8.891667,8.926667,1710600,7.641561
"2010-04-08",8.873333,9.05,8.863333,9.031667,1125600,7.731444
"2010-04-09",9.033333,9.141667,9.006667,9.115,1201200,7.802783
"2010-04-12",9.145,9.145,9.028333,9.046667,1021200,7.744287
"2010-04-13",9.046667,9.295,9,9.291667,1671600,7.954013
"2010-04-14",9.365,9.44,9.3,9.431667,1394400,8.073859
"2010-04-15",9.298333,9.375,9.251667,9.341667,1565400,7.996818
"2010-04-16",9.32,9.343333,9.203333,9.333333,2661600,7.98968
"2010-04-19",9.283333,9.331667,9.136667,9.305,2622600,7.965428
"2010-04-20",8.9,8.956667,8.533333,8.66,4859400,7.413283
"2010-04-21",8.66,8.743333,8.586667,8.676667,3232800,7.427553
"2010-04-22",8.666667,8.833333,8.56,8.811667,1490400,7.543117
"2010-04-23",8.861667,8.883333,8.803333,8.866667,1396200,7.590199
"2010-04-26",8.885,9.031667,8.826667,8.836667,1042800,7.56452
"2010-04-27",8.813333,8.953333,8.731667,8.756667,1837800,7.496035
"2010-04-28",8.79,8.843333,8.615,8.66,1072800,7.4409
"2010-04-29",8.723333,8.916667,8.705,8.911667,1013400,7.657141
"2010-04-30",8.911667,8.986667,8.601667,8.605,1380600,7.393645
"2010-05-03",8.623333,8.871667,8.623333,8.78,1489800,7.544007
"2010-05-04",8.651667,8.833333,8.508333,8.575,1744200,7.367867
"2010-05-05",8.508333,8.578333,8.293333,8.313333,1753800,7.143036
"2010-05-06",8.25,8.346667,7.753333,8.27,3381600,7.105804
"2010-05-07",8.27,8.291667,7.863333,7.956667,3860400,6.836578
"2010-05-10",8.275,8.403333,8.165,8.386667,2365800,7.206046
"2010-05-11",8.245,8.406667,8.205,8.32,1269000,7.148764
"2010-05-12",8.313333,8.668333,8.313333,8.645,1344600,7.428012
"2010-05-13",8.616667,8.715,8.52,8.588333,1128600,7.379324
"2010-05-14",8.54,8.54,8.251667,8.361667,1652400,7.184565
"2010-05-17",8.42,8.505,8.036667,8.201667,1710000,7.047088
"2010-05-18",8.283333,8.331667,8.028333,8.053333,1556400,6.919637
"2010-05-19",8.003333,8.125,7.898333,7.99,2288400,6.865219
"2010-05-20",7.811667,7.875,7.57,7.708333,2750400,6.623202
"2010-05-21",7.57,7.736667,7.505,7.723333,3215400,6.636094
"2010-05-24",7.65,7.685,7.395,7.546667,3235800,6.484295
"2010-05-25",7.391667,7.633333,7.31,7.618333,2243400,6.545872
"2010-05-26",7.698333,7.936667,7.658333,7.681667,2771400,6.60029
"2010-05-27",7.808333,7.965,7.743333,7.965,1602000,6.843739
"2010-05-28",7.921667,7.926667,7.698333,7.77,933000,6.676189
"2010-06-01",7.753333,7.898333,7.541667,7.543333,1452000,6.481431
"2010-06-02",7.571667,7.65,7.425,7.64,2291400,6.564488
"2010-06-03",7.715,7.918333,7.616667,7.885,1843200,6.775
"2010-06-04",7.723333,7.781667,7.605,7.643333,2938200,6.567354
"2010-06-07",7.705,7.73,7.51,7.521667,2072400,6.462815
"2010-06-08",7.578333,7.791667,7.578333,7.683333,2412000,6.601722
"2010-06-09",7.761667,7.915,7.663333,7.703333,1444800,6.618907
"2010-06-10",7.833333,8.046667,7.818333,8.041667,1457400,6.909613
"2010-06-11",8.023333,8.23,7.991667,8.205,1240200,7.049954
"2010-06-14",8.253333,8.263333,7.97,8.006667,1446600,6.879539
"2010-06-15",8.015,8.235,7.96,8.211667,1090800,7.055682
"2010-06-16",8.203333,8.355,8.153333,8.265,1382400,7.101508
"2010-06-17",8.266667,8.335,8.138333,8.258333,1938000,7.095777
"2010-06-18",8.308333,8.355,8.068333,8.206667,12921600,7.051386
"2010-06-21",8.293333,8.336667,7.893333,7.96,3051600,6.839442
"2010-06-22",8.013333,8.185,7.848333,7.87,1966800,6.762113
"2010-06-23",7.871667,8.06,7.718333,7.915,1519200,6.800777
"2010-06-24",7.841667,8.078333,7.785,7.903333,2223600,6.790753
"2010-06-25",8.193333,8.356667,8.06,8.095,6925200,6.955439
"2010-06-28",8.136667,8.358333,8.088333,8.235,2286600,7.07573
"2010-06-29",8.136667,8.146667,7.956667,8.13,2568600,6.985511
"2010-06-30",8.13,8.281667,8.008333,8.031667,2712000,6.901021
"2010-07-01",8,8.08,7.788333,8.028333,1552800,6.898156
"2010-07-02",8.063333,8.16,7.998333,8.073333,897600,6.936821
"2010-07-06",8.233333,8.353333,7.985,8.03,1723200,6.899588
"2010-07-07",8.065,8.458333,8.065,8.445,2230200,7.256167
"2010-07-08",8.5,8.641667,8.378333,8.566667,1704000,7.360707
"2010-07-09",8.526667,8.718333,8.506667,8.708333,993600,7.48243
"2010-07-12",8.703333,8.788333,8.575,8.631667,2002200,7.416558
"2010-07-13",8.763333,9.056667,8.736667,9.01,2044200,7.741633
"2010-07-14",8.966667,8.966667,8.808333,8.906667,1497600,7.652844
"2010-07-15",8.918333,8.918333,8.731667,8.868333,1057200,7.619906
"2010-07-16",8.823333,8.823333,8.5,8.528333,3027600,7.32777
"2010-07-19",8.576667,8.668333,8.411667,8.653333,1448400,7.435174
"2010-07-20",8.483333,8.641667,8.265,8.58,3159000,7.372162
"2010-07-21",8.728333,8.79,8.6,8.756667,2543400,7.523959
"2010-07-22",8.908333,9.106667,8.895,8.971667,2194200,7.708694
"2010-07-23",8.98,9.285,8.895,9.16,1866000,7.870512
"2010-07-26",9.163333,9.365,9.118333,9.355,1506000,8.03806
"2010-07-27",9.378333,9.386667,9.081667,9.135,1326600,7.849034
"2010-07-28",9.088333,9.18,9.061667,9.15,1604400,7.892161
"2010-07-29",9.181667,9.298333,9.061667,9.185,1276200,7.922347
"2010-07-30",9.083333,9.218333,9.001667,9.113333,1039800,7.860534
"2010-08-02",9.316667,9.391667,9.176667,9.273333,1630200,7.998537
"2010-08-03",9.228333,9.315,9.073333,9.131667,1526400,7.876351
"2010-08-04",9.138333,9.24,9.008333,9.156667,1311000,7.897911
"2010-08-05",9.113333,9.173333,9.045,9.125,943800,7.870598
"2010-08-06",9.018333,9.16,8.865,9.068333,1087200,7.821722
"2010-08-09",9.123333,9.236667,9.055,9.226667,1025400,7.958287
"2010-08-10",9.1,9.121667,8.868333,8.908333,1105200,7.683712
"2010-08-11",8.825,8.825,8.515,8.536667,1442400,7.363142
"2010-08-12",8.381667,8.533333,8.378333,8.468333,1017000,7.3042
"2010-08-13",8.438333,8.581667,8.416667,8.481667,972600,7.315704
"2010-08-16",8.416667,8.57,8.333333,8.565,930000,7.38758
"2010-08-17",8.625,8.896667,8.598333,8.825,1509600,7.611837
"2010-08-18",8.805,8.961667,8.655,8.865,1248600,7.646339
"2010-08-19",8.805,8.818333,8.428333,8.536667,1330800,7.363142
"2010-08-20",8.475,8.521667,8.35,8.501667,597600,7.332953
"2010-08-23",8.531667,8.616667,8.336667,8.396667,1462200,7.242386
"2010-08-24",8.298333,8.513333,8.208333,8.411667,1043400,7.255326
"2010-08-25",8.375,8.563333,8.328333,8.548333,1132200,7.373203
"2010-08-26",8.606667,8.676667,8.461667,8.496667,816600,7.328638
"2010-08-27",8.578333,8.746667,8.416667,8.728333,641400,7.528458
"2010-08-30",8.715,8.72,8.556667,8.561667,896400,7.384706
"2010-08-31",8.541667,8.668333,8.485,8.558333,1292400,7.381827
"2010-09-01",8.711667,9.02,8.681667,8.975,1165200,7.741216
"2010-09-02",8.916667,8.951667,8.733333,8.846667,2263200,7.630529
"2010-09-03",8.981667,9.038333,8.811667,9.026667,1155600,7.78578
"2010-09-07",9.013333,9.045,8.945,8.975,1021800,7.741216
"2010-09-08",9.016667,9.19,8.958333,8.993333,1096200,7.757029
"2010-09-09",9.123333,9.123333,8.895,8.971667,503400,7.738343
"2010-09-10",8.976667,9.083333,8.931667,8.993333,1003200,7.757029
"2010-09-13",9.1,9.326667,9.068333,9.298333,1056600,8.020104
"2010-09-14",9.256667,9.333333,9.225,9.256667,1402200,7.984165
"2010-09-15",9.245,9.406667,9.245,9.368333,1245000,8.080479
"2010-09-16",9.375,9.401667,9.28,9.376667,1291800,8.087672
"2010-09-17",9.416667,9.441667,9.24,9.355,2206800,8.068975
"2010-09-20",9.371667,9.586667,9.318333,9.576667,1492200,8.260172
"2010-09-21",9.615,9.765,9.556667,9.641667,1287000,8.316239
"2010-09-22",9.631667,9.708333,9.451667,9.475,1389600,8.172483
"2010-09-23",9.416667,9.505,9.266667,9.28,1136400,8.004291
"2010-09-24",9.415,9.598333,9.28,9.598333,1395000,8.27886
"2010-09-27",9.593333,9.595,9.436667,9.551667,552000,8.238609
"2010-09-28",9.553333,9.751667,9.323333,9.736667,1055400,8.398178
"2010-09-29",9.623333,9.82,9.541667,9.685,1567800,8.353615
"2010-09-30",9.695,9.806667,9.485,9.648333,2013000,8.321989
"2010-10-01",9.758333,9.758333,9.493333,9.623333,887400,8.300425
"2010-10-04",9.576667,9.665,9.411667,9.486667,756000,8.182545
"2010-10-05",9.596667,9.805,9.511667,9.781667,923400,8.436992
"2010-10-06",9.78,9.825,9.718333,9.808333,1464000,8.459993
"2010-10-07",9.836667,9.893333,9.81,9.84,1356600,8.487305
"2010-10-08",9.84,9.968333,9.84,9.908333,1706400,8.546245
"2010-10-11",9.903333,9.903333,9.773333,9.78,943200,8.435556
"2010-10-12",9.768333,9.768333,9.643333,9.663333,2066400,8.334928
"2010-10-13",9.705,9.908333,9.683333,9.841667,1162800,8.488746
"2010-10-14",9.856667,9.901667,9.658333,9.71,1234200,8.375178
"2010-10-15",9.838333,9.951667,9.7,9.711667,2066400,8.376616
"2010-10-18",9.765,9.788333,9.563333,9.61,2884200,8.288924
"2010-10-19",9.296667,9.58,9.223333,9.433333,3867600,8.136543
"2010-10-20",9.52,9.683333,9.463333,9.511667,1897200,8.204109
"2010-10-21",9.573333,9.7,9.423333,9.573333,1131000,8.257297
"2010-10-22",9.583333,9.63,9.535,9.59,717600,8.271675
"2010-10-25",9.645,9.768333,9.47,9.491667,1152000,8.186863
"2010-10-26",9.451667,9.478333,9.313333,9.448333,1411800,8.149482
"2010-10-27",9.345,9.445,9.293333,9.4,1153200,8.13794
"2010-10-28",9.471667,9.53,9.296667,9.311667,1065000,8.061462
"2010-10-29",9.3,9.391667,9.27,9.338333,571200,8.08455
"2010-11-01",9.401667,9.46,9.235,9.326667,850800,8.074451
"2010-11-02",9.436667,9.533333,9.33,9.533333,1326000,8.253372
"2010-11-03",9.531667,9.553333,9.391667,9.536667,879000,8.256256
"2010-11-04",9.698333,9.976667,9.653333,9.968333,1785600,8.629966
"2010-11-05",9.983333,10.06,9.878333,9.963333,1726200,8.625636
"2010-11-08",9.951667,10,9.906667,9.978333,912600,8.638624
"2010-11-09",9.985,9.991667,9.633333,9.676667,1064400,8.377462
"2010-11-10",9.69,9.791667,9.6,9.783333,945000,8.469805
"2010-11-11",9.678333,9.775,9.588333,9.73,441600,8.423631
"2010-11-12",9.635,9.7,9.528333,9.561667,636600,8.277903
"2010-11-15",9.621667,9.701667,9.516667,9.588333,1671600,8.300989
"2010-11-16",9.495,9.54,9.3425,9.4125,2346400,8.148761
"2010-11-17",9.45,9.555,9.3575,9.4675,1093200,8.196377
"2010-11-18",9.5725,9.595,9.38,9.41,1408400,8.146597
"2010-11-19",9.42,9.4725,9.2975,9.3875,1079200,8.127117
"2010-11-22",9.3175,9.3425,9.0975,9.27,1524800,8.025393
"2010-11-23",9.145,9.2475,9.1225,9.1925,945600,7.9583
"2010-11-24",9.2975,9.375,9.245,9.3625,1170000,8.105474
"2010-11-26",9.27,9.4125,9.27,9.345,382800,8.090324
"2010-11-29",9.32,9.32,9.1375,9.2675,581200,8.02323
"2010-11-30",9.445,9.9875,9.435,9.8525,4659200,8.529685
"2010-12-01",9.975,10,9.8025,9.9375,1996000,8.603272
"2010-12-02",9.975,10.125,9.8775,10.105,1745200,8.748285
"2010-12-03",10.0725,10.3525,10.0125,10.325,1220400,8.938748
"2010-12-06",10.32,10.5125,10.2325,10.505,1171600,9.094581
"2010-12-07",10.65,10.7225,10.53,10.555,1427200,9.137866
"2010-12-08",10.555,10.5925,10.465,10.475,692400,9.06861
"2010-12-09",10.54,10.575,10.4275,10.5,720800,9.090252
"2010-12-10",10.545,10.7875,10.5175,10.7675,842800,9.321835
"2010-12-13",10.8375,11.45,10.595,10.6375,5972000,9.209292
"2010-12-14",10.595,10.595,10.42,10.49,2592400,9.081594
"2010-12-15",10.4825,10.495,10.185,10.1975,1951600,8.828367
"2010-12-16",10.195,10.29,9.9825,10.0075,2563600,8.663877
"2010-12-17",9.975,10.0225,9.685,9.6975,4514000,8.395497
"2010-12-20",9.7125,9.9125,9.7125,9.8125,4555200,8.495056
"2010-12-21",9.84,9.9375,9.84,9.8875,4290800,8.559987
"2010-12-22",9.91,9.92,9.825,9.8475,1434000,8.525356
"2010-12-23",9.8475,9.98,9.6975,9.7175,1097200,8.412811
"2010-12-27",9.6525,9.7475,9.5975,9.7225,838000,8.417137
"2010-12-28",9.7325,9.7325,9.55,9.6375,987200,8.343553
"2010-12-29",9.67,9.7375,9.59,9.68,882800,8.380349
"2010-12-30",9.655,9.7325,9.6425,9.65,738400,8.354371
"2010-12-31",9.65,9.6775,9.5125,9.52,844800,8.241826
"2011-01-03",9.6025,9.6625,9.5075,9.535,1008400,8.254813
"2011-01-04",9.5325,9.635,9.395,9.505,1506800,8.228842
"2011-01-05",9.4575,9.7375,9.4575,9.7225,1780800,8.417137
"2011-01-06",9.7425,9.85,9.7025,9.7275,1474800,8.421467
"2011-01-07",9.735,9.95,9.735,9.8675,1966000,8.542672
"2011-01-10",9.81,9.9,9.685,9.8375,1234800,8.516698
"2011-01-11",9.8675,10.055,9.8025,9.95,1308800,8.614095
"2011-01-12",10.0525,10.145,10,10.02,1283600,8.674699
"2011-01-13",10.035,10.035,9.9375,9.985,1001600,8.644398
"2011-01-14",10.0025,10.035,9.9525,10.0025,775200,8.659547
"2011-01-18",10,10.0075,9.8625,9.9275,1059200,8.594618
"2011-01-19",9.9075,9.9525,9.77,9.79,1778000,8.475576
"2011-01-20",9.715,9.785,9.6,9.7225,2617600,8.417137
"2011-01-21",9.7575,9.8975,9.665,9.865,2073200,8.540507
"2011-01-24",9.8525,9.975,9.8075,9.95,1016400,8.614095
"2011-01-25",9.735,10.5975,9.7275,10.51,4370000,9.09891
"2011-01-26",10.53,10.825,10.3875,10.8025,2334000,9.352138
"2011-01-27",10.75,11.005,10.74,10.8975,1863200,9.465051
"2011-01-28",10.8325,10.955,10.57,10.575,1311200,9.184938
"2011-01-31",10.61,10.7375,10.605,10.7025,1805200,9.295681
"2011-02-01",10.7575,10.88,10.7125,10.83,1574000,9.406425
"2011-02-02",10.7675,10.8375,10.725,10.7625,1235200,9.347791
"2011-02-03",10.7275,10.7275,10.585,10.69,932400,9.284823
"2011-02-04",10.69,10.7275,10.51,10.7,808400,9.293508
"2011-02-07",10.695,10.8625,10.695,10.7075,1196800,9.300027
"2011-02-08",10.7325,10.7325,10.535,10.65,1136800,9.250083
"2011-02-09",10.6225,10.6475,10.375,10.4675,2321200,9.091572
"2011-02-10",10.41,10.5575,10.375,10.5225,1782000,9.139343
"2011-02-11",10.46,10.625,10.375,10.625,998800,9.228369
"2011-02-14",10.6125,10.6375,10.4975,10.5725,849600,9.182769
"2011-02-15",10.565,10.6,10.4975,10.53,1297200,9.145855
"2011-02-16",10.535,10.635,10.4675,10.585,1153600,9.193625
"2011-02-17",10.5575,10.7,10.5125,10.655,1026800,9.254425
"2011-02-18",10.6825,10.6825,10.55,10.615,1067200,9.219685
"2011-02-22",10.5025,10.5125,10.2775,10.29,1925200,8.937404
"2011-02-23",10.2825,10.29,9.9025,9.9075,2318800,8.605184
"2011-02-24",9.93,10.08,9.875,10.03,1879200,8.711579
"2011-02-25",10.03,10.13,9.9275,10.13,937200,8.798436
"2011-02-28",10.1475,10.2075,10.025,10.1,1425200,8.772379
"2011-03-01",10.1175,10.1625,9.86,9.93,1678400,8.624722
"2011-03-02",9.9125,10.0975,9.8825,9.97,688000,8.659467
"2011-03-03",10.075,10.3175,10.075,10.2625,794000,8.913519
"2011-03-04",10.2825,10.37,10.2075,10.3525,1376400,8.991689
"2011-03-07",10.375,10.375,10.19,10.315,1905200,8.959116
"2011-03-08",10.3125,10.705,10.3125,10.615,1601200,9.219685
"2011-03-09",10.5925,10.7875,10.5125,10.695,896800,9.289169
"2011-03-10",10.55,10.555,10.3125,10.3325,1251600,8.974321
"2011-03-11",10.295,10.5025,10.2525,10.5025,1763200,9.12197
"2011-03-14",10.3925,10.54,10.305,10.5025,973600,9.12197
"2011-03-15",10.21,10.53,10.15,10.48,1584000,9.102427
"2011-03-16",10.4475,10.535,10.3375,10.395,1286000,9.028604
"2011-03-17",10.57,10.5875,10.3925,10.47,1111600,9.093744
"2011-03-18",10.5275,10.6225,10.4875,10.6025,1464400,9.208827
"2011-03-21",10.74,10.85,10.725,10.805,650000,9.384707
"2011-03-22",10.825,10.865,10.6275,10.67,1098800,9.267452
"2011-03-23",10.6025,10.685,10.4775,10.66,1072400,9.258766
"2011-03-24",10.6975,10.795,10.5475,10.7475,836800,9.334765
"2011-03-25",10.8,10.9375,10.7025,10.7575,819200,9.343452
"2011-03-28",10.7675,10.9,10.7325,10.8,698800,9.380366
"2011-03-29",10.78,10.9,10.6925,10.9,538000,9.46722
"2011-03-30",10.9,11.0875,10.8725,10.9525,890800,9.51282
"2011-03-31",10.95,11.165,10.95,11.085,606800,9.627901
"2011-04-01",11.1025,11.205,11.01,11.0425,582000,9.590988
"2011-04-04",11.045,11.1075,10.9475,11.0875,868800,9.630074
"2011-04-05",11.08,11.13,10.93,10.945,744000,9.506302
"2011-04-06",11.0075,11.0775,10.8425,10.865,701200,9.436825
"2011-04-07",10.88,10.905,10.7225,10.76,891600,9.345624
"2011-04-08",10.85,10.855,10.515,10.575,743200,9.184938
"2011-04-11",10.5925,10.6375,10.4975,10.5375,550400,9.152369
"2011-04-12",10.4875,10.5325,10.42,10.4925,922000,9.113286
