"dates","APA.Open","APA.High","APA.Low","APA.Close","APA.Volume","APA.Adjusted"
"2010-01-04",104.940002,106.459999,104.529999,105.870003,2364900,88.961205
"2010-01-05",105.980003,107.160004,105.239998,107.120003,2464500,90.011581
"2010-01-06",106.779999,108.919998,106.169998,108.800003,2894500,91.423241
"2010-01-07",108.32,108.32,106.18,107.150002,2412200,90.036774
"2010-01-08",106.110001,106.800003,104.889999,106.589996,4106000,89.566223
"2010-01-11",107.449997,108.230003,105.870003,106.910004,2352600,89.835098
"2010-01-12",105.389999,106.419998,104.760002,105.290001,3003100,88.473846
"2010-01-13",104.519997,107.099998,104.160004,106.82,2481300,89.759476
"2010-01-14",107.080002,107.699997,106.419998,107.400002,1896000,90.246841
"2010-01-15",107.120003,108,105.949997,107.660004,2443100,90.465355
"2010-01-19",107.080002,108.599998,106.440002,108.400002,2948300,91.087158
"2010-01-20",106.739998,106.739998,105.68,106.459999,3187800,89.580956
"2010-01-21",107.32,107.440002,104.739998,105.059998,4033800,88.402924
"2010-01-22",104.349998,104.879997,101.720001,102.029999,4450200,85.853287
"2010-01-25",102.809998,104.959999,102.559998,104,3817200,87.511002
"2010-01-26",101.970001,103.910004,101.669998,102.360001,3363100,86.130989
"2010-01-27",102.230003,103.059998,99.879997,101.400002,3265100,85.323212
"2010-01-28",103.040001,104.360001,100.629997,101.690002,3319500,85.567238
"2010-01-29",102.93,103.139999,98.080002,98.769997,3104300,83.110161
"2010-02-01",99.470001,102.529999,99.339996,102.400002,2497600,86.164627
"2010-02-02",102.419998,104.940002,101.779999,104.629997,2222300,88.041077
"2010-02-03",104.57,104.970001,102.720001,103.32,1696700,86.938766
"2010-02-04",102.190002,102.589996,98.720001,98.879997,2742600,83.202728
"2010-02-05",99.059998,99.980003,95.150002,98.400002,4142600,82.798836
"2010-02-08",98.269997,99.129997,96.879997,97.190002,2683100,81.780685
"2010-02-09",98.550003,99.849998,97.559998,98.510002,3843900,82.891396
"2010-02-10",98.029999,99.150002,96.32,98.550003,4030300,82.925064
"2010-02-11",98.470001,99.989998,97.879997,99.82,3911800,83.993698
"2010-02-12",98.610001,99.900002,98,99.580002,2828100,83.79174
"2010-02-16",101.989998,104.099998,100.849998,103.68,4317700,87.241714
"2010-02-17",103.959999,104.629997,102.940002,103.57,3049200,87.149147
"2010-02-18",101.870003,104.029999,101.290001,103.589996,3296500,87.165993
"2010-02-19",103.089996,105.32,102.5,105.010002,3283500,88.360847
"2010-02-22",105.370003,105.589996,103.040001,104.019997,3323500,87.527832
"2010-02-23",103.300003,104.160004,101.82,102.459999,4844500,86.215157
"2010-02-24",102.089996,102.559998,101,102.269997,3820100,86.05526
"2010-02-25",100.849998,103.330002,100.07,103.139999,2875100,86.787308
"2010-02-26",103.629997,103.970001,102.269997,103.639999,2375700,87.208046
"2010-03-01",104.010002,105.379997,103.709999,105.029999,2629100,88.377663
"2010-03-02",105.480003,107.040001,105.279999,106.18,3197900,89.345337
"2010-03-03",106.360001,106.970001,105.290001,106.010002,3108700,89.202286
"2010-03-04",106.260002,106.470001,104.330002,104.800003,2678100,88.184128
"2010-03-05",105.629997,107.459999,105.580002,107.410004,2537000,90.38031
"2010-03-08",107.339996,107.410004,105.459999,106.019997,2327300,89.210701
"2010-03-09",105.260002,106.760002,105.260002,106.209999,1729700,89.370575
"2010-03-10",106.410004,107.169998,105.279999,106.589996,2501300,89.690331
"2010-03-11",106.25,107.309998,105.809998,106.940002,2458900,89.984856
"2010-03-12",107.330002,107.980003,106.099998,106.849998,2691100,89.909119
"2010-03-15",105.190002,105.510002,102.699997,104.32,3029400,87.780235
"2010-03-16",104.660004,104.949997,103.580002,104.650002,2948900,88.057945
"2010-03-17",105.449997,106.650002,105.139999,106.18,2668300,89.345337
"2010-03-18",105.599998,106.25,102.760002,103.449997,2951700,87.048141
"2010-03-19",101.68,104.459999,100.629997,101.68,3774300,85.558792
"2010-03-22",100.629997,102.110001,100.110001,101.599998,2894400,85.491493
"2010-03-23",102.32,103.529999,102,103.260002,3932000,86.888321
