"dates","APD.Open","APD.High","APD.Low","APD.Close","APD.Volume","APD.Adjusted"
"2010-01-04",75.957443,77.021278,75.587418,76.928772,1131483,57.910793
"2010-01-05",76.688255,76.928772,75.763184,76.290474,790103,57.430294
"2010-01-06",75.85569,76.484734,75.39315,75.661423,1248663,56.95676
"2010-01-07",75.679924,75.920441,74.810364,75.226639,1514481,56.629456
"2010-01-08",75.060127,76.059204,74.884369,75.70768,1244880,56.99157
"2010-01-11",76.484734,77.289551,76.105461,77.095284,1197640,58.03611
"2010-01-12",76.244217,76.95652,75.633675,76.114708,949118,57.297997
"2010-01-13",76.207214,76.882515,75.633675,76.873268,874637,57.868999
"2010-01-14",76.743759,77.520813,75.679924,75.920441,663410,57.15173
"2010-01-15",76.068459,76.743759,75.809433,76.567993,1542263,57.639194
"2010-01-19",76.734505,76.817764,75.846436,76.392227,1415137,57.506897
"2010-01-20",75.85569,75.85569,75.041626,75.374657,1315145,56.740883
"2010-01-21",75.24514,76.142464,73.829788,73.876038,1546803,55.61274
"2010-01-22",73.876038,74.819611,72.127663,72.220169,1953475,54.366222
"2010-01-25",73.163734,74.875114,73.163734,74.246071,1942017,55.891296
"2010-01-26",73.515266,75.004623,73.080482,73.61702,1482267,55.417747
"2010-01-27",73.61702,74.236816,71.90564,72.950974,1842240,54.916382
"2010-01-28",73.283997,73.524513,71.165588,71.267342,1456539,53.64896
"2010-01-29",71.369102,71.776131,70.222015,70.268272,2528135,52.896866
"2010-02-01",70.90657,71.304352,69.685478,71.054581,2507271,53.488785
"2010-02-02",71.091583,71.822388,70.305275,70.878815,1597394,53.356464
"2010-02-03",70.508789,71.202591,70.027756,70.481033,1322604,53.057022
"2010-02-04",69.861237,70.268272,68.14061,68.168365,1612420,51.316082
"2010-02-05",62.580944,63.987049,60.175762,63.496761,10094378,47.799377
"2010-02-08",63.561516,64.930618,62.923218,63.228493,3684372,47.597439
"2010-02-09",62.802959,63.691029,62.414433,62.858463,4046399,47.318878
"2010-02-10",63.922295,63.922295,62.062904,63.108234,4041319,47.506897
"2010-02-11",63.200741,63.913044,62.442184,63.274746,3649132,47.632233
"2010-02-12",62.599445,64.024055,61.979649,63.395004,3714424,47.722786
"2010-02-16",64.116562,65.282143,63.774284,65.134132,2036712,49.031967
"2010-02-17",65.198891,66.604996,64.597595,64.921371,3034367,48.871803
"2010-02-18",65.032379,65.180389,64.440331,64.708603,2204483,48.711632
"2010-02-19",64.662354,64.75486,63.913044,64.421829,2036280,48.49575
"2010-02-22",64.449585,64.773361,64.29232,64.680855,3554328,48.69075
"2010-02-23",64.579094,65.300652,64.440331,64.819611,3593893,48.795189
"2010-02-24",65.069382,65.069382,64.477333,64.634598,4476421,48.655926
"2010-02-25",64.051804,64.125809,63.200741,63.811287,2542836,48.036156
"2010-02-26",63.885292,64.070305,63.33025,63.441257,2203402,47.757595
"2010-03-01",63.644772,64.024055,62.941723,63.977798,2357985,48.161499
"2010-03-02",64.449585,65.689178,64.218315,65.374657,2641964,49.213028
"2010-03-03",65.85569,66.308975,65.235893,65.975945,2241345,49.665676
"2010-03-04",66.105461,66.641998,65.689178,66.503235,2690609,50.062592
"2010-03-05",66.901016,68.029602,66.604996,67.992599,2875028,51.183781
"2010-03-08",68.038857,68.778908,68.038857,68.640144,2971561,51.671242
"2010-03-09",68.307121,69.028679,68.057358,68.6679,2672556,51.692139
"2010-03-10",68.760406,69.232193,68.066605,68.825165,2353229,51.81052
"2010-03-11",68.427383,69.065681,67.835335,69.065681,2279505,51.991581
"2010-03-12",69.287697,69.47271,68.81591,68.973175,2073466,51.921944
"2010-03-15",68.945419,69.148933,68.186867,68.566139,2309340,51.61554
"2010-03-16",68.834412,69.352448,68.704903,69.269196,1980500,52.144772
"2010-03-17",69.389458,69.657722,68.603142,68.963921,1815431,51.914967
"2010-03-18",69.24144,69.278442,68.538391,69.158188,1578476,52.061226
"2010-03-19",68.862167,69.602219,68.566139,68.862167,2503812,51.838367
"2010-03-22",68.43663,69.629974,68.43663,69.389458,1159913,52.235302
"2010-03-23",69.343201,69.879738,68.778908,69.879738,1114079,52.604397
"2010-03-24",69.528214,69.602219,68.825165,69.204437,1757057,52.096016
"2010-03-25",69.685478,69.787231,68.14061,68.177612,1313307,51.323055
"2010-03-26",68.362625,69.287697,68.196114,68.75116,1183046,51.754814
"2010-03-29",68.982422,69.463463,67.927841,68.732658,1982554,51.740887
"2010-03-30",68.214615,68.686401,67.326546,68.538391,1608096,51.937153
"2010-03-31",68.538391,68.991676,68.297874,68.408882,1508319,51.839012
"2010-04-01",68.862167,68.954674,68.001846,68.334877,1246609,51.782932
"2010-04-05",68.445885,68.760406,67.863091,68.612396,1428866,51.99324
"2010-04-06",68.344124,69.09343,68.251617,69.037926,936470,52.315689
"2010-04-07",68.547638,69.24144,68.316376,68.510635,1635013,51.916142
"2010-04-08",68.223869,68.621651,67.705826,68.547638,2203186,51.944157
"2010-04-09",68.732658,69.777985,68.362625,69.713226,1383572,52.827438
"2010-04-12",69.713226,69.907494,69.343201,69.694725,1067704,52.813396
"2010-04-13",69.500465,69.694725,68.991676,69.333946,1208126,52.540016
"2010-04-14",69.703979,70.397781,69.380203,70.314522,1820945,53.283089
"2010-04-15",69.962997,71.304352,69.787231,70.999077,1457729,53.80183
"2010-04-16",70.814064,71.461609,70.111008,70.333023,2066656,53.297096
"2010-04-19",69.879738,70.37928,69.121185,70.166512,1104998,53.170914
"2010-04-20",70.749306,71.054581,70.37928,70.730804,843612,53.598507
"2010-04-21",70.943573,71.230339,70.434784,70.925072,1201856,53.745739
"2010-04-22",70.545792,71.600372,69.703979,71.526367,1416434,54.201385
"2010-04-23",71.461609,73.311745,71.461609,73.283997,1800946,55.533291
"2010-04-26",74.153564,74.22757,73.080482,73.080482,1372546,55.379082
"2010-04-27",72.913971,73.228493,71.443108,71.618874,1671118,54.271496
"2010-04-28",72.229416,72.442184,70.675301,72.210915,2162649,54.720127
"2010-04-29",72.590195,72.978722,71.942642,72.183167,1241853,54.699112
"2010-04-30",72.358925,72.654945,71.026825,71.026825,1509292,53.822845
"2010-05-03",71.507866,71.56337,70.721558,71.239594,1525507,53.984077
