"dates","ATVI.Open","ATVI.High","ATVI.Low","ATVI.Close","ATVI.Volume","ATVI.Adjusted"
"2010-01-04",11.23,11.45,11.15,11.3,9306600,10.126624
"2010-01-05",11.24,11.36,11.21,11.32,11366100,10.144546
"2010-01-06",11.26,11.38,11.21,11.26,6537800,10.090778
"2010-01-07",11.1,11.19,10.93,10.99,15390800,9.848815
"2010-01-08",10.97,11.05,10.88,10.9,11002500,9.768159
"2010-01-11",10.91,10.98,10.83,10.89,8778400,9.759198
"2010-01-12",10.7,10.84,10.62,10.77,21501800,9.65166
"2010-01-13",10.9,10.98,10.81,10.91,14237000,9.777121
"2010-01-14",10.79,10.95,10.79,10.86,10650200,9.732313
"2010-01-15",11.02,11.07,10.8,10.89,22440700,9.759198
"2010-01-19",10.9,10.95,10.75,10.84,16891000,9.714389
"2010-01-20",10.78,10.85,10.62,10.82,24022200,9.696467
"2010-01-21",10.83,10.94,10.47,10.59,19218100,9.490352
"2010-01-22",10.56,10.64,10.3,10.37,12608200,9.293193
"2010-01-25",10.38,10.49,10.11,10.12,30554200,9.069155
"2010-01-26",10.11,10.17,9.93,10.01,42123300,8.970576
"2010-01-27",9.97,10.39,9.95,10.36,23699200,9.284233
"2010-01-28",10.34,10.41,10.17,10.25,18687500,9.185655
"2010-01-29",10.31,10.4,10.1,10.16,13777800,9.105001
"2010-02-01",10.12,10.16,10.03,10.08,13970400,9.033307
"2010-02-02",10.08,10.26,10.05,10.25,15094300,9.185655
"2010-02-03",10.31,10.56,10.26,10.46,21304300,9.373849
"2010-02-04",10.42,10.43,10.12,10.16,12453700,9.105001
"2010-02-05",10.22,10.33,10.01,10.21,15281000,9.149809
"2010-02-08",10.15,10.32,10.07,10.16,10408700,9.105001
"2010-02-09",10.1,10.21,10.02,10.05,20451700,9.006424
"2010-02-10",10.15,10.3,10.09,10.1,42206400,9.051229
"2010-02-11",10.7,11.19,10.66,11.07,56354800,9.920506
"2010-02-12",10.97,11.15,10.82,11.11,19642600,9.956354
"2010-02-16",11.12,11.15,10.98,11.01,14720100,9.866737
"2010-02-17",11.03,11.21,10.99,11.15,19776400,9.992202
"2010-02-18",11.07,11.08,10.76,10.85,21827100,9.855943
"2010-02-19",10.8,11.03,10.77,10.79,20025000,9.80144
"2010-02-22",10.8,10.83,10.62,10.63,15143600,9.656099
"2010-02-23",10.63,10.77,10.5,10.55,13031000,9.583427
"2010-02-24",10.57,10.8,10.57,10.71,11102600,9.72877
"2010-02-25",10.59,10.75,10.47,10.72,15238300,9.737854
"2010-02-26",10.65,10.81,10.61,10.63,12834200,9.656099
"2010-03-01",10.74,10.95,10.7,10.94,15566100,9.937696
"2010-03-02",10.74,10.95,10.74,10.81,19310800,9.819607
"2010-03-03",10.8,11.09,10.78,10.97,19886400,9.964949
"2010-03-04",11.01,11.03,10.83,11.03,14591300,10.019449
"2010-03-05",11.09,11.09,10.94,11.03,13499000,10.019449
"2010-03-08",11.03,11.12,10.95,11.11,9033300,10.092122
"2010-03-09",11.09,11.21,11.05,11.11,9534800,10.092122
"2010-03-10",11.13,11.27,11.1,11.18,11958800,10.155708
"2010-03-11",11.21,11.55,11.16,11.51,18543900,10.455475
"2010-03-12",11.51,11.58,11.35,11.47,18231500,10.41914
"2010-03-15",11.46,11.57,11.35,11.54,10987000,10.482725
"2010-03-16",11.52,11.66,11.47,11.64,16616600,10.573564
"2010-03-17",11.58,11.85,11.57,11.79,15791600,10.709821
"2010-03-18",11.76,12.18,11.72,11.96,26671300,10.864245
"2010-03-19",12,12.08,11.68,11.82,15778700,10.737073
"2010-03-22",11.85,12.03,11.77,11.96,10229200,10.864245
"2010-03-23",11.93,12.07,11.88,11.97,10699700,10.87333
"2010-03-24",12.05,12.05,11.85,11.93,10483100,10.836996
"2010-03-25",11.96,12.1,11.81,11.81,15387700,10.727991
"2010-03-26",11.84,12.05,11.8,11.97,7051500,10.87333
"2010-03-29",12,12.07,11.88,11.9,6948000,10.809743
"2010-03-30",11.93,12.08,11.85,12.03,8867700,10.927835
"2010-03-31",12,12.11,11.9,12.05,7404800,10.946001
"2010-04-01",12.08,12.24,11.83,11.92,12729800,10.827911
"2010-04-05",12,12.09,11.95,12.03,9001700,10.927835
"2010-04-06",12,12.18,11.98,12.07,11981500,10.964168
"2010-04-07",12.01,12.14,11.94,12.11,12221600,11.000504
"2010-04-08",12.06,12.22,11.96,12.12,10864800,11.009586
"2010-04-09",12.16,12.5,12.16,12.48,12125700,11.336604
"2010-04-12",12.5,12.56,12.4,12.5,11925400,11.354773
"2010-04-13",12.5,12.58,12.18,12.27,19151100,11.145844
"2010-04-14",12.28,12.34,11.89,11.9,28888600,10.809743
"2010-04-15",11.81,11.95,11.54,11.67,37007900,10.600816
"2010-04-16",11.77,11.92,11.6,11.79,24392800,10.709821
"2010-04-19",11.67,11.77,11.53,11.69,13600100,10.618982
"2010-04-20",11.71,11.95,11.64,11.87,14101900,10.782491
"2010-04-21",11.83,11.9,11.71,11.75,9762000,10.673486
"2010-04-22",11.74,11.76,11.52,11.59,18943000,10.528145
"2010-04-23",11.63,11.64,11.48,11.6,15415200,10.53723
"2010-04-26",11.59,11.62,11.39,11.58,15499500,10.519061
"2010-04-27",11.58,11.61,11.33,11.44,17469300,10.391888
"2010-04-28",11.43,11.47,10.77,10.93,43544000,9.928613
"2010-04-29",11.2,11.3,11.1,11.26,20128400,10.228379
"2010-04-30",11.23,11.23,11,11.08,14704600,10.064871
"2010-05-03",11.11,11.17,10.97,11.15,13356500,10.128457
"2010-05-04",11.13,11.14,10.83,10.95,15407000,9.946782
"2010-05-05",10.82,10.93,10.61,10.75,24726500,9.765103
"2010-05-06",10.75,10.83,9.99,10.49,21402900,9.528926
"2010-05-07",10.89,11.18,10.44,10.56,41308800,9.592512
"2010-05-10",11.01,11.15,10.83,10.89,13416100,9.892278
"2010-05-11",10.9,11.03,10.75,10.9,13524600,9.901362
"2010-05-12",10.88,11.17,10.79,11.12,15856400,10.101206
"2010-05-13",11.1,11.15,10.92,10.96,10498300,9.955865
"2010-05-14",10.89,10.89,10.57,10.69,14041800,9.710601
"2010-05-17",10.66,10.76,10.48,10.75,11719400,9.765103
"2010-05-18",10.75,10.87,10.57,10.63,14347700,9.656099
"2010-05-19",10.57,10.68,10.46,10.51,11167600,9.547092
"2010-05-20",10.37,10.53,10.29,10.36,16172100,9.410835
"2010-05-21",10.1,10.4,10.01,10.24,14324900,9.301831
"2010-05-24",10.21,10.41,10.21,10.25,11794000,9.310913
"2010-05-25",10.03,10.32,10.02,10.28,18986400,9.338163
"2010-05-26",10.29,10.59,10.11,10.52,18214900,9.556177
"2010-05-27",10.66,10.81,10.6,10.74,14898400,9.756021
"2010-05-28",10.77,10.85,10.62,10.75,9435900,9.765103
"2010-06-01",10.75,10.84,10.56,10.57,8156400,9.601595
"2010-06-02",10.63,10.82,10.55,10.81,9826100,9.819607
"2010-06-03",10.85,11.05,10.81,11,10171700,9.992203
"2010-06-04",10.82,10.95,10.66,10.7,14654300,9.719685
"2010-06-07",10.71,10.9,10.57,10.6,11924300,9.628847
"2010-06-08",10.65,10.71,10.41,10.53,9075700,9.565261
"2010-06-09",10.56,10.63,10.37,10.39,8695000,9.438087
"2010-06-10",10.48,10.69,10.48,10.69,8137100,9.710601
"2010-06-11",10.6,10.88,10.55,10.86,9002000,9.865026
"2010-06-14",10.97,11.17,10.93,10.94,9878000,9.937696
"2010-06-15",11.04,11.36,10.99,11.34,13529000,10.301051
"2010-06-16",11.2,11.3,11.09,11.15,11254000,10.128457
"2010-06-17",11.19,11.55,11.16,11.36,18223500,10.319216
"2010-06-18",11.34,11.59,11.3,11.47,13824300,10.41914
"2010-06-21",11.61,11.65,11.35,11.54,17698000,10.482725
"2010-06-22",11.54,11.6,11.16,11.2,13707200,10.173877
"2010-06-23",11.17,11.26,11.09,11.21,11675300,10.182959
"2010-06-24",11.17,11.25,11,11.02,6774100,10.010367
"2010-06-25",11.09,11.15,10.93,11,12790100,9.992203
