"dates","AWK.Open","AWK.High","AWK.Low","AWK.Close","AWK.Volume","AWK.Adjusted"
"2010-01-04",22.41,22.860001,22.41,22.65,2176100,17.255445
"2010-01-05",22.67,22.91,22.59,22.879999,1843600,17.430662
"2010-01-06",22.889999,23.15,22.83,23,2089400,17.522078
"2010-01-07",23.120001,23.15,22.9,23.049999,1353200,17.560163
"2010-01-08",23.1,23.18,22.82,23,1359100,17.522078
"2010-01-11",23,23.77,22.940001,23.23,2313500,17.697296
"2010-01-12",23.25,23.25,23,23.120001,1117500,17.613504
"2010-01-13",23.08,23.32,23,23.219999,703600,17.689678
"2010-01-14",23.120001,23.15,22.879999,22.98,1173700,17.506847
"2010-01-15",23.059999,23.059999,22.43,22.6,996700,17.217352
"2010-01-19",22.690001,22.809999,22.5,22.5,779500,17.141165
"2010-01-20",22.59,22.6,22.209999,22.450001,1438800,17.103075
"2010-01-21",22.469999,22.620001,22.09,22.110001,1280400,16.844053
"2010-01-22",22.17,22.18,21.639999,22.059999,1491400,16.805958
"2010-01-25",22.23,22.370001,21.959999,22.15,1004800,16.874521
"2010-01-26",21.85,22.18,21.389999,22.02,660000,16.77548
"2010-01-27",22,22.200001,21.75,22.02,1078100,16.77548
"2010-01-28",22.02,22.1,21.6,21.66,1195200,16.501228
"2010-01-29",21.67,22.02,21.57,21.799999,1422600,16.607883
"2010-02-01",21.889999,22.18,21.83,22.139999,878200,16.866901
"2010-02-02",22.219999,22.41,22.030001,22.1,816200,16.83643
"2010-02-03",22.1,22.360001,21.77,22.360001,933300,17.034506
"2010-02-04",22.110001,22.299999,21.75,21.75,1156400,16.569788
"2010-02-05",21.84,21.92,21.34,21.68,836200,16.516462
"2010-02-08",21.67,21.879999,21.530001,21.610001,669000,16.463135
"2010-02-09",21.700001,21.9,21.370001,21.4,811300,16.303152
"2010-02-10",21.379999,21.610001,21.200001,21.57,681900,16.432667
"2010-02-11",21.6,21.93,21.4,21.82,1097000,16.623121
"2010-02-12",21.74,22.16,21.549999,22.16,906600,16.882141
"2010-02-16",22.190001,22.200001,21.99,22.120001,759900,17.012896
"2010-02-17",22.209999,22.41,22.09,22.209999,1092700,17.082109
"2010-02-18",22.26,22.530001,22.16,22.51,751800,17.312853
"2010-02-19",22.549999,22.99,22.450001,22.879999,1019400,17.597425
"2010-02-22",22.98,23,22.65,22.690001,431300,17.451288
"2010-02-23",22.709999,22.77,22.32,22.450001,916100,17.266706
"2010-02-24",22.48,22.559999,22.120001,22.26,639500,17.120565
"2010-02-25",22.129999,22.34,21.84,22.309999,1211700,17.159027
"2010-02-26",22.280001,22.360001,22.09,22.26,1076800,17.120565
"2010-03-01",22.389999,22.389999,20.719999,21.08,5563500,16.213007
"2010-03-02",21.08,21.08,20.389999,20.75,4386200,15.959204
"2010-03-03",20.75,21.07,20.75,20.92,3049300,16.089945
"2010-03-04",20.91,21.34,20.91,21.25,1550900,16.343761
"2010-03-05",21.25,21.459999,21.120001,21.41,929200,16.466825
"2010-03-08",21.469999,21.469999,21.17,21.35,877800,16.42067
"2010-03-09",21.370001,21.370001,21,21.219999,936000,16.320688
"2010-03-10",21.200001,21.200001,20.99,21.07,840800,16.205318
"2010-03-11",20.99,21.09,20.950001,21.02,1318500,16.166862
"2010-03-12",21.139999,21.139999,20.889999,20.959999,1970000,16.120712
"2010-03-15",21.030001,21.309999,20.98,21.1,1568800,16.228395
"2010-03-16",21.190001,21.25,20.92,21.07,1044400,16.205318
"2010-03-17",21.17,21.33,20.98,21.27,905900,16.359146
"2010-03-18",21.209999,21.5,21.18,21.4,732600,16.459127
"2010-03-19",21.25,21.4,20.950001,21.25,1321500,16.343761
"2010-03-22",21.139999,21.190001,20.889999,21.110001,841700,16.236084
"2010-03-23",21.190001,21.67,20.959999,21.610001,1645700,16.620644
"2010-03-24",21.59,21.780001,21.5,21.700001,1263800,16.689865
"2010-03-25",21.74,21.809999,21.360001,21.51,1274300,16.543724
"2010-03-26",21.6,21.610001,21.120001,21.25,1035800,16.343761
"2010-03-29",21.280001,21.450001,21.139999,21.43,506400,16.482201
"2010-03-30",21.49,21.57,21.08,21.370001,1025500,16.436056
"2010-03-31",21.4,21.799999,21.27,21.76,964400,16.736013
