"dates","BA.Open","BA.High","BA.Low","BA.Close","BA.Volume","BA.Adjusted"
"2010-01-04",55.720001,56.389999,54.799999,56.18,6186700,43.777542
"2010-01-05",56.25,58.279999,56,58.02,8867800,45.21133
"2010-01-06",58.23,59.990002,57.880001,59.779999,8836500,46.582798
"2010-01-07",59.509998,62.310001,59.02,62.200001,14379100,48.468555
"2010-01-08",61.540001,61.779999,60.860001,61.599998,7146600,48.001007
"2010-01-11",61.950001,62.09,60.509998,60.869999,5624900,47.432159
"2010-01-12",60.07,61.200001,59.91,60.43,5273800,47.089325
"2010-01-13",60.610001,61.700001,60.349998,61.16,4950400,47.658142
"2010-01-14",61.029999,61.619999,60.779999,61.560001,3000400,47.969849
"2010-01-15",61.529999,61.560001,60.209999,60.82,5067300,47.393204
"2010-01-19",60.599998,61.009998,59.959999,60.650002,5427100,47.26075
"2010-01-20",60.330002,60.57,58.529999,60.200001,5374100,46.910088
"2010-01-21",60.299999,61.259998,58.900002,59.200001,5401300,46.13084
"2010-01-22",58.619999,59.169998,57.700001,57.77,4743300,45.016533
"2010-01-25",58.349998,58.75,57.5,57.779999,3489900,45.02433
"2010-01-26",57.540001,58.5,57.23,57.709999,4552000,44.969784
"2010-01-27",58.84,62.080002,58.830002,61.93,14758500,48.25816
"2010-01-28",62.150002,62.950001,61.310001,62.560001,8862500,48.749081
"2010-01-29",62.799999,63.400002,60.32,60.599998,8725400,47.221775
"2010-02-01",60.740002,61.860001,60.720001,61.700001,5919900,48.078941
"2010-02-02",61.290001,62,61,61.939999,7862300,48.265949
"2010-02-03",61.52,61.799999,60.849998,61.459999,5480600,48.21888
"2010-02-04",60.950001,61.169998,59.25,59.32,7490700,46.539925
"2010-02-05",59.209999,59.740002,57.139999,58.400002,9675700,45.818138
"2010-02-08",58.330002,58.970001,57.779999,57.889999,4724500,45.418007
"2010-02-09",58.619999,60.43,58.389999,59.740002,8250900,46.869434
"2010-02-10",59.709999,60.049999,58.939999,59.540001,4237100,46.712532
"2010-02-11",59.75,60.75,58.939999,60.59,4395800,47.536312
"2010-02-12",59.869999,59.919998,58.93,59.650002,5178300,46.798836
"2010-02-16",60.419998,61.290001,59.900002,61.259998,4268700,48.061966
"2010-02-17",61.389999,62,61,61.82,4116200,48.501324
"2010-02-18",61.779999,63.009998,61.720001,62.889999,4390300,49.34079
"2010-02-19",62.650002,64.339996,62.650002,63.59,7371100,49.889992
"2010-02-22",63.580002,64.470001,63.189999,63.970001,6034100,50.188126
"2010-02-23",63.810001,64.169998,62.25,62.77,6483800,49.246662
"2010-02-24",63,63.700001,62.639999,63.48,3400400,49.803688
"2010-02-25",62.720001,62.970001,62,62.869999,5043100,49.325111
"2010-02-26",63.09,63.880001,63.029999,63.16,4416000,49.552628
"2010-03-01",63.049999,64.330002,63,64,5265600,50.211662
"2010-03-02",64.639999,65.330002,64.360001,64.440002,4383200,50.556866
"2010-03-03",64.580002,64.970001,64.050003,64.449997,4289400,50.564697
