"dates","BAC.Open","BAC.High","BAC.Low","BAC.Close","BAC.Volume","BAC.Adjusted"
"2010-01-04",15.24,15.75,15.12,15.69,180845200,13.663458
"2010-01-05",15.74,16.209999,15.7,16.200001,209521300,14.107587
"2010-01-06",16.209999,16.540001,16.030001,16.389999,205257900,14.273045
"2010-01-07",16.68,17.190001,16.51,16.93,320868400,14.743298
"2010-01-08",16.98,17.1,16.629999,16.780001,220104700,14.612673
"2010-01-11",16.99,17.139999,16.719999,16.93,168991600,14.743298
"2010-01-12",16.719999,16.75,16.17,16.360001,223486800,14.246922
"2010-01-13",16.43,16.780001,16.15,16.620001,192609900,14.473339
"2010-01-14",16.629999,16.92,16.610001,16.82,142634200,14.647509
"2010-01-15",16.639999,16.65,16.23,16.26,195117100,14.159836
"2010-01-19",16.059999,16.469999,15.84,16.32,181616500,14.212089
"2010-01-20",16.219999,16.629999,16.18,16.49,288741100,14.360131
"2010-01-21",16.459999,16.66,15.2,15.47,551285500,13.471873
"2010-01-22",15.26,15.52,14.71,14.9,369620800,12.975493
"2010-01-25",15.16,15.27,14.77,14.98,262351600,13.045164
"2010-01-26",14.94,15.17,14.72,14.77,212380600,12.86229
"2010-01-27",14.71,15.29,14.68,15.19,258716200,13.228041
"2010-01-28",15.4,15.59,15.01,15.37,232729500,13.384789
"2010-01-29",15.49,15.55,15.09,15.18,175135300,13.219334
"2010-02-01",15.26,15.44,15.13,15.42,159503300,13.428333
"2010-02-02",15.45,15.68,15.31,15.6,171404800,13.585088
"2010-02-03",15.57,15.8,15.52,15.53,130861600,13.524126
"2010-02-04",15.35,15.43,14.73,14.75,252558700,12.844871
"2010-02-05",14.84,15.06,14.31,15,297683300,13.062581
"2010-02-08",14.94,14.96,14.45,14.48,208207300,12.609741
"2010-02-09",14.67,14.78,14.25,14.47,251522100,12.601036
"2010-02-10",14.51,14.91,14.46,14.67,175741800,12.775204
"2010-02-11",14.67,14.8,14.54,14.63,141086300,12.74037
"2010-02-12",14.47,14.54,14.28,14.45,162819300,12.583624
"2010-02-16",14.66,15.31,14.62,15.16,205493300,13.201915
"2010-02-17",15.35,15.88,15.25,15.66,261541900,13.637336
"2010-02-18",15.52,16,15.5,15.88,242140300,13.828921
"2010-02-19",15.73,16.040001,15.71,15.88,216078200,13.828921
"2010-02-22",15.96,16.4,15.96,16.209999,173773200,14.116291
"2010-02-23",16.120001,16.379999,15.79,15.94,210478400,13.88117
"2010-02-24",15.98,16.360001,15.96,16.33,191571600,14.220799
"2010-02-25",16.049999,16.57,15.95,16.549999,287325100,14.41238
"2010-02-26",16.57,16.84,16.41,16.66,343669400,14.508175
"2010-03-01",16.74,16.860001,16.57,16.709999,170931100,14.551716
"2010-03-02",16.700001,16.799999,16.389999,16.459999,183048600,14.334009
"2010-03-03",16.469999,16.620001,16.33,16.370001,154950200,14.264297
"2010-03-04",16.450001,16.5,16.030001,16.4,157746500,14.290433
"2010-03-05",16.52,16.75,16.450001,16.700001,172469000,14.551851
"2010-03-08",16.75,16.91,16.690001,16.74,127705100,14.586701
"2010-03-09",16.629999,16.99,16.540001,16.799999,167779500,14.638987
"2010-03-10",17.01,17.35,16.99,17.110001,222932200,14.909111
"2010-03-11",17.18,17.280001,17.059999,17.120001,145079600,14.917818
"2010-03-12",17.26,17.299999,16.68,16.85,171456700,14.682552
"2010-03-15",16.74,16.91,16.59,16.85,120308200,14.682552
"2010-03-16",16.969999,17.07,16.9,17.030001,107411800,14.839399
"2010-03-17",17.17,17.299999,17.030001,17.27,134463900,15.048525
"2010-03-18",17.290001,17.32,16.98,17.08,123986800,14.882966
"2010-03-19",16.82,17.23,16.74,16.82,178218800,14.65641
"2010-03-22",16.620001,16.969999,16.6,16.959999,113667800,14.778401
"2010-03-23",17.08,17.219999,16.940001,17.129999,131261400,14.926535
"2010-03-24",17.120001,17.73,17.1,17.57,270410600,15.309937
"2010-03-25",17.84,18.35,17.700001,17.74,315304700,15.458077
"2010-03-26",17.98,18.23,17.75,17.9,220970700,15.597491
"2010-03-29",18.17,18.200001,17.77,18.040001,152539700,15.719481
"2010-03-30",18.059999,18.120001,17.67,17.76,144373000,15.4755
"2010-03-31",17.690001,17.98,17.67,17.85,114280900,15.55392
"2010-04-01",18.02,18.1,17.889999,18.040001,95607200,15.719481
"2010-04-05",18.16,18.25,18.02,18.129999,107989300,15.797905
"2010-04-06",18.16,18.540001,18.1,18.49,160316600,16.111603
"2010-04-07",18.58,18.860001,18.530001,18.620001,233522300,16.224876
"2010-04-08",18.59,18.84,18.309999,18.65,164305500,16.251011
"2010-04-09",18.82,18.85,18.5,18.59,135480600,16.198738
"2010-04-12",18.68,18.82,18.6,18.66,128319000,16.259729
"2010-04-13",18.610001,18.719999,18.49,18.67,113687800,16.268444
"2010-04-14",18.98,19.42,18.92,19.4,246624700,16.904549
"2010-04-15",19.629999,19.860001,19.360001,19.48,240100000,16.974247
"2010-04-16",19.469999,19.48,18.049999,18.41,589061800,16.041883
"2010-04-19",18.1,18.65,17.870001,18.389999,358828000,16.02446
"2010-04-20",18.790001,18.83,18.440001,18.610001,200544700,16.216158
"2010-04-21",18.67,18.91,18.110001,18.280001,201891300,15.928607
"2010-04-22",18.030001,18.6,17.950001,18.540001,219472400,16.155165
"2010-04-23",18.4,18.530001,18.280001,18.43,145428400,16.059311
"2010-04-26",18.41,18.440001,18.030001,18.049999,160873000,15.728194
"2010-04-27",17.91,18.18,17.41,17.469999,259438600,15.222803
"2010-04-28",17.65,17.959999,17.51,17.780001,195287800,15.49293
"2010-04-29",18.040001,18.4,17.99,18.299999,177296300,15.946033
"2010-04-30",18.280001,18.299999,17.610001,17.83,231536200,15.536491
"2010-05-03",17.879999,18.15,17.780001,18.059999,150747100,15.736907
"2010-05-04",17.77,17.91,17.48,17.559999,183242300,15.301225
"2010-05-05",17.200001,17.84,16.889999,17.530001,195023300,15.275085
"2010-05-06",17.48,17.610001,15.5,16.280001,465091500,14.185875
"2010-05-07",16.48,16.790001,15.95,16.18,388118300,14.098737
"2010-05-10",17.23,17.389999,17.01,17.299999,268476800,15.074669
"2010-05-11",17.08,17.49,16.969999,17.16,188202400,14.952676
"2010-05-12",17.27,17.33,16.99,17.07,179359300,14.874251
"2010-05-13",17.030001,17.18,16.85,16.870001,135257500,14.699983
"2010-05-14",16.709999,16.719999,16.120001,16.34,212906900,14.238154
"2010-05-17",16.389999,16.450001,15.85,16.35,181966800,14.246868
"2010-05-18",16.709999,16.75,15.67,15.95,216050700,13.898321
"2010-05-19",15.8,16.459999,15.8,16.309999,260711100,14.212015
"2010-05-20",15.96,16.049999,15.28,15.3,301263900,13.331935
"2010-05-21",14.96,16,14.95,15.99,266468500,13.933178
"2010-05-24",15.98,16.08,15.39,15.4,170656700,13.419066
"2010-05-25",14.91,15.54,14.8,15.49,263919800,13.497493
"2010-05-26",15.91,16.1,15.38,15.47,225933000,13.480063
"2010-05-27",15.81,16.200001,15.59,16.18,163490700,14.098737
