"dates","BBY.Open","BBY.High","BBY.Low","BBY.Close","BBY.Volume","BBY.Adjusted"
"2010-01-04",39.84,40.580002,39.630001,40.189999,6433800,29.248066
"2010-01-05",40.540001,41.5,40.5,41.209999,6979200,29.990362
"2010-01-06",41.209999,41.34,40.66,40.889999,4192500,29.757484
"2010-01-07",40.799999,41.59,40.700001,41.540001,8762000,30.23052
"2010-01-08",40.639999,40.860001,39.75,39.91,14177900,29.044292
"2010-01-11",40.040001,40.040001,39,39.23,9568900,28.549427
"2010-01-12",39.099998,39.330002,38.709999,39.259998,6770900,28.571264
"2010-01-13",39.369999,39.849998,39.310001,39.73,4400000,28.913307
"2010-01-14",39.310001,39.740002,39.240002,39.349998,4046500,28.636763
"2010-01-15",39.34,39.459999,38.75,38.93,5803500,28.331108
"2010-01-19",38.869999,39.400002,38.650002,39.099998,4974900,28.454826
"2010-01-20",38.77,39.060001,38.5,38.77,5295200,28.214666
"2010-01-21",38.720001,39.029999,38,38.169998,6824400,27.77803
"2010-01-22",38.09,38.220001,37.060001,37.150002,9595500,27.035721
"2010-01-25",37.32,37.84,37.32,37.529999,5594400,27.312265
"2010-01-26",37.130001,37.580002,37.009998,37.060001,6950900,26.970226
"2010-01-27",37.25,37.439999,36.830002,36.919998,8380500,26.868345
"2010-01-28",36.950001,37.09,36.049999,36.349998,8299800,26.453518
"2010-01-29",36.639999,37.130001,36.509998,36.650002,9076900,26.67186
"2010-02-01",36.82,36.93,36.610001,36.759998,5629600,26.7519
"2010-02-02",36.799999,37.450001,36.75,37.279999,5378300,27.130331
"2010-02-03",37.130001,37.470001,36.91,37.029999,4442600,26.948389
"2010-02-04",36.779999,36.799999,35.549999,35.59,6386800,25.900454
"2010-02-05",35.650002,35.849998,35.16,35.82,7297100,26.06782
"2010-02-08",35.82,36.240002,35.470001,35.470001,4602200,25.81312
"2010-02-09",35.720001,36.330002,35.700001,35.98,5554200,26.184259
"2010-02-10",35.900002,36.02,35.349998,35.400002,6440700,25.762165
"2010-02-11",35.529999,35.75,35.16,35.650002,5386900,25.944109
"2010-02-12",35.439999,35.959999,35.009998,35.759998,5195800,26.024151
"2010-02-16",35.900002,36.450001,35.790001,36.43,4622600,26.511747
"2010-02-17",36.459999,36.84,36.02,36.279999,5794400,26.402584
"2010-02-18",36.02,36.25,35.939999,36.150002,4706000,26.30798
"2010-02-19",36,36.490002,36,36.34,4468300,26.446253
"2010-02-22",36.48,36.759998,36.279999,36.57,5584700,26.613636
"2010-02-23",36.5,36.73,36.029999,36.400002,6150400,26.48992
"2010-02-24",36.509998,36.959999,36.380001,36.939999,5881500,26.882889
"2010-02-25",36.509998,37,36.18,36.869999,6126400,26.831953
"2010-02-26",36.970001,37.09,36.43,36.5,5113000,26.562689
"2010-03-01",36.580002,36.98,36.419998,36.799999,5262000,26.781013
"2010-03-02",36.880001,36.970001,36.380001,36.450001,6336000,26.5263
"2010-03-03",36.43,36.959999,36.279999,36.549999,5128700,26.599075
"2010-03-04",36.790001,37.349998,36.700001,37.150002,9585400,27.035721
"2010-03-05",37.73,39.009998,37.400002,38.639999,11727700,28.120062
"2010-03-08",38.720001,39.560001,38.669998,39.349998,6831000,28.636763
"2010-03-09",39.169998,39.470001,38.59,38.91,5642200,28.316549
"2010-03-10",39.009998,39.23,38.75,38.959999,4274700,28.352942
"2010-03-11",38.91,39.580002,38.779999,39.470001,5996800,28.724096
"2010-03-12",39.919998,40.380001,39.75,40.119999,7516300,29.197126
"2010-03-15",39.779999,40.16,39.32,39.599998,6154900,28.818707
"2010-03-16",39.580002,39.709999,39.130001,39.580002,4842300,28.804144
"2010-03-17",39.599998,40.150002,39.599998,40.110001,5519100,29.189844
"2010-03-18",40.080002,40.919998,40.009998,40.450001,6616100,29.437288
"2010-03-19",40.990002,41.799999,40.799999,40.990002,14172700,29.830261
"2010-03-22",40.59,41.290001,40.540001,41.200001,8232200,29.983095
"2010-03-23",41.43,41.599998,40.810001,41.509998,7757000,30.208694
"2010-03-24",41.450001,41.59,41.110001,41.18,7518700,29.968542
"2010-03-25",44.299999,44.790001,41.18,42.66,30641200,31.045589
"2010-03-26",42.650002,43.470001,42.560001,43.16,10669700,31.409464
"2010-03-29",43.419998,43.419998,42.41,43,6874700,31.293022
"2010-03-30",43.09,43.23,42.419998,42.619999,6990600,31.016489
"2010-03-31",42.360001,42.619999,42.360001,42.540001,5579600,30.958265
"2010-04-01",42.959999,43.299999,42.369999,42.57,7313100,30.980099
"2010-04-05",42.939999,43.459999,42.650002,43.369999,5060600,31.562284
"2010-04-06",43.540001,44.299999,43.400002,44.110001,7585300,32.100822
"2010-04-07",44.080002,44.700001,43.880001,44.200001,8814700,32.166332
"2010-04-08",43.939999,44.880001,43.700001,44.66,9756900,32.50108
"2010-04-09",44.740002,44.900002,44.209999,44.889999,6528200,32.668468
"2010-04-12",45,45.650002,44.77,45.23,6062300,32.915913
"2010-04-13",44.919998,44.990002,44.400002,44.689999,5845900,32.623886
"2010-04-14",44.900002,45.669998,44.779999,45.57,6627600,33.266304
"2010-04-15",45.240002,46.299999,45.240002,45.889999,5650500,33.499905
"2010-04-16",45.66,45.990002,45.27,45.389999,7507500,33.134899
"2010-04-19",44.75,45.400002,44.09,44.889999,7211200,32.769901
"2010-04-20",45.099998,45.599998,44.91,45.200001,4524700,32.996204
"2010-04-21",45.419998,46.330002,45.299999,46.18,5517700,33.711605
"2010-04-22",45.580002,47.330002,45.540001,47.189999,7652900,34.448906
"2010-04-23",47.48,48.75,47.349998,48.580002,12411000,35.463623
"2010-04-26",48.040001,48.830002,47.970001,48.310001,6620200,35.266514
"2010-04-27",48.040001,48.130001,46.43,46.490002,7597600,33.937912
"2010-04-28",46.759998,47.040001,46,46.5,5684400,33.945202
"2010-04-29",46.91,47.720001,46.82,47.68,4589400,34.806614
"2010-04-30",47.66,48,45.5,45.52,7580000,33.229801
"2010-05-03",45.93,46.720001,44.360001,46.110001,8928500,33.660492
"2010-05-04",45.700001,45.700001,43.919998,44.549999,10154300,32.521698
"2010-05-05",43.619999,44.139999,42.799999,42.900002,12619300,31.317183
"2010-05-06",42.59,43.279999,39,41.509998,13668700,30.30249
"2010-05-07",41.349998,42.349998,39.599998,41.029999,14129000,29.952084
"2010-05-10",42.98,43.669998,42.459999,43.549999,6823900,31.791689
"2010-05-11",42.779999,45.169998,42.779999,44.43,9197300,32.434101
"2010-05-12",44.68,45.209999,44.209999,45.110001,4795700,32.9305
"2010-05-13",45,45.369999,43.630001,43.73,4884500,31.923094
"2010-05-14",43.029999,43.299999,42.52,43.07,6224700,31.441294
"2010-05-17",43.389999,43.59,42.200001,43.240002,6054200,31.565384
"2010-05-18",43.900002,44.18,42.439999,42.580002,4690900,31.083586
"2010-05-19",42.200001,42.93,41.549999,42.080002,5287800,30.718586
"2010-05-20",40.959999,41.900002,40.119999,40.75,6876200,29.747673
"2010-05-21",40,42.18,39.880001,41.799999,6353200,30.514189
"2010-05-24",41.73,41.959999,41.16,41.169998,4878800,30.054279
"2010-05-25",40.169998,41.060001,39.68,40.990002,8321700,29.922878
"2010-05-26",41.59,41.919998,40.509998,40.560001,7586500,29.608982
"2010-05-27",41.619999,42.290001,40.93,42.240002,8014000,30.835388
"2010-05-28",42.240002,42.599998,41.700001,42.25,6363200,30.84268
"2010-06-01",41.759998,42.189999,40.68,40.720001,6493900,29.725775
"2010-06-02",40.970001,40.970001,38.599998,40.200001,14993800,29.346176
"2010-06-03",40.450001,40.779999,39.560001,40.27,6389500,29.397282
"2010-06-04",39.360001,39.59,38.630001,38.880001,8269800,28.382566
"2010-06-07",39.040001,39.790001,37.810001,37.91,8539500,27.674463
"2010-06-08",37.900002,38.799999,37.389999,38.709999,8449900,28.258465
"2010-06-09",38.959999,39.830002,38.82,39,6396500,28.470171
"2010-06-10",39.740002,40.330002,39.610001,40.240002,5063700,29.375383
"2010-06-11",39.610001,41.330002,39.610001,41.200001,6251100,30.076191
"2010-06-14",41.93,42.650002,41,41.049999,8353600,29.966684
"2010-06-15",38.98,39.209999,37.93,38.560001,29295900,28.148979
"2010-06-16",38.279999,38.5,38.02,38.18,9603900,27.871569
"2010-06-17",38.209999,38.400002,37.450001,37.82,8399600,27.608768
"2010-06-18",37.869999,38.169998,37.709999,37.830002,7344100,27.616072
"2010-06-21",38.150002,38.220001,36.889999,37.080002,7737900,27.068579
"2010-06-22",37.02,37.540001,36.52,36.610001,5894700,26.725473
"2010-06-23",36.720001,36.900002,35.919998,36.630001,6082300,26.740065
"2010-06-24",36.68,36.68,35.580002,35.740002,8686900,26.090363
"2010-06-25",35.830002,35.919998,35,35.16,13206100,25.666954
"2010-06-28",35.279999,35.73,35.040001,35.349998,7275000,25.805653
"2010-06-29",34.950001,34.970001,33.959999,34.16,6829300,24.936953
"2010-06-30",34.169998,34.549999,33.77,33.860001,5666300,24.717951
"2010-07-01",33.68,34.490002,33.400002,34.119999,8338500,25.011166
"2010-07-02",34.209999,34.34,33.799999,33.860001,5901300,24.820572
"2010-07-06",34.23,34.490002,32.810001,33.130001,9261200,24.285458
"2010-07-07",33.099998,34.450001,33.040001,34.43,10658900,25.238401
"2010-07-08",34.860001,34.900002,33.830002,34.400002,6540000,25.216417
"2010-07-09",33.66,34.380001,33.610001,34.369999,6244900,25.194422
"2010-07-12",34.200001,34.509998,33.75,34.130001,5226700,25.018494
"2010-07-13",34.610001,35.580002,34.529999,35.419998,7361500,25.964106
"2010-07-14",35.240002,35.279999,34.66,34.950001,6889300,25.619587
"2010-07-15",34.849998,35.52,34.540001,35.419998,5210400,25.964106
"2010-07-16",35.259998,35.389999,33.919998,34.330002,8564100,25.1651
"2010-07-19",34.349998,34.630001,34.029999,34.369999,4615700,25.194422
"2010-07-20",33.889999,34.740002,33.799999,34.549999,6039300,25.32637
"2010-07-21",34.740002,34.740002,33.810001,33.84,6995200,24.805912
"2010-07-22",34.259998,35.130001,34.220001,34.93,6153400,25.604916
"2010-07-23",35.040001,35.82,34.610001,35.790001,5825700,26.235325
"2010-07-26",35.860001,36.91,35.610001,36.900002,5757900,27.049
"2010-07-27",37.040001,37.040001,35.349998,35.450001,7902600,25.986099
"2010-07-28",35.450001,35.790001,34.950001,35.139999,5888200,25.758863
"2010-07-29",35.310001,35.560001,34.299999,34.549999,6867300,25.32637
"2010-07-30",34.25,34.82,34,34.66,7350700,25.407003
"2010-08-02",35.110001,36.209999,34.709999,35.84,7179700,26.271984
"2010-08-03",35.799999,35.84,34.790001,34.900002,5629400,25.582935
"2010-08-04",35.099998,35.439999,34.799999,35.16,5720100,25.773518
"2010-08-05",35.07,35.549999,34.459999,35.130001,6152200,25.751528
"2010-08-06",34.91,35.110001,34.5,34.91,5335400,25.590267
"2010-08-09",35.09,35.650002,35.07,35.580002,4035600,26.0814
"2010-08-10",34.790001,34.869999,34.209999,34.57,6298900,25.341032
"2010-08-11",34.099998,34.099998,33.240002,33.290001,6835500,24.402744
"2010-08-12",32.970001,33.709999,32.810001,33.43,5553800,24.505373
"2010-08-13",33.27,33.549999,33.080002,33.139999,3691200,24.292793
"2010-08-16",32.98,33.279999,32.610001,33.049999,4216200,24.226812
"2010-08-17",33.360001,33.400002,32.77,32.900002,6229200,24.116871
"2010-08-18",32.91,33.34,32.77,33.18,6359000,24.322107
"2010-08-19",33.09,33.380001,32.490002,32.66,4082100,23.940931
"2010-08-20",32.41,32.57,32.049999,32.5,4958800,23.823645
"2010-08-23",32.700001,32.959999,32.130001,32.220001,3801700,23.618395
"2010-08-24",32,32.279999,31.379999,31.68,4887000,23.222559
"2010-08-25",31.34,32.68,31.25,32.48,5491000,23.808979
"2010-08-26",32.450001,32.740002,31.9,31.93,4762800,23.405821
"2010-08-27",32.240002,32.27,30.9,31.860001,7578700,23.354498
"2010-08-30",31.889999,31.940001,31.459999,31.459999,4265500,23.061293
"2010-08-31",31.35,32.200001,31.32,31.389999,6721500,23.009975
"2010-09-01",31.780001,32.700001,31.77,32.66,5404700,23.940931
"2010-09-02",32.709999,33.549999,32.5,33.459999,5651800,24.527363
"2010-09-03",33.889999,34.669998,33.75,34.369999,6411500,25.194422
"2010-09-07",34.200001,34.650002,33.68,33.689999,4542900,24.695955
"2010-09-08",33.400002,33.830002,33.150002,33.540001,8884800,24.586002
"2010-09-09",33.93,34.200001,33.220001,33.560001,6448400,24.60066
"2010-09-10",33.529999,34.02,33.5,33.880001,6071200,24.835241
"2010-09-13",34.209999,34.860001,34.209999,34.650002,8057000,25.399666
"2010-09-14",37.25,37.490002,36.5,36.73,21349300,26.924387
"2010-09-15",36.66,36.91,36.209999,36.759998,5846900,26.946381
"2010-09-16",36.790001,37.09,36.240002,36.919998,5700400,27.06366
"2010-09-17",37.09,37.200001,36.59,37.150002,5271700,27.232258
"2010-09-20",37.779999,38.48,37.369999,38.32,7986500,28.089912
"2010-09-21",38.439999,38.540001,37.799999,38.049999,5000400,27.891993
"2010-09-22",37.93,38.580002,37.91,38.299999,5232500,28.075245
"2010-09-23",37.790001,39.25,37.75,38.630001,6669600,28.317158
