"dates","BEN.Open","BEN.High","BEN.Low","BEN.Close","BEN.Volume","BEN.Adjusted"
"2010-01-04",35.393333,36.106667,35.299999,36,3746700,25.032768
"2010-01-05",35.873333,36.336666,35.799999,36.279999,3276600,25.227465
"2010-01-06",36.189999,36.546665,36.106667,36.306667,2470800,25.246008
"2010-01-07",36.273335,36.463333,35.873333,35.98,3049200,25.018858
"2010-01-08",35.896667,36.023335,35.266666,36.016666,3692400,25.044355
"2010-01-11",36.049999,37.150002,36.049999,36.803333,3252900,25.591373
"2010-01-12",36.630001,37.256668,36.243332,36.966667,5898000,25.704948
"2010-01-13",36.959999,37.419998,36.869999,37.206669,3539700,25.871834
"2010-01-14",37.080002,37.193333,36.599998,37.016666,1731900,25.739706
"2010-01-15",37.016666,37.016666,36.016666,36.103333,3330300,25.10462
"2010-01-19",36.049999,36.970001,35.966667,36.913334,3393000,25.667866
"2010-01-20",36.716667,36.810001,35.906666,36.316666,2156400,25.252954
"2010-01-21",36.330002,36.456669,34.883331,34.906666,3979800,24.272518
"2010-01-22",35.006668,35.053333,33.583332,33.753334,4684500,23.470539
"2010-01-25",34.066666,34.556667,33.956669,34.5,3771300,23.989733
"2010-01-26",34.18,34.483334,33.433334,33.490002,3578700,23.287437
"2010-01-27",33.433334,34.736668,33.433334,34.626667,5362200,24.077812
"2010-01-28",35,35.576668,32.913334,33.443333,6083700,23.25498
"2010-01-29",33.546665,33.976665,32.693333,33.009998,5793300,22.953661
"2010-02-01",33.196667,33.863335,33.009998,33.816666,3535800,23.514576
"2010-02-02",33.77,34.293331,33.560001,33.93,3034200,23.593386
"2010-02-03",33.806667,34.076668,33.57,33.943333,2854200,23.602652
"2010-02-04",34.470001,34.470001,32.73,32.759998,5029500,22.779821
"2010-02-05",32.810001,33.033333,31.476667,32.666668,6282900,22.71492
"2010-02-08",32.650002,32.849998,32.076668,32.099998,3813000,22.320881
"2010-02-09",32.599998,32.806667,32.073334,32.406666,4401600,22.534136
"2010-02-10",32.233334,32.740002,32.220001,32.433334,2889900,22.552673
"2010-02-11",32.376667,32.793331,32.133331,32.663334,2362800,22.712605
"2010-02-12",32.453335,32.673332,31.940001,32.619999,3818400,22.68247
"2010-02-16",32.880001,33.333332,32.846668,33.326668,3912000,23.173855
"2010-02-17",33.34,33.706669,33.259998,33.633331,3474900,23.387094
"2010-02-18",33.656666,33.846668,33.423332,33.803333,3449700,23.505308
"2010-02-19",33.869999,34.096668,33.59,33.869999,4464600,23.551668
"2010-02-22",34.076668,34.119999,33.616669,33.786667,2446200,23.493723
"2010-02-23",33.593334,33.776669,33.203335,33.343334,3590700,23.18545
"2010-02-24",33.473331,33.896667,33.276669,33.883331,3674400,23.560942
"2010-02-25",33.5,33.5,32.916668,33.389999,4352100,23.217894
"2010-02-26",33.540001,33.973331,33.353333,33.906666,3145800,23.577162
"2010-03-01",34.363335,34.363335,33.810001,34.279999,2659800,23.836756
"2010-03-02",34.283333,34.759998,34.203335,34.709999,3442800,24.135757
"2010-03-03",34.709999,34.983334,34.536667,34.639999,3160500,24.087086
"2010-03-04",34.639999,35.256668,34.459999,35.233334,3771600,24.499662
"2010-03-05",35.459999,36.466667,35.456669,36.43,4580100,25.331772
"2010-03-08",36.400002,36.483334,35.983334,36.106667,3455700,25.106943
"2010-03-09",35.860001,36.139999,35.723331,36.053333,3471900,25.069853
"2010-03-10",36.150002,36.150002,35.619999,35.810001,4466700,24.900658
"2010-03-11",35.700001,36.009998,35.490002,35.990002,3079200,25.025826
"2010-03-12",36.233334,36.333332,35.976665,36.113335,1921200,25.111582
"2010-03-15",36.013332,36.303333,35.779999,36.110001,2312400,25.109261
"2010-03-16",36.139999,36.333332,35.896667,36.313332,2699400,25.25065
"2010-03-17",36.413334,37.509998,36.413334,37.156666,3796800,25.837055
"2010-03-18",36.996666,37.27,36.846668,37.196667,3168900,25.864868
"2010-03-19",36.790001,37.433334,36.703335,36.790001,4360800,25.582094
"2010-03-22",36.483334,37.186668,36.48,37.139999,3166800,25.825464
"2010-03-23",37.119999,37.66,36.900002,37.563332,2783400,26.119841
"2010-03-24",37.419998,37.549999,36.869999,36.876667,3867900,25.642368
"2010-03-25",37.200001,38.236668,37.043331,37.41,3882300,26.013222
"2010-03-26",37.560001,37.560001,36.703335,36.986668,4317000,25.718859
"2010-03-29",37.063332,37.156666,36.779999,37.080002,2540100,25.834976
"2010-03-30",37.196667,37.323334,36.869999,37.233334,3319500,25.941811
