"dates","BF.B.Open","BF.B.High","BF.B.Low","BF.B.Close","BF.B.Volume","BF.B.Adjusted"
"2010-01-04",14.285333,14.461333,14.277333,14.346667,1169250,11.812943
"2010-01-05",14.304,14.365333,14.032,14.197333,1507875,11.689985
"2010-01-06",14.221333,14.421333,14.197333,14.394667,1498125,11.852468
"2010-01-07",14.421333,14.421333,14.186667,14.253333,802875,11.736099
"2010-01-08",14.258667,14.261333,14.093333,14.250667,811500,11.733899
"2010-01-11",14.322667,14.365333,14.189333,14.304,838875,11.777815
"2010-01-12",14.266667,14.408,14.234667,14.405333,971625,11.86125
"2010-01-13",14.392,14.816,14.357333,14.704,1054125,12.107172
"2010-01-14",14.664,14.714667,14.522667,14.584,655125,12.008362
"2010-01-15",14.602667,14.658667,14.304,14.357333,1192875,11.82173
"2010-01-19",14.349333,14.384,14.205333,14.365333,913875,11.828314
"2010-01-20",14.258667,14.258667,14.016,14.248,831000,11.731703
"2010-01-21",14.349333,14.362667,13.96,14.042667,965625,11.562636
"2010-01-22",13.970667,14.026667,13.757333,13.789333,878250,11.354038
"2010-01-25",13.912,13.912,13.693333,13.802667,682500,11.365021
"2010-01-26",13.778667,13.805333,13.584,13.754667,614625,11.325497
"2010-01-27",13.754667,13.754667,13.56,13.712,867375,11.290367
"2010-01-28",13.762667,13.869333,13.624,13.658667,711000,11.24645
"2010-01-29",13.770667,13.770667,13.546667,13.685333,1156500,11.26841
"2010-02-01",13.781333,13.802667,13.685333,13.784,655125,11.349651
"2010-02-02",13.821333,13.885333,13.602667,13.874667,791625,11.424307
"2010-02-03",13.810667,13.917333,13.669333,13.701333,636375,11.281583
"2010-02-04",13.661333,13.728,13.186667,13.197333,858375,10.866593
"2010-02-05",13.176,13.269333,13.048,13.2,924375,10.868787
"2010-02-08",13.298667,13.4,13.2,13.216,1293375,10.881963
"2010-02-09",13.386667,13.717333,13.362667,13.546667,1102125,11.154231
"2010-02-10",13.522667,13.674667,13.424,13.533333,629625,11.14325
"2010-02-11",13.541333,13.565333,13.301333,13.533333,1110375,11.14325
"2010-02-12",13.477333,13.586667,13.349333,13.506667,1297875,11.121296
"2010-02-16",13.504,13.642667,13.482667,13.64,1045875,11.231084
"2010-02-17",13.653333,13.893333,13.597333,13.866667,743250,11.41772
"2010-02-18",13.888,14.098667,13.888,14.072,565125,11.586785
"2010-02-19",14.061333,14.2,13.938667,14.117333,740625,11.62411
"2010-02-22",14.162667,14.194667,14.050667,14.088,462000,11.599962
"2010-02-23",14.090667,14.093333,13.856,13.970667,631125,11.503349
"2010-02-24",14.069333,14.256,13.973333,14.192,1014000,11.685596
"2010-02-25",14.053333,14.186667,13.850667,14.152,1205250,11.652659
"2010-02-26",14.205333,14.205333,13.922667,13.962667,1582500,11.496763
"2010-03-01",14.029333,14.562667,14.029333,14.248,1292625,11.731703
"2010-03-02",14.28,14.413333,14.224,14.384,1330875,11.843683
"2010-03-03",14.384,14.514667,14.354667,14.405333,1148625,11.86125
"2010-03-04",14.378667,14.624,14.346667,14.565333,1019625,12.05997
"2010-03-05",14.674667,14.813333,14.674667,14.802667,1051125,12.256476
"2010-03-08",14.749333,14.864,14.696,14.792,820125,12.247643
"2010-03-09",14.754667,14.949333,14.685333,14.904,1677750,12.340383
"2010-03-10",14.832,14.896,14.416,14.610667,1311000,12.097503
"2010-03-11",14.605333,14.768,14.456,14.762667,1032000,12.223361
"2010-03-12",14.733333,14.864,14.682667,14.770667,1803375,12.229982
"2010-03-15",14.789333,14.848,14.629333,14.68,847875,12.154913
"2010-03-16",14.693333,14.866667,14.650667,14.816,829500,12.267515
"2010-03-17",14.834667,15.085333,14.805333,15.056,1112250,12.466235
"2010-03-18",15.133333,15.469333,15.056,15.298667,1203375,12.667162
"2010-03-19",15.352,15.469333,15.224,15.352,2130750,12.711325
"2010-03-22",15.32,15.458667,15.173333,15.376,807375,12.731194
"2010-03-23",15.410667,15.488,15.269333,15.469333,622875,12.808473
"2010-03-24",15.416,15.466667,15.306667,15.352,700125,12.711325
"2010-03-25",15.432,15.432,15.312,15.317333,720750,12.682618
"2010-03-26",15.325333,15.442667,15.245333,15.277333,880125,12.649498
"2010-03-29",15.349333,15.677333,15.306667,15.674667,1142250,12.97849
"2010-03-30",15.770667,15.898667,15.754667,15.84,1242000,13.115383
"2010-03-31",15.8,15.898667,15.72,15.853333,1413375,13.126423
"2010-04-01",15.906667,16,15.906667,16,747375,13.247861
"2010-04-05",16.024,16.117332,16.002666,16.042667,1254750,13.283189
"2010-04-06",15.973333,15.986667,15.784,15.984,963000,13.234615
"2010-04-07",15.981333,15.981333,15.76,15.818667,707250,13.09772
"2010-04-08",15.794667,15.850667,15.741333,15.842667,571500,13.117591
"2010-04-09",15.802667,15.989333,15.802667,15.962667,854250,13.216949
"2010-04-12",15.973333,16.061333,15.946667,16.034666,798375,13.276565
"2010-04-13",16.034666,16.077333,15.888,16.048,362625,13.287603
"2010-04-14",16.016001,16.063999,15.808,15.933333,937125,13.192661
"2010-04-15",15.885333,15.914667,15.728,15.912,1083000,13.174996
"2010-04-16",15.874667,15.949333,15.605333,15.632,1253625,12.943159
"2010-04-19",15.650667,15.789333,15.626667,15.773333,747375,13.060184
"2010-04-20",15.845333,15.845333,15.594667,15.810667,935250,13.091094
"2010-04-21",15.8,15.914667,15.781333,15.818667,691875,13.09772
"2010-04-22",15.717333,15.866667,15.688,15.848,695250,13.122003
"2010-04-23",15.837333,15.869333,15.741333,15.869333,523500,13.139672
"2010-04-26",15.832,16.053333,15.832,15.874667,570375,13.144086
"2010-04-27",15.789333,15.858667,15.493333,15.512,876000,12.843802
"2010-04-28",15.546667,15.549333,15.272,15.48,1020750,12.817307
"2010-04-29",15.565333,15.781333,15.52,15.669333,993375,12.974072
"2010-04-30",15.637333,15.824,15.509333,15.514667,1183125,12.846008
"2010-05-03",15.618667,15.645333,15.509333,15.592,1000500,12.910039
"2010-05-04",15.504,15.504,14.890667,15.072,1933500,12.479484
"2010-05-05",15.034667,15.192,14.997333,15.144,1758375,12.539104
"2010-05-06",15.149333,15.432,14.370667,14.949333,2398875,12.37792
"2010-05-07",14.949333,14.986667,14.568,14.709333,1888125,12.179199
"2010-05-10",15.058667,15.306667,14.853333,15.269333,1863750,12.642877
"2010-05-11",15.154667,15.416,15.066667,15.354667,911250,12.713534
"2010-05-12",15.352,15.72,15.349333,15.704,1334625,13.002774
"2010-05-13",15.666667,15.770667,15.586667,15.589333,993375,12.90783
"2010-05-14",15.562667,15.581333,15.173333,15.266667,1214625,12.640668
"2010-05-17",15.333333,15.472,15.197333,15.4,911625,12.751067
"2010-05-18",15.629333,15.794667,15.301333,15.354667,1387875,12.713534
"2010-05-19",15.28,15.397333,15.194667,15.309333,894000,12.675992
"2010-05-20",15.026667,15.045333,14.677333,14.677333,1564875,12.152704
"2010-05-21",14.48,14.832,14.352,14.832,1413750,12.280766
"2010-05-24",14.722667,14.84,14.666667,14.682667,856500,12.157121
"2010-05-25",14.250667,14.562667,14.192,14.554667,1502250,12.051138
"2010-05-26",14.570667,14.722667,14.48,14.52,2026125,12.022433
"2010-05-27",14.666667,15.074667,14.653333,15.053333,1441875,12.464031
"2010-05-28",15.037333,15.069333,14.789333,14.789333,1824375,12.24544
"2010-06-01",14.693333,14.92,14.594667,14.688,1166625,12.161538
"2010-06-02",14.738667,15.194667,14.629333,15.194667,1533375,12.581053
"2010-06-03",15.168,15.285333,15.034667,15.232,1058250,12.678714
"2010-06-04",14.949333,15.146667,14.813333,14.898667,1737000,12.401257
"2010-06-07",14.933333,15.045333,14.808,14.810667,1348500,12.328008
"2010-06-08",14.794667,15.269333,14.749333,15.248,2007750,12.692035
"2010-06-09",15.28,15.522667,14.936,15.496,2200500,12.898466
"2010-06-10",15.677333,15.893333,15.488,15.778667,1782375,13.133747
"2010-06-11",15.682667,15.693333,15.442667,15.666667,1426875,13.040522
"2010-06-14",15.690667,15.96,15.685333,15.837333,1364250,13.18258
"2010-06-15",15.84,16,15.714667,15.994667,1217250,13.31354
"2010-06-16",15.882667,16.042667,15.808,16.034666,1146000,13.346833
"2010-06-17",16.090668,16.104,15.834667,16.032,1142250,13.344617
"2010-06-18",16.024,16.08,15.848,15.858667,1353375,13.200336
"2010-06-21",15.984,16.128,15.837333,15.930667,983250,13.260268
"2010-06-22",15.952,16.117332,15.917333,15.930667,1534500,13.260268
"2010-06-23",15.912,15.976,15.648,15.837333,1455000,13.18258
"2010-06-24",15.829333,15.954667,15.714667,15.864,1664625,13.204776
"2010-06-25",15.866667,16.013332,15.493333,15.552,4086000,12.945075
"2010-06-28",15.637333,15.848,15.565333,15.730667,1380000,13.093795
"2010-06-29",15.578667,15.618667,15.237333,15.394667,1941375,12.814115
"2010-06-30",15.394667,15.416,15.192,15.261333,1215750,12.703131
"2010-07-01",15.290667,15.328,14.989333,15.258667,1911000,12.700916
"2010-07-02",15.296,15.738667,15.296,15.442667,1642500,12.854073
"2010-07-06",15.562667,15.826667,15.509333,15.648,1584000,13.024984
"2010-07-07",15.648,16.026667,15.648,16.026667,1507125,13.340176
"2010-07-08",16.096001,16.429333,16.056,16.429333,2119125,13.675344
"2010-07-09",16.429333,16.466667,16.234667,16.322666,1340250,13.586558
"2010-07-12",16.253332,16.296,16.090668,16.170668,1092750,13.460042
"2010-07-13",16.256001,16.381332,16.197332,16.245333,1189500,13.52219
"2010-07-14",16.176001,16.421333,16.157333,16.333332,1003875,13.595439
"2010-07-15",16.304001,16.549334,16.261333,16.472,1039125,13.710864
"2010-07-16",16.453333,16.466667,16.133333,16.197332,1186125,13.482234
"2010-07-19",16.274668,16.277332,16.112,16.216,536625,13.49777
"2010-07-20",15.973333,16.682667,15.973333,16.653334,2731875,13.861795
"2010-07-21",16.695999,16.719999,16.232,16.261333,1479375,13.53551
"2010-07-22",16.408001,16.621332,16.408001,16.568001,1014750,13.790768
"2010-07-23",16.549334,16.832001,16.549334,16.821333,862500,14.001633
"2010-07-26",16.789333,17.114668,16.736,17.106667,1550625,14.23914
"2010-07-27",17.162666,17.346666,17.090668,17.234667,1057500,14.345687
"2010-07-28",17.234667,17.245333,16.976,17.007999,747000,14.157012
"2010-07-29",17.066668,17.104,16.813334,16.925333,1071000,14.088202
"2010-07-30",16.794666,16.914667,16.645332,16.856001,1418250,14.030492
"2010-08-02",17.08,17.293333,17.08,17.266666,1117125,14.372323
"2010-08-03",17.149332,17.314667,17.146667,17.184,539250,14.303515
"2010-08-04",17.165333,17.341333,17.117332,17.205334,1035750,14.321268
"2010-08-05",17.143999,17.143999,16.773333,16.858667,1528500,14.032713
