"dates","BK.Open","BK.High","BK.Low","BK.Close","BK.Volume","BK.Adjusted"
"2010-01-04",28.190001,28.440001,27.93,28.290001,6127700,22.481365
"2010-01-05",27.950001,28.639999,27.75,28.59,7189300,22.719769
"2010-01-06",28.48,28.51,28.09,28.16,7250600,22.378061
"2010-01-07",28.08,29.49,27.91,29.35,11052000,23.323721
"2010-01-08",29.280001,29.549999,28.98,29.530001,7144000,23.466768
"2010-01-11",29.65,29.68,28.790001,29.02,9365000,23.061474
"2010-01-12",28.879999,29.32,28.790001,29.07,8932700,23.101213
"2010-01-13",29.07,29.459999,28.870001,29.290001,5872400,23.276043
"2010-01-14",29.26,29.459999,28.91,29.25,5943500,23.244253
"2010-01-15",29.15,29.389999,28.9,29.030001,10784600,23.069426
"2010-01-19",29.01,29.610001,28.889999,29.530001,9110200,23.466768
"2010-01-20",29.889999,31.23,29.790001,30.959999,17464000,24.603153
"2010-01-21",30.91,31.299999,30.549999,30.67,13330200,24.372698
"2010-01-22",30.65,31.139999,29.129999,29.27,12168200,23.260145
"2010-01-25",29.549999,30.030001,29.5,29.76,6831400,23.64954
"2010-01-26",29.58,29.879999,29.219999,29.27,7130400,23.260145
"2010-01-27",29.25,29.940001,29.09,29.76,7725300,23.64954
"2010-01-28",29.93,29.93,28.77,29.17,8044700,23.250996
"2010-01-29",29.280001,29.67,28.99,29.09,8299000,23.187229
"2010-02-01",29.290001,29.870001,29.200001,29.58,6977500,23.577805
"2010-02-02",29.559999,29.559999,28.98,29.26,7542500,23.322735
"2010-02-03",29.09,29.17,28.51,28.57,7010300,22.772747
"2010-02-04",28.469999,28.700001,27.25,27.290001,10372600,21.75248
"2010-02-05",27.379999,27.790001,26.35,27.139999,14936200,21.632912
"2010-02-08",27.15,27.549999,26.83,26.860001,7672100,21.409727
"2010-02-09",27.059999,27.389999,26.76,27.059999,7360000,21.569139
"2010-02-10",27.09,27.690001,26.950001,27.389999,8491800,21.83218
"2010-02-11",27.299999,27.65,27.110001,27.459999,5285400,21.887974
"2010-02-12",27.18,27.309999,26.700001,27.049999,7778800,21.561172
"2010-02-16",27.200001,27.77,27.110001,27.73,5077400,22.103195
"2010-02-17",27.66,27.91,27.530001,27.709999,4322700,22.087248
"2010-02-18",27.559999,27.76,27.42,27.690001,4701300,22.07131
"2010-02-19",27.65,29.18,27.65,28.66,12293600,22.844479
"2010-02-22",28.780001,29.09,28.43,28.84,7654800,22.987959
"2010-02-23",28.73,28.84,28.01,28.120001,7437000,22.414061
"2010-02-24",28.139999,28.82,28.02,28.629999,7151400,22.820566
"2010-02-25",28.35,28.43,27.91,28.389999,6516700,22.629274
"2010-02-26",28.459999,28.549999,28.110001,28.52,5389800,22.732891
"2010-03-01",28.629999,28.629999,28.24,28.42,4698200,22.653185
