"dates","BR.Open","BR.High","BR.Low","BR.Close","BR.Volume","BR.Adjusted"
"2010-01-04",22.719999,22.889999,22.59,22.690001,617900,17.690536
"2010-01-05",22.73,22.77,22.450001,22.6,498300,17.620367
"2010-01-06",22.49,22.639999,22.33,22.450001,370100,17.503418
"2010-01-07",22.5,22.610001,22.25,22.540001,417400,17.573593
"2010-01-08",22.4,22.799999,22.4,22.709999,356800,17.706129
"2010-01-11",22.799999,22.950001,22.530001,22.780001,561200,17.760704
"2010-01-12",22.73,22.73,22.4,22.559999,480100,17.589184
"2010-01-13",22.559999,22.83,22.5,22.780001,306500,17.760704
"2010-01-14",22.66,23.08,22.59,22.969999,531300,17.908848
"2010-01-15",23,23,22.370001,22.4,575900,17.464436
"2010-01-19",22.48,22.76,22.35,22.700001,702400,17.698338
"2010-01-20",22.530001,22.66,22.15,22.57,629800,17.596975
"2010-01-21",22.530001,22.66,22.15,22.23,529000,17.3319
"2010-01-22",22.23,22.540001,22.139999,22.139999,489800,17.261723
"2010-01-25",22.190001,22.190001,21.98,22.07,336500,17.207144
"2010-01-26",21.99,22.120001,21.889999,21.93,395000,17.097994
"2010-01-27",21.93,22.08,21.719999,22.08,540000,17.214943
"2010-01-28",22.040001,22.1,21.610001,22,502800,17.152567
"2010-01-29",22.02,22.139999,21.690001,21.719999,672100,16.934261
"2010-02-01",21.780001,21.969999,21.610001,21.860001,523600,17.043413
"2010-02-02",21.84,22.07,21.73,21.99,568100,17.144772
"2010-02-03",21.969999,22.26,21.809999,21.969999,840000,17.129183
"2010-02-04",22.540001,23.27,21.99,22.040001,2524400,17.183758
"2010-02-05",21.959999,21.98,21.23,21.5,1738200,16.762743
"2010-02-08",21.48,21.639999,21.299999,21.389999,1620900,16.676977
"2010-02-09",21.549999,21.65,20.98,21.049999,1510300,16.411894
"2010-02-10",21.049999,21.190001,20.99,21.040001,954600,16.404099
"2010-02-11",21.059999,21.17,20.879999,20.93,732800,16.318329
"2010-02-12",20.82,21.42,20.73,21.42,1051700,16.700373
"2010-02-16",21.41,21.66,21.299999,21.639999,512200,16.871893
"2010-02-17",21.610001,21.84,21.5,21.83,677800,17.020027
"2010-02-18",21.77,21.809999,21.620001,21.780001,932700,16.981045
"2010-02-19",21.700001,21.77,21.549999,21.65,890300,16.879688
"2010-02-22",21.75,21.75,21.530001,21.6,992600,16.840708
"2010-02-23",21.51,21.620001,21.299999,21.41,712800,16.692568
"2010-02-24",21.42,21.42,21.030001,21.08,975100,16.435284
"2010-02-25",20.93,21.07,20.77,21.01,1429600,16.380709
"2010-02-26",20.940001,21.08,20.77,21.040001,899200,16.404099
"2010-03-01",21.110001,21.450001,21.07,21.41,865100,16.692568
"2010-03-02",21.41,21.530001,21.32,21.42,729600,16.700373
"2010-03-03",21.379999,21.440001,21.110001,21.280001,1063100,16.591221
"2010-03-04",21.27,21.389999,21.219999,21.360001,945700,16.653585
"2010-03-05",21.4,21.75,21.280001,21.700001,2089800,16.918676
"2010-03-08",21.68,21.700001,21.389999,21.440001,1255100,16.715963
"2010-03-09",21.360001,22.18,21.360001,22.030001,1152400,17.175966
"2010-03-10",21.969999,22.370001,21.950001,22.280001,1042200,17.370872
"2010-03-11",22.040001,22.18,21.860001,22.15,656400,17.269524
"2010-03-12",22.219999,22.23,21.98,22.200001,872700,17.30851
"2010-03-15",22.110001,22.17,21.870001,22.07,781100,17.316347
"2010-03-16",22.07,22.190001,22,22.08,587200,17.324196
"2010-03-17",22.110001,22.33,22.049999,22.290001,671400,17.488964
"2010-03-18",22.27,22.4,22.139999,22.190001,827900,17.410503
"2010-03-19",21.950001,22.559999,21.950001,21.950001,1183600,17.2222
"2010-03-22",21.91,22.16,21.870001,22.129999,593000,17.363422
"2010-03-23",22.16,22.25,21.67,21.74,1628500,17.057425
"2010-03-24",21.65,21.77,21.52,21.610001,595300,16.955429
"2010-03-25",21.700001,21.889999,21.530001,21.540001,638000,16.900511
"2010-03-26",21.549999,21.68,21.32,21.370001,546600,16.76712
"2010-03-29",21.469999,22.07,21.450001,21.719999,928100,17.041733
"2010-03-30",21.620001,21.82,21.51,21.620001,697000,16.96327
"2010-03-31",21.549999,21.610001,21.34,21.379999,1009400,16.774967
"2010-04-01",21.4,21.48,21.26,21.32,804900,16.72789
"2010-04-05",21.33,21.41,21.17,21.280001,947500,16.696512
"2010-04-06",21.16,21.370001,21.07,21.27,1235800,16.688662
"2010-04-07",21.299999,21.4,21.18,21.309999,1141200,16.720051
"2010-04-08",21.200001,21.35,21.1,21.32,939400,16.72789
"2010-04-09",21.33,21.860001,21.26,21.85,960500,17.143738
"2010-04-12",21.85,22,21.620001,21.950001,1010600,17.2222
"2010-04-13",21.879999,21.98,21.700001,21.870001,675600,17.159428
"2010-04-14",21.92,22.66,21.92,22.639999,1643900,17.763586
"2010-04-15",22.57,22.709999,22.440001,22.66,1110500,17.779268
"2010-04-16",22.559999,22.950001,22.559999,22.57,1076500,17.708654
"2010-04-19",22.530001,22.690001,22.32,22.540001,1102000,17.685118
"2010-04-20",22.6,22.84,22.549999,22.780001,498900,17.873423
