"dates","C.Open","C.High","C.Low","C.Close","C.Volume","C.Adjusted"
"2010-01-04",33.599998,34.099998,33.400002,34,40679350,29.905264
"2010-01-05",34.200001,35.5,34.099998,35.299999,66861710,31.048698
"2010-01-06",35.599998,36.799999,35.099998,36.400002,67433890,32.016224
"2010-01-07",36.900002,37,36.099998,36.5,67245190,32.104191
"2010-01-08",36.5,36.700001,35.099998,35.900002,62409770,31.576441
"2010-01-11",36.599998,36.700001,36,36.299999,47557650,31.928276
"2010-01-12",35.900002,36.099998,34.799999,35.200001,47011810,30.960756
"2010-01-13",35.400002,35.900002,35,35,41035110,30.784843
"2010-01-14",35.599998,35.599998,35,35.099998,27417030,30.872795
"2010-01-15",34.900002,35,34,34.200001,54017740,30.081169
"2010-01-19",33.400002,35.599998,33,35.400002,80789300,31.136654
"2010-01-20",35.099998,36,34.5,34.599998,47944940,30.433004
"2010-01-21",34.5,34.599998,32,32.700001,95968050,28.761827
"2010-01-22",32.799999,33.900002,32.200001,32.5,65474150,28.585911
"2010-01-25",33.099998,33.299999,32.099998,32.299999,49752440,28.409996
"2010-01-26",32.200001,32.700001,31.5,31.5,45890280,27.706352
"2010-01-27",31.700001,32.299999,31.4,32,55891370,28.146132
"2010-01-28",32.5,32.900002,32,32.400002,51294260,28.497961
"2010-01-29",32.700001,33.400002,32.700001,33.200001,67942930,29.201612
"2010-02-01",33.599998,33.700001,33.099998,33.400002,23577690,29.377525
"2010-02-02",33.5,34.099998,33.200001,34.099998,33280870,29.993219
"2010-02-03",33.900002,34.599998,33.700001,33.700001,27200590,29.641403
"2010-02-04",33.400002,33.5,31.700001,31.799999,45029910,27.970217
"2010-02-05",32.099998,32.400002,31.5,32.200001,46750170,28.322042
"2010-02-08",32.299999,32.400002,31.5,31.5,25620320,27.706352
"2010-02-09",31.9,32.299999,31.1,31.799999,49883800,27.970217
"2010-02-10",31.799999,32,31.4,32,25499680,28.146132
"2010-02-11",31.9,32.200001,31.700001,32.099998,23685280,28.234081
"2010-02-12",31.700001,32.099998,31.5,31.799999,18926940,27.970217
"2010-02-16",32.200001,33.299999,32.099998,33.099998,33228540,29.113651
"2010-02-17",33.799999,34.5,33.599998,34.099998,57569040,29.993219
