"dates","CHD.Open","CHD.High","CHD.Low","CHD.Close","CHD.Volume","CHD.Adjusted"
"2010-01-04",15.145,15.34,15.11,15.335,2232400,12.902762
"2010-01-05",15.3,15.425,15.0125,15.1275,1936000,12.728174
"2010-01-06",15.1475,15.22,15.0275,15.2,2628400,12.789176
"2010-01-07",15.125,15.195,14.9675,15.03,2211200,12.646141
"2010-01-08",14.9575,15.0825,14.905,14.9975,1773200,12.618796
"2010-01-11",14.9875,15.045,14.7675,14.9325,1963600,12.564104
"2010-01-12",14.8575,15.3225,14.8575,15.3125,2563200,12.883832
"2010-01-13",15.2925,15.5225,15.2825,15.5125,2070000,13.052113
"2010-01-14",15.455,15.73,15.4175,15.6325,3110800,13.153079
"2010-01-15",15.66,15.8325,15.6125,15.7075,2657600,13.216182
"2010-01-19",15.71,16.022499,15.665,15.8625,3658800,13.346601
"2010-01-20",15.8375,15.875,15.675,15.8475,2292400,13.333978
"2010-01-21",15.82,15.9525,15.4025,15.5525,2924400,13.085768
"2010-01-22",15.615,15.73,15.41,15.4325,2052000,12.984801
"2010-01-25",15.4775,15.4975,15.26,15.29,1582400,12.864901
"2010-01-26",15.305,15.365,15.1575,15.2375,1756000,12.820728
"2010-01-27",15.26,15.3475,15.1325,15.235,924000,12.818623
"2010-01-28",15.285,15.515,15.2,15.22,1207200,12.806002
"2010-01-29",15.3275,15.3775,15.0425,15.0725,1705600,12.681899
"2010-02-01",15.115,15.225,14.9775,15.055,1858800,12.667173
"2010-02-02",15.1125,15.55,15.0725,15.53,1484000,13.066834
"2010-02-03",15.54,15.595,15.405,15.4775,1186800,13.022663
"2010-02-04",15.425,15.4825,15.2125,15.23,1318800,12.814419
"2010-02-05",15.1925,15.3525,15.0725,15.275,2270800,12.852283
"2010-02-08",15.235,15.3525,15.11,15.1425,2469600,12.770057
"2010-02-09",15.35,16.02,15.2075,15.935,5662800,13.43839
"2010-02-10",15.95,16.0875,15.6925,15.7825,1912000,13.309783
"2010-02-11",15.8025,16.0875,15.8025,16.084999,2087200,13.56489
"2010-02-12",16.032499,16.094999,15.875,16.09,1673200,13.56911
"2010-02-16",16.120001,16.1625,15.975,16.110001,1446000,13.585974
"2010-02-17",16.165001,16.227501,16.030001,16.215,1390400,13.674522
"2010-02-18",16.209999,16.467501,16.112499,16.465,1573200,13.885351
"2010-02-19",16.4,16.48,16.344999,16.475,1686400,13.893788
"2010-02-22",16.525,16.59,16.365,16.549999,2188000,13.957037
"2010-02-23",16.5075,16.612499,16.35,16.48,1650000,13.898001
"2010-02-24",16.522499,16.842501,16.4575,16.84,2504400,14.201599
"2010-02-25",16.725,16.9725,16.59,16.860001,3416000,14.218472
"2010-02-26",16.879999,16.879999,16.7125,16.795,2052400,14.163654
"2010-03-01",16.817499,16.862499,16.7425,16.8125,1752000,14.178408
"2010-03-02",16.875,16.9375,16.780001,16.9,1458000,14.252208
"2010-03-03",16.865,16.91,16.6625,16.717501,1451600,14.098294
"2010-03-04",16.717501,16.7575,16.610001,16.719999,1391200,14.100399
"2010-03-05",16.7875,16.889999,16.6775,16.8025,1087200,14.169979
"2010-03-08",16.764999,16.9,16.764999,16.875,1484400,14.231118
"2010-03-09",16.8825,16.9025,16.795,16.8475,1233200,14.207925
"2010-03-10",16.842501,16.885,16.764999,16.879999,1025600,14.235336
"2010-03-11",16.8925,17.012501,16.825001,17.0075,2659200,14.34286
"2010-03-12",17.0075,17.1325,16.952499,17.127501,1326400,14.444054
"2010-03-15",17.0525,17.139999,16.6425,16.82,2887600,14.184735
"2010-03-16",16.825001,17.035,16.76,16.975,1769600,14.315446
"2010-03-17",17.0375,17.0375,16.85,16.942499,1557200,14.288044
"2010-03-18",16.895,17.0375,16.885,16.952499,1240800,14.296475
"2010-03-19",16.967501,17.0525,16.8825,16.967501,1277600,14.309122
"2010-03-22",16.887501,17.247499,16.887501,17.1975,1410000,14.50309
"2010-03-23",17.25,17.34,17.102501,17.299999,1090800,14.589535
"2010-03-24",17.2875,17.2875,17.125,17.165001,1028000,14.475683
"2010-03-25",17.264999,17.272499,16.825001,16.834999,1484800,14.197385
"2010-03-26",16.842501,16.862499,16.51,16.622499,3019200,14.018177
"2010-03-29",16.695,16.817499,16.635,16.815001,1585600,14.180519
"2010-03-30",16.870001,16.875,16.727501,16.8125,721600,14.178408
"2010-03-31",16.752501,16.870001,16.6325,16.737499,942000,14.115163
"2010-04-01",16.795,16.952499,16.752501,16.93,1171600,14.277503
"2010-04-05",16.9925,17.025,16.889999,16.932501,650800,14.27961
"2010-04-06",16.905001,16.9625,16.870001,16.889999,1443200,14.243768
"2010-04-07",16.8825,16.922501,16.870001,16.915001,2553600,14.264854
"2010-04-08",16.915001,17.0425,16.875,16.945,1450800,14.290152
"2010-04-09",16.9475,17.047501,16.905001,17.0175,717600,14.35129
"2010-04-12",16.872499,17.0075,16.700001,16.950001,2230400,14.294369
"2010-04-13",16.885,17.0175,16.745001,16.975,1478400,14.315446
"2010-04-14",17.049999,17.112499,16.9,17.0975,874800,14.418754
"2010-04-15",17.025,17.145,17.002501,17.09,747200,14.412431
"2010-04-16",17.084999,17.17,16.997499,17.0825,1528400,14.406115
"2010-04-19",17.014999,17.094999,16.98,17.022499,1076800,14.355509
"2010-04-20",17.022499,17.120001,16.934999,16.99,1090800,14.328095
"2010-04-21",16.98,17.0875,16.8325,17.0625,1094800,14.389243
"2010-04-22",16.99,17.0825,16.915001,17.047501,832400,14.376594
"2010-04-23",17.02,17.059999,16.885,17.040001,1147200,14.370264
"2010-04-26",17.067499,17.27,16.985001,17.2425,1256400,14.541042
"2010-04-27",17.190001,17.3375,17.1075,17.245001,1851600,14.543147
"2010-04-28",17.24,17.262501,17.1,17.16,1208000,14.47146
"2010-04-29",17.2075,17.25,16.9475,17.200001,2048400,14.5052
"2010-04-30",17.247499,17.4275,17.2075,17.3125,1778800,14.600077
"2010-05-03",17.3375,17.4,17.137501,17.3225,1640400,14.608503
"2010-05-04",17.217501,17.344999,17.139999,17.327499,1538800,14.61272
"2010-05-05",17.3325,17.487499,17.2425,17.3375,1899600,14.621156
"2010-05-06",17.317499,17.3375,16.445,16.9475,3442800,14.292255
"2010-05-07",16.995001,17.0275,16.565001,16.692499,3972400,14.077209
"2010-05-10",17.110001,17.424999,16.9575,17.35,2745600,14.631701
"2010-05-11",16.8375,17.047501,16.525,16.752501,6560400,14.12781
"2010-05-12",16.782499,16.9475,16.5725,16.782499,3196000,14.153109
"2010-05-13",16.467501,16.977501,16.467501,16.65,3128000,14.070714
"2010-05-14",16.6075,16.702499,16.3225,16.4,2206800,13.859442
"2010-05-17",16.397499,16.8375,16.397499,16.782499,3142400,14.182688
"2010-05-18",16.879999,16.940001,16.6075,16.637501,1570000,14.060154
"2010-05-19",16.627501,16.747499,16.512501,16.6625,1553200,14.081278
"2010-05-20",16.450001,16.522499,16.219999,16.225,2374800,13.711552
"2010-05-21",16.1425,16.385,16.120001,16.227501,1915200,13.713664
"2010-05-24",16.227501,16.504999,16.192499,16.3825,2075600,13.844656
