"dates","CINF.Open","CINF.High","CINF.Low","CINF.Close","CINF.Volume","CINF.Adjusted"
"2010-01-04",26.42,26.700001,26.42,26.5,1261400,17.512768
"2010-01-05",26.43,26.540001,26.290001,26.51,1412800,17.519377
"2010-01-06",26.5,26.58,26.389999,26.57,1139100,17.559027
"2010-01-07",26.57,26.700001,26.43,26.67,982900,17.625111
"2010-01-08",26.540001,26.709999,26.49,26.58,757800,17.565638
"2010-01-11",26.74,26.9,26.6,26.780001,636400,17.697807
"2010-01-12",26.73,27,26.67,26.73,825700,17.664761
"2010-01-13",26.9,27.1,26.719999,26.969999,738500,17.823368
"2010-01-14",27.02,27.129999,26.700001,27.030001,729400,17.863016
"2010-01-15",27.049999,27.049999,26.700001,26.860001,969000,17.750677
"2010-01-19",26.950001,27.370001,26.84,27.35,844700,18.074495
"2010-01-20",27.17,27.280001,26.809999,27.040001,828700,17.869629
"2010-01-21",27.1,27.280001,26.57,26.84,1335300,17.737457
"2010-01-22",26.809999,27.049999,26.24,26.290001,1283400,17.373985
"2010-01-25",26.57,26.74,26.35,26.469999,1006400,17.492939
"2010-01-26",26.43,26.77,26.190001,26.23,863500,17.334335
"2010-01-27",26.16,26.51,26.059999,26.450001,1097500,17.479725
"2010-01-28",26.51,26.59,26.15,26.23,840600,17.334335
"2010-01-29",26.290001,26.6,26.23,26.389999,1451100,17.440071
"2010-02-01",26.540001,26.68,26.200001,26.309999,1434400,17.387201
"2010-02-02",26.290001,26.639999,26.209999,26.639999,804300,17.605291
"2010-02-03",26.5,26.709999,26.370001,26.629999,1253100,17.59868
"2010-02-04",26.360001,26.67,26.26,26.26,2393600,17.354158
"2010-02-05",26.27,26.540001,25.91,26.309999,1794900,17.387201
"2010-02-08",26.26,26.41,25.620001,25.66,1433800,16.957647
"2010-02-09",25.799999,25.98,25.5,25.780001,1169800,17.036951
"2010-02-10",25.790001,26,25.6,25.85,809000,17.083206
"2010-02-11",25.799999,26.09,25.65,25.870001,897400,17.096428
"2010-02-12",25.76,26.01,25.639999,25.98,1361600,17.169113
"2010-02-16",26.040001,26.33,25.91,26.33,834900,17.400421
"2010-02-17",26.48,26.549999,26.299999,26.51,675000,17.519377
"2010-02-18",26.49,26.690001,26.41,26.66,1124600,17.618507
"2010-02-19",26.5,26.74,26.41,26.709999,1182500,17.651546
"2010-02-22",26.709999,26.860001,26.5,26.84,845000,17.737457
"2010-02-23",26.85,26.91,26.540001,26.6,978300,17.578854
"2010-02-24",26.75,26.99,26.57,26.92,847400,17.790331
"2010-02-25",26.74,26.959999,26.639999,26.959999,839400,17.816757
"2010-02-26",27,27.030001,26.709999,26.889999,812000,17.770496
"2010-03-01",27.02,27.389999,26.82,27.379999,1164400,18.094324
"2010-03-02",27.540001,27.780001,27.42,27.73,1383500,18.325619
"2010-03-03",27.83,27.93,27.540001,27.68,959900,18.292582
"2010-03-04",27.639999,27.84,27.58,27.82,942400,18.385103
"2010-03-05",28,28.17,27.82,28.059999,1366000,18.543707
"2010-03-08",28.190001,28.379999,28.09,28.33,894500,18.722137
"2010-03-09",28.190001,28.559999,28.17,28.42,848100,18.78161
"2010-03-10",28.41,28.559999,28.15,28.379999,1277300,18.755184
"2010-03-11",28.34,28.540001,28.27,28.49,873400,18.827879
"2010-03-12",28.639999,28.83,28.370001,28.5,1326000,18.83448
"2010-03-15",28.68,28.73,28.4,28.690001,982700,18.960049
"2010-03-16",28.75,28.85,28.58,28.75,813300,18.999702
"2010-03-17",28.860001,29.209999,28.82,29.110001,714300,19.23761
"2010-03-18",29.120001,29.290001,29.059999,29.280001,652400,19.349949
"2010-03-19",29.559999,29.65,29.139999,29.389999,1558500,19.422653
"2010-03-22",28.870001,28.93,28.620001,28.68,1090800,19.211647
"2010-03-23",28.77,28.969999,28.629999,28.950001,705700,19.392508
"2010-03-24",28.690001,28.9,28.690001,28.790001,712400,19.285326
"2010-03-25",28.98,29.200001,28.84,28.860001,776700,19.332212
"2010-03-26",28.870001,29.200001,28.870001,29,727300,19.426001
"2010-03-29",29.120001,29.34,29.059999,29.309999,705800,19.633656
"2010-03-30",29.370001,29.379999,29.07,29.18,708900,19.546577
"2010-03-31",29.129999,29.129999,28.82,28.91,936300,19.365713
"2010-04-01",29,29.17,28.870001,29.08,799200,19.479586
"2010-04-05",29.18,29.299999,28.959999,29.27,659000,19.606861
"2010-04-06",29.209999,29.4,29.200001,29.370001,695100,19.673853
"2010-04-07",29.42,29.469999,29.129999,29.23,870700,19.58007
"2010-04-08",29.290001,29.4,29.059999,29.33,1229600,19.647053
"2010-04-09",29.42,29.620001,29.129999,29.290001,763400,19.62026
"2010-04-12",29.42,29.43,29.07,29.209999,746200,19.566668
"2010-04-13",29.25,29.5,29.08,29.42,729600,19.707344
