"dates","CL.Open","CL.High","CL.Low","CL.Close","CL.Volume","CL.Adjusted"
"2010-01-04",41.244999,41.439999,40.93,41.424999,4874200,31.779593
"2010-01-05",41.305,41.834999,40.98,41.759998,5296800,32.036583
"2010-01-06",41.810001,41.875,41.200001,41.665001,7195200,31.963713
"2010-01-07",41.529999,41.535,41.125,41.5,3752200,31.837132
"2010-01-08",40.105,40.830002,40.049999,40.755001,8150200,31.2656
"2010-01-11",40.32,40.665001,39.755001,40.575001,7054200,31.127514
"2010-01-12",39.814999,40.599998,39.814999,40.34,5733800,30.947227
"2010-01-13",40.264999,40.700001,40.215,40.529999,4570600,31.092985
"2010-01-14",40.389999,40.490002,40.075001,40.209999,5403800,30.847483
"2010-01-15",40.27,40.605,39.790001,40,7913200,30.686398
"2010-01-19",40.014999,40.365002,39.895,40.294998,4460400,30.912703
"2010-01-20",40.060001,40.060001,39.200001,39.605,7762000,30.383362
"2010-01-21",40.119999,40.48,39.130001,39.535,9020200,30.499084
"2010-01-22",39.525002,40.59,39.18,40.355,10959000,31.131674
"2010-01-25",40.564999,40.724998,39.915001,40.235001,6220000,31.039103
"2010-01-26",39.93,40.380001,39.75,40.189999,5581400,31.004375
"2010-01-27",40.195,40.41,39.830002,40.195,6222200,31.00823
"2010-01-28",40.355,40.865002,39.834999,39.994999,8153400,30.853943
"2010-01-29",40.235001,40.43,39.650002,40.014999,6692600,30.869368
"2010-02-01",40.209999,40.209999,39.509998,39.970001,6400400,30.834667
"2010-02-02",39.919998,40.535,39.740002,40.525002,5937400,31.262808
"2010-02-03",40.474998,40.615002,40.220001,40.41,5777600,31.174088
"2010-02-04",40.23,40.375,39.805,39.834999,7284000,30.730505
"2010-02-05",39.82,40.025002,39.035,39.630001,6091800,30.572369
"2010-02-08",39.764999,39.895,39.474998,39.544998,3262400,30.506796
"2010-02-09",39.755001,40.299999,39.549999,40.084999,4059600,30.923378
"2010-02-10",40.139999,40.139999,39.529999,39.91,3793400,30.788372
"2010-02-11",39.785,40.195,39.625,40.165001,3524000,30.985096
"2010-02-12",40.055,40.130001,39.544998,39.830002,4864600,30.726656
"2010-02-16",39.959999,40.395,39.650002,40.310001,3914400,31.096939
"2010-02-17",40.41,40.689999,40.275002,40.599998,3467800,31.320675
"2010-02-18",40.525002,41.365002,40.514999,41.220001,4855200,31.798969
"2010-02-19",41.209999,41.209999,40.615002,40.875,4863000,31.532816
"2010-02-22",40.924999,41.174999,40.75,41.040001,4043400,31.660101
"2010-02-23",41.064999,41.244999,40.619999,40.945,4416600,31.586813
"2010-02-24",41.040001,41.52,40.924999,41.48,4016000,31.999548
"2010-02-25",40.869999,41.654999,40.435001,41.555,5434400,32.0574
"2010-02-26",41.689999,41.695,41.255001,41.470001,3667400,31.991825
"2010-03-01",41.610001,41.919998,41.450001,41.895,3972200,32.319683
"2010-03-02",42.075001,42.125,41.794998,41.93,5687800,32.346687
"2010-03-03",41.880001,42.130001,41.799999,41.93,3841400,32.346687
"2010-03-04",41.959999,42.32,41.779999,42.080002,3954800,32.462414
"2010-03-05",42.189999,42.195,41.825001,42.105,5870000,32.481689
"2010-03-08",42.029999,42.139999,41.720001,41.974998,3466000,32.381409
"2010-03-09",41.810001,42.465,41.740002,42.25,4540800,32.593548
"2010-03-10",42.345001,42.355,41.605,41.790001,5145400,32.238689
"2010-03-11",41.625,42.040001,41.389999,42.040001,4436200,32.431549
"2010-03-12",41.875,42.150002,41.855,42.075001,4126400,32.458542
"2010-03-15",41.990002,42.224998,41.919998,42.185001,3536800,32.543411
"2010-03-16",42.220001,42.415001,42.044998,42.310001,3490600,32.639843
"2010-03-17",42.365002,42.365002,41.900002,42.314999,4796600,32.6437
