"dates","CMCSA.Open","CMCSA.High","CMCSA.Low","CMCSA.Close","CMCSA.Volume","CMCSA.Adjusted"
"2010-01-04",8.375,8.565,8.375,8.485,27146800,6.894205
"2010-01-05",8.465,8.49,8.275,8.37,35493000,6.800767
"2010-01-06",8.39,8.4,8.265,8.31,27741400,6.752012
"2010-01-07",8.355,8.53,8.275,8.485,30214800,6.894205
"2010-01-08",8.465,8.535,8.405,8.46,25454000,6.87389
"2010-01-11",8.435,8.5,8.365,8.405,38109200,6.829206
"2010-01-12",8.375,8.375,8.205,8.255,36282000,6.707326
"2010-01-13",8.34,8.425,8.31,8.385,31533800,6.812954
"2010-01-14",8.41,8.415,8.305,8.335,34823600,6.77233
"2010-01-15",8.37,8.41,8.195,8.315,43236000,6.756077
"2010-01-19",8.365,8.43,8.31,8.405,25319000,6.829206
"2010-01-20",8.29,8.33,8.1,8.26,43376400,6.711391
"2010-01-21",8.26,8.29,7.92,8,65772600,6.500135
"2010-01-22",8.005,8.19,7.905,7.925,56665000,6.439197
"2010-01-25",7.935,8.085,7.88,8.005,30493200,6.504198
"2010-01-26",7.955,8.025,7.79,7.85,42569400,6.378259
"2010-01-27",7.815,8.045,7.79,7.925,40780000,6.439197
"2010-01-28",7.985,8.06,7.775,7.81,38618800,6.345757
"2010-01-29",7.875,8.065,7.755,7.915,54386600,6.431073
"2010-02-01",8.04,8.05,7.93,7.97,32681400,6.475761
"2010-02-02",7.925,8.175,7.92,8.145,38526400,6.617951
"2010-02-03",8.27,8.3,7.925,7.985,58379600,6.487948
"2010-02-04",7.9,7.975,7.76,7.76,45437200,6.30513
"2010-02-05",7.755,7.865,7.575,7.71,53431200,6.264505
"2010-02-08",7.725,7.735,7.6,7.605,31328000,6.17919
"2010-02-09",7.69,7.85,7.635,7.695,48789400,6.252317
"2010-02-10",7.72,7.72,7.59,7.655,43407200,6.219818
"2010-02-11",7.63,7.715,7.555,7.665,36472000,6.227943
"2010-02-12",7.575,7.685,7.55,7.67,55095600,6.232004
"2010-02-16",7.795,7.855,7.725,7.835,40474600,6.366071
"2010-02-17",7.885,7.885,7.8,7.83,26798200,6.362008
"2010-02-18",7.85,7.9,7.8,7.865,25432600,6.390446
"2010-02-19",7.82,8.02,7.775,8,51955000,6.500135
"2010-02-22",8.05,8.145,8.005,8.095,39578000,6.577325
"2010-02-23",8.05,8.155,8.015,8.07,34481600,6.557012
"2010-02-24",8.135,8.235,8.05,8.21,53823600,6.670764
"2010-02-25",8.08,8.13,7.975,8.07,46155800,6.557012
"2010-02-26",8.115,8.235,8.035,8.22,43478000,6.67889
"2010-03-01",8.25,8.445,8.25,8.415,46009200,6.83733
"2010-03-02",8.415,8.485,8.35,8.4,44590800,6.825142
"2010-03-03",8.445,8.495,8.39,8.48,46038400,6.890143
"2010-03-04",8.5,8.6,8.47,8.585,31287600,6.97546
"2010-03-05",8.59,8.725,8.585,8.715,32694800,7.081084
"2010-03-08",8.66,8.835,8.62,8.78,33416400,7.133897
"2010-03-09",8.79,8.825,8.705,8.755,34396600,7.113584
"2010-03-10",8.71,8.84,8.685,8.765,37625400,7.12171
"2010-03-11",8.71,8.785,8.645,8.785,21028000,7.137961
"2010-03-12",8.745,8.83,8.65,8.71,28875200,7.07702
"2010-03-15",8.765,8.78,8.66,8.765,25120200,7.12171
"2010-03-16",8.86,8.87,8.69,8.745,39739600,7.10546
"2010-03-17",8.7,8.87,8.7,8.79,27608000,7.142024
"2010-03-18",8.84,8.865,8.735,8.835,30982200,7.178588
"2010-03-19",8.925,8.935,8.675,8.765,48341400,7.12171
"2010-03-22",8.705,8.94,8.7,8.89,31109800,7.223277
"2010-03-23",8.91,9.065,8.855,9.045,41655800,7.349216
"2010-03-24",8.975,9.115,8.975,9.09,35448800,7.38578
"2010-03-25",9.12,9.335,9.08,9.22,50792000,7.491407
"2010-03-26",9.255,9.375,9.13,9.17,26237000,7.450779
"2010-03-29",9.135,9.29,9.125,9.25,29427600,7.515781
"2010-03-30",9.205,9.42,9.205,9.37,56302000,7.613282
"2010-03-31",9.3,9.47,9.285,9.415,54720600,7.649847
"2010-04-01",9.41,9.52,9.31,9.43,38877200,7.662037
"2010-04-05",9.405,9.49,9.34,9.41,26500200,7.68449
"2010-04-06",9.34,9.46,9.29,9.38,22708600,7.659996
"2010-04-07",9.34,9.405,9.01,9.145,61457200,7.468083
"2010-04-08",9.09,9.26,9.085,9.215,32317400,7.525249
"2010-04-09",9.245,9.285,9.205,9.25,28661400,7.553832
"2010-04-12",9.255,9.36,9.225,9.315,25058000,7.606913
"2010-04-13",9.305,9.355,9.245,9.335,46489200,7.623244
"2010-04-14",9.315,9.475,9.24,9.465,40990400,7.729407
"2010-04-15",9.375,9.5,9.35,9.43,44460400,7.700827
"2010-04-16",9.42,9.43,9.13,9.16,54172000,7.480334
"2010-04-19",9.145,9.305,9.125,9.29,38145600,7.586497
"2010-04-20",9.31,9.36,9.24,9.27,33925000,7.570164
"2010-04-21",9.265,9.305,9.18,9.265,29001600,7.566081
"2010-04-22",9.205,9.445,9.13,9.4,30899400,7.676327
"2010-04-23",9.34,9.49,9.31,9.48,30008000,7.741655
"2010-04-26",9.44,9.595,9.41,9.54,36950800,7.790653
"2010-04-27",9.5,9.565,9.185,9.23,56558800,7.537498
"2010-04-28",9.5,9.6,9.2,9.405,78266800,7.680408
"2010-04-29",9.42,10.045,9.42,10,96206000,8.166306
"2010-04-30",9.885,9.935,9.73,9.885,81865200,8.072392
"2010-05-03",9.885,10.28,9.885,10.195,69744200,8.32555
"2010-05-04",10.135,10.135,9.78,9.935,48148400,8.113224
"2010-05-05",9.955,10.145,9.765,9.87,48834200,8.06014
"2010-05-06",9.73,9.745,8.825,9.255,116645600,7.557914
"2010-05-07",9.21,9.435,9,9.18,84844400,7.496668
"2010-05-10",9.365,9.54,8.865,9.015,94692600,7.361923
"2010-05-11",8.95,9.295,8.825,9.04,84670600,7.382339
"2010-05-12",9.02,9.17,8.97,9.09,93975600,7.42317
"2010-05-13",9.12,9.13,8.805,8.88,116282800,7.25168
"2010-05-14",8.865,8.885,8.675,8.8,59878800,7.186347
"2010-05-17",8.815,9.075,8.755,9.05,47894800,7.390506
"2010-05-18",9.11,9.2,8.8,8.845,44139800,7.223095
"2010-05-19",8.83,8.885,8.62,8.79,44221400,7.178181
"2010-05-20",8.635,8.655,8.385,8.395,56555800,6.855613
"2010-05-21",8.225,8.89,8.18,8.515,70543600,6.953609
"2010-05-24",8.445,8.56,8.305,8.385,32471200,6.847445
"2010-05-25",8.23,8.86,8.15,8.835,97182400,7.214929
"2010-05-26",8.88,9.23,8.825,8.86,84876200,7.235344
"2010-05-27",8.995,9.17,8.955,9.165,52134400,7.484417
"2010-05-28",9.02,9.165,8.985,9.045,42563000,7.386422
"2010-06-01",8.87,9.185,8.865,9.01,50250600,7.35784
"2010-06-02",9.045,9.2,8.95,9.19,43806600,7.504833
"2010-06-03",9.17,9.225,9.07,9.2,34528600,7.513001
"2010-06-04",9.04,9.1,8.865,8.895,49246800,7.263928
"2010-06-07",8.9,8.91,8.675,8.68,41327800,7.088354
"2010-06-08",8.695,8.78,8.565,8.715,41863800,7.116933
"2010-06-09",8.765,8.98,8.695,8.71,38338000,7.11285
"2010-06-10",8.855,9.045,8.79,9.035,43152200,7.378257
"2010-06-11",8.965,9.115,8.855,9.095,52997600,7.427255
"2010-06-14",9.165,9.28,9.075,9.075,30733000,7.41092
"2010-06-15",9.175,9.365,9.135,9.325,34436400,7.615079
"2010-06-16",9.31,9.34,9.155,9.195,30380000,7.508917
"2010-06-17",9.225,9.295,9.17,9.29,27097200,7.586497
"2010-06-18",9.35,9.39,9.225,9.255,36299400,7.557914
"2010-06-21",9.33,9.44,9.1,9.175,23259400,7.492588
"2010-06-22",9.205,9.33,9.115,9.12,53810200,7.447668
"2010-06-23",9.115,9.235,9.045,9.09,33841400,7.42317
"2010-06-24",9.01,9.085,8.86,8.91,46304400,7.276177
"2010-06-25",8.915,8.945,8.78,8.835,64658600,7.214929
"2010-06-28",8.855,9.095,8.81,9.055,86135600,7.394587
"2010-06-29",8.955,8.985,8.745,8.84,61922600,7.219012
"2010-06-30",8.835,8.885,8.66,8.685,57792000,7.092437
"2010-07-01",8.66,8.885,8.535,8.87,62509200,7.243514
"2010-07-02",8.835,8.875,8.655,8.73,37384400,7.167565
"2010-07-06",8.8,9.05,8.785,8.9,78184400,7.307143
"2010-07-07",8.9,8.935,8.765,8.92,53734600,7.323561
"2010-07-08",8.98,9.005,8.82,8.92,77161800,7.323561
"2010-07-09",8.945,9.045,8.88,9.035,38800000,7.417982
"2010-07-12",8.96,9.295,8.925,9.255,60505800,7.598606
"2010-07-13",9.35,9.61,9.32,9.51,58411000,7.80797
"2010-07-14",9.51,9.61,9.43,9.49,34092000,7.791551
"2010-07-15",9.51,9.67,9.435,9.655,45720000,7.927018
"2010-07-16",9.655,9.675,9.24,9.27,54077800,7.610922
"2010-07-19",9.265,9.545,9.235,9.505,42469800,7.803863
"2010-07-20",9.37,9.475,9.29,9.43,44473000,7.742287
"2010-07-21",9.425,9.435,9.055,9.175,70375800,7.532927
"2010-07-22",9.235,9.5,9.23,9.41,41583400,7.725862
"2010-07-23",9.42,9.705,9.38,9.66,39385000,7.931121
"2010-07-26",9.66,9.745,9.585,9.735,30583600,7.992696
"2010-07-27",9.74,9.79,9.535,9.665,43463000,7.935225
"2010-07-28",9.56,9.86,9.42,9.78,59790800,8.029644
"2010-07-29",9.805,9.88,9.43,9.565,48036600,7.853124
"2010-07-30",9.425,9.855,9.415,9.735,54034200,7.992696
"2010-08-02",9.865,9.9,9.655,9.74,51465400,7.996807
"2010-08-03",9.71,9.75,9.52,9.605,28845600,7.885962
"2010-08-04",9.675,9.7,9.52,9.615,34854200,7.894176
"2010-08-05",9.53,9.65,9.445,9.47,41629600,7.775125
"2010-08-06",9.37,9.38,8.985,9.32,87348800,7.651973
"2010-08-09",9.375,9.425,9.32,9.365,37709800,7.688916
"2010-08-10",9.245,9.35,9.13,9.305,45211800,7.639659
"2010-08-11",9.11,9.17,8.985,9.005,45781200,7.393351
"2010-08-12",8.875,9.13,8.835,9.085,46396200,7.459031
"2010-08-13",9,9.055,8.915,8.935,29460200,7.335876
"2010-08-16",8.915,8.975,8.805,8.875,24583000,7.286615
"2010-08-17",8.94,9.005,8.86,8.88,45936800,7.290723
"2010-08-18",8.895,9.175,8.875,9.055,46482200,7.434399
"2010-08-19",8.965,9.02,8.795,8.92,41268200,7.323561
"2010-08-20",8.88,8.93,8.775,8.905,33611200,7.311246
"2010-08-23",8.99,9.005,8.715,8.725,40277400,7.163464
"2010-08-24",8.645,8.685,8.495,8.505,47391400,6.982835
"2010-08-25",8.405,8.74,8.38,8.665,52143200,7.114199
"2010-08-26",8.69,8.77,8.495,8.515,40051200,6.991046
"2010-08-27",8.59,8.655,8.44,8.625,34945800,7.08136
"2010-08-30",8.575,8.62,8.5,8.5,26492000,6.97873
"2010-08-31",8.445,8.64,8.425,8.55,43799600,7.019781
"2010-09-01",8.785,9.065,8.77,8.97,85897200,7.364612
"2010-09-02",9.025,9.055,8.88,9.04,44218200,7.422085
"2010-09-03",9.12,9.185,8.96,9.105,22595200,7.475453
"2010-09-07",9.03,9.075,8.845,8.9,28494600,7.307143
"2010-09-08",8.915,9.08,8.9,8.96,20637600,7.356403
"2010-09-09",9.06,9.09,8.95,8.99,19956800,7.381034
"2010-09-10",9.025,9.245,8.995,9.2,34860800,7.55345
"2010-09-13",9.25,9.28,9.065,9.21,38156600,7.561659
"2010-09-14",9.18,9.205,8.89,8.895,62814200,7.303036
"2010-09-15",8.84,9.205,8.75,9.02,91070200,7.405667
"2010-09-16",9.015,9.015,8.71,8.785,57039200,7.212723
"2010-09-17",8.83,9.005,8.81,8.82,62540800,7.241458
"2010-09-20",8.88,9.15,8.87,9.05,43747400,7.430295
"2010-09-21",9.035,9.14,9.01,9.065,40101000,7.442611
"2010-09-22",9.135,9.225,8.935,8.975,39786600,7.368717
"2010-09-23",8.92,9.12,8.825,8.96,36138800,7.356403
"2010-09-24",9.1,9.295,9.04,9.285,40217200,7.623237
"2010-09-27",9.245,9.255,9.125,9.155,38972200,7.516504
"2010-09-28",9.2,9.33,9.045,9.17,50567200,7.528818
"2010-09-29",9.125,9.165,8.965,9.075,40071400,7.450819
"2010-09-30",9.105,9.105,8.905,9.04,56011600,7.422085
"2010-10-01",9.14,9.16,8.905,8.91,45250400,7.315351
"2010-10-04",8.87,8.895,8.76,8.83,45859200,7.288525
"2010-10-05",8.935,9.065,8.925,9.035,50672000,7.457738
"2010-10-06",9.015,9.015,8.785,8.88,55167000,7.329797
"2010-10-07",8.925,9.015,8.455,8.945,38848000,7.38345
"2010-10-08",8.945,9.03,8.85,8.995,31986800,7.42472
"2010-10-11",8.96,9.025,8.905,9.01,30476200,7.437102
"2010-10-12",8.965,9.025,8.86,9.01,26502800,7.437102
