"dates","COP.Open","COP.High","COP.Low","COP.Close","COP.Volume","COP.Adjusted"
"2010-01-04",39.46513,40.158836,39.282173,40.082603,13880848,27.249361
"2010-01-05",40.135967,40.227444,39.800549,40.12072,10084524,27.275282
"2010-01-06",40.151215,40.456139,39.892025,40.4104,11631913,27.472206
"2010-01-07",40.181705,40.471386,40.021618,40.250313,7648922,27.363371
"2010-01-08",40.105473,40.616226,39.968258,40.600979,7284244,27.601759
"2010-01-11",40.81443,40.966892,40.448517,40.837299,8968059,27.762432
"2010-01-12",40.402779,40.4104,39.853909,39.968258,11301079,27.171618
"2010-01-13",39.800549,40.372284,39.625214,40.219822,9470737,27.342638
"2010-01-14",40.143589,40.517124,40.021618,40.387531,8835699,27.456657
"2010-01-15",40.273186,40.448517,39.991127,40.418022,11596757,27.477396
"2010-01-19",39.983501,41.01263,39.983501,40.944023,11379262,27.834984
"2010-01-20",40.257938,40.52475,40.029243,40.448517,12374649,27.498125
"2010-01-21",40.425648,40.608604,39.686199,39.823418,20681828,27.07316
"2010-01-22",39.640461,39.785301,38.504608,38.573219,17651460,26.22323
"2010-01-25",38.847652,39.32029,38.611336,38.687565,11458232,26.30097
"2010-01-26",38.367393,38.893391,38.085335,38.443623,14525855,26.135139
"2010-01-27",38.443623,38.908638,37.345886,37.970989,15845255,25.813824
"2010-01-28",38.14632,38.298782,36.415863,36.858006,17975210,25.05718
"2010-01-29",37.0867,37.25441,36.423485,36.591194,22175040,24.875793
"2010-02-01",36.934238,37.597454,36.789398,37.406876,14723936,25.430321
"2010-02-02",37.627945,38.298782,37.353512,38.230175,16306743,25.990025
"2010-02-03",37.986233,38.504608,37.902378,38.108204,13534928,25.907093
"2010-02-04",37.80328,37.810902,36.522587,36.713165,17513722,24.958717
"2010-02-05",36.507339,36.667427,35.546822,36.575947,20077224,24.865429
"2010-02-08",36.522587,36.781773,36.057571,36.110935,10417326,24.549305
"2010-02-09",36.553078,38.359768,36.133804,36.964729,17508081,25.129736
"2010-02-10",36.979977,37.0867,36.438732,36.789398,11795625,25.010538
"2010-02-11",36.804642,37.437366,36.560703,37.277279,9869653,25.342216
"2010-02-12",36.865627,37.223919,36.545456,37.101948,13941059,25.223022
"2010-02-16",37.414497,38.214928,37.414497,38.054844,14967929,25.870832
"2010-02-17",38.047218,38.306408,37.345886,37.582207,15882378,25.549515
"2010-02-18",37.063831,37.475483,36.995224,37.25441,12565646,25.586166
"2010-02-19",37.124817,37.521221,36.94186,37.277279,12413609,25.60187
"2010-02-22",37.574581,37.574581,36.995224,37.124817,10961588,25.497166
"2010-02-23",36.918991,37.0867,36.255775,36.476849,13906165,25.052135
"2010-02-24",36.48447,36.987598,36.309139,36.858006,10245744,25.31391
"2010-02-25",36.286266,36.865627,35.943226,36.819889,11975471,25.287737
"2010-02-26",36.880875,36.995224,36.553078,36.591194,10411160,25.130667
"2010-03-01",36.873253,37.345886,36.79702,37.284904,11431603,25.607105
"2010-03-02",37.605076,38.054844,37.505974,37.894756,13249220,26.025951
"2010-03-03",38.024349,38.100582,37.612698,37.643192,18194935,25.853176
"2010-03-04",37.635567,37.765163,37.422119,37.612698,13562214,25.83223
"2010-03-05",38.00148,38.504608,37.910004,38.428379,15240519,26.392433
"2010-03-08",38.542725,38.779041,38.428379,38.672318,8167604,26.559978
"2010-03-09",38.466496,38.946754,38.390263,38.763798,12696432,26.622807
"2010-03-10",38.779041,39.35078,38.763798,39.236431,15930521,26.947411
"2010-03-11",39.236431,39.266926,38.840031,39.106838,10174776,26.858406
"2010-03-12",39.289795,39.46513,39.007736,39.396519,10019591,27.057354
"2010-03-15",39.20594,39.701447,39.000114,39.37365,12761890,27.041653
"2010-03-16",39.587097,39.869156,39.457504,39.770054,15411183,27.313896
"2010-03-17",39.930141,40.539993,39.876778,40.387531,15822692,27.737976
"2010-03-18",40.326546,40.334167,39.770054,40.181705,11119528,27.596615
"2010-03-19",39.92252,40.387531,39.411766,39.92252,15383635,27.4186
"2010-03-22",39.213566,39.838661,39.137333,39.716694,10762720,27.277254
"2010-03-23",39.693825,40.097851,39.427013,40.029243,11690944,27.491899
"2010-03-24",40.334167,40.35704,39.800549,40.044491,19336193,27.502386
"2010-03-25",40.250313,40.280807,39.251678,39.282173,13804108,26.978819
"2010-03-26",39.480373,39.495621,38.618958,38.893391,19689983,26.711807
"2010-03-29",39.190693,39.289795,38.77142,38.992493,16935353,26.779873
"2010-03-30",38.946754,39.175449,38.817158,39.076347,12100878,26.837467
"2010-03-31",39.038231,39.20594,38.855274,39.007736,16079803,26.790342
"2010-04-01",39.335533,39.709068,39.259304,39.655708,11926673,27.235359
"2010-04-05",39.914894,40.639095,39.655708,40.616226,12295942,27.895048
"2010-04-06",40.532372,40.730576,40.326546,40.631474,9739392,27.90551
"2010-04-07",40.539993,40.539993,39.960632,40.334167,14058202,27.701328
"2010-04-08",40.135967,41.287064,40.036865,41.119354,19218001,28.240589
"2010-04-09",41.332806,42.285698,41.32518,42.171352,19614161,28.963097
"2010-04-12",42.23996,42.819321,42.125614,42.659233,18608542,29.298166
