"dates","CSX.Open","CSX.High","CSX.Low","CSX.Close","CSX.Volume","CSX.Adjusted"
"2010-01-04",16.33,16.393333,16.09,16.286667,8391000,13.124655
"2010-01-05",16.326668,16.75,16.27,16.716667,11971200,13.471169
"2010-01-06",16.743334,16.903334,16.606667,16.77,9919200,13.514149
"2010-01-07",16.703333,16.783333,16.533333,16.653334,7794000,13.420133
"2010-01-08",16.58,17.610001,16.546667,17.459999,18189000,14.070185
"2010-01-11",17.533333,17.559999,17.143333,17.286667,12666300,13.930512
"2010-01-12",17.113333,17.113333,16.753332,16.903334,11235900,13.621598
"2010-01-13",16.92,17.063334,16.703333,17.006666,8265000,13.704867
"2010-01-14",17.02,17.093332,16.693333,16.85,7590300,13.578617
"2010-01-15",16.896667,16.903334,16.5,16.68,9051600,13.441621
"2010-01-19",16.786667,16.906668,16.633333,16.836666,13454400,13.567871
"2010-01-20",16.030001,16.040001,15.456667,15.783333,41262900,12.719041
"2010-01-21",15.726667,15.883333,15.073333,15.12,35883900,12.18449
"2010-01-22",15.053333,15.213333,14.656667,14.706667,26636400,11.851407
"2010-01-25",14.9,15.08,14.676667,14.983333,19235100,12.074358
"2010-01-26",14.99,15.303333,14.783333,15.1,18707400,12.168375
"2010-01-27",15.033333,15.28,14.97,15.18,16149000,12.232843
"2010-01-28",15.256667,15.36,14.546667,14.56,18305100,11.733212
"2010-01-29",14.693333,14.723333,14.193333,14.286667,15532500,11.512951
"2010-02-01",14.613333,14.72,14.413333,14.61,16631100,11.773506
"2010-02-02",14.683333,14.87,14.623333,14.826667,10696500,11.948108
"2010-02-03",14.733333,15.093333,14.65,14.67,14203800,11.821859
"2010-02-04",14.56,14.56,14.103333,14.11,18231300,11.370581
"2010-02-05",14.08,14.343333,14.016667,14.306667,22097100,11.529068
"2010-02-08",14.33,14.6,14.136667,14.17,13912500,11.418933
"2010-02-09",14.563333,14.636667,14.32,14.36,20146500,11.572042
"2010-02-10",14.366667,14.453333,14.213333,14.36,10662300,11.572042
"2010-02-11",14.526667,15.15,14.5,15.02,23432700,12.103905
"2010-02-12",14.813333,14.99,14.736667,14.966667,15629400,12.060931
"2010-02-16",15.166667,15.406667,15.026667,15.37,14113500,12.385957
"2010-02-17",15.506667,15.523333,15.163333,15.37,12106800,12.385957
"2010-02-18",15.306667,15.493333,15.233333,15.466667,8427000,12.463857
"2010-02-19",15.466667,15.71,15.386667,15.59,11309400,12.563244
"2010-02-22",15.676667,15.723333,15.526667,15.606667,10930200,12.576672
"2010-02-23",15.553333,15.716667,15.426667,15.666667,15384600,12.625026
"2010-02-24",15.666667,15.78,15.546667,15.76,9826500,12.765423
"2010-02-25",15.53,15.866667,15.433333,15.843333,13873800,12.832922
"2010-02-26",15.826667,15.94,15.656667,15.82,8731800,12.814022
"2010-03-01",15.916667,16.113333,15.88,16.106667,9528900,13.04622
"2010-03-02",16.129999,16.296667,16.043333,16.156668,10314600,13.08672
"2010-03-03",15.86,16.223333,15.81,15.993333,11258700,12.954419
"2010-03-04",15.936667,16.059999,15.866667,16.02,8656200,12.976021
"2010-03-05",16.096666,16.353333,16.096666,16.323334,9393300,13.221716
"2010-03-08",16.383333,16.543333,16.27,16.343332,6819300,13.237919
"2010-03-09",16.290001,16.666668,16.290001,16.506666,9726300,13.370214
"2010-03-10",16.473333,16.66,16.333332,16.629999,13135200,13.470114
"2010-03-11",16.543333,16.993334,16.543333,16.893333,13955100,13.683414
"2010-03-12",16.969999,17.053333,16.846666,16.993334,7153800,13.764411
"2010-03-15",16.940001,17.083332,16.873333,17.040001,8900700,13.802209
"2010-03-16",17.046667,17.206667,17,17.18,7663500,13.915611
"2010-03-17",17.18,17.266666,16.983334,17.076668,7757400,13.831909
"2010-03-18",17.106667,17.313334,17.013332,17.283333,9213000,13.999303
"2010-03-19",17.17,17.486668,17.049999,17.17,11141700,13.907508
"2010-03-22",17.013332,17.376667,17,17.266666,6084900,13.985806
"2010-03-23",17.323334,17.333332,16.913334,17.25,9484200,13.97231
"2010-03-24",17.190001,17.196667,16.906668,17.033333,7063800,13.796807
"2010-03-25",17.24,17.443333,17.036667,17.059999,10232700,13.818411
"2010-03-26",17.106667,17.15,16.833332,16.996668,7366200,13.767114
"2010-03-29",17.136667,17.266666,17.003332,17.17,6234900,13.907508
"2010-03-30",17.219999,17.27,17.043333,17.110001,10437600,13.85891
"2010-03-31",17.066668,17.129999,16.866667,16.966667,10352100,13.742812
"2010-04-01",17.110001,17.416668,17.110001,17.4,10870500,14.093805
"2010-04-05",17.526667,17.716667,17.25,17.536667,9098400,14.204501
"2010-04-06",17.34,17.513332,17.27,17.486668,6253500,14.164007
"2010-04-07",17.540001,17.540001,17.176666,17.306667,11815200,14.018208
"2010-04-08",17.213333,17.703333,17.173332,17.66,9010800,14.304402
"2010-04-09",17.743334,17.823334,17.436666,17.653334,7700100,14.299001
"2010-04-12",17.686666,17.726667,17.49,17.626667,6298800,14.277401
"2010-04-13",17.623333,17.82,17.443333,17.76,15961800,14.385406
"2010-04-14",18.166668,18.533333,17.846666,18.486668,26050800,14.973988
"2010-04-15",18.41,18.556667,18.280001,18.416668,11160900,14.917295
"2010-04-16",18.4,18.446667,17.856667,18.146667,13485300,14.698602
"2010-04-19",18.07,18.133333,17.9,18.066668,12664800,14.633803
"2010-04-20",18.216667,18.506666,18.143333,18.403334,13287900,14.906489
"2010-04-21",18.386667,18.646667,18.27,18.496668,11513700,14.982094
"2010-04-22",18.326668,18.620001,18.07,18.566668,10548300,15.038795
"2010-04-23",18.626667,18.963333,18.58,18.940001,11080200,15.341183
"2010-04-26",18.986668,19.056667,18.84,19,10588800,15.389792
"2010-04-27",18.956667,19.103333,18.5,18.573334,14383500,15.044199
"2010-04-28",18.736668,18.776667,18.386667,18.626667,12983400,15.087387
"2010-04-29",18.77,19.206667,18.696667,19.093332,11366400,15.465381
"2010-04-30",19.156668,19.303333,18.67,18.683332,11894700,15.133288
"2010-05-03",18.833332,19.316668,18.76,19.166668,10658100,15.524785
"2010-05-04",19,19.003332,18.266666,18.443333,12939600,14.938892
"2010-05-05",18.173332,18.253332,17.836666,17.940001,15622200,14.531203
"2010-05-06",17.85,20.666668,16.126667,17.709999,26413500,14.344899
"2010-05-07",17.586666,17.98,17.213333,17.556667,24409800,14.220704
"2010-05-10",18.200001,18.643333,18.133333,18.416668,15548700,14.917295
"2010-05-11",18.203333,18.76,18.196667,18.526667,8516100,15.006392
"2010-05-12",18.610001,19.013332,18.57,18.913334,9990900,15.319587
"2010-05-13",18.883333,18.959999,18.6,18.65,5278500,15.10629
"2010-05-14",18.436666,18.556667,18.126667,18.343332,8495400,14.857894
"2010-05-17",18.360001,18.513332,17.756666,18.223333,9102900,14.760698
"2010-05-18",18.413334,18.583332,17.856667,17.963333,9984000,14.550096
"2010-05-19",17.799999,18.033333,17.219999,17.706667,14048100,14.342206
"2010-05-20",17.17,17.219999,16.543333,16.586666,22502400,13.435014
"2010-05-21",16.309999,17.173332,16.09,17.030001,17724300,13.794106
"2010-05-24",16.92,17.18,16.806667,16.823334,8650800,13.626715
"2010-05-25",16.196667,16.856667,16.103333,16.826668,14145900,13.629412
"2010-05-26",16.953333,17.336666,16.866667,16.940001,10624500,13.786754
"2010-05-27",17.196667,17.553333,16.99,17.540001,12652500,14.275075
"2010-05-28",17.586666,17.656668,17.213333,17.416668,10669200,14.174695
"2010-06-01",17.41,17.743334,17.02,17.176666,9442500,13.979367
"2010-06-02",17.333332,17.846666,17.200001,17.833332,9834900,14.513802
"2010-06-03",17.986668,18,17.466667,17.673332,15932400,14.383588
"2010-06-04",17.35,17.406668,16.59,16.673332,17594100,13.569728
"2010-06-07",16.706667,16.77,16.186666,16.219999,15872100,13.200776
"2010-06-08",16.306667,16.52,16,16.416668,16857600,13.360838
"2010-06-09",16.556667,16.99,16.316668,16.396667,18539700,13.34456
"2010-06-10",16.733334,17.266666,16.733334,17.256666,10321200,14.044477
"2010-06-11",17.040001,17.41,16.98,17.383333,5647200,14.147565
"2010-06-14",17.653334,17.803333,17.243334,17.290001,9991800,14.071612
"2010-06-15",17.503332,17.883333,17.43,17.873333,8383200,14.546358
"2010-06-16",17.726667,18.096666,17.693333,17.906668,9765900,14.573485
"2010-06-17",18.073334,18.363333,17.83,18.326668,14013300,14.915306
"2010-06-18",18.34,18.373333,18.16,18.316668,10595700,14.907168
"2010-06-21",18.536667,18.879999,18.536667,18.663334,13499400,15.189304
"2010-06-22",18.713333,18.766666,17.723333,17.826668,12737100,14.508374
"2010-06-23",17.889999,17.926666,17.49,17.790001,9435900,14.478538
"2010-06-24",17.629999,17.646667,17.143333,17.23,12361500,14.022778
"2010-06-25",17.32,17.496668,17.1,17.416668,11233200,14.174695
"2010-06-28",17.5,17.65,17.360001,17.453333,9995700,14.20454
"2010-06-29",17.083332,17.143333,16.483334,16.65,16731900,13.550738
"2010-06-30",16.629999,16.799999,16.473333,16.543333,13977300,13.463926
"2010-07-01",16.616667,16.786667,16.030001,16.376667,16129800,13.328288
"2010-07-02",16.389999,16.483334,15.82,15.9,18172500,12.940345
"2010-07-06",16.263332,16.356667,15.666667,15.826667,19038600,12.880662
"2010-07-07",15.9,16.49,15.863333,16.436666,17826600,13.37711
"2010-07-08",16.559999,16.956667,16.51,16.92,24058800,13.770476
"2010-07-09",17.049999,17.373333,16.986668,17.253332,18812700,14.04177
"2010-07-12",17.299999,17.540001,17.156668,17.486668,21978300,14.231668
"2010-07-13",17.593332,17.966667,16.933332,17.24,44871000,14.030914
"2010-07-14",17.146667,17.533333,17,17.313334,23798700,14.090595
"2010-07-15",17.336666,17.379999,16.986668,17.34,17654100,14.112305
"2010-07-16",17.23,17.266666,16.536667,16.706667,24522000,13.596857
"2010-07-19",16.823334,16.85,16.446667,16.596666,14016600,13.507332
"2010-07-20",16.333332,16.923332,16.333332,16.870001,15024000,13.729785
"2010-07-21",17,17,16.506666,16.673332,11239500,13.569728
"2010-07-22",16.943333,17.436666,16.943333,17.24,12083100,14.030914
"2010-07-23",17.27,17.663334,17.263332,17.549999,17081700,14.283208
"2010-07-26",17.586666,18.08,17.48,17.953333,12843600,14.611472
"2010-07-27",18.113333,18.113333,17.616667,17.663334,15629700,14.375449
"2010-07-28",17.583332,17.673332,17.383333,17.57,11215800,14.299484
