"dates","DG.Open","DG.High","DG.Low","DG.Close","DG.Volume","DG.Adjusted"
"2010-01-04",22.549999,23.4,22.4,23.08,437200,21.610567
"2010-01-05",23,23.26,22.959999,23.26,283600,21.779106
"2010-01-06",23.6,23.9,23.41,23.58,968100,22.078733
"2010-01-07",23.549999,23.780001,23.4,23.74,360700,22.228548
"2010-01-08",23.639999,24.15,23.32,23.870001,967300,22.350271
"2010-01-11",23.85,24.08,23.76,24,253500,22.471994
"2010-01-12",23.85,24,23.559999,23.950001,517700,22.425171
"2010-01-13",23.950001,24.4,23.809999,24.299999,596300,22.75289
"2010-01-14",24.18,24.200001,23.93,24.200001,201500,22.659262
"2010-01-15",24.440001,24.5,24.1,24.360001,202100,22.809071
"2010-01-19",24.4,24.9,24.23,24.549999,679300,22.986975
"2010-01-20",24.51,24.799999,24.25,24.51,589800,22.949522
"2010-01-21",24.530001,24.719999,23.9,23.98,203300,22.453274
"2010-01-22",23.99,24.040001,22.77,23.34,892700,21.854015
"2010-01-25",23.639999,23.639999,23.059999,23.35,119500,21.863379
"2010-01-26",23.4,23.68,23.32,23.530001,164800,22.031918
"2010-01-27",23.6,23.6,23.370001,23.549999,175300,22.050644
"2010-01-28",23.790001,24.120001,23.389999,23.84,131400,22.322174
"2010-01-29",24,24,23.23,23.49,337800,21.994461
"2010-02-01",23.68,23.68,23.129999,23.370001,407500,21.882105
"2010-02-02",23.33,23.719999,23.190001,23.629999,208300,22.125549
"2010-02-03",23.6,23.860001,23.41,23.84,827700,22.322174
"2010-02-04",23.639999,23.75,22.35,22.469999,714000,21.039404
"2010-02-05",22.41,22.57,21.299999,21.709999,1137100,20.327791
"2010-02-08",21.879999,22.629999,21.76,22.389999,208100,20.964495
"2010-02-09",22.49,22.76,22.27,22.559999,220700,21.123671
"2010-02-10",22.379999,22.379999,21.870001,22.049999,403900,20.646143
"2010-02-11",21.969999,22.18,21.950001,22.059999,107600,20.655504
"2010-02-12",21.91,22.549999,21.879999,22.549999,125600,21.114305
"2010-02-16",22.65,23.07,22.27,23.030001,248000,21.563753
"2010-02-17",23.040001,23.389999,22.59,22.76,189800,21.310938
"2010-02-18",22.639999,23.5,22.5,23.280001,121400,21.797829
"2010-02-19",23.290001,23.959999,23.290001,23.58,187600,22.078733
"2010-02-22",23.5,23.52,23.09,23.24,155500,21.760378
"2010-02-23",23.200001,23.73,23.1,23.639999,134300,22.134914
"2010-02-24",23.809999,24.35,23.75,24.16,208400,22.621807
"2010-02-25",23.82,24.07,23.52,23.799999,258000,22.284725
"2010-02-26",23.91,23.959999,23.51,23.889999,265000,22.368998
"2010-03-01",24.01,24.57,23.879999,24.09,271500,22.556269
"2010-03-02",24.129999,24.299999,23.77,24.040001,279500,22.509447
"2010-03-03",24,24.110001,23.82,23.99,114700,22.462631
"2010-03-04",24.02,24.4,23.99,24.200001,149900,22.659262
"2010-03-05",24.25,24.74,24.18,24.52,189900,22.958883
"2010-03-08",24.549999,24.879999,24.51,24.67,144800,23.099337
"2010-03-09",24.549999,25.24,24.5,25.120001,185200,23.520685
"2010-03-10",25.110001,25.18,24.91,25.059999,248200,23.46451
"2010-03-11",24.99,25.190001,24.809999,25.110001,99800,23.51132
"2010-03-12",25.139999,25.25,24.98,25.129999,55300,23.530054
"2010-03-15",25.16,25.25,24.870001,25.030001,195600,23.436417
"2010-03-16",25.02,25.200001,24.860001,25.120001,109300,23.520685
"2010-03-17",25.110001,26.51,24.940001,25.82,503500,24.176121
"2010-03-18",25.879999,25.93,25.23,25.24,156700,23.633049
"2010-03-19",25.6,25.75,25,25.6,741400,23.970123
"2010-03-22",25.559999,25.719999,24.950001,25.01,234000,23.417688
"2010-03-23",25,25.25,24.9,25.18,152500,23.576866
"2010-03-24",25.17,25.969999,25,25.25,1307200,23.642408
"2010-03-25",25.440001,25.48,24.290001,24.43,367900,22.874622
"2010-03-26",24.59,25.18,24.35,24.99,793000,23.398964
"2010-03-29",25.23,25.6,25.16,25.35,336700,23.736046
"2010-03-30",25.5,25.91,25.200001,25.790001,553100,24.148031
"2010-03-31",26.4,26.4,24.85,25.25,1212100,23.642408
"2010-04-01",25.35,25.799999,25.290001,25.52,1232200,23.895216
"2010-04-05",25.73,25.799999,25.389999,25.799999,621500,24.157387
"2010-04-06",26.110001,27.01,26.08,27.01,716600,25.290352
"2010-04-07",27.02,27.1,26.43,26.549999,731700,24.859642
"2010-04-08",26.6,26.76,26.23,26.51,210300,24.822187
"2010-04-09",26.6,26.639999,26.25,26.469999,305300,24.784735
"2010-04-12",26.450001,26.58,26.18,26.24,252100,24.56938
