"dates","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"2010-01-04",32.5,32.75,31.870001,32.07,13700400,27.933924
"2010-01-05",32.07,32.16,31.700001,31.99,10307700,27.864237
"2010-01-06",31.9,32,31.68,31.82,10709500,27.716166
"2010-01-07",31.77,31.860001,31.540001,31.83,8202100,27.724878
"2010-01-08",31.66,31.940001,31.530001,31.879999,7657500,27.768419
"2010-01-11",31.530001,31.74,31.09,31.360001,11250500,27.315489
"2010-01-12",31.02,31.120001,30.68,30.82,14618300,26.845137
"2010-01-13",30.889999,31.370001,30.870001,31.290001,9620600,27.254517
"2010-01-14",31.129999,31.18,30.959999,31.02,9235600,27.019341
"2010-01-15",31.01,31.15,30.41,30.6,13936400,26.653505
"2010-01-19",30.59,31.190001,30.5,31.01,9662100,27.010632
"2010-01-20",31,31.24,30.719999,31.190001,13302800,27.167416
"2010-01-21",31.139999,31.42,30.57,30.610001,15403600,26.662218
"2010-01-22",30.5,30.709999,29.950001,29.98,14459400,26.113466
"2010-01-25",30.219999,30.23,29.549999,29.92,11155800,26.061203
"2010-01-26",29.799999,29.940001,29.32,29.66,11197300,25.834743
"2010-01-27",29.559999,29.809999,29.01,29.32,16121200,25.538593
"2010-01-28",29.43,29.48,28.709999,29.35,17126000,25.564722
"2010-01-29",29.370001,29.82,29.25,29.549999,14507900,25.738926
"2010-02-01",29.6,29.77,29.34,29.52,10894200,25.712797
"2010-02-02",29.530001,30.01,29.219999,29.98,10100900,26.113466
"2010-02-03",29.92,30.870001,29.790001,30.75,15976200,26.784159
"2010-02-04",30.280001,30.49,29.66,29.67,13407100,25.843452
"2010-02-05",29.629999,29.84,28.99,29.540001,11956100,25.730217
"2010-02-08",29.76,29.950001,29.459999,29.48,10656800,25.677956
"2010-02-09",29.889999,30.040001,29.48,29.84,14376800,25.991522
"2010-02-10",29.16,30.09,29.030001,30.030001,24191900,26.157019
"2010-02-11",29.82,30.43,29.76,30.16,12389400,26.27025
"2010-02-12",29.860001,30.200001,29.860001,30.07,12802700,26.191866
"2010-02-16",30.280001,30.5,30.17,30.469999,9061600,26.540272
"2010-02-17",30.540001,30.93,30.379999,30.860001,9768600,26.879976
"2010-02-18",30.860001,31.07,30.68,31.02,8212300,27.019341
"2010-02-19",30.940001,31.52,30.85,31.23,12595600,27.202257
"2010-02-22",31.35,31.469999,31.059999,31.120001,7868200,27.106445
"2010-02-23",31.030001,31.27,30.860001,30.92,10228300,26.932238
"2010-02-24",31.049999,31.5,31.01,31.389999,12062100,27.341623
"2010-02-25",30.879999,31.41,30.85,31.360001,10553800,27.315489
"2010-02-26",31.389999,31.41,30.98,31.24,13449800,27.210964
"2010-03-01",31.4,31.6,31.34,31.540001,8681000,27.472275
"2010-03-02",31.41,31.92,31.389999,31.879999,14070600,27.768419
"2010-03-03",31.950001,31.959999,31.549999,31.639999,10345500,27.559378
"2010-03-04",32.02,32.860001,31.92,32.57,23075400,28.369436
"2010-03-05",32.790001,33.220001,32.75,33.220001,19204800,28.93561
"2010-03-08",32.959999,33.5,32.950001,33.189999,13176600,28.909479
"2010-03-09",33,33.34,32.779999,33.310001,11072700,29.013996
"2010-03-10",33.18,33.599998,33.099998,33.330002,9652900,29.031422
"2010-03-11",33.32,33.810001,33.119999,33.810001,11392500,29.449511
"2010-03-12",33.810001,33.810001,33.470001,33.689999,9610400,29.344988
"2010-03-15",33.52,33.75,33.360001,33.720001,8235900,29.371117
"2010-03-16",33.740002,33.830002,33.490002,33.75,8472600,29.397249
"2010-03-17",33.790001,33.84,33.529999,33.75,7858400,29.397249
"2010-03-18",33.689999,33.849998,33.52,33.779999,8044200,29.423378
"2010-03-19",33.639999,33.98,33.48,33.639999,16729000,29.301434
"2010-03-22",33.470001,34.189999,33.419998,33.950001,11717600,29.571459
"2010-03-23",34,34.099998,33.73,34.009998,7038000,29.623716
"2010-03-24",33.91,34.43,33.869999,34.389999,12195200,29.95471
"2010-03-25",34.490002,35.5,34.419998,35.09,32705900,30.564434
"2010-03-26",34.889999,35.599998,34.849998,35.310001,22909800,30.756054
"2010-03-29",35.279999,35.419998,34.970001,35.16,12560500,30.625399
