"dates","DLTR.Open","DLTR.High","DLTR.Low","DLTR.Close","DLTR.Volume","DLTR.Adjusted"
"2010-01-04",16.176666,16.34,16,16.056667,3059400,16.056667
"2010-01-05",16.013332,16.046667,15.663333,15.853333,3456600,15.853333
"2010-01-06",16.253332,16.816668,16.233334,16.783333,6359400,16.783333
"2010-01-07",16.68,16.806667,16.4,16.673332,2620500,16.673332
"2010-01-08",16.536667,16.656668,16.396667,16.443333,1763100,16.443333
"2010-01-11",16.496668,16.496668,16.273333,16.353333,2376600,16.353333
"2010-01-12",16.313334,16.666668,16.226667,16.546667,3091500,16.546667
"2010-01-13",16.606667,16.616667,16.35,16.466667,1925100,16.466667
"2010-01-14",16.446667,16.556667,16.356667,16.416668,1462500,16.416668
"2010-01-15",16.443333,16.610001,16.343332,16.456667,1988700,16.456667
"2010-01-19",16.483334,16.673332,16.440001,16.553333,2977200,16.553333
"2010-01-20",16.476667,16.516666,16.363333,16.446667,1824300,16.446667
"2010-01-21",16.450001,16.626667,16.41,16.436666,2460600,16.436666
"2010-01-22",16.4,16.450001,16.033333,16.073334,3027300,16.073334
"2010-01-25",16.110001,16.353333,16,16.266666,3674700,16.266666
"2010-01-26",16.076668,16.476667,16.003332,16.363333,2154000,16.363333
"2010-01-27",16.280001,16.456667,16.216667,16.303333,2147100,16.303333
"2010-01-28",16.379999,16.456667,16.166668,16.366667,5988600,16.366667
"2010-01-29",16.413334,16.629999,16.326668,16.506666,4549800,16.506666
"2010-02-01",16.633333,16.663334,16.466667,16.656668,3435300,16.656668
"2010-02-02",16.713333,17.016666,16.676666,16.966667,4244100,16.966667
"2010-02-03",16.896667,17.243334,16.826668,17.063334,5797500,17.063334
"2010-02-04",16.663334,16.703333,16.333332,16.363333,10197600,16.363333
"2010-02-05",16.233334,16.24,16.016666,16.056667,8872800,16.056667
"2010-02-08",16.036667,16.08,15.666667,15.706667,8184600,15.706667
"2010-02-09",15.793333,16.033333,15.723333,15.99,3749400,15.99
"2010-02-10",15.883333,16.086666,15.78,15.926667,3032400,15.926667
"2010-02-11",15.876667,15.923333,15.74,15.903333,2658000,15.903333
"2010-02-12",15.866667,16.126667,15.786667,16.123333,3553800,16.123333
"2010-02-16",16.370001,16.663334,16.290001,16.440001,5277000,16.440001
"2010-02-17",16.440001,16.726667,16.423332,16.696667,2220000,16.696667
"2010-02-18",16.633333,16.676666,16.533333,16.626667,1643700,16.626667
"2010-02-19",16.573334,16.796667,16.513332,16.666668,2938500,16.666668
"2010-02-22",16.713333,16.806667,16.496668,16.51,3861600,16.51
"2010-02-23",16.559999,16.663334,16.379999,16.563334,4638900,16.563334
"2010-02-24",17.299999,18.746668,17.286667,18.593332,20157300,18.593332
"2010-02-25",18.530001,18.82,18.506666,18.690001,8453700,18.690001
"2010-02-26",18.780001,18.799999,18.516666,18.58,4259100,18.58
"2010-03-01",18.696667,18.743334,18.379999,18.426666,3934500,18.426666
"2010-03-02",18.386667,18.700001,18.316668,18.68,4341600,18.68
"2010-03-03",18.620001,18.713333,18.476667,18.540001,3189900,18.540001
