"dates","DOV.Open","DOV.High","DOV.Low","DOV.Close","DOV.Volume","DOV.Adjusted"
"2010-01-04",28.10047,28.395418,27.906073,28.395418,1859815,22.407301
"2010-01-05",28.328384,28.3619,28.120581,28.261351,1272199,22.301508
"2010-01-06",28.254646,28.636738,28.087063,28.596518,1852654,22.565994
"2010-01-07",28.710476,29.568504,28.710476,29.226633,1959317,23.063221
"2010-01-08",29.19982,30.077959,28.971907,30.064552,2190843,23.724449
"2010-01-11",30.111477,30.533789,30.064552,30.426535,2006308,24.010084
"2010-01-12",30.13829,30.540491,30.051147,30.533789,3228532,24.094727
"2010-01-13",30.426535,30.87566,30.346094,30.815329,4637975,24.316891
"2010-01-14",30.795219,31.1572,30.533789,31.123684,2707450,24.560221
"2010-01-15",30.982912,31.05665,30.453348,30.560602,2848125,24.115877
"2010-01-19",30.386314,30.83544,30.352798,30.768406,2328535,24.279865
"2010-01-20",30.500271,30.513678,30.144995,30.466755,2740567,24.04183
"2010-01-21",30.386314,30.647745,29.964003,30.064552,2806803,23.724449
"2010-01-22",30.024332,30.024332,29.300371,29.340591,1998700,23.153154
"2010-01-25",29.441141,29.783012,28.871355,28.992016,2614959,22.878084
"2010-01-26",28.81773,29.119381,28.636738,28.797619,1639179,22.72468
"2010-01-27",28.703772,28.797619,28.133987,28.697069,2713864,22.645336
"2010-01-28",28.77751,28.891466,28.348494,28.50267,2890343,22.491938
"2010-01-29",28.891466,30.19862,28.723883,28.743992,4529820,22.682365
"2010-02-01",28.945093,29.421032,28.837839,29.13949,2268267,22.994467
"2010-02-02",29.266853,29.789717,29.213226,29.709274,2707599,23.444082
"2010-02-03",29.414328,29.91708,29.407623,29.581911,2062996,23.343578
"2010-02-04",29.313778,29.514877,28.542891,28.663551,3115603,22.618887
"2010-02-05",28.609924,28.804321,27.148594,27.812225,4967213,21.947092
"2010-02-08",27.765303,27.926184,27.383211,27.517279,3166772,21.71435
"2010-02-09",27.852446,28.395418,27.812225,28.194317,4190736,22.248608
"2010-02-10",28.160801,28.455748,27.899368,28.214428,2066278,22.264473
"2010-02-11",28.167503,28.770805,27.966402,28.743992,3208691,22.682365
"2010-02-12",28.475859,28.743992,28.127283,28.636738,2069411,22.597729
"2010-02-16",28.864653,29.266853,28.784212,29.260151,1958124,23.089672
"2010-02-17",29.400921,29.809826,29.28026,29.796419,3182585,23.512852
"2010-02-18",29.99752,30.580711,29.762901,30.460051,3363091,24.036531
"2010-02-19",30.426535,30.909176,30.232138,30.889067,3661599,24.37508
"2010-02-22",30.929285,30.982912,30.661152,30.848846,2914808,24.34334
"2010-02-23",30.426535,30.781813,29.843344,30.124884,3578953,23.772053
"2010-02-24",30.151697,30.232138,29.829935,29.964003,3989792,23.782684
"2010-02-25",29.28026,29.950596,29.119381,29.903673,2997155,23.734804
"2010-02-26",29.984114,30.406424,29.856749,30.339392,2398798,24.080637
"2010-03-01",30.513678,30.895769,30.37961,30.674559,2048526,24.346664
"2010-03-02",30.895769,31.090166,30.734888,30.935989,2258272,24.554159
"2010-03-03",30.87566,31.137091,30.681261,30.781813,2371797,24.431799
"2010-03-04",30.87566,31.163904,30.687965,30.882362,1865782,24.511597
"2010-03-05",31.090166,31.552698,31.090166,31.519182,2077318,25.017046
"2010-03-08",31.505775,31.552698,31.244345,31.284563,781250,24.830835
"2010-03-09",31.170607,31.418631,31.049948,31.184013,1406907,24.75102
"2010-03-10",31.137091,31.137091,30.862253,31.05665,1620382,24.649929
"2010-03-11",30.687965,31.11698,30.466755,31.110277,1167176,24.692499
"2010-03-12",31.257751,31.351599,30.922583,31.123684,1007853,24.703138
"2010-03-15",31.023132,31.070057,30.721481,30.996321,1515659,24.602049
"2010-03-16",31.123684,31.365004,30.996321,31.076759,2181445,24.665894
"2010-03-17",31.130386,31.713579,31.049948,31.458851,1301139,24.969162
"2010-03-18",31.405226,31.673359,31.318081,31.566105,1393779,25.054291
"2010-03-19",31.190718,31.800722,31.123684,31.190718,1917845,24.756346
"2010-03-22",30.949396,31.438742,30.815329,31.11698,1387812,24.697819
"2010-03-23",31.110277,31.881163,30.862253,31.760502,3352350,25.208586
"2010-03-24",31.713579,31.713579,31.083464,31.103575,2257078,24.687178
"2010-03-25",31.398521,31.398521,30.902473,30.9561,2479355,24.570124
"2010-03-26",30.962803,31.163904,30.533789,30.882362,3442305,24.511597
"2010-03-29",30.989616,31.291267,30.822033,31.264454,2474880,24.814873
"2010-03-30",31.385115,31.693468,31.371708,31.586214,2177268,25.070257
"2010-03-31",31.485664,31.626434,31.217531,31.33819,1387514,24.873394
"2010-04-01",31.505775,31.79402,31.277861,31.505775,2126547,25.006407
"2010-04-05",31.700172,31.97501,31.606325,31.87446,2125801,25.299034
"2010-04-06",31.780613,31.954901,31.619732,31.941492,1561158,25.352243
"2010-04-07",31.840942,31.995119,31.613029,31.733688,1744052,25.187304
"2010-04-08",31.586214,31.693468,31.23764,31.599623,1263844,25.080894
"2010-04-09",31.639841,32.216331,31.512478,32.189518,1658274,25.549097
"2010-04-12",32.303474,32.330288,31.954901,32.05545,1335600,25.44269
"2010-04-13",31.928085,32.249847,31.840942,32.088966,1331870,25.46929
"2010-04-14",32.176109,32.678864,32.149296,32.638641,1560711,25.905573
"2010-04-15",32.444244,32.678864,32.437542,32.517982,1483734,25.809803
"2010-04-16",32.444244,32.491169,31.87446,32.028637,1378116,25.421412
"2010-04-19",31.827536,32.068855,31.458851,32.008526,1413023,25.405441
"2010-04-20",32.316879,32.591721,32.162704,32.343693,1404073,25.671467
"2010-04-21",32.310177,32.799522,32.276661,32.772709,1765683,26.011976
"2010-04-22",32.578312,33.744698,32.343693,33.684364,3072789,26.73558
"2010-04-23",35.929989,37.203629,35.929989,36.332191,8252731,28.837175
"2010-04-26",36.278564,36.278564,35.755703,35.936695,3190342,28.523268
"2010-04-27",35.842846,36.043945,34.555801,34.683167,3744542,27.528324
"2010-04-28",34.777012,35.092072,34.649651,34.884266,1771202,27.687939
"2010-04-29",35.239544,35.547897,34.99152,35.427238,2326447,28.118906
"2010-04-30",35.52779,35.80933,34.998222,35.004929,2683432,27.783712
"2010-05-03",35.239544,35.903175,35.145699,35.802628,1587265,28.416862
"2010-05-04",35.27306,35.27306,34.428436,34.803825,2478758,27.6241
"2010-05-05",34.435143,34.797123,34.227337,34.589317,2709389,27.453835
"2010-05-06",34.327888,34.482063,30.171806,32.672157,3689047,25.932178
"2010-05-07",32.658752,32.812927,31.324783,32.19622,4123606,25.554424
"2010-05-10",33.932388,34.368107,33.516781,34.146896,2506953,27.102688
"2010-05-11",33.704475,34.455254,33.704475,33.831841,2576023,26.852619
"2010-05-12",33.965908,34.810532,33.965908,34.703278,1621874,27.544291
"2010-05-13",34.669758,34.797123,34.012829,34.066456,1720332,27.038837
"2010-05-14",33.670959,33.925686,32.739193,33.174911,1939178,26.331221
"2010-05-17",33.134689,33.583817,32.310177,33.181614,1922619,26.33654
"2010-05-18",33.550301,33.791618,32.169407,32.33699,2499494,25.666149
"2010-05-19",32.095669,32.223034,30.795219,31.626434,4093770,25.102175
"2010-05-20",30.647745,30.728186,29.628836,29.635538,4652296,23.52199
"2010-05-21",28.985313,29.964003,28.824432,29.796419,6201073,23.649677
"2010-05-24",29.675758,30.077959,29.46125,29.488066,3216001,23.404934
"2010-05-25",28.656849,29.313778,28.288164,29.266853,3629525,23.229353
"2010-05-26",29.595318,29.910376,29.193117,29.327185,3475423,23.416691
"2010-05-27",30.071257,30.574009,29.769606,30.574009,2002728,24.412235
"2010-05-28",30.493568,30.647745,29.769606,30.091368,2881691,24.026869
"2010-06-01",29.702572,30.399721,29.300371,29.307074,2546635,23.400633
"2010-06-02",29.447845,30.299171,29.072456,30.272358,2579752,24.171379
"2010-06-03",30.232138,30.868956,30.232138,30.714779,2818737,24.524635
"2010-06-04",29.823233,30.104773,28.723883,28.857948,2482488,23.042019
"2010-06-07",28.851246,29.079161,28.10047,28.14069,2177118,22.469318
"2010-06-08",28.154097,28.569704,27.765303,28.348494,1850118,22.635244
"2010-06-09",28.556297,29.467955,28.495968,28.616629,2375377,22.84934
"2010-06-10",29.206524,29.943893,29.17971,29.930487,2579752,23.898407
"2010-06-11",29.555098,30.285765,29.488066,30.258951,2457724,24.160671
"2010-06-14",30.654449,31.063353,30.332687,30.439941,2177864,24.305191
"2010-06-15",30.667854,31.512478,30.667854,31.465555,2063295,25.124096
"2010-06-16",31.036539,31.33819,30.935989,31.103575,1891590,24.835073
"2010-06-17",31.177311,31.264454,30.466755,30.801924,2447132,24.594219
"2010-06-18",30.889067,30.97621,30.386314,30.587416,2473239,24.422941
"2010-06-21",31.070057,31.613029,30.87566,31.049948,1821923,24.792253
"2010-06-22",31.137091,31.190718,29.749496,29.823233,3985466,23.812771
"2010-06-23",29.816528,29.99752,29.112677,29.729385,2724307,23.737829
"2010-06-24",29.608725,29.823233,28.951796,29.025534,2266327,23.175833
"2010-06-25",29.166304,29.642242,28.924982,29.588615,3280297,23.625435
"2010-06-28",29.581911,29.729385,28.99872,29.347294,1514913,23.432743
"2010-06-29",28.737289,28.831137,27.85915,28.093767,2756977,22.43185
"2010-06-30",28.093767,28.630035,27.919479,28.013327,2453995,22.367626
"2010-07-01",27.979809,28.147392,27.148594,27.691565,2732064,22.110703
"2010-07-02",27.772005,27.952995,27.376507,27.557499,1671998,22.003662
"2010-07-06",27.99992,28.475859,27.637938,27.926184,2656729,22.298042
"2010-07-07",27.932886,28.951796,27.832336,28.904873,2338381,23.079489
"2010-07-08",29.213226,29.387514,28.750694,29.219931,1567871,23.331051
"2010-07-09",29.246744,29.702572,29.079161,29.608725,1484182,23.641493
"2010-07-12",29.427734,29.514877,28.851246,29.126083,1614117,23.256113
"2010-07-13",29.635538,30.024332,29.575209,29.749496,1864141,23.753891
"2010-07-14",29.642242,30.104773,29.441141,29.823233,1535947,23.812771
"2010-07-15",29.762901,29.863453,28.992016,29.561802,2171897,23.604029
"2010-07-16",29.159599,29.340591,28.469154,28.542891,2130425,22.790457
"2010-07-19",28.757399,28.965202,28.308273,28.891466,1088858,23.068785
"2010-07-20",28.388714,29.300371,28.382011,29.28026,1785971,23.379221
"2010-07-21",29.541693,30.071257,29.387514,29.695869,2772492,23.711073
"2010-07-22",30.165104,30.882362,30.051147,30.862253,3321172,24.642387
"2010-07-23",32.672157,32.678864,31.37841,32.001823,5181434,25.552288
"2010-07-26",32.182816,32.678864,31.807426,32.538094,2390892,25.980486
"2010-07-27",32.739193,32.739193,31.706877,31.767206,3593573,25.364952
"2010-07-28",31.807426,32.095669,31.552698,31.726986,1653500,25.33285
"2010-07-29",32.001823,32.25655,31.572809,31.995119,2516799,25.54694
"2010-07-30",31.492369,32.263252,31.365004,32.156002,2333607,25.6754
"2010-08-02",32.833038,33.07436,32.363804,32.766006,2421026,26.162462
"2010-08-03",32.578312,32.866554,32.343693,32.551498,1717945,25.99118
"2010-08-04",32.631939,33.121284,32.464355,33.087769,1556235,26.41938
"2010-08-05",32.839745,33.181614,32.705677,32.879963,1449572,26.253456
"2010-08-06",32.511276,32.973808,32.189518,32.973808,1733460,26.32839
"2010-08-09",33.087769,33.101173,32.571609,32.853149,1689601,26.232038
"2010-08-10",33.067657,33.322384,32.645348,33.148098,3177214,26.46755
"2010-08-11",32.316879,32.404026,31.324783,31.411928,2153548,25.081285
"2010-08-12",30.882362,31.411928,30.83544,31.244345,1577866,24.947472
"2010-08-13",31.076759,31.365004,31.036539,31.110277,805268,24.840427
"2010-08-16",30.815329,31.271156,30.533789,31.09687,1092587,24.829718
"2010-08-17",31.478962,32.176109,31.331488,31.834238,1693778,25.418482
"2010-08-18",31.834238,32.048748,31.425335,31.854349,1032915,25.434542
"2010-08-19",31.65325,31.79402,30.862253,31.143793,1211333,24.867188
"2010-08-20",30.848846,31.05665,30.520382,30.9561,1150319,24.717318
"2010-08-23",31.170607,31.230936,30.339392,30.41983,2743402,24.289124
"2010-08-24",29.91708,30.004223,29.581911,29.803122,1939924,23.796713
"2010-08-25",29.494768,29.803122,28.978609,29.655649,1936940,23.678957
"2010-08-26",29.9573,30.325983,29.602022,29.729385,1840421,23.737829
"2010-08-27",29.762901,30.466755,29.24004,30.399721,2516948,24.424519
"2010-08-30",30.258951,30.466755,29.809826,29.809826,2004667,23.950571
"2010-08-31",29.648945,30.352798,29.421032,30.004223,2010635,24.106756
"2010-09-01",30.620932,32.035339,30.486864,31.954901,2920626,25.674015
"2010-09-02",31.867756,32.544796,31.867756,32.484467,2152504,26.099504
"2010-09-03",33.01403,33.557003,32.886665,32.987217,1855339,26.503429
"2010-09-07",32.658752,32.993919,32.531387,32.598423,1296366,26.191063
"2010-09-08",32.719082,33.148098,32.61853,32.645348,1625305,26.228754
"2010-09-09",33.201725,33.288868,32.625237,32.799522,1440622,26.352627
"2010-09-10",32.926888,33.181614,32.712379,32.980515,1991838,26.498043
"2010-09-13",33.369308,33.677662,33.114578,33.503376,1920680,26.918137
"2010-09-14",33.456451,34.026237,33.241943,33.784916,2239475,27.144335
"2010-09-15",33.670959,33.818432,33.342495,33.650848,1512675,27.036623
"2010-09-16",33.181614,33.644146,33.181614,33.409527,1954543,26.842737
"2010-09-17",33.570408,34.187119,33.335793,33.912281,2822467,27.246668
"2010-09-20",34.046349,34.803825,33.965908,34.750198,1713619,27.919895
"2010-09-21",34.763607,34.844048,34.247448,34.441845,2026597,27.672138
"2010-09-22",34.495472,34.629539,33.711178,33.945797,2135348,27.273607
"2010-09-23",33.557003,33.825134,33.221832,33.288868,1493580,26.745796
"2010-09-24",33.905579,34.770309,33.771507,34.730087,2155487,27.903734
"2010-09-27",34.803825,34.830639,34.17371,34.17371,1917249,27.456718
"2010-09-28",34.220634,34.56921,33.603924,34.495472,2268416,27.715225
"2010-09-29",34.280964,34.837341,34.153603,34.777012,3142903,27.941427
"2010-09-30",34.917782,35.52779,34.683167,34.998222,6043241,28.119173
"2010-10-01",35.3535,35.427238,34.857452,35.206028,2465332,28.286127
"2010-10-04",35.199326,35.480865,34.448547,34.937893,2292583,28.070688
"2010-10-05",35.30658,36.519886,35.30658,36.412632,3010731,29.255564
"2010-10-06",36.499775,36.533291,35.970211,36.184719,2737136,29.072451
"2010-10-07",36.392521,36.747799,35.970211,36.660656,4225794,29.454845
"2010-10-08",36.674065,36.794724,36.010429,36.560104,4764330,29.374054
"2010-10-11",36.560104,36.707581,36.077465,36.245049,1729283,29.12092
"2010-10-12",36.198124,36.48637,35.722187,36.23164,2770403,29.110146
"2010-10-13",36.841648,36.848351,36.533291,36.660656,2333010,29.454845
"2010-10-14",36.687469,36.781315,35.903175,36.224937,3355483,29.104759
"2010-10-15",36.499775,36.647247,35.816032,36.211533,2368067,29.094007
"2010-10-18",36.365707,36.399223,35.628338,35.923286,3211824,28.862402
"2010-10-19",35.313282,35.63504,35.031738,35.313282,4090488,28.372307
"2010-10-20",35.507679,36.291969,35.467461,36.064056,2453398,28.9755
"2010-10-21",36.238346,36.747799,36.144497,36.727692,3112471,29.508701
"2010-10-22",35.943398,35.943398,34.669758,35.648449,6827624,28.641584
"2010-10-25",36.010429,36.45285,35.675262,35.795921,3007449,28.760069
"2010-10-26",35.49427,35.822735,35.30658,35.641747,2019585,28.636208
"2010-10-27",35.299873,35.521084,34.964706,35.440643,1828935,28.47463
"2010-10-28",35.675262,35.923286,35.145699,35.474163,1421676,28.501564
"2010-10-29",35.313282,35.681965,35.239544,35.594822,2506655,28.598501
"2010-11-01",35.695374,36.191422,35.561306,35.876362,2089699,28.824697
"2010-11-02",36.271862,36.278564,36.023838,36.151199,1489552,29.045519
"2010-11-03",36.332191,36.338894,35.681965,36.23164,982344,29.110146
"2010-11-04",36.714283,37.297474,36.59362,37.009232,3261799,29.734896
"2010-11-05",37.036045,37.12989,36.734394,36.922089,2953147,29.664894
"2010-11-08",36.694172,36.855053,36.345596,36.560104,1912326,29.374054
"2010-11-09",36.533291,36.801426,36.285267,36.45285,2062400,29.287876
"2010-11-10",36.459557,36.801426,36.137794,36.76791,1599646,29.541006
"2010-11-11",36.372414,36.928791,36.352303,36.922089,2173687,29.664894
"2010-11-12",36.633842,36.781315,36.365707,36.613731,2540071,29.417141
"2010-11-15",36.935493,37.491871,36.76791,36.794724,3073535,29.562557
"2010-11-16",36.506477,36.667358,35.661858,35.876362,3492131,28.824697
"2010-11-17",35.963509,36.037243,35.594822,35.769112,2088357,28.738533
"2010-11-18",36.131092,36.814835,36.110981,36.412632,1861306,29.255564
"2010-11-19",36.419334,36.808128,36.117683,36.781315,2122370,29.551781
"2010-11-22",37.58572,37.686272,36.741096,37.330994,3503916,29.993422
"2010-11-23",36.788021,36.948898,36.332191,36.573513,1807154,29.384827
"2010-11-24",36.828239,38.001328,36.76791,37.967812,2219784,30.50507
"2010-11-26",37.478466,37.605827,37.150002,37.344398,660415,30.150576
"2010-11-29",36.995823,37.04945,36.533291,37.015934,2318242,29.885376
"2010-11-30",36.499775,36.98912,36.359005,36.741096,1790894,29.663486
"2010-12-01",37.498577,38.108582,37.44495,38.075066,1910386,30.740505
"2010-12-02",38.189022,38.792324,37.994625,38.731995,1484033,31.270882
"2010-12-03",38.591225,38.799026,38.423637,38.738697,1359767,31.276279
"2010-12-06",38.611332,38.671661,38.302979,38.517487,1513123,31.0977
"2010-12-07",38.939796,39.04705,38.584518,38.618034,1941266,31.178871
"2010-12-08",38.711884,39.04705,38.624741,38.973312,1476126,31.4657
"2010-12-09",39.207932,39.321888,38.792324,38.933094,1139877,31.433228
"2010-12-10",39.114082,39.28167,38.919685,39.181118,1106013,31.63348
"2010-12-13",39.449253,39.455956,38.725288,38.745399,1780302,31.281689
"2010-12-14",38.752102,39.053753,38.564407,38.698475,1666031,31.243814
"2010-12-15",38.658257,39.053753,38.530891,38.564407,2132365,31.135565
"2010-12-16",38.564407,38.765511,38.242649,38.664959,1673788,31.216755
"2010-12-17",38.658257,38.845951,38.262756,38.450451,1983186,31.043562
"2010-12-20",38.60463,38.832542,37.619236,38.256054,2634352,30.886612
"2010-12-21",38.390121,38.597927,38.262756,38.504078,1575629,31.086864
