"dates","DPZ.Open","DPZ.High","DPZ.Low","DPZ.Close","DPZ.Volume","DPZ.Adjusted"
"2010-01-04",8.53,8.68,8.41,8.68,401300,7.360745
"2010-01-05",8.65,8.77,8.51,8.76,479300,7.428587
"2010-01-06",8.78,9.07,8.76,9.01,883000,7.640593
"2010-01-07",9.07,9.39,9.03,9.37,585900,7.945873
"2010-01-08",9.3,9.37,9.12,9.37,381700,7.945873
"2010-01-11",9.42,9.45,9.2,9.44,657500,8.005238
"2010-01-12",9.74,10.4,9.69,9.92,2176900,8.412282
"2010-01-13",10.15,10.29,9.99,10.28,1474700,8.717565
"2010-01-14",10.8,11.57,10.7,11.31,5085400,9.591019
"2010-01-15",11.3,11.4,11.07,11.33,1827800,9.607979
"2010-01-19",11.38,11.7,11.31,11.42,2007900,9.684303
"2010-01-20",11.39,11.39,11.1,11.16,1559400,9.463817
"2010-01-21",11.19,11.24,11,11.03,1078500,9.353577
"2010-01-22",11.02,11.12,10.77,11.07,731200,9.387496
"2010-01-25",11.4,11.6,11.16,11.22,792500,9.514698
"2010-01-26",11.18,11.2,10.9,11,735800,9.328131
"2010-01-27",11.05,11.23,10.9,11.17,465100,9.472298
"2010-01-28",11.25,11.33,10.94,11.12,433400,9.429896
"2010-01-29",11.19,11.41,11.16,11.3,847400,9.582539
"2010-02-01",11.38,11.52,11.27,11.36,771900,9.633418
"2010-02-02",11.37,11.41,10.96,11.12,1196600,9.429896
"2010-02-03",11.11,11.2,11.03,11.08,635000,9.395977
"2010-02-04",11.01,11.07,10.57,10.7,1065300,9.073733
"2010-02-05",10.65,10.84,10.38,10.62,716700,9.005893
"2010-02-08",10.64,10.86,10.56,10.65,568800,9.031331
"2010-02-09",10.75,11.2,10.74,11.14,765200,9.446859
"2010-02-10",11.15,11.25,10.9,11.16,561400,9.463817
"2010-02-11",11.16,11.49,11.06,11.47,613500,9.726701
"2010-02-12",11.4,11.54,11.3,11.53,725100,9.777583
"2010-02-16",11.62,11.85,11.57,11.83,550500,10.031986
"2010-02-17",11.89,12.29,11.87,12.29,801200,10.422071
"2010-02-18",12.3,12.36,12.08,12.25,886100,10.388151
"2010-02-19",12.2,12.5,12.2,12.28,853100,10.413593
"2010-02-22",12.46,12.48,12.25,12.32,571700,10.44751
"2010-02-23",12.3,12.36,12.1,12.14,644300,10.294868
"2010-02-24",12.21,12.5,12.11,12.43,581200,10.540793
"2010-02-25",12.33,12.5,12.16,12.43,667300,10.540793
"2010-02-26",12.56,12.78,12.49,12.49,900900,10.591674
"2010-03-01",12.62,12.84,12.5,12.74,1921000,10.803676
"2010-03-02",13.17,13.4,12.77,13.39,3628900,11.354883
"2010-03-03",13.52,14.13,13.44,14.06,3585700,11.923054
"2010-03-04",14.06,14.06,13.36,13.7,2982700,11.617768
"2010-03-05",13.7,13.99,13.57,13.89,1136700,11.778893
"2010-03-08",13.97,14.05,13.77,13.79,1485400,11.694089
"2010-03-09",13.81,14.26,13.67,14.19,2127000,12.033293
"2010-03-10",14,14,13.53,13.57,2236000,11.507525
"2010-03-11",13.61,13.92,13.5,13.74,1385500,11.651688
"2010-03-12",13.88,13.94,13.65,13.9,687400,11.787371
"2010-03-15",13.9,13.98,13.69,13.77,753700,11.677128
"2010-03-16",13.79,14.08,13.65,14.08,1017400,11.940013
"2010-03-17",14.1,14.25,14.03,14.19,915000,12.033293
"2010-03-18",14.03,14.03,13.3,13.56,1934900,11.499047
"2010-03-19",13.35,13.7,13.29,13.35,1229500,11.320964
"2010-03-22",13.38,13.98,13.35,13.92,1130800,11.804333
