"dates","DRE.Open","DRE.High","DRE.Low","DRE.Close","DRE.Volume","DRE.Adjusted"
"2010-01-04",12.27,12.36,12.02,12.11,2854300,7.618746
"2010-01-05",12.18,12.39,12.02,12.29,4152200,7.731991
"2010-01-06",12.3,12.58,12.3,12.47,4241200,7.845231
"2010-01-07",12.48,12.9,12.37,12.83,2654800,8.071721
"2010-01-08",12.71,13.14,12.68,13.12,4668900,8.254162
"2010-01-11",13.12,13.37,13.11,13.22,2399100,8.317079
"2010-01-12",13.05,13.22,12.79,12.85,2769700,8.084304
"2010-01-13",12.89,13.21,12.82,13.18,2458800,8.291916
"2010-01-14",13.04,13.15,12.88,13,1724400,8.178671
"2010-01-15",12.88,13.02,12.52,12.67,2569300,7.971057
"2010-01-19",12.67,13.07,12.58,13.05,3534600,8.210126
"2010-01-20",12.85,13.04,12.73,12.96,2714300,8.153507
"2010-01-21",13.02,13.11,12.56,12.59,3457400,7.920728
"2010-01-22",12.55,12.79,12.15,12.18,3728500,7.662786
"2010-01-25",12.33,12.41,11.95,12.13,2971500,7.631329
"2010-01-26",12,12.13,11.94,11.98,3975400,7.536961
"2010-01-27",11.95,12.09,11.72,12.05,3796300,7.580999
"2010-01-28",11.88,12.15,11.29,11.44,8361400,7.197231
"2010-01-29",11.43,11.77,11.25,11.32,3739800,7.121735
"2010-02-01",11.41,11.7,11.37,11.53,3044700,7.253853
"2010-02-02",11.38,11.83,11.22,11.61,6641200,7.304182
"2010-02-03",11.53,11.55,11.21,11.44,3080500,7.197231
"2010-02-04",11.35,11.35,10.93,10.93,3456500,6.876374
"2010-02-05",10.94,11.25,10.73,11.24,4091300,7.071406
"2010-02-08",11.21,11.31,10.83,10.83,3596900,6.813463
"2010-02-09",11.06,11.09,10.55,10.64,4343400,6.693928
"2010-02-10",10.55,10.65,10.36,10.46,7099000,6.687535
"2010-02-11",10.46,10.56,10.26,10.55,3575400,6.745076
"2010-02-12",10.36,10.71,10.29,10.67,3472000,6.821796
"2010-02-16",10.82,10.96,10.7,10.96,2481400,7.007208
"2010-02-17",10.99,11.07,10.86,10.93,2575200,6.988024
"2010-02-18",10.96,11.15,10.72,11.09,2875000,7.09032
"2010-02-19",11.02,11.2,10.97,11.15,2301900,7.12868
"2010-02-22",11.22,11.26,10.99,11.12,2178200,7.109502
"2010-02-23",11.16,11.23,11.03,11.11,2454200,7.103107
"2010-02-24",11.14,11.23,11.04,11.23,2042900,7.179827
"2010-02-25",11.04,11.17,10.97,11.14,2097600,7.122289
"2010-02-26",11.17,11.25,11.07,11.1,2633600,7.096714
"2010-03-01",11.15,11.33,11.02,11.22,2861500,7.173435
"2010-03-02",11.18,11.21,10.95,11.01,3490200,7.039174
"2010-03-03",11.03,11.2,10.92,10.95,1849300,7.000813
"2010-03-04",11.02,11.3,10.98,11.21,3341900,7.167042
"2010-03-05",11.3,11.53,11.21,11.48,3247600,7.339664
"2010-03-08",11.44,11.84,11.4,11.81,1693700,7.550649
"2010-03-09",11.75,11.99,11.65,11.83,3618500,7.563435
"2010-03-10",11.8,12.04,11.75,11.97,2300900,7.652943
"2010-03-11",11.87,12.03,11.69,12.03,2063300,7.691304
"2010-03-12",12.11,12.11,11.9,12.01,2946200,7.678517
"2010-03-15",12,12.03,11.74,11.88,1541700,7.595405
"2010-03-16",11.91,12.27,11.9,12.24,2948200,7.825568
"2010-03-17",12.26,12.5,12.22,12.48,2635200,7.979008
"2010-03-18",12.47,12.7,12.36,12.46,1943100,7.966218
"2010-03-19",12.31,12.55,12.31,12.31,2009500,7.87032
"2010-03-22",12.17,12.63,12.12,12.58,1501400,8.042947
"2010-03-23",12.59,12.64,12.3,12.49,1636200,7.985403
"2010-03-24",12.38,12.69,12.38,12.58,1699800,8.042947
"2010-03-25",12.73,12.96,12.6,12.67,2524500,8.100484
"2010-03-26",12.75,12.8,12.51,12.69,2796400,8.113272
"2010-03-29",12.75,12.76,12.53,12.66,2419600,8.094089
"2010-03-30",12.64,12.78,12.5,12.65,3235000,8.087695
"2010-03-31",12.59,12.65,12.36,12.4,3428600,7.927861
"2010-04-01",12.49,12.55,12.29,12.46,2346100,7.966218
"2010-04-05",12.54,12.84,12.46,12.82,2923200,8.196387
"2010-04-06",12.72,13.29,12.69,13.22,2996600,8.452122
"2010-04-07",13.11,13.27,12.92,13.01,3377700,8.317861
"2010-04-08",12.92,13.1,12.88,13,1988200,8.311469
"2010-04-09",13.07,13.4,12.91,13.37,3185500,8.548025
"2010-04-12",13.35,13.44,13.22,13.38,2382000,8.554418
"2010-04-13",13.36,13.77,13.31,13.72,1664000,8.771794
"2010-04-14",13.84,13.93,13.5,13.57,3159000,8.675891
"2010-04-15",13.49,13.56,13.24,13.24,3080600,8.464911
"2010-04-16",13.24,13.33,12.77,12.77,4188700,8.164417
"2010-04-19",12.66,12.91,12.57,12.83,2192800,8.202781
"2010-04-20",12.88,13.11,12.74,13.11,1930300,8.381796
"2010-04-21",13.1,13.5,13.05,13.4,3117500,8.567205
"2010-04-22",13.21,13.65,13.18,13.52,3287900,8.643927
"2010-04-23",13.55,13.89,13.47,13.73,5041500,8.778189
"2010-04-26",13.73,14.15,13.68,13.98,4275300,8.938025
"2010-04-27",13.84,13.99,13.25,13.25,3893300,8.471302
"2010-04-28",13.42,13.51,13.1,13.2,3202000,8.439337
"2010-04-29",13.44,14.03,13.42,13.99,2962800,8.944417
"2010-04-30",13.98,14.15,13.46,13.53,3780000,8.650316
"2010-05-03",13.62,14.15,13.61,13.9,3199700,8.886875
"2010-05-04",13.5,13.62,13.15,13.49,4525300,8.624744
"2010-05-05",13.27,13.68,13.1,13.35,3574400,8.535237
"2010-05-06",13.26,13.44,11.78,13.01,7100700,8.317861
"2010-05-07",12.92,13.36,12.43,12.78,6894400,8.170812
"2010-05-10",13.44,13.56,13.23,13.56,4719600,8.669498
"2010-05-11",13.3,13.98,13.29,13.8,4083900,8.822942
"2010-05-12",13.84,14.35,13.84,14.32,4191200,9.1554
"2010-05-13",14.22,14.33,13.81,13.92,6092600,9.006583
"2010-05-14",13.75,13.85,13.02,13.2,5419100,8.540729
"2010-05-17",13.28,13.47,12.77,13.21,4169400,8.547199
"2010-05-18",13.48,13.52,12.55,12.56,5137300,8.126632
"2010-05-19",12.42,12.78,12.11,12.48,4812000,8.074869
"2010-05-20",12.04,12.13,11.46,11.48,5891500,7.427845
"2010-05-21",11.24,11.85,11.02,11.81,5742200,7.641361
"2010-05-24",11.72,11.93,11.35,11.37,3632500,7.356672
"2010-05-25",10.97,11.39,10.66,11.33,5144500,7.330791
"2010-05-26",11.48,11.79,11.37,11.39,4054800,7.369613
"2010-05-27",11.73,12.11,11.52,12.1,2937600,7.828999
"2010-05-28",12.08,12.2,11.83,11.88,2727400,7.686657
"2010-06-01",11.72,11.97,11.53,11.54,2984700,7.466666
"2010-06-02",11.67,12,11.55,12,4091600,7.764298
"2010-06-03",11.92,12.13,11.85,12.01,3207900,7.770768
"2010-06-04",11.63,11.92,11.27,11.31,4595200,7.31785
"2010-06-07",11.4,11.56,11.18,11.22,2952700,7.259619
"2010-06-08",11.25,11.42,10.89,11.34,3766300,7.33726
"2010-06-09",11.49,11.91,11.44,11.53,3005000,7.460191
"2010-06-10",11.82,12.17,11.65,12.16,3794600,7.867822
"2010-06-11",11.99,12.27,11.91,12.25,2149100,7.926054
"2010-06-14",12.41,12.49,12.15,12.31,3311500,7.964876
"2010-06-15",12.31,12.74,12.22,12.73,3273100,8.236625
"2010-06-16",12.56,12.69,12.41,12.49,3016700,8.081341
"2010-06-17",11.91,12.28,11.88,12.25,18599400,7.926054
"2010-06-18",12.22,12.38,12.08,12.29,5271600,7.951937
"2010-06-21",12.48,12.67,12.18,12.25,3723500,7.926054
"2010-06-22",12.3,12.37,11.84,11.85,3791100,7.667246
"2010-06-23",11.86,12,11.68,11.94,10013000,7.725477
"2010-06-24",11.84,11.89,11.57,11.61,4883000,7.511961
"2010-06-25",11.64,12,11.5,11.95,4954200,7.731947
"2010-06-28",11.97,11.98,11.72,11.8,2536500,7.634892
"2010-06-29",11.56,11.57,11.26,11.36,5793600,7.350201
"2010-06-30",11.36,11.7,11.29,11.35,6073800,7.34373
"2010-07-01",11.41,11.54,11.05,11.29,4504700,7.304909
"2010-07-02",11.33,11.33,10.77,10.83,5125100,7.007277
"2010-07-06",11.05,11.14,10.19,10.37,5710300,6.709646
"2010-07-07",10.43,10.82,10.39,10.75,7204000,6.955518
"2010-07-08",10.87,10.95,10.41,10.65,10732800,6.890815
"2010-07-09",10.6,10.74,10.53,10.69,6253100,6.916694
"2010-07-12",10.63,10.68,10.46,10.6,7242700,6.858462
"2010-07-13",10.77,11,10.7,10.94,5091600,7.07845
"2010-07-14",10.86,11.01,10.65,10.86,2816400,7.02669
"2010-07-15",10.84,10.88,10.54,10.85,3194400,7.02022
"2010-07-16",10.77,10.85,10.45,10.6,6214500,6.858462
"2010-07-19",10.7,10.98,10.46,10.89,4221600,7.0461
"2010-07-20",10.71,11.26,10.61,11.21,5282000,7.253149
"2010-07-21",11.33,11.33,10.81,10.84,5307200,7.01375
"2010-07-22",11,11.43,10.95,11.39,4851700,7.369613
"2010-07-23",11.35,11.4,11.05,11.37,3575300,7.356672
"2010-07-26",11.37,11.92,11.28,11.91,3746800,7.706064
"2010-07-27",12,12.17,11.82,11.99,4845800,7.757828
"2010-07-28",11.96,12.12,11.86,11.99,3582800,7.757828
"2010-07-29",12.16,12.41,11.82,12.04,6395000,7.79018
"2010-07-30",11.81,12.18,11.75,11.96,4935000,7.738416
"2010-08-02",12.23,12.6,12.15,12.57,4268600,8.133101
"2010-08-03",12.48,12.48,12.29,12.36,3877800,7.997226
"2010-08-04",12.45,12.5,12.21,12.34,3054000,7.984284
"2010-08-05",12.24,12.37,12.11,12.19,2261700,7.887228
"2010-08-06",12.02,12.18,11.85,12.14,2686300,7.854881
"2010-08-09",12.28,12.4,12.12,12.33,2180200,7.977817
"2010-08-10",12.17,12.23,11.93,12.05,3379000,7.796649
"2010-08-11",11.7,11.89,11.5,11.56,2678700,7.479606
"2010-08-12",11.41,11.52,11.33,11.36,2304600,7.350201
"2010-08-13",11,11.3,11,11.16,2108700,7.330496
"2010-08-16",11.09,11.35,11.05,11.23,2307800,7.376473
"2010-08-17",11.41,11.63,11.29,11.53,2840600,7.573532
"2010-08-18",11.51,11.51,11.35,11.38,1918900,7.475003
"2010-08-19",11.27,11.34,10.97,10.97,2492300,7.205695
"2010-08-20",10.9,11.14,10.87,11.1,1755300,7.291084
"2010-08-23",11.17,11.26,11.01,11.02,1338400,7.238538
"2010-08-24",10.86,11.07,10.71,10.94,1734000,7.185988
"2010-08-25",10.83,11.18,10.83,11.13,2146700,7.31079
"2010-08-26",11.22,11.35,11.08,11.09,2510000,7.284517
"2010-08-27",11.24,11.33,10.83,11.28,2110300,7.409318
"2010-08-30",11.43,11.49,11.17,11.18,2020800,7.343634
"2010-08-31",11.2,11.38,11.16,11.21,3584500,7.363338
"2010-09-01",11.43,11.76,11.3,11.72,3498500,7.698336
"2010-09-02",11.72,11.9,11.62,11.83,2410000,7.770591
"2010-09-03",12.03,12.04,11.86,12.02,2504800,7.895391
"2010-09-07",11.89,11.96,11.8,11.85,1721600,7.783725
"2010-09-08",11.9,12.03,11.86,11.86,1187100,7.790295
"2010-09-09",12.01,12.05,11.75,11.79,1273800,7.744316
"2010-09-10",11.81,12.06,11.76,11.92,2068000,7.829705
"2010-09-13",11.97,12.21,11.97,12.2,1457800,8.013625
"2010-09-14",12.18,12.22,12.1,12.1,1325900,7.947939
"2010-09-15",12.03,12.13,11.98,12.08,2682100,7.934803
"2010-09-16",12.07,12.13,11.85,11.92,1694000,7.829705
"2010-09-17",11.98,12.1,11.86,12.07,1477200,7.928233
"2010-09-20",12.1,12.36,12.08,12.31,2220400,8.085881
"2010-09-21",12.35,12.36,12.16,12.2,3830400,8.013625
"2010-09-22",12.12,12.13,11.76,11.85,1863800,7.783725
"2010-09-23",11.7,11.8,11.57,11.63,2839400,7.639217
"2010-09-24",11.82,11.96,11.74,11.93,1778300,7.836276
"2010-09-27",11.83,11.89,11.6,11.66,1722900,7.658923
"2010-09-28",11.73,11.78,11.51,11.71,2130400,7.691767
"2010-09-29",11.62,11.68,11.54,11.58,1772000,7.606376
"2010-09-30",11.69,11.82,11.52,11.59,3239300,7.612945
"2010-10-01",11.74,11.76,11.5,11.75,1822500,7.718044
"2010-10-04",11.67,11.73,11.5,11.68,2529900,7.67206
"2010-10-05",11.79,11.89,11.63,11.85,2801600,7.783725
"2010-10-06",11.8,12,11.77,11.96,3639300,7.85598
"2010-10-07",12.06,12.13,11.98,11.99,2865300,7.875686
"2010-10-08",12.04,12.19,11.93,12.1,1871300,7.947939
"2010-10-11",12.08,12.14,12.03,12.11,1105500,7.954508
"2010-10-12",12.05,12.12,11.89,12.04,2103600,7.908529
"2010-10-13",12.11,12.18,12.05,12.11,3166900,7.954508
"2010-10-14",12.05,12.16,11.94,12.05,2074300,7.915097
"2010-10-15",12.17,12.17,11.93,11.99,1364400,7.875686
"2010-10-18",12,12.11,11.98,12.08,4180100,7.934803
"2010-10-19",11.89,12.11,11.86,11.93,2594900,7.836276
"2010-10-20",12.02,12.35,11.97,12.24,4247500,8.0399
"2010-10-21",12.31,12.35,12.09,12.19,2478500,8.007057
"2010-10-22",12.19,12.38,12.16,12.38,1722100,8.131856
"2010-10-25",12.44,12.5,12.33,12.38,1983700,8.131856
"2010-10-26",12.29,12.3,12.06,12.06,1609700,7.921668
"2010-10-27",12,12.15,11.83,11.96,3114900,7.85598
"2010-10-28",12.12,12.8,12.12,12.34,7052100,8.105582
"2010-10-29",12.29,12.48,12.26,12.45,3786300,8.177841
"2010-11-01",12.57,12.72,12.43,12.57,2208400,8.256662
"2010-11-02",12.69,12.69,12.44,12.58,2464200,8.263231
"2010-11-03",12.58,12.59,12.32,12.34,3405500,8.105582
"2010-11-04",12.52,12.75,12.48,12.71,2668200,8.348619
"2010-11-05",12.68,12.95,12.58,12.93,2890100,8.493127
"2010-11-08",12.84,12.98,12.65,12.83,1317800,8.427444
"2010-11-09",12.88,12.88,12.22,12.32,3737800,8.092447
"2010-11-10",12.35,12.48,12.16,12.25,4102000,8.046471
"2010-11-11",12.11,12.27,12.06,12.12,3053500,7.961075
"2010-11-12",11.95,12.07,11.72,11.73,2802200,7.81451
"2010-11-15",11.83,11.87,11.53,11.54,2246500,7.687936
"2010-11-16",11.5,11.51,11.1,11.15,4425200,7.428119
"2010-11-17",11.2,11.32,11.16,11.21,3060900,7.468089
"2010-11-18",11.35,11.4,11.17,11.23,2540200,7.481413
"2010-11-19",11.21,11.23,11.05,11.13,2351500,7.414793
"2010-11-22",11.09,11.21,11.03,11.15,2366600,7.428119
"2010-11-23",11.01,11.17,11.01,11.08,2259000,7.381484
"2010-11-24",11.11,11.35,11.11,11.32,2096900,7.541372
"2010-11-26",11.23,11.38,11.22,11.33,683400,7.548033
"2010-11-29",11.24,11.39,11.21,11.35,3112600,7.561356
"2010-11-30",11.25,11.39,11.13,11.13,3033500,7.414793
"2010-12-01",11.32,11.42,11.16,11.42,3465800,7.607988
"2010-12-02",11.42,11.56,11.38,11.55,2950600,7.694598
"2010-12-03",11.47,11.59,11.4,11.41,2195300,7.601327
"2010-12-06",11.4,11.44,11.09,11.33,3944000,7.548033
"2010-12-07",11.43,11.45,11.08,11.12,3182200,7.40813
"2010-12-08",11.17,11.21,10.87,10.95,2897500,7.294879
"2010-12-09",11.04,11.09,10.85,10.87,2358500,7.24158
"2010-12-10",10.87,11.09,10.87,11.02,1882500,7.341514
"2010-12-13",11.11,11.2,11.03,11.15,2520800,7.428119
"2010-12-14",11.12,11.3,11,11.09,2943200,7.388145
"2010-12-15",11.04,11.22,10.94,10.94,2885700,7.288216
"2010-12-16",10.94,11.08,10.87,11.08,1797600,7.381484
"2010-12-17",11.05,11.07,10.95,11.05,3589800,7.361496
"2010-12-20",11,11.89,11,11.71,6115200,7.801189
"2010-12-21",11.73,11.95,11.63,11.9,3858200,7.927769
"2010-12-22",11.87,12.21,11.83,12.19,3993900,8.120963
"2010-12-23",12.18,12.32,12.1,12.21,2454600,8.13429
"2010-12-27",12.13,12.27,12.1,12.26,866200,8.1676
"2010-12-28",12.28,12.38,12.17,12.31,1007600,8.200909
"2010-12-29",12.32,12.35,12.19,12.33,1075200,8.214232
"2010-12-30",12.3,12.41,12.28,12.37,1068100,8.240879
"2010-12-31",12.34,12.48,12.31,12.46,1412500,8.300838
