"dates","DRI.Open","DRI.High","DRI.Low","DRI.Close","DRI.Volume","DRI.Adjusted"
"2010-01-04",31.679815,31.679815,31.027269,31.286501,2492561,22.013411
"2010-01-05",31.340134,31.349073,30.580318,31.152414,3059850,21.919064
"2010-01-06",31.080902,31.080902,30.723343,30.74122,3461797,21.786028
"2010-01-07",30.803795,31.313316,30.571381,31.027269,2782414,21.988754
"2010-01-08",30.866367,31.054087,30.473051,30.508806,2537420,21.621319
"2010-01-11",30.768038,30.768038,30.249577,30.428356,1654436,21.564306
"2010-01-12",30.204882,30.642893,30.142307,30.285332,1600179,21.462944
"2010-01-13",30.321089,30.553501,30.169125,30.490929,1185479,21.608654
"2010-01-14",30.410479,32.135704,30.374722,31.974804,4078309,22.660255
"2010-01-15",32.055256,32.055256,31.349073,31.55467,2652646,22.362511
"2010-01-19",31.599365,32.082069,31.509975,32.037376,1836671,22.704601
"2010-01-20",32.680984,33.843056,32.403873,32.654167,4011411,23.141724
"2010-01-21",32.71674,33.297775,32.600533,32.672047,2898087,23.15439
"2010-01-22",32.529022,32.931274,32.251911,32.323425,2751538,22.907324
"2010-01-25",32.55584,32.573715,32.055256,32.189339,2147556,22.812304
"2010-01-26",32.153584,33.029606,32.117828,32.60947,3146325,23.110043
"2010-01-27",32.60947,32.859764,32.403873,32.734619,2624343,23.198734
"2010-01-28",32.850826,33.6017,32.797192,33.476555,4326994,23.724545
"2010-01-29",33.476555,33.744724,32.922337,33.038544,3956035,23.414125
"2010-02-01",33.208385,33.896687,33.101116,33.834114,3153485,23.977938
"2010-02-02",33.851994,34.540295,33.646397,34.227432,2631167,24.256678
"2010-02-03",34.298943,34.41515,33.860931,33.986076,1790021,24.085634
"2010-02-04",33.708969,34.030773,33.396103,33.431862,3721445,23.692867
"2010-02-05",33.503372,33.968201,33.074299,33.6017,2943618,23.813221
"2010-02-08",33.664272,34.030773,33.53019,33.548065,1930753,23.775215
"2010-02-09",33.869869,34.495602,33.708969,34.334698,2071932,24.332701
"2010-02-10",34.290005,34.39727,33.932446,34.012894,2282470,24.104635
"2010-02-11",33.887749,34.647564,33.646397,34.647564,2612708,24.55442
"2010-02-12",34.263187,34.906796,34.048653,34.853161,2315136,24.700123
"2010-02-16",35.86327,36.533691,35.791756,36.122498,5072715,25.599701
"2010-02-17",36.390671,36.640961,36.185074,36.283401,2214677,25.713737
"2010-02-18",36.20295,36.426426,36.050987,36.220829,1678823,25.669378
"2010-02-19",36.20295,36.703533,36.194012,36.694595,1837678,26.005135
"2010-02-22",36.810802,36.828678,36.408546,36.694595,1611590,26.005135
"2010-02-23",36.605206,36.953827,36.11356,36.310219,2306186,25.732725
"2010-02-24",36.497936,36.649899,36.319157,36.640961,1536637,25.967125
"2010-02-25",36.238705,36.292339,35.666611,36.050987,3413469,25.549017
"2010-02-26",36.11356,36.399609,36.050987,36.247646,1418951,25.688385
"2010-03-01",36.354912,36.900192,36.02417,36.783985,1804900,26.068472
"2010-03-02",36.703533,36.99852,36.158257,36.211887,3223627,25.663044
"2010-03-03",36.399609,36.649899,36.194012,36.283401,1844502,25.713737
"2010-03-04",36.328094,36.453243,35.979473,36.158257,2225193,25.625032
"2010-03-05",36.292339,36.649899,36.256584,36.632023,2285267,25.960787
"2010-03-08",36.703533,37.776215,36.649899,37.534863,2433494,26.600622
"2010-03-09",37.391838,38.062263,37.347141,37.570618,2323526,26.625965
"2010-03-10",37.490166,37.79409,37.177299,37.767277,1583510,26.765327
"2010-03-11",37.525921,38.124836,37.525921,37.79409,1773017,26.784338
"2010-03-12",37.874542,37.972874,37.275631,37.56168,2940374,26.619635
"2010-03-15",37.5438,38.071201,37.481228,37.937115,2566730,26.885696
"2010-03-16",37.963932,38.330433,37.713642,38.080139,2823694,26.987062
"2010-03-17",38.35725,38.956161,38.187408,38.87571,2100235,27.550869
"2010-03-18",38.982979,39.313721,38.723747,38.87571,1930082,27.550869
"2010-03-19",39.018734,39.269028,38.929344,39.018734,2095313,27.652229
"2010-03-22",38.857834,39.501442,38.705872,39.447807,2019577,27.956318
"2010-03-23",39.429928,39.474625,38.509212,39.251148,3382593,27.816942
"2010-03-24",39.036613,40.288074,38.35725,40.14505,6203714,28.450447
"2010-03-25",40.475792,40.475792,39.823246,39.948391,2953127,28.311069
"2010-03-26",39.644466,39.993088,39.322662,39.590832,3088824,28.057669
"2010-03-29",39.617649,40.225498,39.58189,40.198685,2258194,28.488447
"2010-03-30",40.082478,40.48473,39.823246,40.046719,1718425,28.380764
"2010-03-31",39.867939,40.082478,39.4925,39.814304,1841929,28.216049
"2010-04-01",40.046719,40.23444,39.367355,39.778549,1921356,28.190702
"2010-04-05",39.778549,40.681389,39.778549,40.681389,1575680,28.830547
"2010-04-06",40.618816,40.627754,40.189743,40.457912,1989149,28.672173
"2010-04-07",40.931683,41.611046,40.672451,41.468021,5556774,29.551245
"2010-04-08",41.441204,41.700436,41.110462,41.459084,2640452,29.544865
"2010-04-09",41.450142,41.834518,41.083645,41.834518,2109296,29.812426
"2010-04-12",41.75407,42.057995,41.709373,41.91497,1669650,29.869759
"2010-04-13",41.906033,42.057995,41.628922,42.013302,1704553,29.939831
"2010-04-14",42.02224,42.344044,41.977543,42.344044,2412910,30.17552
"2010-04-15",42.218899,42.388737,41.816643,41.941788,2241750,29.88887
"2010-04-16",41.745129,42.18314,41.655739,41.888153,3338628,29.850641
"2010-04-19",41.879215,42.227837,41.566349,42.201019,3037029,30.073606
"2010-04-20",42.066933,42.218899,41.637863,42.120567,2577470,30.016275
"2010-04-21",42.129505,42.424496,41.906033,42.370861,1651191,30.194639
"2010-04-22",42.227837,43.684895,42.227837,43.497173,2514375,30.997263
"2010-04-23",43.640198,43.81004,43.184307,43.515053,1469739,31.010021
"2010-04-26",43.497173,43.532928,42.83569,42.916138,1934221,30.583225
"2010-04-27",42.7463,43.246883,41.977543,42.02224,2015774,29.946194
"2010-04-28",41.709373,42.013302,40.824413,40.922741,2985681,29.162668
"2010-04-29",41.199852,41.628922,40.886986,41.20879,3113995,29.366514
"2010-04-30",41.226669,41.512714,40.002026,40.002026,2648395,28.506533
"2010-05-03",40.225498,40.886986,40.002026,40.636696,1993176,28.958828
"2010-05-04",40.252316,40.252316,39.036613,39.188576,2544021,27.926857
"2010-05-05",38.714809,40.404282,38.571785,39.036613,3115897,27.818569
"2010-05-06",39.018734,39.590832,36.605206,38.339371,3361785,27.32169
"2010-05-07",38.366188,38.965099,37.418655,38.089081,3285155,27.143322
"2010-05-10",39.42099,39.939453,38.991917,39.671284,2193534,28.270847
"2010-05-11",39.295845,40.788658,39.215393,39.984146,2195100,28.493792
"2010-05-12",40.162926,40.413219,39.930511,40.332767,1395682,28.742241
"2010-05-13",40.162926,40.30595,39.4925,39.51038,1715516,28.156183
"2010-05-14",39.322662,39.385235,38.527088,38.857834,1542566,27.69116
"2010-05-17",38.857834,39.403111,38.098019,39.304783,2406533,28.009665
"2010-05-18",39.644466,40.073536,39.081306,39.090248,1613491,27.856783
"2010-05-19",38.87571,39.197514,38.178471,38.965099,1963195,27.767591
"2010-05-20",38.223164,38.44664,37.472286,37.481228,2148898,26.71015
"2010-05-21",36.319157,37.481228,36.09568,37.186241,3786665,26.499939
"2010-05-24",37.177299,37.409714,36.83762,36.944885,2157512,26.327938
"2010-05-25",36.167194,37.293507,35.568279,37.221996,2225864,26.525412
"2010-05-26",37.445473,38.196346,37.409714,37.597435,2594921,26.792961
"2010-05-27",38.133774,39.143883,38.106956,39.099186,1695268,27.863148
"2010-05-28",38.947224,39.24221,38.285736,38.348309,2396912,27.328056
"2010-06-01",38.160591,39.036613,37.767277,38.53603,2937353,27.461836
"2010-06-02",38.643295,39.483562,38.393005,39.429928,2250028,28.098839
"2010-06-03",39.385235,39.778549,38.857834,39.161758,2899541,27.907742
"2010-06-04",38.348309,38.714809,37.570618,37.785152,2567178,26.926743
"2010-06-07",37.910297,38.026505,36.649899,36.783985,3178208,26.21327
"2010-06-08",36.900192,37.141544,36.176132,37.043217,1896409,26.398008
"2010-06-09",37.347141,38.26786,37.141544,37.418655,2169146,26.66556
"2010-06-10",37.63319,38.393005,37.63319,38.258919,1298020,27.264345
"2010-06-11",37.883484,38.714809,37.820908,38.69693,1141850,27.576504
"2010-06-14",39.000858,39.501442,38.884651,39.152821,1826043,27.901384
"2010-06-15",39.313721,39.662342,39.188576,39.572952,1564940,28.200771
"2010-06-16",39.456745,40.162926,39.367355,39.921574,1848641,28.449205
"2010-06-17",40.136108,40.198685,39.501442,39.814304,1979752,28.37277
"2010-06-18",40.037781,40.261257,39.626587,39.760674,2247791,28.334547
"2010-06-21",40.073536,40.136108,38.080139,38.366188,4094082,27.340801
"2010-06-22",38.258919,39.081306,37.847725,37.892422,2963866,27.003183
"2010-06-23",37.963932,37.963932,36.667778,37.454411,4098669,26.691038
"2010-06-24",36.703533,37.096851,35.094513,35.273293,7398367,25.136719
"2010-06-25",35.317989,35.827511,34.656502,34.862099,4718201,24.843685
"2010-06-28",35.12133,35.666611,34.888916,35.461014,3096543,25.270491
"2010-06-29",35.103455,35.326927,34.656502,34.844223,3988366,24.830952
"2010-06-30",34.862099,35.443134,34.674381,34.728016,2627251,24.748137
"2010-07-01",34.647564,35.130268,33.780479,35.04982,3503300,24.977463
"2010-07-02",35.085575,35.273293,34.361515,34.39727,2081553,24.51244
"2010-07-06",34.951488,35.023003,33.387165,33.619579,3021143,23.958235
"2010-07-07",33.279896,34.23637,33.145813,34.227432,3399038,24.600721
"2010-07-08",34.424088,34.844223,34.120163,34.406212,3337734,24.729216
"2010-07-09",34.459846,35.282234,34.25425,35.246475,2636648,25.333149
"2010-07-12",35.166027,35.487831,34.826344,35.469952,2040720,25.493771
"2010-07-13",35.916901,37.043217,35.916901,36.828678,3382258,26.470341
"2010-07-14",36.667778,36.882313,36.238705,36.524754,2058396,26.251907
"2010-07-15",36.480061,36.801865,36.015232,36.74823,1721110,26.412527
"2010-07-16",36.524754,36.56945,35.434196,35.541466,1844054,25.54517
"2010-07-19",35.586159,35.773876,35.148148,35.496769,1755006,25.513044
"2010-07-20",35.21072,36.533691,35.085575,36.488998,2729388,26.226206
"2010-07-21",36.524754,36.882313,36.059925,36.363853,3264124,26.136257
"2010-07-22",36.712475,38.169529,36.703533,38.053322,3516613,27.350544
"2010-07-23",37.713642,38.428761,37.686825,38.053322,2382593,27.350544
"2010-07-26",38.017567,38.938286,37.946056,38.857834,1914084,27.928791
"2010-07-27",39.126003,39.277966,38.482395,38.598602,1867770,27.742472
"2010-07-28",38.571785,38.831017,37.865604,38.062263,1859940,27.356981
"2010-07-29",38.348309,38.437698,37.266689,37.516983,2520192,26.965065
"2010-07-30",37.266689,37.642128,36.873375,37.445473,1447254,26.913662
"2010-08-02",37.972874,38.169529,37.123669,37.81197,3046650,27.177084
"2010-08-03",37.847725,37.847725,37.195179,37.7047,2543237,27.099983
"2010-08-04",37.883484,38.106956,37.5438,37.820908,1625685,27.183512
"2010-08-05",37.624252,37.740459,37.230934,37.660007,1336055,27.067856
"2010-08-06",37.320324,37.445473,36.757168,37.382896,1629153,26.868683
"2010-08-09",37.472286,38.321491,37.472286,38.106956,1421971,27.389101
"2010-08-10",37.865604,38.080139,37.56168,37.758335,1625685,27.138538
"2010-08-11",37.123669,37.123669,35.997353,36.050987,2243540,25.91139
"2010-08-12",35.604038,36.480061,35.604038,36.167194,2381586,25.994913
"2010-08-13",35.997353,36.068867,35.425259,35.443134,1592907,25.474495
