"dates","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2010-01-04",51.630001,51.869999,50.73,50.91,4152133,30.542612
"2010-01-05",51.029999,51.029999,49.889999,50.07,3872367,30.038673
"2010-01-06",49.98,50.580002,49.919998,50.25,3486567,30.146656
"2010-01-07",50.310001,50.580002,50.099998,50.490002,2376033,30.290642
"2010-01-08",50.220001,50.52,50.040001,50.52,1654100,30.308638
"2010-01-11",50.549999,51.150002,50.490002,51.029999,2195633,30.614594
"2010-01-12",50.939999,51.330002,50.669998,51.09,2650933,30.650606
"2010-01-13",51.27,51.57,50.73,51.209999,3035233,30.722589
"2010-01-14",51.330002,51.419998,50.849998,51.209999,1919767,30.722589
"2010-01-15",50.639999,51.18,50.040001,50.700001,4349933,30.416628
"2010-01-19",50.970001,51.299999,50.52,51.27,1858233,30.758579
"2010-01-20",51.029999,51.029999,50.220001,50.790001,2628600,30.470621
"2010-01-21",50.82,50.970001,49.919998,50.040001,3958200,30.020674
"2010-01-22",50.040001,50.369999,49.560001,49.650002,3927200,29.786695
"2010-01-25",50.099998,50.16,49.439999,49.98,2257600,29.984676
"2010-01-26",50.009998,50.580002,49.68,50.43,2827167,30.254641
"2010-01-27",50.34,50.400002,49.740002,50.220001,2935833,30.128656
"2010-01-28",50.310001,50.34,49.650002,49.860001,2354533,29.912683
"2010-01-29",50.220001,50.25,49.560001,49.59,3044200,29.7507
"2010-02-01",49.68,49.950001,49.23,49.950001,1872000,29.966684
"2010-02-02",49.77,50.34,49.290001,50.279999,2775333,30.164656
"2010-02-03",50.310001,50.310001,49.740002,49.919998,1572467,29.948681
"2010-02-04",49.830002,50.009998,49.110001,49.110001,2519867,29.462727
"2010-02-05",49.200001,49.349998,48.389999,48.959999,2997767,29.372742
"2010-02-08",49.049999,49.650002,48.75,48.959999,3194633,29.372742
"2010-02-09",49.259998,50.580002,49.049999,49.68,5056200,29.804699
"2010-02-10",49.080002,49.41,48.450001,48.66,3547300,29.622068
"2010-02-11",48.48,48.869999,48.060001,48.630001,3105300,29.603811
"2010-02-12",48.48,48.810001,48.119999,48.450001,3110933,29.49423
"2010-02-16",48.810001,49.290001,48.630001,48.75,3638967,29.676849
"2010-02-17",48.990002,49.049999,48.299999,48.540001,2367333,29.549007
"2010-02-18",48.450001,48.990002,48.360001,48.990002,2296733,29.822958
"2010-02-19",48.900002,49.889999,48.630001,49.830002,2960900,30.334299
"2010-02-22",49.950001,49.950001,49.200001,49.290001,2671900,30.005581
"2010-02-23",49.290001,49.470001,48.990002,49.049999,2054267,29.859486
"2010-02-24",49.049999,49.470001,48.720001,49.349998,2645867,30.042107
"2010-02-25",49.02,49.169998,48.599998,49.139999,2568067,29.914272
"2010-02-26",49.049999,49.41,48.900002,49.049999,2503333,29.859486
"2010-03-01",49.23,49.560001,49.02,49.470001,1792633,30.115152
"2010-03-02",49.830002,49.830002,49.200001,49.32,2048367,30.023844
"2010-03-03",49.32,49.68,49.080002,49.200001,2228000,29.950798
"2010-03-04",49.139999,49.380001,48.689999,48.990002,2274500,29.822958
"2010-03-05",49.02,49.380001,48.900002,49.380001,2139467,30.060375
"2010-03-08",49.470001,49.619999,49.259998,49.59,1036567,30.188215
"2010-03-09",49.470001,49.560001,49.290001,49.41,1229633,30.078634
"2010-03-10",49.380001,49.59,49.200001,49.41,1694667,30.078634
"2010-03-11",49.41,49.5,49.169998,49.439999,1922700,30.096882
"2010-03-12",49.5,49.560001,48.959999,48.990002,1662567,29.822958
"2010-03-15",49.049999,49.41,48.900002,49.380001,1733367,30.060375
"2010-03-16",49.59,49.919998,49.290001,49.830002,2024833,30.334299
"2010-03-17",50.130001,50.130001,49.740002,49.860001,2271800,30.352577
"2010-03-18",49.650002,50.130001,49.650002,49.740002,2631400,30.279522
"2010-03-19",49.740002,50.279999,49.380001,49.740002,3889233,30.279522
"2010-03-22",49.59,49.650002,49.080002,49.32,2342400,30.023844
"2010-03-23",49.290001,49.41,49.080002,49.380001,1852967,30.060375
"2010-03-24",49.349998,49.380001,48.900002,48.959999,2082067,29.804695
"2010-03-25",49.02,49.23,48.810001,48.900002,1783367,29.768167
"2010-03-26",49.080002,49.290001,48.84,49.259998,1550000,29.987303
"2010-03-29",49.349998,49.77,49.259998,49.77,1765700,30.297777
"2010-03-30",49.740002,49.98,49.110001,49.200001,2962267,29.950798
"2010-03-31",49.169998,49.290001,48.93,48.959999,1997867,29.804695
"2010-04-01",49.139999,49.380001,49.049999,49.23,1924633,29.969057
"2010-04-05",49.290001,49.470001,49.049999,49.259998,2324933,29.987303
"2010-04-06",49.049999,49.650002,48.900002,49.650002,1696767,30.224741
"2010-04-07",49.59,49.650002,49.049999,49.110001,2314800,29.896004
"2010-04-08",49.080002,49.200001,48.630001,48.720001,3480600,29.658588
"2010-04-09",48.810001,48.990002,48.389999,48.990002,3091767,29.822958
"2010-04-12",48.959999,49.110001,48.779999,48.779999,2550867,29.695114
"2010-04-13",48.810001,48.869999,48.57,48.66,2910300,29.622068
"2010-04-14",48.689999,48.720001,48.509998,48.630001,2400633,29.603811
"2010-04-15",48.66,48.66,48.209999,48.389999,2852667,29.457705
"2010-04-16",48.389999,48.540001,48,48.029999,4242533,29.238552
"2010-04-19",47.82,48.389999,47.82,48.209999,3698333,29.348118
"2010-04-20",48.360001,49.110001,48.330002,49.049999,3403900,29.859486
"2010-04-21",48.959999,49.110001,48.75,48.900002,2747267,29.768167
"2010-04-22",48.720001,48.93,48.299999,48.630001,3238667,29.603811
"2010-04-23",48.66,48.75,48.09,48.75,3392100,29.676849
"2010-04-26",48.720001,48.900002,48.450001,48.720001,3092967,29.658588
"2010-04-27",48.630001,48.84,48.029999,48.029999,3244800,29.238552
"2010-04-28",48.57,50.700001,48.450001,49.919998,12364000,30.389095
"2010-04-29",49.77,50.16,49.5,49.59,4038667,30.188215
"2010-04-30",49.68,50.459999,49.59,50.34,3246700,30.644779
"2010-05-03",50.549999,50.91,50.25,50.790001,3172933,30.91872
"2010-05-04",50.639999,51,49.919998,50.130001,4143267,30.516945
"2010-05-05",50.07,50.970001,50.07,50.279999,3433567,30.608253
"2010-05-06",50.459999,50.790001,47.700001,49.439999,5769667,30.096882
"2010-05-07",49.709999,49.950001,48.330002,49.650002,7028700,30.224741
"2010-05-10",50.549999,50.849998,50.040001,50.700001,3984067,30.86392
"2010-05-11",50.52,51.360001,50.220001,50.759998,3948067,30.900463
"2010-05-12",50.73,51.150002,50.43,50.939999,3592167,31.010033
"2010-05-13",50.939999,51.18,50.43,50.580002,2804033,30.79088
"2010-05-14",50.580002,50.759998,50.16,50.34,3221467,30.644779
"2010-05-17",50.400002,50.849998,49.830002,50.790001,3029300,30.91872
"2010-05-18",50.970001,51.419998,50.759998,50.82,5602600,30.936972
"2010-05-19",49.98,50.130001,49.23,49.470001,3728267,30.547947
"2010-05-20",48.93,49.259998,47.91,47.91,5020033,29.584641
"2010-05-21",47.25,48.029999,47.25,48,4476133,29.640211
"2010-05-24",47.91,48.720001,47.73,47.91,3493067,29.584641
"2010-05-25",47.34,47.549999,46.41,47.459999,3535167,29.30677
"2010-05-26",47.82,47.849998,46.98,47.130001,3189067,29.102995
"2010-05-27",47.73,47.970001,47.34,47.939999,2482400,29.60317
"2010-05-28",48.09,48.389999,47.73,47.880001,2979867,29.566126
"2010-06-01",47.549999,47.91,47.040001,47.099998,2272700,29.084473
"2010-06-02",47.369999,47.880001,47.130001,47.880001,2713067,29.566126
"2010-06-03",48.09,48.330002,47.790001,48.150002,1437967,29.732851
"2010-06-04",47.610001,47.639999,46.740002,46.830002,3327367,28.917738
"2010-06-07",46.98,47.52,46.740002,47.009998,2673067,29.028887
"2010-06-08",46.98,48.299999,46.709999,48.299999,4842033,29.825466
"2010-06-09",48.389999,48.419998,47.610001,47.790001,2761967,29.51055
"2010-06-10",48.360001,48.720001,48.150002,48.720001,2787433,30.084816
"2010-06-11",48.509998,48.720001,47.939999,48.509998,2051000,29.955151
"2010-06-14",48.779999,48.93,48.48,48.630001,2594300,30.029255
"2010-06-15",48.810001,49.23,48.66,49.23,2265833,30.399754
"2010-06-16",49.41,49.68,49.02,49.560001,2245867,30.603525
"2010-06-17",49.650002,50.16,49.349998,50.130001,1991767,30.955513
"2010-06-18",50.07,50.220001,49.560001,49.919998,2459567,30.825825
"2010-06-21",50.16,50.25,49.529999,49.77,2113367,30.733189
"2010-06-22",49.709999,49.799999,48.84,48.959999,2247667,30.233027
"2010-06-23",49.02,49.200001,48.450001,48.66,1867633,30.047779
"2010-06-24",48.389999,49.169998,48.330002,48.450001,4282467,29.918098
"2010-06-25",48.540001,48.779999,48.150002,48.509998,2114233,29.955151
"2010-06-28",48.720001,49.23,48.360001,49.02,1553600,30.270075
"2010-06-29",48.689999,48.84,48.150002,48.450001,3014633,29.918098
"2010-06-30",48.419998,48.869999,47.849998,48,2723933,29.640211
"2010-07-01",48.209999,48.209999,47.610001,47.91,3729100,29.584641
"2010-07-02",47.91,48.48,47.880001,48.18,2289000,29.751373
"2010-07-06",48.389999,48.900002,48.27,48.66,5747333,30.047779
"2010-07-07",48.720001,50.279999,48.630001,50.25,2706433,31.029593
"2010-07-08",50.279999,50.549999,49.740002,50.16,2497600,30.974024
"2010-07-09",50.099998,50.43,49.919998,50.369999,1202967,31.10371
"2010-07-12",50.189999,50.700001,50.099998,50.669998,1504667,31.28895
"2010-07-13",50.790001,50.939999,50.310001,50.52,2340700,31.196337
"2010-07-14",50.400002,50.91,50.25,50.880001,2288500,31.418633
"2010-07-15",50.880001,51.330002,50.580002,51.240002,1956367,31.64094
"2010-07-16",51.240002,51.330002,50.459999,50.610001,2208600,31.251911
"2010-07-19",50.91,51.689999,50.700001,51.509998,1944567,31.807661
"2010-07-20",51.119999,51.57,50.790001,51.419998,2148333,31.752083
"2010-07-21",51.48,51.540001,50.369999,50.700001,2786167,31.307478
"2010-07-22",51.09,51.540001,50.91,51.299999,3248500,31.677986
"2010-07-23",51.57,51.57,50.549999,50.82,6587233,31.381582
"2010-07-26",50.669998,51.299999,50.669998,51.299999,3342967,31.677986
"2010-07-27",51.419998,52.080002,51.150002,52.080002,3497500,32.159634
"2010-07-28",52.02,52.110001,51.599998,51.93,2228667,32.067013
"2010-07-29",52.139999,52.290001,51.48,51.509998,2580967,31.807661
"2010-07-30",51.299999,51.689999,51,51.299999,2595633,31.677986
"2010-08-02",51.720001,52.439999,51.720001,52.110001,2849500,32.178162
"2010-08-03",52.5,52.5,51.990002,52.110001,2734433,32.178162
