"dates","DXC.Open","DXC.High","DXC.Low","DXC.Close","DXC.Volume","DXC.Adjusted"
"2010-01-04",28.785381,28.815191,28.561815,28.68602,1706274,17.669443
"2010-01-05",28.745638,28.79035,28.457485,28.676083,1400123,17.663321
"2010-01-06",28.695955,28.79035,28.55188,28.780415,1748543,17.727581
"2010-01-07",28.616465,28.755573,28.377995,28.492262,1516061,17.550093
"2010-01-08",28.41774,28.422709,28.144491,28.41774,1412602,17.504194
"2010-01-11",28.462454,28.576719,28.109716,28.243855,1298676,17.397087
"2010-01-12",28.139524,28.139524,27.786787,27.935831,1804701,17.207354
"2010-01-13",27.950735,28.308441,27.915958,28.228951,1204073,17.387907
"2010-01-14",28.25876,28.377995,28.069969,28.323345,1453664,17.446053
"2010-01-15",28.273664,28.338249,27.692392,27.801691,1624754,17.124727
"2010-01-19",27.742073,28.323345,27.677488,28.323345,1848581,17.446053
"2010-01-20",28.099779,28.099779,27.801691,28.065002,1619521,17.286919
"2010-01-21",28.055065,28.144491,27.240292,27.319782,2615468,16.827896
"2010-01-22",27.275068,27.275068,26.420549,26.445391,2542603,16.289303
"2010-01-25",26.549721,26.668957,26.182079,26.430485,2322400,16.280128
"2010-01-26",26.400677,26.400677,26.182079,26.20195,2044026,16.139359
"2010-01-27",26.192015,26.276472,25.804501,26.047939,3069561,16.044491
"2010-01-28",26.182079,26.216856,25.59087,25.903864,2239874,15.955748
"2010-01-29",26.062843,26.062843,25.441826,25.48654,2218941,15.698686
"2010-02-01",25.635584,26.137365,25.337496,26.087685,2927053,16.068974
"2010-02-02",26.057875,26.380804,25.928703,26.360931,1852405,16.237286
"2010-02-03",26.271505,26.405645,26.077747,26.266537,1116515,16.179138
"2010-02-04",26.062843,26.162207,25.476603,25.481571,2053285,15.695633
"2010-02-05",25.496475,25.585901,25.103992,25.516348,2241686,15.717051
"2010-02-08",25.85915,26.261568,25.570997,25.675329,2480004,15.814976
"2010-02-09",25.908831,26.196983,25.695202,26.082716,2483627,16.065918
"2010-02-10",26.659019,26.659019,25.734945,25.898895,3337871,15.952683
"2010-02-11",25.824373,26.062843,25.536221,25.948576,2335685,15.983285
"2010-02-12",25.705137,25.819405,25.094057,25.471636,3184896,15.689509
"2010-02-16",25.625647,25.928703,25.466667,25.928703,1894473,15.971047
"2010-02-17",25.978386,25.99329,25.759787,25.85915,1712916,15.928205
"2010-02-18",25.85915,26.033035,25.779659,25.983353,1334907,16.004711
"2010-02-19",25.898895,26.182079,25.72501,26.057875,1823420,16.050606
"2010-02-22",25.874054,26.127428,25.844246,25.983353,1686548,16.004711
"2010-02-23",25.953545,26.062843,25.675329,25.923737,1910374,15.967987
"2010-02-24",25.953545,25.998259,25.700169,25.784628,2263223,15.8823
"2010-02-25",25.446795,25.585901,25.198387,25.536221,1654343,15.729289
"2010-02-26",25.506413,25.764755,25.38221,25.729979,1892058,15.848641
"2010-03-01",25.72501,26.167173,25.680298,26.057875,2141044,16.050606
"2010-03-02",26.132397,26.326155,26.042971,26.112526,1767061,16.084274
"2010-03-03",26.216856,26.216856,25.943607,25.988321,2074218,16.007765
"2010-03-04",25.968449,26.033035,25.729979,25.829342,2237861,15.909841
"2010-03-05",25.938641,26.326155,25.908831,26.311251,1305117,16.206676
"2010-03-08",26.276472,26.495071,26.276472,26.405645,1501167,16.264828
"2010-03-09",26.331123,26.559656,26.216856,26.475199,1256004,16.307661
"2010-03-10",26.514944,26.634178,26.350994,26.609339,1709494,16.390289
"2010-03-11",26.480167,26.629211,26.370869,26.629211,1566382,16.402527
"2010-03-12",26.629211,26.639147,26.395708,26.554689,1134631,16.356632
"2010-03-15",26.505007,26.663988,26.405645,26.619274,989908,16.396408
"2010-03-16",26.688829,26.698765,26.495071,26.659019,1229636,16.420897
"2010-03-17",26.668957,27.056471,26.634178,27.016726,2132590,16.641218
"2010-03-18",27.036598,27.150866,26.927299,27.046534,1871124,16.65958
"2010-03-19",27.106152,27.289972,26.981949,27.106152,3289563,16.696306
"2010-03-22",26.912395,27.409208,26.827936,27.339655,2498120,16.840139
"2010-03-23",27.43405,27.563221,27.260164,27.53838,1816375,16.962545
"2010-03-24",27.463858,27.463858,27.225388,27.265133,2030138,16.794241
"2010-03-25",27.334686,27.389336,27.200546,27.230354,2921417,16.772812
"2010-03-26",27.265133,27.319782,27.08131,27.116089,2112060,16.702429
"2010-03-29",27.190611,27.359528,27.140928,27.309847,1152545,16.821772
"2010-03-30",27.324751,27.364494,27.185642,27.319782,1107055,16.827896
"2010-03-31",27.170738,27.309847,27.036598,27.071375,2287981,16.674889
"2010-04-01",26.932266,27.374432,26.634178,26.952141,9261219,16.601444
"2010-04-05",26.475199,27.180674,26.281441,26.847809,3816924,16.537184
"2010-04-06",26.668957,26.87265,26.624243,26.773287,3347332,16.491278
"2010-04-07",26.728575,26.857744,26.649082,26.713669,2968115,16.454554
"2010-04-08",26.599401,26.723604,26.405645,26.659019,2442365,16.420897
"2010-04-09",26.743479,27.096216,26.634178,27.08131,2092133,16.681009
"2010-04-12",27.06144,27.314814,26.996853,27.235325,3135381,16.775871
"2010-04-13",27.265133,27.319782,27.096216,27.280037,2446994,16.80341
"2010-04-14",27.334686,27.61787,27.195578,27.593029,3039570,16.996202
