"dates","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2010-01-04",17.99,18.24,17.889999,18.15,3850500,18.103399
"2010-01-05",18.309999,18.870001,18.23,18.66,6632500,18.612091
"2010-01-06",18.610001,18.65,18.059999,18.18,5047300,18.133324
"2010-01-07",17.91,18.07,17.780001,18.040001,5433200,17.993685
"2010-01-08",18.18,18.450001,18.030001,18.4,4055600,18.352758
"2010-01-11",18.469999,18.700001,18.129999,18.27,6142400,18.223091
"2010-01-12",16.74,17.139999,16.559999,16.85,31920900,16.806738
"2010-01-13",16.85,17.219999,16.73,17.17,14347600,17.125917
"2010-01-14",17.1,17.34,16.98,17.18,9110400,17.135891
"2010-01-15",17.209999,17.290001,16.950001,17.030001,9530400,16.986275
"2010-01-19",16.9,17.219999,16.879999,17.17,7651400,17.125917
"2010-01-20",16.99,17.24,16.620001,17.209999,8092800,17.165813
"2010-01-21",17.290001,17.57,17.129999,17.379999,12834900,17.335377
"2010-01-22",17.25,17.299999,16.700001,16.77,8718600,16.726944
"2010-01-25",16.9,17.17,16.67,16.83,7703100,16.786789
"2010-01-26",16.75,16.959999,16.66,16.74,6189100,16.69702
"2010-01-27",16.65,17.219999,16.65,17.129999,10947600,17.08602
"2010-01-28",17.110001,17.299999,16.42,16.77,12769100,16.726944
"2010-01-29",16.91,17.09,16.26,16.280001,7559700,16.238203
"2010-02-01",16.52,16.74,16.32,16.74,6576700,16.69702
"2010-02-02",16.73,17.129999,16.57,17.07,8118000,17.026173
"2010-02-03",16.92,17.32,16.790001,17.27,6417200,17.22566
"2010-02-04",17.18,17.18,16.82,16.98,7194600,16.936403
"2010-02-05",16.85,17.33,16.83,17.26,10278500,17.215685
"2010-02-08",17.379999,17.860001,17.01,17.49,16170700,17.445093
"2010-02-09",16.040001,16.280001,15.7,15.96,47398100,15.919024
"2010-02-10",16.040001,16.120001,15.75,15.94,13675500,15.899074
"2010-02-11",15.87,16.200001,15.85,16.120001,8684100,16.078613
"2010-02-12",16,16.27,15.92,16.059999,8433000,16.018764
"2010-02-16",16.139999,16.5,16.030001,16.309999,7442600,16.268124
"2010-02-17",16.450001,16.66,16.379999,16.629999,9097200,16.587301
"2010-02-18",16.51,16.809999,16.5,16.59,5232700,16.547405
"2010-02-19",16.540001,16.870001,16.49,16.75,8940100,16.706995
"2010-02-22",16.790001,16.950001,16.33,16.59,7470800,16.547405
"2010-02-23",16.59,16.68,16.219999,16.309999,5673100,16.268124
"2010-02-24",16.41,16.58,16.33,16.52,3758900,16.477585
"2010-02-25",16.26,16.58,16.219999,16.559999,6468700,16.517481
"2010-02-26",16.41,16.690001,16.379999,16.58,5745500,16.53743
"2010-03-01",16.73,16.91,16.629999,16.870001,5876000,16.826687
"2010-03-02",16.93,17.049999,16.690001,16.74,5983900,16.69702
"2010-03-03",16.82,16.950001,16.76,16.809999,3319500,16.76684
"2010-03-04",16.790001,16.85,16.65,16.82,4501100,16.776815
"2010-03-05",16.9,17.200001,16.85,17.120001,5398600,17.076046
"2010-03-08",17.129999,17.549999,17.110001,17.280001,6267100,17.235634
"2010-03-09",17.27,17.809999,17.23,17.58,13646200,17.534864
"2010-03-10",17.540001,17.950001,17.540001,17.889999,7334200,17.844067
"2010-03-11",17.83,17.93,17.709999,17.9,6244000,17.85404
"2010-03-12",17.92,17.92,17.629999,17.77,4571800,17.724377
"2010-03-15",17.76,17.92,17.58,17.870001,3721700,17.82412
"2010-03-16",17.92,17.93,17.65,17.92,6721000,17.873989
