"dates","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2010-01-04",31.15,31.52,31.040001,31.469999,750700,27.268766
"2010-01-05",31.42,31.49,31.049999,31.459999,948800,27.260105
"2010-01-06",31.48,31.879999,31.360001,31.799999,812100,27.554707
"2010-01-07",31.67,31.940001,31.549999,31.93,536300,27.667356
"2010-01-08",31.83,31.969999,31.67,31.940001,640700,27.676022
"2010-01-11",32,32.099998,31.559999,31.639999,580800,27.416073
"2010-01-12",31.549999,31.67,31.280001,31.450001,735600,27.251432
"2010-01-13",31.450001,31.790001,31.42,31.77,671900,27.528723
"2010-01-14",31.67,31.98,31.52,31.98,434300,27.710676
"2010-01-15",31.870001,31.93,31.629999,31.74,775900,27.502724
"2010-01-19",31.66,31.959999,31.629999,31.93,546700,27.667356
"2010-01-20",31.75,31.860001,31.42,31.77,639900,27.528723
"2010-01-21",31.73,32.25,31.6,31.610001,1043400,27.390076
"2010-01-22",31.690001,31.690001,31.33,31.43,1101900,27.234108
"2010-01-25",31.709999,31.92,31.370001,31.85,1113100,27.598038
"2010-01-26",31.82,31.91,31.52,31.59,651600,27.372749
"2010-01-27",31.469999,32.150002,31.469999,32.150002,1016600,27.857986
"2010-01-28",32.209999,32.209999,31.610001,31.73,1112600,27.494061
"2010-01-29",31.82,32.18,31.58,32,1514700,27.728004
"2010-02-01",32.110001,33.400002,31.969999,33.400002,2491800,28.941113
"2010-02-02",33.43,33.59,32.900002,33.380001,2638100,28.923782
"2010-02-03",33.130001,33.389999,32.900002,33.040001,1127600,28.629171
"2010-02-04",32.169998,32.740002,31.370001,31.719999,2989300,27.485392
"2010-02-05",31.67,32.189999,30.93,31.57,2224100,27.355417
"2010-02-08",31.629999,31.719999,31.08,31.18,1199100,27.017479
"2010-02-09",31.440001,31.809999,31.23,31.469999,1891400,27.268766
"2010-02-10",31.34,31.610001,31.059999,31.35,1402300,27.164789
"2010-02-11",31.370001,31.67,31.07,31.6,1284500,27.381414
