"dates","ES.Open","ES.High","ES.Low","ES.Close","ES.Volume","ES.Adjusted"
"2010-01-04",25.65,26,25.65,25.77,1206800,17.858858
"2010-01-05",25.91,25.91,25.5,25.68,2014200,17.796488
"2010-01-06",25.77,26.139999,25.75,26.01,1550300,18.025169
"2010-01-07",26.040001,26.16,25.809999,25.969999,881300,17.997456
"2010-01-08",25.870001,26.24,25.77,26.040001,969700,18.045967
"2010-01-11",25.719999,26.26,25.719999,26.209999,1441900,18.163782
"2010-01-12",26.16,26.4,26.02,26.15,1083400,18.122192
"2010-01-13",26.27,26.51,26.120001,26.389999,1077900,18.288521
"2010-01-14",26.32,26.469999,26.27,26.389999,603000,18.288521
"2010-01-15",26.49,26.57,25.84,25.950001,2549000,17.983593
"2010-01-19",25.93,26.440001,25.93,26.41,1204800,18.302382
"2010-01-20",26.219999,26.360001,26.059999,26.280001,1347500,18.212292
"2010-01-21",26.379999,26.620001,25.83,25.959999,1639600,17.990526
"2010-01-22",26.01,26.280001,25.450001,25.459999,1178300,17.644014
"2010-01-25",25.620001,25.700001,25.32,25.540001,1227500,17.699465
"2010-01-26",25.360001,25.6,25.35,25.459999,887200,17.644014
"2010-01-27",25.459999,25.6,25.1,25.559999,1787800,17.713322
"2010-01-28",25.610001,25.68,25.299999,25.459999,1336300,17.644014
"2010-01-29",25.610001,25.68,25.280001,25.32,1910800,17.546995
"2010-02-01",25.469999,25.639999,25.07,25.629999,1397300,17.761829
"2010-02-02",25.57,26,25.35,25.99,1349600,18.011311
"2010-02-03",25.76,26,25.73,25.940001,1407500,17.976667
"2010-02-04",25.780001,25.85,25.200001,25.219999,1843500,17.477699
"2010-02-05",25.25,25.290001,24.75,25.139999,1390500,17.422256
"2010-02-08",25.1,25.120001,24.76,24.780001,975600,17.172773
"2010-02-09",24.969999,25.24,24.860001,25.040001,926500,17.352961
"2010-02-10",25.040001,25.139999,24.68,24.99,1044200,17.31831
"2010-02-11",25,25.219999,24.77,25.219999,1050600,17.477699
"2010-02-12",25.110001,25.209999,24.9,25.129999,1187300,17.415331
"2010-02-16",25.34,25.790001,25.309999,25.790001,957800,17.872711
"2010-02-17",25.92,26.030001,25.780001,25.85,1177000,17.914293
"2010-02-18",25.83,26.26,25.83,26.139999,1946700,18.115271
"2010-02-19",26.139999,26.719999,26.09,26.67,1316300,18.482573
"2010-02-22",26.75,26.83,26.620001,26.68,648300,18.489494
"2010-02-23",26.629999,26.66,26.280001,26.33,1257100,18.246933
"2010-02-24",26.42,26.58,26.01,26.26,1582800,18.198431
"2010-02-25",25.15,25.610001,25.15,25.57,1918900,17.894705
"2010-02-26",25.68,25.780001,25.389999,25.6,1619000,17.915693
"2010-03-01",25.719999,26.15,25.719999,26.110001,1071000,18.272612
"2010-03-02",26.23,26.379999,26.17,26.23,1153100,18.356596
"2010-03-03",26.23,26.389999,26.129999,26.16,1116000,18.307602
"2010-03-04",26.16,26.27,26.08,26.26,922100,18.37759
"2010-03-05",26.5,26.52,26.280001,26.51,970100,18.552547
"2010-03-08",26.639999,26.75,26.540001,26.58,831000,18.601534
"2010-03-09",26.549999,26.610001,26.370001,26.49,992900,18.538548
"2010-03-10",26.48,26.73,26.34,26.73,1188800,18.706503
"2010-03-11",26.360001,26.799999,26.360001,26.67,1051300,18.664524
"2010-03-12",26.92,26.959999,26.66,26.809999,976300,18.762497
"2010-03-15",26.76,27,26.74,27,673000,18.89546
"2010-03-16",27.01,27.25,26.809999,27.25,1094900,19.070414
"2010-03-17",27.280001,27.280001,27.02,27.16,1301900,19.007429
"2010-03-18",27.16,27.27,27.059999,27.17,1166600,19.014435
"2010-03-19",27.16,27.48,27.049999,27.16,1317600,19.007429
"2010-03-22",27.07,27.209999,26.940001,27.09,1170100,18.958443
"2010-03-23",27.120001,27.27,26.969999,27.24,755400,19.063425
"2010-03-24",27.200001,27.25,26.940001,26.950001,666700,18.860468
"2010-03-25",27.030001,27.200001,27.01,27.09,1764000,18.958443
"2010-03-26",27.110001,27.219999,26.889999,27.02,1231400,18.909458
"2010-03-29",27.110001,27.549999,27.110001,27.540001,753700,19.273367
"2010-03-30",27.58,28,27.559999,27.83,1614200,19.47632
"2010-03-31",27.790001,27.879999,27.530001,27.639999,914700,19.343351
"2010-04-01",27.75,28.1,27.75,27.969999,1008400,19.574297
"2010-04-05",28,28.120001,27.940001,28.040001,709900,19.623291
"2010-04-06",27.98,28.209999,27.93,28.200001,638500,19.735264
"2010-04-07",28.139999,28.190001,27.76,27.92,1915400,19.539309
"2010-04-08",27.719999,27.719999,27.42,27.700001,1284400,19.385347
"2010-04-09",27.700001,27.84,27.450001,27.809999,832800,19.462324
"2010-04-12",27.85,27.99,27.66,27.799999,1485700,19.455328
"2010-04-13",27.77,27.790001,27.42,27.74,843000,19.413338
"2010-04-14",27.75,27.879999,27.59,27.870001,574200,19.504313
"2010-04-15",27.67,27.969999,27.65,27.889999,843700,19.518311
"2010-04-16",27.809999,27.98,27.360001,27.379999,1361700,19.1614
"2010-04-19",27.379999,27.459999,27.129999,27.459999,1390500,19.217382
"2010-04-20",27.620001,27.629999,27.48,27.58,877500,19.301361
"2010-04-21",27.58,27.66,27.440001,27.65,846300,19.350346
"2010-04-22",27.530001,27.809999,27.450001,27.77,1020100,19.434332
"2010-04-23",27.780001,27.870001,27.65,27.76,1661400,19.427328
"2010-04-26",27.74,27.9,27.559999,27.65,1337100,19.350346
"2010-04-27",27.48,27.58,27,27.02,1515100,18.909458
"2010-04-28",27.18,27.4,26.950001,27.33,2326300,19.126406
"2010-04-29",27.49,27.59,27.26,27.57,1352900,19.294367
"2010-04-30",27.65,28.030001,27.59,27.790001,1411800,19.448332
"2010-05-03",27.959999,28,27.6,27.75,2588300,19.42033
"2010-05-04",27.48,27.58,27.23,27.379999,1622600,19.1614
"2010-05-05",27.15,27.43,26.92,27.09,1260400,18.958443
"2010-05-06",26.98,26.98,25,26,2291400,18.195633
"2010-05-07",25.950001,26.08,25.17,25.530001,2970700,17.866713
"2010-05-10",26.370001,26.42,25.99,26.33,1331100,18.426569
"2010-05-11",26.15,26.76,26.030001,26.51,1441500,18.552547
