"dates","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2010-01-04",49.07,49.209999,48.77,48.880001,4367600,30.722122
"2010-01-05",48.939999,48.939999,47.689999,48.080002,5222400,30.219313
"2010-01-06",48.07,48.380001,47.540001,48.369999,4089000,30.401569
"2010-01-07",48.119999,48.619999,48.119999,48.529999,5127000,30.502131
"2010-01-08",48.299999,48.490002,48.209999,48.299999,5090300,30.357576
"2010-01-11",48.490002,49.080002,48.380001,48.860001,5094600,30.709543
"2010-01-12",48.799999,49.389999,48.52,49.07,4616900,30.841539
"2010-01-13",49.130001,49.880001,49.09,49.66,3616800,31.212362
"2010-01-14",49.639999,49.650002,49,49.080002,5611800,30.847828
"2010-01-15",48.880001,49.009998,48.290001,48.599998,6349800,30.546129
"2010-01-19",48.48,49.279999,48.41,49.27,4730600,30.967245
"2010-01-20",49.02,49.07,48.040001,48.450001,9356900,30.451857
"2010-01-21",48.57,48.959999,47.66,48.049999,7262900,30.200441
"2010-01-22",47.93,48.029999,46.580002,46.610001,7045300,29.295376
"2010-01-25",47.110001,47.189999,46.060001,46.09,5537700,28.968538
"2010-01-26",46.169998,46.799999,45.599998,46.599998,7818200,29.289089
"2010-01-27",46.599998,46.599998,45.759998,46.279999,6103700,29.087963
"2010-01-28",47,47,45.720001,45.959999,3971000,28.886839
"2010-01-29",47,47.200001,45.599998,45.619999,5774900,28.67314
"2010-02-01",45.84,46.450001,45.48,45.860001,4308300,28.82399
"2010-02-02",45.880001,46.349998,45.509998,46.139999,3749700,28.999968
"2010-02-03",46.029999,46.029999,45.560001,45.709999,7963700,28.72971
"2010-02-04",45.689999,45.689999,44.720001,44.75,9048000,28.126328
"2010-02-05",44.549999,44.650002,43.450001,44.240002,10804100,27.805786
"2010-02-08",44.689999,44.740002,43.759998,43.759998,3053800,27.504089
"2010-02-09",44.099998,44.59,43.889999,44.220001,4478300,27.793205
"2010-02-10",44.130001,44.41,43.709999,44.299999,4410100,27.843493
"2010-02-11",43.779999,43.830002,43.139999,43.720001,6387000,27.80851
"2010-02-12",43.57,43.599998,42.970001,43.299999,5287800,27.541357
"2010-02-16",43.59,44.27,43.509998,44.200001,4076700,28.113821
"2010-02-17",44.540001,44.540001,43.889999,43.990002,2853100,27.980251
"2010-02-18",43.849998,44.560001,43.759998,44.459999,4149200,28.279192
"2010-02-19",44.32,45.09,44.32,44.880001,3848900,28.546329
"2010-02-22",45.18,45.18,44.610001,44.689999,3226500,28.425478
"2010-02-23",44.529999,44.689999,44.099998,44.139999,3796900,28.075649
"2010-02-24",44.200001,44.380001,43.59,44.009998,5129700,27.992962
"2010-02-25",43.580002,43.869999,43.02,43.810001,4256900,27.865757
"2010-02-26",43.810001,43.959999,43.25,43.299999,4821300,27.541357
"2010-03-01",43.669998,44.700001,43.509998,44.459999,5827500,28.279192
"2010-03-02",44.549999,44.790001,44.18,44.34,5345800,28.202862
"2010-03-03",44.490002,44.849998,44.330002,44.470001,3945300,28.285563
"2010-03-04",44.639999,44.790001,44.310001,44.720001,4064200,28.444565
"2010-03-05",44.939999,45.57,44.919998,45.5,4107300,28.940689
"2010-03-08",45.599998,45.75,45.169998,45.330002,2736100,28.832556
"2010-03-09",45.470001,45.470001,44.790001,44.970001,3876200,28.60358
"2010-03-10",45.099998,45.290001,44.91,45.110001,4188400,28.692633
"2010-03-11",45.259998,45.400002,44.75,44.93,3446500,28.578146
"2010-03-12",44.950001,45,44.040001,44.16,4897200,28.088375
"2010-03-15",44.240002,44.419998,44.02,44.400002,3190100,28.241032
"2010-03-16",44.419998,45.419998,44.419998,45.34,4960100,28.838924
"2010-03-17",45.540001,45.560001,45.139999,45.349998,3612900,28.845284
"2010-03-18",45.080002,45.240002,44.470001,44.669998,4298800,28.412762
"2010-03-19",44.619999,44.900002,44.25,44.619999,5504500,28.38096
"2010-03-22",44.549999,44.970001,44.23,44.32,4036100,28.190147
"2010-03-23",44.259998,44.509998,44.029999,44.310001,5690800,28.183783
"2010-03-24",44.439999,44.439999,43.5,43.560001,5892600,27.706736
"2010-03-25",43.610001,43.84,43.049999,43.290001,6220800,27.535002
"2010-03-26",43.259998,43.380001,42.970001,43.189999,3129100,27.471394
"2010-03-29",43.5,43.93,43.310001,43.919998,3086100,27.935722
"2010-03-30",43.959999,44.189999,43.810001,43.959999,2793900,27.961176
"2010-03-31",43.799999,44,43.560001,43.810001,2714500,27.865757
"2010-04-01",43.990002,44.779999,43.849998,44.279999,3300200,28.164698
"2010-04-05",44.439999,44.619999,44.099998,44.400002,2630800,28.241032
"2010-04-06",44.220001,45.099998,44.110001,45.080002,3636500,28.67355
"2010-04-07",45,45.040001,44.549999,44.73,3253600,28.450926
"2010-04-08",44.84,44.84,44.279999,44.43,2671600,28.260107
"2010-04-09",44.41,44.41,43.950001,44.259998,3092200,28.151981
"2010-04-12",44.389999,45,44.389999,44.580002,3092500,28.35553
"2010-04-13",44.630001,44.650002,43.950001,44.560001,3818400,28.342802
"2010-04-14",44.5,44.529999,44.23,44.529999,3267300,28.323715
"2010-04-15",44.279999,44.52,43.849998,44.41,4153100,28.247395
"2010-04-16",43.990002,43.990002,43.310001,43.619999,7193200,27.744905
"2010-04-19",43.610001,43.810001,43.349998,43.580002,3898000,27.71946
"2010-04-20",43.98,44.150002,43.709999,44.119999,3478800,28.062937
"2010-04-21",43.919998,44.139999,43.52,43.599998,5988500,27.732183
"2010-04-22",43.639999,43.849998,43.169998,43.650002,5433400,27.763987
"2010-04-23",43.400002,43.990002,42.779999,43.950001,7397900,27.954807
"2010-04-26",44,44.470001,43.560001,43.619999,6001300,27.744905
"2010-04-27",43.540001,43.669998,42.84,42.849998,5365700,27.255138
"2010-04-28",43.139999,43.549999,42.799999,43.380001,8886900,27.592249
"2010-04-29",43.5,43.75,43.130001,43.259998,3994300,27.515921
"2010-04-30",43.389999,43.889999,43.310001,43.59,5342500,27.725821
"2010-05-03",43.880001,44.209999,43.650002,44.130001,2551100,28.069283
"2010-05-04",43.91,44,42.959999,43.169998,4723700,27.458675
"2010-05-05",43,43.779999,42.939999,43.689999,6826700,27.789427
"2010-05-06",43.349998,43.349998,28.200001,41.860001,12427000,26.625439
"2010-05-07",41.599998,42.07,40.939999,41.540001,11766700,26.42189
"2010-05-10",42.779999,43,41.98,42.599998,5955500,27.096115
"2010-05-11",42.400002,43.189999,42.27,42.68,3666700,27.147017
"2010-05-12",42.459999,42.560001,42.029999,42.16,7451700,27.150223
"2010-05-13",42.150002,42.700001,42.049999,42.07,6209800,27.092264
"2010-05-14",42,42.43,41.369999,41.68,6299500,26.841116
"2010-05-17",41.779999,41.91,40.919998,41.349998,5093400,26.628593
"2010-05-18",41.48,41.529999,40.75,40.790001,4231700,26.267975
"2010-05-19",40.639999,40.790001,40.25,40.59,4875800,26.139175
"2010-05-20",40.110001,40.119999,39.310001,39.310001,5467600,25.31488
"2010-05-21",38.27,39.580002,38.27,39.43,5383500,25.39216
"2010-05-24",39.32,39.669998,38.880001,38.939999,3249600,25.076607
"2010-05-25",38.240002,38.400002,37.470001,38.380001,7046900,24.715979
"2010-05-26",39.540001,39.540001,38.009998,38.060001,5540800,24.509899
"2010-05-27",38.650002,38.91,38.41,38.91,5236600,25.057289
"2010-05-28",38.91,39.060001,38.509998,38.599998,4082200,24.857666
"2010-06-01",38.450001,38.540001,37.619999,37.650002,4433000,24.245872
"2010-06-02",37.400002,37.939999,37.240002,37.919998,6349500,24.419743
"2010-06-03",38.040001,38.509998,37.810001,38.41,5959500,24.735298
"2010-06-04",38.049999,38.310001,37.5,37.630001,6958900,24.233
"2010-06-07",37.77,38.419998,37.639999,37.73,5024900,24.2974
"2010-06-08",37.98,38.59,37.650002,38.5,7872900,24.793253
"2010-06-09",38.75,38.970001,38.259998,38.59,6603800,24.851213
"2010-06-10",39.330002,40.049999,39.200001,40.040001,6668300,25.784988
"2010-06-11",39.82,40.369999,39.450001,39.889999,4635500,25.688391
"2010-06-14",40.169998,40.43,39.959999,40.25,4425900,25.920223
"2010-06-15",40.279999,40.93,40.279999,40.919998,4162500,26.351692
"2010-06-16",40.759998,41.279999,40.470001,41.200001,4560500,26.532015
"2010-06-17",41.060001,41.060001,40.139999,40.91,5584100,26.345249
"2010-06-18",40.939999,41.330002,40.779999,41.240002,4694800,26.557766
"2010-06-21",41.599998,41.619999,40.540001,40.75,3992000,26.242218
"2010-06-22",40.75,40.970001,39.619999,39.75,5401500,25.598234
"2010-06-23",39.66,39.75,38.91,39.029999,5638100,25.134571
"2010-06-24",39.07,39.450001,38.610001,38.650002,5142300,24.889853
"2010-06-25",38.869999,38.869999,38.110001,38.369999,6267300,24.709539
"2010-06-28",38.580002,38.990002,38.130001,38.779999,3297200,24.973576
"2010-06-29",38.529999,38.529999,37.860001,38.07,4848300,24.51634
"2010-06-30",37.970001,38.400002,37.84,37.970001,5438500,24.451944
"2010-07-01",38.09,38.18,37.630001,38.049999,5851400,24.503469
"2010-07-02",38.220001,38.220001,37.66,37.880001,3430100,24.393986
"2010-07-06",38.02,38.75,37.959999,38.330002,5840100,24.683781
"2010-07-07",38.34,39.82,38.209999,39.650002,7164600,25.533834
"2010-07-08",40.110001,40.5,39.93,40.490002,5957200,26.074778
"2010-07-09",40.349998,40.650002,39.860001,40.619999,3307600,26.158491
"2010-07-12",40.639999,40.91,40.360001,40.869999,3988000,26.319494
"2010-07-13",40.959999,41.389999,40.720001,40.98,3608300,26.390331
"2010-07-14",41.040001,41.419998,40.759998,41.419998,4769200,26.673681
"2010-07-15",41.48,41.889999,41.09,41.759998,4564100,26.892626
"2010-07-16",41.57,41.98,41.439999,41.48,6789400,26.712318
"2010-07-19",41.68,41.91,41.279999,41.82,3021300,26.931276
"2010-07-20",41.299999,42.59,41.299999,42.59,5114400,27.427143
"2010-07-21",42.709999,42.720001,41.549999,41.950001,4537900,27.01499
"2010-07-22",42.02,42.48,41.470001,41.799999,7239500,26.9184
"2010-07-23",41.740002,41.740002,40.450001,41.02,7087600,26.416096
"2010-07-26",41.279999,41.299999,40.619999,40.939999,4994200,26.364567
"2010-07-27",41.23,41.919998,40.830002,41.889999,5859900,26.976355
"2010-07-28",41.790001,42.419998,41.639999,42.389999,6537000,27.298344
"2010-07-29",42.68,42.740002,41.57,41.93,7226000,27.002108
"2010-07-30",41.66,42.02,41.259998,41.830002,4252500,26.937717
"2010-08-02",42,42.470001,41.650002,42.43,4633100,27.324108
"2010-08-03",42.23,42.68,42.189999,42.419998,3710700,27.317663
"2010-08-04",42.509998,42.630001,42.060001,42.450001,3864500,27.336985
"2010-08-05",42.16,42.369999,41.869999,42.16,6144600,27.150223
"2010-08-06",41.91,42.27,41.59,42.169998,4148600,27.156673
"2010-08-09",42.330002,42.5,42.119999,42.369999,2956700,27.285467
"2010-08-10",42.049999,42.939999,41.91,42.599998,4086600,27.433573
"2010-08-11",42.32,42.32,41.939999,41.990002,4509500,27.040747
"2010-08-12",41.259998,41.59,41.060001,41.25,4138500,26.900547
"2010-08-13",41.18,41.720001,41.18,41.369999,3301600,26.9788
"2010-08-16",41.189999,41.360001,40.93,41.209999,2671300,26.874454
"2010-08-17",41.450001,41.82,41.32,41.360001,4236500,26.972279
"2010-08-18",41.43,41.450001,40.759998,41.150002,4137100,26.835329
"2010-08-19",41.009998,41.009998,40.34,40.560001,4034200,26.450569
"2010-08-20",40.290001,40.52,40.139999,40.41,3707500,26.352745
"2010-08-23",40.650002,41.119999,40.509998,40.549999,4388400,26.444044
"2010-08-24",40.27,40.470001,40.02,40.049999,6575900,26.117975
"2010-08-25",39.93,40.16,39.52,40.029999,4434200,26.104946
"2010-08-26",40.209999,40.389999,39.950001,40.080002,3467900,26.137543
"2010-08-27",40.27,40.900002,39.93,40.759998,3433300,26.58099
"2010-08-30",40.630001,40.919998,40.450001,40.52,3086300,26.424486
"2010-08-31",40.400002,40.860001,40.049999,40.720001,4996800,26.554914
"2010-09-01",41.099998,41.720001,40.810001,41.66,3939700,27.167913
"2010-09-02",41.860001,41.900002,41.279999,41.720001,3831500,27.20705
"2010-09-03",41.98,42.290001,41.75,42.220001,3998100,27.53311
"2010-09-07",41.990002,42.27,41.709999,41.75,3426000,27.226603
"2010-09-08",41.869999,42.25,41.82,41.950001,3587200,27.357031
"2010-09-09",42.169998,42.599998,42.169998,42.48,3240000,27.702667
"2010-09-10",42.66,42.959999,42.400002,42.82,3970300,27.924389
"2010-09-13",43.07,43.130001,42.650002,42.68,4471100,27.833096
"2010-09-14",42.689999,42.720001,42.18,42.23,4176000,27.539631
"2010-09-15",42.169998,42.439999,42,42.290001,2670900,27.578762
"2010-09-16",42.23,42.27,41.889999,42.139999,2413800,27.480947
"2010-09-17",42.41,42.41,41.889999,42.110001,6431100,27.461378
"2010-09-20",42.18,42.779999,42.130001,42.740002,2844300,27.872215
"2010-09-21",42.669998,42.720001,42.23,42.349998,3791900,27.617884
"2010-09-22",42.369999,43.150002,42.369999,42.919998,4036100,27.989603
"2010-09-23",42.75,42.75,42.200001,42.259998,3922800,27.559204
"2010-09-24",42.630001,43.200001,42.610001,42.98,3104900,28.02874
"2010-09-27",43.060001,43.32,42.98,43.09,2277900,28.10046
"2010-09-28",43.16,43.299999,42.77,43.040001,2641300,28.06786
"2010-09-29",42.889999,42.950001,42.549999,42.82,2392700,27.924389
"2010-09-30",43,43.09,42.380001,42.580002,3384600,27.767881
"2010-10-01",42.900002,43.07,42.549999,43.029999,3870400,28.061333
"2010-10-04",42.919998,43.23,42.450001,42.709999,3049700,27.852661
"2010-10-05",42.990002,43,42.48,42.91,5316000,27.983082
"2010-10-06",42.84,42.959999,42.490002,42.849998,3510600,27.943962
"2010-10-07",42.970001,43.080002,42.73,42.919998,2091300,27.989603
"2010-10-08",43.040001,43.220001,42.779999,43.200001,2920800,28.172199
"2010-10-11",43.150002,43.380001,42.959999,43.200001,2243000,28.172199
"2010-10-12",43.209999,43.220001,42.799999,43.029999,2685000,28.061333
"2010-10-13",43.34,43.380001,43,43.189999,3769500,28.165686
"2010-10-14",43.209999,43.380001,42.77,43.02,2955500,28.054819
"2010-10-15",43.23,43.32,42.880001,43.150002,4192900,28.139597
"2010-10-18",43.310001,44.080002,43.200001,44.009998,8179900,28.70043
"2010-10-19",43.650002,44.23,43.59,43.740002,5310500,28.524359
"2010-10-20",43.799999,44.490002,43.790001,44.279999,3507900,28.876509
"2010-10-21",44.380001,44.490002,43.330002,43.52,5911700,28.380886
"2010-10-22",43.52,43.52,41.860001,42,9005700,27.389643
"2010-10-25",42.080002,42.32,41.25,41.330002,7923000,26.952713
"2010-10-26",41.259998,41.459999,41.029999,41.099998,5558800,26.802715
"2010-10-27",40.919998,40.959999,40.389999,40.93,5190300,26.691858
"2010-10-28",41.130001,41.25,40.709999,40.98,4301700,26.724468
"2010-10-29",40.98,40.98,40.57,40.82,5227500,26.620119
"2010-11-01",41.09,41.5,40.700001,40.900002,5731600,26.6723
"2010-11-02",41.209999,41.360001,40.869999,41.02,4587100,26.750559
"2010-11-03",41.110001,41.16,40.52,40.75,3997800,26.57448
"2010-11-04",41.029999,41.169998,40.900002,41.169998,14800900,26.848372
"2010-11-05",41.169998,41.279999,40.950001,41.169998,8885400,26.848372
"2010-11-08",41.200001,41.41,41.110001,41.34,8817400,26.959232
"2010-11-09",41.459999,41.82,41.400002,41.549999,6894900,27.096182
"2010-11-10",41.169998,41.169998,40.380001,40.630001,4831900,26.835295
"2010-11-11",40.470001,40.720001,40.299999,40.599998,3571500,26.815477
"2010-11-12",40.34,40.380001,39.950001,40.049999,6135700,26.452213
"2010-11-15",40.200001,40.43,40.119999,40.169998,4355600,26.531473
"2010-11-16",40.080002,40.150002,39.720001,39.82,5598300,26.30031
"2010-11-17",39.759998,40.189999,39.689999,40,4540600,26.419189
"2010-11-18",40.389999,40.400002,39.880001,40.02,4357400,26.432407
"2010-11-19",39.93,40.09,39.32,40,4112300,26.419189
"2010-11-22",39.959999,40,39.490002,39.880001,2853100,26.339931
"2010-11-23",39.639999,39.740002,39.400002,39.580002,3560100,26.141788
"2010-11-24",39.779999,39.82,39.41,39.720001,3979600,26.234247
"2010-11-26",39.490002,39.740002,39.310001,39.529999,1349300,26.108763
