"dates","EXPE.Open","EXPE.High","EXPE.Low","EXPE.Close","EXPE.Volume","EXPE.Adjusted"
"2010-01-04",51.419998,51.82,50.84,51.639999,2186500,34.011906
"2010-01-05",51.5,52.060001,50.66,51.860001,2431850,34.156818
"2010-01-06",51.459999,51.759998,48.98,49.200001,3880000,32.404835
"2010-01-07",49.560001,49.799999,48.240002,48.939999,1777300,32.233589
"2010-01-08",49.200001,49.200001,47.799999,48.48,2264300,31.930635
"2010-01-11",48.740002,48.900002,47.52,48.060001,2786650,31.654005
"2010-01-12",47.68,47.84,46.299999,46.560001,2158550,30.666056
"2010-01-13",46.720001,47.380001,45.740002,47.139999,2268050,31.048061
"2010-01-14",46.799999,48.040001,46.040001,46.119999,2316950,30.376251
"2010-01-15",46.18,46.639999,45.139999,45.459999,1785600,29.941545
"2010-01-19",45.419998,45.720001,44.939999,45.5,2119750,29.967888
"2010-01-20",44.98,45.459999,44.02,44.439999,1899250,29.269743
"2010-01-21",44.560001,45.540001,43.099998,44.459999,1955800,29.282915
"2010-01-22",44.34,44.599998,43.200001,43.540001,2795650,28.676973
"2010-01-25",43.639999,44.099998,43.419998,43.459999,1979750,28.624283
"2010-01-26",43.220001,44.880001,43.16,44.34,2118800,29.20388
"2010-01-27",44.02,44.66,43.48,44.240002,1608150,29.138018
"2010-01-28",44.459999,45.060001,42.799999,43.360001,1969350,28.558422
"2010-01-29",43.639999,44.419998,42.599998,42.82,2480450,28.202759
"2010-02-01",43.02,44.400002,42.759998,44.200001,2002000,29.11167
"2010-02-02",44.279999,44.52,43.32,44.139999,1748200,29.072144
"2010-02-03",43.860001,44.32,43.299999,44.220001,1382500,29.124842
"2010-02-04",44.18,44.220001,42.720001,42.799999,1807950,28.189583
"2010-02-05",42.779999,43.040001,41.560001,42.52,2468550,28.005165
"2010-02-08",42.419998,43.799999,42.380001,42.84,1393500,28.215927
"2010-02-09",43.52,44.099998,42.98,43.759998,2003700,28.821871
"2010-02-10",43.66,45,43.400002,44.48,3673950,29.296085
"2010-02-11",42.139999,43.099998,40.34,42.540001,10262750,28.018343
"2010-02-12",42.619999,42.98,41.060001,42.700001,3157000,28.123726
"2010-02-16",42.959999,44.52,42.700001,44.360001,2750050,29.217056
"2010-02-17",44.540001,44.779999,43.599998,43.759998,3859300,28.821871
"2010-02-18",43.740002,45.860001,43.580002,45.700001,3083650,30.099634
"2010-02-19",45.619999,45.98,45.119999,45.18,2253050,29.757132
"2010-02-22",45.279999,45.439999,44.5,44.759998,2197600,29.480509
"2010-02-23",44.580002,45.34,43.82,44.84,2376500,29.533195
"2010-02-24",45.18,45.759998,44.779999,45.259998,1778450,29.809828
"2010-02-25",44.759998,45,44.099998,44.799999,2322050,29.506847
"2010-02-26",44.68,44.98,44.080002,44.48,3165750,29.296085
"2010-03-01",44.68,46.400002,44.34,46.259998,2556500,30.468458
"2010-03-02",46.220001,46.700001,45.98,46.220001,2593600,30.442112
"2010-03-03",46.299999,46.419998,45.459999,45.740002,2600900,30.125965
