"dates","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2012-10-12",17.82,18.280001,17.5,17.5,6467100,16.621262
"2012-10-15",17.549999,17.83,17.5,17.75,633100,16.858711
"2012-10-16",17.57,17.950001,17.25,17.790001,180300,16.896706
"2012-10-17",17.700001,18.07,17.5,17.700001,121000,16.81122
"2012-10-18",17.6,17.870001,17.52,17.700001,146100,16.81122
"2012-10-19",17.719999,17.799999,17.41,17.41,298100,16.53578
"2012-10-22",17.5,17.51,16.93,17.030001,359800,16.174866
"2012-10-23",16.85,17.299999,16.75,17.129999,166100,16.269844
"2012-10-24",16.92,17.469999,16.92,17.389999,158200,16.516787
"2012-10-25",17.98,17.98,16.25,17.030001,206900,16.174866
"2012-10-26",17.51,17.51,16.6,17.139999,199500,16.279339
"2012-10-31",16.5,17.030001,16.5,17.030001,36400,16.174866
"2012-11-01",17.1,17.48,16.51,17.23,203000,16.364822
"2012-11-02",16.99,17.23,16.559999,17,72100,16.146372
"2012-11-05",16.790001,17,16.5,16.709999,33300,15.870931
"2012-11-06",16.52,17.48,16.09,17.01,370600,16.155867
"2012-11-07",16.75,17.4,16.75,17.059999,155800,16.203356
"2012-11-08",16.290001,17.27,16.290001,16.75,141600,15.908924
"2012-11-09",16.33,16.940001,16.33,16.549999,209600,15.718964
"2012-11-12",16.459999,16.549999,16.360001,16.5,12800,15.671478
"2012-11-13",16.52,16.76,15.97,16.040001,47600,15.234577
"2012-11-14",15.97,16.469999,15.65,16.049999,123400,15.244071
"2012-11-15",16.379999,17.26,15.71,16.700001,367000,15.861435
"2012-11-16",16.91,17.690001,16.27,16.82,104600,15.975412
"2012-11-19",16.85,17.25,16.5,17.120001,77200,16.260342
"2012-11-20",17.139999,17.290001,16.83,17.129999,251400,16.269844
"2012-11-21",17.120001,17.48,16.85,17.200001,33100,16.33633
"2012-11-23",17.25,17.549999,17.059999,17.32,94000,16.4503
