"dates","FCX.Open","FCX.High","FCX.Low","FCX.Close","FCX.Volume","FCX.Adjusted"
"2010-01-04",41.305,41.799999,41.275002,41.73,18082400,32.056198
"2010-01-05",41.755001,42.25,41.564999,41.98,17313000,32.248238
"2010-01-06",42.43,43.990002,42.384998,43.654999,30691200,33.53495
"2010-01-07",43.264999,43.400002,42.505001,42.82,19499200,32.893517
"2010-01-08",42.970001,44.099998,42.404999,44.049999,21313200,33.838379
"2010-01-11",44.985001,45.275002,43.540001,44.044998,30931200,33.834541
"2010-01-12",43.220001,43.305,41.735001,42.384998,34166200,32.559361
"2010-01-13",42.650002,43.205002,41.529999,43.075001,24544200,33.148052
"2010-01-14",43.195,43.349998,42.255001,42.540001,18682000,32.736343
"2010-01-15",42.5,42.825001,41.985001,42.150002,25934600,32.43623
"2010-01-19",42.360001,42.395,41.700001,42.299999,22939000,32.551666
"2010-01-20",41.57,42.035,40.599998,41.759998,34635200,32.136112
"2010-01-21",41.404999,41.450001,38,38.139999,68719000,29.350355
"2010-01-22",36.919998,38.720001,36.275002,37.115002,60624000,28.561584
"2010-01-25",37.615002,38.044998,37.16,37.299999,32659400,28.703947
"2010-01-26",36.735001,36.994999,35.785,35.994999,43102200,27.699692
"2010-01-27",35.634998,36.18,34.400002,35.625,48933000,27.414965
"2010-01-28",36.294998,36.380001,33.900002,34.41,63485400,26.479969
"2010-01-29",34.924999,35.639999,33.099998,33.345001,51175800,25.660404
"2010-02-01",34.064999,35.82,34.025002,35.794998,48838400,27.54578
"2010-02-02",36.630001,36.825001,35.59,36.255001,51272800,27.899782
"2010-02-03",35.860001,36.595001,34.825001,35.23,46245000,27.110998
"2010-02-04",34.255001,34.494999,33.25,33.369999,53760000,25.67964
"2010-02-05",33.369999,35.145,33.014999,35.115002,74929200,27.022497
"2010-02-08",35.384998,35.994999,34.455002,34.599998,47861200,26.626181
"2010-02-09",35.564999,36.474998,35.395,35.790001,50452200,27.541937
"2010-02-10",35.610001,35.895,34.580002,35.514999,38632600,27.330318
"2010-02-11",35.84,37.365002,35.459999,37.084999,45849600,28.538498
"2010-02-12",36.205002,36.919998,35.755001,36.84,43061200,28.349958
"2010-02-16",37.810001,38.035,37.424999,37.970001,34512000,29.219547
"2010-02-17",38.165001,38.32,36.945,37.560001,32796400,28.90403
"2010-02-18",37.310001,38.395,37.285,38.299999,37814200,29.473495
"2010-02-19",38,38.939999,37.924999,38.580002,30220200,29.688961
"2010-02-22",38.759998,38.849998,38.080002,38.119999,24424000,29.33497
"2010-02-23",37.825001,38.075001,36.535,36.82,35785800,28.334566
