"dates","FE.Open","FE.High","FE.Low","FE.Close","FE.Volume","FE.Adjusted"
"2010-01-04",46.619999,46.919998,46.41,46.77,1840900,27.392752
"2010-01-05",46.650002,46.84,45.669998,46.25,2922100,27.088207
"2010-01-06",46.299999,46.849998,46.02,46.75,3426300,27.381039
"2010-01-07",46.57,46.740002,45.98,46.049999,2327700,26.971067
"2010-01-08",45.950001,46.09,45.529999,45.810001,2286900,26.830496
"2010-01-11",46.080002,46.799999,45.970001,46.610001,2026900,27.299047
"2010-01-12",46.959999,46.959999,46.369999,46.68,2687400,27.340046
"2010-01-13",46.669998,47.09,46.389999,46.950001,1556000,27.498188
"2010-01-14",46.84,46.950001,46.549999,46.869999,2144200,27.451328
"2010-01-15",46.84,46.84,45.900002,46.689999,2244200,27.345907
"2010-01-19",46.580002,47.060001,46.380001,47.029999,1640700,27.545042
"2010-01-20",46.880001,46.880001,45.900002,46.369999,2068500,27.158485
"2010-01-21",46.200001,46.509998,45.02,45.139999,2436000,26.438078
"2010-01-22",45.130001,45.130001,44.110001,44.130001,2450700,25.846535
"2010-01-25",44.689999,44.779999,44.099998,44.389999,1892700,25.998812
"2010-01-26",44.34,44.869999,44.110001,44.610001,2277800,26.127663
"2010-01-27",44.439999,44.439999,43.540001,44.220001,2259900,25.899244
"2010-01-28",44.279999,44.459999,43.540001,43.66,1445600,25.571264
"2010-01-29",43.790001,44.16,43.540001,43.619999,1906900,25.547829
"2010-02-01",43.09,43.939999,42.889999,43.75,1837100,25.623976
"2010-02-02",43.700001,44.139999,43.150002,44.099998,2309300,25.828964
"2010-02-03",43.57,43.57,42.759998,42.860001,1537900,25.419737
"2010-02-04",42.709999,42.990002,41.860001,41.919998,2546000,24.862238
"2010-02-05",41.830002,42.130001,40.990002,41.549999,2330600,24.642788
"2010-02-08",41.799999,41.799999,40.990002,40.990002,1343500,24.310665
"2010-02-09",41.290001,42.299999,41.279999,41.740002,2909500,24.755478
"2010-02-10",41.700001,41.720001,41.139999,41.459999,1713700,24.589415
"2010-02-11",39.349998,39.860001,38.709999,39.59,15876900,23.480337
"2010-02-12",39.650002,39.720001,38.669998,39.189999,9142500,23.243101
"2010-02-16",39.400002,39.889999,38.91,39.209999,5027600,23.254959
"2010-02-17",39.5,39.5,38.470001,38.57,4534900,22.875383
"2010-02-18",38.619999,38.880001,38.41,38.799999,4062600,23.011795
"2010-02-19",38.650002,39.869999,38.599998,39.700001,3364800,23.54557
"2010-02-22",39.939999,40,39.610001,39.740002,3966600,23.569302
"2010-02-23",39.709999,39.709999,39.080002,39.209999,2895300,23.254959
"2010-02-24",39.23,39.41,38.77,39.119999,2784700,23.201582
