"dates","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"2010-01-04",9.88,10.22,9.81,10.12,15429100,7.51211
"2010-01-05",9.96,10.4,9.93,10.39,12700700,7.712534
"2010-01-06",10.3,10.5,10.25,10.45,13140600,7.757071
"2010-01-07",10.4,11.3,10.36,11.08,34759200,8.224721
"2010-01-08",11,11.36,10.96,11.09,19963300,8.232145
"2010-01-11",11.26,11.29,11,11.2,15251700,8.313797
"2010-01-12",11.12,11.28,10.96,10.99,11348400,8.157911
"2010-01-13",11.01,11.67,10.69,11.52,26686300,8.551335
"2010-01-14",11.43,11.95,11.41,11.77,26508800,8.736913
"2010-01-15",11.69,11.72,11.12,11.36,25443100,8.432568
"2010-01-19",11.25,11.41,11.15,11.39,17267400,8.45484
"2010-01-20",11.21,11.67,11.2,11.31,25445100,8.395451
"2010-01-21",12.2,12.59,11.95,12.02,66585800,8.922489
"2010-01-22",11.95,12.71,11.69,12.1,39367700,8.981874
"2010-01-25",12.25,12.87,12.1,12.49,32935500,9.27137
"2010-01-26",12.36,12.67,11.64,11.71,35793800,8.692375
"2010-01-27",11.8,12.36,11.68,12.18,24246600,9.041257
"2010-01-28",12.49,12.69,12.18,12.26,32530500,9.100642
"2010-01-29",12.69,12.72,12.3,12.44,30962500,9.234256
"2010-02-01",12.45,12.65,12.34,12.5,19895900,9.27879
"2010-02-02",12.48,12.55,12.08,12.48,20103900,9.263946
"2010-02-03",12.35,12.35,11.84,12,28331800,8.907642
"2010-02-04",11.82,11.94,11.18,11.22,32057800,8.328646
"2010-02-05",11.25,11.46,10.82,11.26,22197900,8.358339
"2010-02-08",11.26,11.6,11.01,11.39,29759000,8.45484
"2010-02-09",11.51,11.68,11.41,11.47,18606400,8.51422
"2010-02-10",11.49,11.9,11.31,11.69,17858100,8.67753
"2010-02-11",11.77,11.96,11.59,11.87,17497900,8.811144
"2010-02-12",11.8,11.82,11.39,11.61,20010100,8.618142
"2010-02-16",11.73,12.12,11.67,12.08,15697800,8.967027
"2010-02-17",12.16,12.19,11.89,12.05,14963900,8.944759
"2010-02-18",11.96,12.03,11.82,11.92,10465200,8.848257
"2010-02-19",11.89,12.26,11.87,12.23,16148400,9.07837
"2010-02-22",12.28,12.72,12.23,12.55,18310000,9.315908
"2010-02-23",12.46,12.56,12.11,12.27,20394700,9.108064
"2010-02-24",12.37,12.71,12.3,12.69,17103900,9.419828
"2010-02-25",12.31,12.33,11.95,12.2,24791200,9.056104
"2010-02-26",12.24,12.34,12.1,12.21,14335100,9.063524
"2010-03-01",12.32,12.33,12.03,12.24,12508600,9.085792
"2010-03-02",12.21,12.75,12.21,12.66,16660400,9.397562
"2010-03-03",12.67,12.74,12.44,12.54,14426700,9.308487
"2010-03-04",12.2,12.5,12.18,12.33,14801000,9.152602
"2010-03-05",12.53,12.77,12.44,12.73,13242200,9.449523
"2010-03-08",12.56,12.82,12.48,12.61,13943200,9.360447
"2010-03-09",12.51,12.77,12.36,12.62,13319300,9.367869
"2010-03-10",12.79,13.12,12.73,12.96,19743700,9.62025
"2010-03-11",13.03,13.38,12.97,13.28,20652000,9.857792
"2010-03-12",13.51,13.52,13.09,13.15,13392900,9.761291
"2010-03-15",13.14,13.42,13.02,13.38,11582800,9.932022
"2010-03-16",13.38,13.55,13.28,13.45,12491200,9.983979
"2010-03-17",13.53,13.78,13.49,13.7,13375700,10.169559
"2010-03-18",13.7,13.75,13.32,13.44,11392800,9.976557
"2010-03-19",13.52,13.6,13.13,13.3,17166900,9.872637
"2010-03-22",13.11,13.5,13.05,13.43,10445800,9.969135
"2010-03-23",13.47,13.51,13.19,13.46,9507500,9.991405
"2010-03-24",13.39,13.77,13.35,13.58,11406000,10.080481
"2010-03-25",13.74,14.05,13.37,13.41,22618200,9.954288
"2010-03-26",13.49,13.75,13.11,13.2,21076100,9.798408
"2010-03-29",13.31,13.43,13.2,13.31,7340200,9.887548
"2010-03-30",13.29,13.43,13.14,13.27,6896100,9.857832
"2010-03-31",13.15,13.72,13.15,13.56,14098100,10.073266
"2010-04-01",13.65,13.73,13.47,13.59,7316000,10.095553
"2010-04-05",13.63,13.97,13.6,13.95,7646600,10.362984
"2010-04-06",13.93,14.38,13.91,14.35,18082200,10.660129
"2010-04-07",14.48,14.61,14.1,14.3,16491200,10.622987
"2010-04-08",14.2,14.35,13.98,14.27,13172900,10.600703
"2010-04-09",14.26,14.29,13.96,14.1,13394100,10.474417
"2010-04-12",14.14,14.44,14.11,14.36,9322900,10.667562
"2010-04-13",14.28,14.41,14.12,14.33,11134000,10.645275
"2010-04-14",14.5,15.06,14.48,14.94,15020800,11.098421
"2010-04-15",15,15.08,14.72,14.9,10748300,11.068707
"2010-04-16",14.83,14.87,13.75,14.2,28282000,10.548703
"2010-04-19",14,14.4,13.78,14.24,14167400,10.578415
"2010-04-20",14.39,14.81,14.24,14.8,14988100,10.994416
"2010-04-21",14.88,15.95,14.75,15.15,38065500,11.254421
"2010-04-22",14.9,15,14.33,14.96,34036600,11.113278
"2010-04-23",14.95,15.12,14.65,15.12,17813500,11.232139
"2010-04-26",15.02,15.13,14.48,14.52,17738000,10.78642
"2010-04-27",14.34,14.64,14.02,14.05,15940800,10.437269
"2010-04-28",14.24,14.62,14.14,14.44,15947500,10.726988
"2010-04-29",14.73,14.98,14.61,14.87,12080100,11.046421
"2010-04-30",14.93,15.28,14.85,14.92,15694200,11.083565
"2010-05-03",15.02,15.46,15.01,15.36,12011200,11.410426
"2010-05-04",15.14,15.14,14.42,14.56,16670700,10.816134
"2010-05-05",14.1,14.93,13.99,14.59,16049800,10.838416
"2010-05-06",14.46,14.64,12.6,13.61,26952600,10.110411
"2010-05-07",13.75,13.89,13.05,13.31,26267400,9.887548
"2010-05-10",14.26,14.83,14.04,14.38,21286400,10.682415
"2010-05-11",14.11,14.9,14.11,14.61,14578500,10.853278
"2010-05-12",14.87,15,14.6,15,12873900,11.142992
"2010-05-13",14.97,15.07,14.8,14.8,12276000,10.994416
"2010-05-14",14.53,14.53,13.86,14.08,15593300,10.459555
"2010-05-17",14.16,14.35,13.63,13.98,16212700,10.385267
"2010-05-18",14.21,14.23,13.28,13.43,17857900,9.976692
"2010-05-19",13.22,13.73,12.95,13.3,15749800,9.880123
"2010-05-20",12.89,13.06,12.47,12.51,17567600,9.293256
"2010-05-21",12.16,13.2,12.1,13.19,23311300,9.798407
"2010-05-24",13.2,13.27,12.54,12.57,13232000,9.33783
"2010-05-25",12,12.84,12,12.83,17996500,9.530974
"2010-05-26",13.04,13.17,12.41,12.51,26804400,9.293256
"2010-05-27",12.88,13.28,12.76,13.26,14242500,9.850406
"2010-05-28",13.26,13.3,12.91,13,12122800,9.657263
"2010-06-01",12.9,13.16,12.4,12.4,14393200,9.211542
"2010-06-02",12.55,13.05,12.46,13.05,12141500,9.694406
"2010-06-03",13.04,13.17,12.85,13.13,11126900,9.753837
"2010-06-04",12.74,12.95,12.44,12.5,17638000,9.285827
"2010-06-07",12.58,12.8,12.3,12.32,11397200,9.15211
"2010-06-08",12.38,12.7,12.05,12.67,16236700,9.412116
"2010-06-09",12.85,13.12,12.63,12.67,12627800,9.412116
"2010-06-10",13.18,13.39,12.96,13.37,13937900,9.932122
"2010-06-11",13.2,13.38,13.02,13.36,9033000,9.924689
"2010-06-14",13.5,13.74,13.29,13.53,15975100,10.050983
"2010-06-15",13.63,14.05,13.58,14,12800700,10.400126
"2010-06-16",13.78,14.2,13.78,14.05,14288300,10.437269
"2010-06-17",14.18,14.18,13.41,13.62,11217900,10.117839
"2010-06-18",13.69,13.78,13.49,13.58,12169100,10.088123
"2010-06-21",13.79,13.89,13.46,13.53,8540700,10.050983
"2010-06-22",13.52,13.93,13.48,13.51,10189900,10.036121
"2010-06-23",13.54,13.75,13.42,13.51,11860000,10.036121
"2010-06-24",13.38,13.45,13.14,13.2,12454500,9.805836
"2010-06-25",13.52,13.58,13.14,13.37,15844700,9.932122
"2010-06-28",13.37,13.63,13.35,13.51,12327900,10.043633
"2010-06-29",13.18,13.32,12.88,12.95,24464000,9.627319
"2010-06-30",12.9,13.19,12.28,12.29,16610400,9.136662
"2010-07-01",12.22,12.53,11.75,12.16,13147400,9.040016
"2010-07-02",12.26,12.33,11.75,11.82,8391300,8.787251
