"dates","FTI.Open","FTI.High","FTI.Low","FTI.Close","FTI.Volume","FTI.Adjusted"
"2010-01-04",21.633184,22.213543,21.633184,22.034969,2564890,20.599667
"2010-01-05",22.03125,22.522322,21.990328,22.414434,2965670,20.954412
"2010-01-06",22.351191,22.548363,21.901043,22.5186,3661325,21.051794
"2010-01-07",22.436756,22.485119,22.109375,22.258184,3468864,20.80834
"2010-01-08",22.194941,22.693453,22.042412,22.65625,4408858,21.180477
"2010-01-11",22.779018,22.872025,21.934525,22.183781,3910234,20.738783
"2010-01-12",21.826637,21.837797,21.339287,21.514137,3255706,20.112759
"2010-01-13",21.603422,21.904762,21.205357,21.722469,2036429,20.307522
"2010-01-14",21.555059,21.822918,21.480656,21.610863,1479744,20.203184
"2010-01-15",21.592262,21.941963,21.432293,21.875,6181325,20.450113
"2010-01-19",21.822918,22.224703,21.774553,22.202381,3464294,20.756172
"2010-01-20",21.577381,21.789434,21.343006,21.73735,5055053,20.32143
"2010-01-21",21.826637,21.941963,20.904018,20.907738,4959091,19.545858
"2010-01-22",20.688244,20.814732,20.145088,20.17485,3497088,18.860708
"2010-01-25",20.3125,20.665922,20.148809,20.316219,2894976,18.992872
"2010-01-26",20.115328,20.688244,19.873512,20.081844,2521344,18.77376
"2010-01-27",20.104168,20.238094,19.702381,20.167412,2610048,18.853752
"2010-01-28",20.271578,20.323662,19.568453,19.895832,2787725,18.599865
"2010-01-29",20.141369,20.580357,19.683781,19.780506,4505894,18.49205
"2010-02-01",19.973957,20.610119,19.851191,20.520832,3184205,19.184155
"2010-02-02",20.6436,20.777531,20.271578,20.691963,2459520,19.344139
"2010-02-03",20.6064,20.970982,20.476191,20.907738,4320154,19.545858
"2010-02-04",20.6436,20.654762,20.096725,20.119047,4439770,18.80854
"2010-02-05",20.119047,20.230656,19.215031,19.944197,5072256,18.645077
"2010-02-08",19.921875,20.364582,19.646578,19.899553,3663475,18.603344
"2010-02-09",20.394344,20.9561,20.193453,20.587797,3618586,19.246758
"2010-02-10",20.476191,20.777531,20.096725,20.610119,2681818,19.267626
"2010-02-11",20.658482,21.361607,20.46875,21.354168,3694387,19.963207
"2010-02-12",21.060268,21.402531,20.751488,21.365328,4076083,19.973644
"2010-02-16",21.763393,21.889881,21.540178,21.789434,4369613,20.370119
"2010-02-17",21.216518,21.793156,20.6064,20.784969,9632448,19.431087
"2010-02-18",20.178572,20.584078,19.910713,20.383184,9859853,19.055473
