"dates","FTV.Open","FTV.High","FTV.Low","FTV.Close","FTV.Volume","FTV.Adjusted"
"2016-07-05",41.338913,45.472801,40.49791,40.669456,7445687,39.887428
"2016-07-06",39.389122,40.669456,38.736401,39.95816,8014268,39.189812
"2016-07-07",39.849373,40.167362,39.619247,39.949791,6556726,39.181602
"2016-07-08",40.133892,42.351463,39.774059,42.008369,5070983,41.200596
"2016-07-11",41.179916,42.870293,40.98745,42.778244,7220549,41.955673
"2016-07-12",42.677822,42.728031,42.058578,42.317993,6635716,41.504276
"2016-07-13",42.317993,42.761505,41.698746,42.359833,5813317,41.545307
"2016-07-14",42.117153,43.29707,41.799164,43.154812,4160512,42.324997
"2016-07-15",43.330544,43.439331,42.351463,42.870293,4409311,42.045952
"2016-07-18",42.485355,43.163181,42.26778,42.920502,1861213,42.095196
"2016-07-19",42.711296,43.146442,42.209206,43.138077,2335867,42.308582
"2016-07-20",43.380753,43.447701,41.849373,42.125523,4005282,41.315502
"2016-07-21",42.175732,42.359833,41.832638,42.04184,3620731,41.23344
"2016-07-22",41.841003,42.083683,41.246861,41.338913,2928467,40.544014
"2016-07-25",41.188286,41.380753,40.050209,40.98745,3638536,40.199306
"2016-07-26",40.635983,41.355648,40.401672,41.238495,1877823,40.445526
"2016-07-27",41.071129,41.422592,40.76569,40.937237,1946177,40.15007
"2016-07-28",40.78661,41.079498,40.456066,40.711296,3493105,39.928467
"2016-07-29",40.552299,40.836819,40.175732,40.343098,5358500,39.567345
"2016-08-01",40.259415,40.594143,39.824268,40,3562295,39.23085
"2016-08-02",39.748955,40.184101,39.481171,39.748955,3904424,38.984627
"2016-08-03",39.748955,41.405857,39.623432,41.238495,5628331,40.445526
"2016-08-04",41.49791,41.933056,41.405857,41.866108,3640926,41.061077
"2016-08-05",42.058578,42.661087,42.058578,42.326359,3185751,41.512478
"2016-08-08",42.368202,42.569038,41.790794,41.882847,2529218,41.077492
"2016-08-09",40.778244,42.284519,40.519665,42.225941,1288091,41.413986
"2016-08-10",42.23431,42.51046,41.924686,42.217571,1412968,41.405777
"2016-08-11",42.451881,44.108788,42.426777,43.974895,2381277,43.129307
"2016-08-12",43.514645,44.24268,43.347279,44.108788,1538921,43.260632
"2016-08-15",44.309624,44.995815,44.23431,44.903767,1742191,44.040318
"2016-08-16",44.836819,45.146442,44.577408,44.811714,1197749,43.950043
"2016-08-17",44.912132,44.962341,44.635983,44.694561,1233360,43.835136
