"dates","GD.Open","GD.High","GD.Low","GD.Close","GD.Volume","GD.Adjusted"
"2010-01-04",68.510002,69.190002,68.169998,69.190002,1198500,52.951881
"2010-01-05",69.290001,69.779999,68.809998,69.300003,1535400,53.036079
"2010-01-06",69.029999,69.360001,68.75,69.239998,1149700,52.990154
"2010-01-07",69.089996,69.5,68.730003,69.440002,1262300,53.143223
"2010-01-08",69.43,69.699997,68.910004,69.440002,1582000,53.143223
"2010-01-11",69.830002,70.75,69.660004,70.730003,1508400,54.130455
"2010-01-12",70.269997,70.650002,69.849998,70.300003,1677200,53.801376
"2010-01-13",70.169998,71.489998,69.959999,71.07,1797800,54.686279
"2010-01-14",70.870003,71.239998,70.309998,71.099998,2332600,54.709347
"2010-01-15",71.080002,71.080002,69.849998,70.610001,1829400,54.332298
"2010-01-19",70.489998,70.830002,70.019997,70.690002,1498700,54.393879
"2010-01-20",70.120003,70.290001,68.349998,69.360001,2193500,53.37048
"2010-01-21",69.269997,69.720001,67.730003,68.139999,1984500,52.431705
"2010-01-22",68.099998,68.769997,66.940002,67.019997,1868300,51.569908
"2010-01-25",68.68,69.040001,67.849998,67.860001,1781100,52.21627
"2010-01-26",67.57,69.400002,67.43,68.720001,2618400,52.878014
"2010-01-27",68.75,68.75,65.919998,67.230003,3839500,51.731503
"2010-01-28",67.610001,68.25,67.040001,67.599998,1839000,52.016209
"2010-01-29",67.410004,67.730003,66.720001,66.849998,2268400,51.43911
"2010-02-01",67.220001,69.580002,66.790001,69.43,3613300,53.424351
"2010-02-02",69.43,70.209999,68.660004,70.029999,3599700,53.886009
"2010-02-03",69.82,70.389999,69.510002,70.120003,1902400,53.955276
"2010-02-04",69.639999,69.980003,68.059998,68.160004,2995400,52.447113
"2010-02-05",68.07,68.379997,65.300003,66.660004,4387600,51.292915
"2010-02-08",66.720001,67.529999,65.910004,66.349998,2017100,51.054359
"2010-02-09",66.949997,68.559998,66.550003,68.040001,2008500,52.354767
"2010-02-10",68.050003,68.339996,67.419998,67.639999,2704100,52.046989
"2010-02-11",67.459999,67.849998,66.550003,67.800003,2978000,52.170101
"2010-02-12",67.330002,68.279999,66.379997,67.949997,2433400,52.28553
"2010-02-16",68.370003,69.849998,68.129997,69.849998,2745100,53.747517
"2010-02-17",69.760002,70.099998,69.099998,70.099998,2284400,53.93988
"2010-02-18",69.860001,71.989998,69.589996,71.779999,2692800,55.232601
"2010-02-19",71.639999,73.099998,71.43,72.610001,2474900,55.871254
"2010-02-22",72.620003,72.970001,71.739998,72.57,1753900,55.840473
"2010-02-23",72.279999,72.879997,71.529999,71.809998,1747700,55.25568
"2010-02-24",71.830002,72.739998,71.709999,72.599998,1220500,55.863564
"2010-02-25",72.099998,72.239998,70.809998,72.199997,1651400,55.555767
"2010-02-26",72.389999,72.739998,71.589996,72.550003,1504200,55.825092
"2010-03-01",72.540001,74.129997,72.540001,73.910004,2384900,56.871574
"2010-03-02",74.650002,74.650002,73.410004,73.980003,2203000,56.92543
"2010-03-03",74.25,74.330002,72.650002,72.830002,3344600,56.040546
"2010-03-04",71.949997,73.040001,71.089996,72.940002,3061300,56.125202
"2010-03-05",72.879997,73.779999,72.529999,73.730003,2350000,56.733093
"2010-03-08",73.400002,73.919998,73.099998,73.650002,1766500,56.67152
"2010-03-09",73.379997,74.089996,72.650002,73.68,1363000,56.694592
"2010-03-10",73.470001,74.309998,73.379997,73.940002,1903600,56.894665
"2010-03-11",73.5,74.220001,72.75,74.150002,2017000,57.056252
"2010-03-12",74.150002,74.150002,73.010002,73.760002,1587400,56.756165
"2010-03-15",73.720001,73.739998,72.959999,73.660004,1620400,56.679218
"2010-03-16",73.669998,73.980003,73.260002,73.709999,1380500,56.717651
"2010-03-17",73.910004,75,73.589996,74.980003,2250100,57.694916
"2010-03-18",74.860001,75.5,74.790001,75.239998,2430200,57.894962
"2010-03-19",75.489998,76.239998,75.239998,75.489998,2438000,58.087334
"2010-03-22",75.230003,75.82,74.589996,75.660004,1340200,58.218143
"2010-03-23",75.879997,76.959999,75.790001,76.940002,1818800,59.203072
"2010-03-24",76.739998,76.760002,75.599998,75.739998,1476100,58.279697
"2010-03-25",76.339996,76.959999,75.730003,76.220001,2168100,58.649071
"2010-03-26",76.5,77.050003,76.150002,76.919998,1644700,59.187675
"2010-03-29",77.349998,78.620003,77.169998,78.480003,3168600,60.38805
"2010-03-30",78.480003,78.480003,77.07,77.489998,2199000,59.626278
"2010-03-31",77.339996,77.790001,76.980003,77.199997,2131100,59.403137
"2010-04-01",77.529999,78.330002,77.370003,77.910004,1285500,59.949451
"2010-04-05",78.470001,78.959999,77.739998,78.230003,1299200,60.195675
"2010-04-06",77.699997,77.970001,76.739998,77.410004,3102500,59.564735
"2010-04-07",76.970001,77.190002,76.32,76.470001,1958100,59.162411
"2010-04-08",76.199997,77.129997,75.940002,76.809998,1221600,59.425468
"2010-04-09",77.080002,77.580002,76.68,77.540001,1094000,59.990234
"2010-04-12",77.540001,78.18,77.139999,77.300003,1061600,59.804569
"2010-04-13",77.349998,77.349998,76.07,76.849998,1858000,59.456402
"2010-04-14",76.870003,76.970001,76.300003,76.709999,2395100,59.348064
"2010-04-15",76.43,77.059998,76.190002,76.459999,2439500,59.154682
"2010-04-16",76.220001,76.949997,75.529999,76.040001,2426200,58.829746
"2010-04-19",75.940002,76.32,75.610001,76.139999,1927400,58.907097
"2010-04-20",76.339996,77.059998,76.190002,76.940002,1704700,59.526039
"2010-04-21",77.019997,78.239998,76.75,78.050003,2041300,60.384811
"2010-04-22",77.559998,78.300003,76.599998,78.209999,2048200,60.508587
"2010-04-23",78.279999,78.639999,77.57,78.599998,1803500,60.81031
"2010-04-26",78.379997,79,78.260002,78.669998,1629600,60.864475
"2010-04-27",78.5,78.699997,76.519997,76.559998,2750300,59.232044
"2010-04-28",76.720001,77.349998,75.949997,76.980003,2124400,59.556999
"2010-04-29",77.550003,78.099998,76.580002,77.959999,1523000,60.315174
"2010-04-30",78.120003,78.330002,76.330002,76.360001,1563400,59.077297
"2010-05-03",76.830002,77.580002,76.360001,77.550003,1365300,59.997974
"2010-05-04",76.809998,76.809998,74.720001,75.279999,1830300,58.241749
"2010-05-05",74.650002,75.610001,74.32,74.959999,1602700,57.99416
"2010-05-06",74.519997,75.230003,64.580002,72.059998,3256400,55.750538
"2010-05-07",72.099998,72.099998,69.459999,70.5,4081500,54.543613
"2010-05-10",73,74.25,71.43,73.110001,3488500,56.562878
"2010-05-11",72.68,73.540001,72.129997,72.650002,2276600,56.206989
"2010-05-12",72.970001,74.470001,72.779999,74.089996,1418700,57.321068
"2010-05-13",74.029999,74.389999,72.879997,72.959999,1319900,56.446838
"2010-05-14",72.300003,72.669998,70.900002,71.709999,1824000,55.479755
"2010-05-17",72.040001,72.32,70.339996,71.769997,1646100,55.526176
"2010-05-18",71.809998,72.339996,70.440002,70.550003,1556400,54.582298
"2010-05-19",70.139999,70.349998,68.550003,69.68,1979100,53.909206
"2010-05-20",68.220001,68.260002,66.300003,66.300003,2909700,51.294193
"2010-05-21",65.389999,67.68,64.900002,67.449997,2487200,52.183914
"2010-05-24",67.279999,67.279999,65.879997,65.959999,2056800,51.031147
"2010-05-25",64.059998,66.160004,64,66.040001,2136200,51.093052
"2010-05-26",66.519997,67.449997,66.18,66.379997,2165000,51.356091
"2010-05-27",67.199997,68.480003,67.169998,68.480003,1560900,52.980804
"2010-05-28",68.489998,68.690002,67.519997,67.900002,1991500,52.532059
"2010-06-01",67,68.419998,66.730003,66.739998,1745100,51.634613
"2010-06-02",67.169998,67.989998,65.949997,67.919998,2028700,52.547554
"2010-06-03",68.199997,69.099998,67.650002,68.07,2219600,52.663597
"2010-06-04",67.059998,67.059998,64.949997,65.18,2969000,50.427696
"2010-06-07",65.32,65.32,61.970001,62.080002,5017400,48.029324
"2010-06-08",62.099998,62.93,61.790001,62.650002,4364500,48.470314
"2010-06-09",62.790001,63.84,62.330002,62.549999,1994100,48.392941
"2010-06-10",63.299999,64.239998,63.240002,64.07,2472800,49.568909
"2010-06-11",63.41,64.699997,62.950001,64.580002,1782400,49.963497
"2010-06-14",65.129997,65.410004,64.150002,64.309998,1728900,49.754597
"2010-06-15",64.889999,66.669998,64.650002,66.620003,1950900,51.541771
"2010-06-16",66.099998,66.610001,65.870003,66.290001,1551800,51.286461
"2010-06-17",66.220001,66.550003,65.440002,66.309998,1770700,51.301933
"2010-06-18",66.419998,67.089996,66.419998,66.900002,3334200,51.758389
"2010-06-21",67.980003,68.080002,66.449997,66.779999,2187700,51.665562
