"dates","GILD.Open","GILD.High","GILD.Low","GILD.Close","GILD.Volume","GILD.Adjusted"
"2010-01-04",21.695,21.860001,21.545,21.65,16809000,18.019648
"2010-01-05",21.68,21.705,21.35,21.629999,20788200,18.003
"2010-01-06",22,22.504999,21.805,22.379999,32750400,18.627243
"2010-01-07",22.375,22.575001,22.280001,22.434999,20892600,18.673016
"2010-01-08",22.48,22.549999,22.125,22.27,17618400,18.535688
"2010-01-11",22.195,22.514999,22.15,22.445,17399000,18.681339
"2010-01-12",22.5,22.530001,22.264999,22.475,13968600,18.706312
"2010-01-13",22.575001,22.934999,22.440001,22.754999,17846200,18.939362
"2010-01-14",22.950001,22.995001,22.6,22.73,16884800,18.918549
"2010-01-15",22.635,22.995001,22.389999,22.76,19067400,18.94352
"2010-01-19",22.879999,23.299999,22.865,23.139999,20906400,19.259804
"2010-01-20",23.15,23.174999,22.719999,23.025,15961200,19.164085
"2010-01-21",23.120001,23.25,22.594999,22.889999,24302200,19.05172
"2010-01-22",23.035,23.209999,22.825001,23.040001,22095000,19.176567
"2010-01-25",23.18,23.205,22.84,22.855,20666200,19.022593
"2010-01-26",22.795,22.799999,22.344999,22.434999,20806200,18.673016
"2010-01-27",23.540001,24.16,23.434999,24.02,56743600,19.992239
"2010-01-28",23.615,23.975,23.450001,23.754999,27932400,19.771677
"2010-01-29",23.795,24.25,23.75,24.135,25100600,20.08795
"2010-02-01",24.120001,24.174999,23.809999,23.905001,18501800,19.896526
"2010-02-02",23.825001,24.280001,23.745001,24.280001,20596800,20.208641
"2010-02-03",24.110001,24.15,23.58,23.77,27632000,19.784164
"2010-02-04",23.709999,23.73,23.184999,23.235001,23467600,19.338877
"2010-02-05",23.195,23.43,22.725,23.190001,28918200,19.301414
"2010-02-08",23.15,23.24,22.834999,23.045,15454800,19.180729
"2010-02-09",23.285,23.5,23.025,23.15,18992000,19.268124
"2010-02-10",23.219999,23.395,22.844999,22.985001,22741600,19.130795
"2010-02-11",22.905001,23.540001,22.795,23.379999,22954200,19.45956
"2010-02-12",23.205,23.555,23.105,23.504999,19065200,19.563595
"2010-02-16",23.99,24.02,23.15,23.434999,26284000,19.505335
"2010-02-17",23.48,24.5,23.469999,24.325001,35693800,20.246098
"2010-02-18",24.375,24.75,24.33,24.725,25876400,20.579021
"2010-02-19",24.549999,24.719999,24.389999,24.42,23377800,20.325165
"2010-02-22",24.275,24.4,23.809999,23.940001,27884200,19.925657
"2010-02-23",24,24.049999,23.645,23.674999,20081400,19.70509
"2010-02-24",23.809999,23.99,23.645,23.780001,18946400,19.792482
"2010-02-25",23.5,23.735001,23.299999,23.705,23808400,19.730059
"2010-02-26",23.754999,23.84,23.535,23.805,18997200,19.813292
"2010-03-01",23.995001,24.075001,23.695,23.754999,18722400,19.771677
"2010-03-02",23.620001,23.780001,23.495001,23.77,15558400,19.784164
"2010-03-03",23.655001,23.834999,23.625,23.785,17649400,19.796644
"2010-03-04",23.684999,23.705,23.365,23.530001,19900000,19.584406
