"dates","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2010-01-04",35.595001,35.639999,35.314999,35.450001,5156400,24.403873
"2010-01-05",35.580002,35.59,34.805,35.119999,7439200,24.176697
"2010-01-06",35.154999,35.459999,34.970001,35.330002,4686800,24.321257
"2010-01-07",35.099998,35.715,34.974998,35.650002,6706800,24.712925
"2010-01-08",35.700001,35.700001,35.130001,35.360001,4445800,24.511898
"2010-01-11",35.325001,35.459999,35.150002,35.395,2452200,24.53615
"2010-01-12",35.349998,35.720001,35.275002,35.66,3686400,24.719856
"2010-01-13",35.619999,35.955002,35.43,35.82,4028000,24.830769
"2010-01-14",35.830002,35.895,35.595001,35.82,2270800,24.830769
"2010-01-15",35.830002,35.985001,35.555,35.665001,3872400,24.723326
"2010-01-19",35.855,36.125,35.724998,35.955002,5109600,24.924355
"2010-01-20",35.77,35.77,35.529999,35.715,4087000,24.757994
"2010-01-21",35.75,35.965,35.43,35.560001,5222000,24.650539
"2010-01-22",35.575001,35.924999,35.43,35.48,7612800,24.595076
"2010-01-25",35.634998,35.869999,35.32,35.384998,3934000,24.529226
"2010-01-26",35.25,35.525002,34.974998,35.48,5024200,24.595076
"2010-01-27",35.490002,35.895,35.305,35.759998,5461000,24.789173
"2010-01-28",35.939999,36.23,35.845001,35.974998,6167400,24.938213
"2010-01-29",36.150002,36.154999,35.634998,35.654999,5146400,24.716393
"2010-02-01",35.915001,35.915001,35.369999,35.514999,5566800,24.619349
"2010-02-02",35.599998,35.810001,35.345001,35.514999,7693400,24.619349
"2010-02-03",35.575001,35.575001,35.099998,35.27,6018400,24.449512
"2010-02-04",35.075001,35.125,34.490002,34.5,8263800,23.915735
"2010-02-05",34.369999,34.540001,34.035,34.314999,5895600,23.787487
"2010-02-08",34.355,34.630001,34.259998,34.290001,3941000,23.770166
"2010-02-09",34.435001,34.91,34.435001,34.724998,3763600,24.071707
"2010-02-10",34.755001,34.865002,34.470001,34.735001,3514000,24.078636
"2010-02-11",34.630001,34.724998,34.349998,34.715,4131000,24.064779
"2010-02-12",34.529999,34.830002,34.25,34.744999,5271600,24.085566
"2010-02-16",34.775002,35.330002,34.575001,35.310001,4646400,24.477236
"2010-02-17",35.32,35.575001,35.290001,35.485001,3416800,24.598555
"2010-02-18",35.474998,36.02,35.474998,36.014999,4300200,24.965956
"2010-02-19",35.994999,36.235001,35.849998,36.18,2998000,25.080328
"2010-02-22",36.195,36.240002,35.98,36.145,2646800,25.056059
"2010-02-23",36.055,36.200001,35.84,35.939999,2297200,24.91396
"2010-02-24",36.049999,36.169998,35.84,35.959999,2578800,24.92782
"2010-02-25",35.785,35.889999,35.439999,35.845001,4094600,24.848104
"2010-02-26",35.889999,36.195,35.564999,36.005001,3671400,24.959013
"2010-03-01",35.994999,36.389999,35.994999,36.224998,4221000,25.111519
"2010-03-02",36.299999,36.490002,36.255001,36.349998,4592800,25.198174
"2010-03-03",36.365002,36.630001,36.305,36.48,3210200,25.288296
"2010-03-04",36.59,36.615002,35.849998,36.189999,6746000,25.087269
"2010-03-05",36.18,36.445,36.150002,36.345001,3623200,25.19471
"2010-03-08",36.404999,36.404999,35.915001,36.075001,3749600,25.007538
"2010-03-09",36.005001,36.299999,36,36.035,3365600,24.979811
"2010-03-10",36.055,36.209999,35.945,36.125,4021800,25.0422
"2010-03-11",35.994999,36.310001,35.900002,36.310001,2792400,25.170446
"2010-03-12",36.389999,36.5,36.025002,36.185001,3535800,25.083796
"2010-03-15",36.169998,36.345001,36.134998,36.279999,3758200,25.149651
"2010-03-16",36.310001,36.695,36.275002,36.634998,4055000,25.395739
"2010-03-17",36.634998,36.665001,36.375,36.584999,3369000,25.36108
"2010-03-18",36.595001,36.869999,36.494999,36.82,4336000,25.523983
"2010-03-19",36.669998,36.974998,36.619999,36.669998,5539000,25.420002
"2010-03-22",36.560001,36.625,36.334999,36.490002,6166400,25.295227
"2010-03-23",36.584999,36.84,36.509998,36.785,4904800,25.499722
"2010-03-24",36.494999,36.650002,36.025002,36.09,9006800,25.017939
"2010-03-25",36.259998,36.275002,35.5,35.575001,8410000,24.660931
"2010-03-26",35.630001,35.630001,35.134998,35.240002,5831000,24.428717
"2010-03-29",35.334999,35.535,35.150002,35.43,5175800,24.560419
"2010-03-30",35.450001,35.68,35.435001,35.584999,6082200,24.667866
"2010-03-31",35.584999,35.605,35.299999,35.395,5512400,24.53615
"2010-04-01",35.544998,35.845001,35.544998,35.689999,5265000,24.740652
"2010-04-05",35.740002,35.830002,35.244999,35.419998,5360200,24.553486
"2010-04-06",35.325001,35.455002,35.205002,35.255001,5471400,24.439112
"2010-04-07",35.240002,35.244999,34.955002,35.064999,5748800,24.3074
"2010-04-08",34.895,35.154999,34.674999,35.080002,5765600,24.488907
"2010-04-09",35.130001,35.435001,35.105,35.41,4877200,24.719269
"2010-04-12",35.439999,35.52,35.064999,35.18,4816200,24.55871
"2010-04-13",35.080002,35.43,34.875,35.34,7381400,24.670404
"2010-04-14",35.330002,35.575001,35.084999,35.435001,5421600,24.736731
"2010-04-15",35.314999,35.450001,35.064999,35.305,4964200,24.645967
"2010-04-16",35.174999,35.404999,34.985001,35.099998,5528800,24.502863
"2010-04-19",35.095001,35.18,34.93,35.154999,5124200,24.541256
"2010-04-20",35.185001,35.264999,35.009998,35.244999,4669200,24.604082
"2010-04-21",35.314999,35.450001,35.209999,35.314999,4122800,24.652954
