"dates","GLW.Open","GLW.High","GLW.Low","GLW.Close","GLW.Volume","GLW.Adjusted"
"2010-01-04",19.469999,19.75,19.309999,19.559999,16539100,15.139477
"2010-01-05",19.85,20.059999,19.469999,19.629999,18060900,15.193658
"2010-01-06",19.57,19.780001,19.309999,19.379999,13448300,15.000145
"2010-01-07",19.33,19.6,19.25,19.57,9861300,15.147216
"2010-01-08",19.450001,19.92,19.360001,19.889999,11434300,15.394892
"2010-01-11",20.620001,20.85,20.219999,20.49,25617100,15.859292
"2010-01-12",20.35,20.49,20.02,20.17,16162900,15.611615
"2010-01-13",20.34,20.59,20.16,20.309999,15961300,15.719978
"2010-01-14",20.26,20.370001,20.059999,20.200001,14059800,15.634835
"2010-01-15",20.24,20.24,19.49,19.66,16443600,15.216872
"2010-01-19",19.389999,19.790001,19.25,19.790001,18925800,15.317492
"2010-01-20",19.639999,19.83,19.34,19.77,16125600,15.302015
"2010-01-21",19.85,20.24,19.51,19.610001,16865700,15.17817
"2010-01-22",19.540001,19.540001,18.5,18.559999,16469900,14.365472
"2010-01-25",18.719999,18.99,18.530001,18.719999,17693500,14.489312
"2010-01-26",18.67,18.709999,18.030001,18.65,26839200,14.43513
"2010-01-27",18.65,19.209999,18.530001,19.139999,17644900,14.814395
"2010-01-28",19.219999,19.469999,18.309999,18.610001,22234500,14.404173
"2010-01-29",18.610001,18.83,18.01,18.08,20518800,13.993951
"2010-02-01",18.16,18.309999,17.969999,18.16,16375100,14.055861
"2010-02-02",18.219999,18.780001,18.030001,18.709999,18324900,14.481565
"2010-02-03",18.65,19.049999,18.6,18.950001,12932600,14.667328
"2010-02-04",18.76,18.780001,18.200001,18.25,16538700,14.125526
"2010-02-05",18.1,18.24,16.959999,18.049999,32322500,13.970734
"2010-02-08",18.040001,18.17,17.75,17.84,11449000,13.808188
"2010-02-09",18,18.18,17.48,17.76,18104900,13.74627
"2010-02-10",17.75,17.76,17.35,17.52,12914700,13.560511
"2010-02-11",17.549999,17.950001,17.309999,17.950001,14990900,13.893328
"2010-02-12",17.780001,17.91,17.42,17.889999,15591700,13.84689
"2010-02-16",18.07,18.190001,17.870001,18.15,13418200,14.048132
"2010-02-17",18.23,18.24,17.790001,18.01,12557300,13.939768
"2010-02-18",17.950001,18.040001,17.780001,17.99,10071900,13.924291
"2010-02-19",17.82,18.309999,17.82,18.290001,13176500,14.156489
"2010-02-22",18.290001,18.290001,17.440001,17.76,21806100,13.74627
"2010-02-23",17.33,17.440001,17.16,17.209999,23526600,13.320568
"2010-02-24",17.26,17.629999,17.25,17.5,16668800,13.584496
"2010-02-25",17.18,17.540001,16.75,17.5,31412100,13.584496
"2010-02-26",17.41,17.809999,17.33,17.629999,20319700,13.685413
"2010-03-01",17.700001,17.799999,17.57,17.77,8688200,13.794087
"2010-03-02",17.9,17.969999,17.530001,17.610001,12978700,13.669885
"2010-03-03",17.68,17.870001,17.549999,17.610001,12200700,13.669885
"2010-03-04",17.75,17.75,17.25,17.51,13267300,13.592257
"2010-03-05",17.700001,18.120001,17.629999,18.1,14018100,14.050248
"2010-03-08",18.219999,18.379999,18.07,18.35,13749100,14.244317
"2010-03-09",18.32,18.52,18.209999,18.4,13154600,14.283125
"2010-03-10",18.43,18.639999,18.290001,18.48,10807100,14.345224
"2010-03-11",18.42,18.450001,18.17,18.35,12497300,14.244317
"2010-03-12",18.540001,18.540001,18.030001,18.040001,11108200,14.003673
"2010-03-15",17.959999,18.110001,17.92,18.08,12912900,14.034723
"2010-03-16",18.24,18.52,18.07,18.48,22057700,14.345224
"2010-03-17",18.58,19.059999,18.559999,18.879999,20462100,14.655729
"2010-03-18",19.24,19.440001,19.120001,19.24,16267800,14.935185
"2010-03-19",19.389999,19.73,19.309999,19.389999,24105400,15.05162
"2010-03-22",19.200001,19.5,19.09,19.42,17273900,15.074909
"2010-03-23",19.57,19.74,19.4,19.68,14103600,15.276738
"2010-03-24",19.92,19.93,19.379999,19.459999,12484500,15.105958
"2010-03-25",19.790001,20.09,19.67,19.690001,16407200,15.284499
"2010-03-26",19.780001,19.99,19.690001,19.790001,14425200,15.362128
"2010-03-29",19.879999,20.15,19.799999,20.1,13259700,15.602764
"2010-03-30",20.09,20.25,20.049999,20.17,13777600,15.657101
"2010-03-31",20,20.35,20,20.209999,13626800,15.688154
"2010-04-01",20.280001,20.549999,20.23,20.379999,15886200,15.820116
"2010-04-05",20.49,20.75,20.42,20.66,8385300,16.037464
"2010-04-06",20.6,20.6,20.27,20.450001,10402800,15.874458
"2010-04-07",20.34,20.440001,19.969999,20.07,12288700,15.579476
"2010-04-08",19.93,19.940001,19.559999,19.82,16862500,15.38541
"2010-04-09",19.860001,19.93,19.629999,19.67,12740900,15.26897
"2010-04-12",19.75,20.049999,19.75,19.98,9890400,15.509612
"2010-04-13",19.93,20.07,19.809999,20.030001,9764800,15.548425
"2010-04-14",20.16,20.32,19.91,20.309999,10610700,15.765776
"2010-04-15",20.26,20.440001,20.18,20.219999,9846000,15.695911
