"dates","GOOGL.Open","GOOGL.High","GOOGL.Low","GOOGL.Close","GOOGL.Volume","GOOGL.Adjusted"
"2010-01-04",313.788788,315.070068,312.432434,313.68869,3908488,313.68869
"2010-01-05",313.9039,314.234222,311.081085,312.307312,6003391,312.307312
"2010-01-06",313.243256,313.243256,303.48349,304.434448,7949443,304.434448
"2010-01-07",305.005005,305.305298,296.621613,297.347351,12815771,297.347351
"2010-01-08",296.296295,301.926941,294.849854,301.31131,9439151,301.31131
"2010-01-11",302.532532,302.532532,297.317322,300.855865,14411374,300.855865
"2010-01-12",299.124115,299.379364,294.294281,295.535522,9696893,295.535522
"2010-01-13",288.533539,294.484497,287.237244,293.838837,12980207,293.838837
"2010-01-14",292.242249,297.3974,291.696686,295.220215,8471720,295.220215
"2010-01-15",296.96698,297.077087,289.309296,290.290283,10858131,290.290283
"2010-01-19",290.8909,295.505493,288.433441,294.104095,8624767,294.104095
"2010-01-20",293.283295,293.283295,287.932922,290.495483,6494899,290.495483
"2010-01-21",292.012024,293.703705,286.411407,291.781769,12602785,291.781769
"2010-01-22",282.532532,285.585571,267.697693,275.280273,13587199,275.280273
"2010-01-25",273.568573,275.21521,268.02301,270.270264,8830960,270.270264
"2010-01-26",269.254242,275.075073,268.413422,271.481476,8702289,271.481476
"2010-01-27",270.905914,274.099091,267.922913,271.32132,7920871,271.32132
"2010-01-28",272.517517,273.773773,265.565552,267.412415,6451742,267.412415
"2010-01-29",269.514526,270.765778,263.068054,265.235229,8272719,265.235229
"2010-02-01",267.567566,268.173187,265.415405,266.776764,4497098,266.776764
"2010-02-02",267.747742,267.747742,264.069061,265.825836,8184208,265.825836
"2010-02-03",264.599609,271.32132,264.379364,270.680695,5992202,270.680695
"2010-02-04",268.768768,269.269257,263.04303,263.653656,6748645,263.653656
"2010-02-05",264.464478,267.017029,261.491486,265.910919,6305688,265.910919
"2010-02-08",266.51651,271.271271,266.031036,267.002014,5383211,267.002014
"2010-02-09",270.040039,271.036041,267.802795,268.488495,5633561,268.488495
"2010-02-10",267.302307,269.164154,264.1091,267.492493,5343651,267.492493
"2010-02-11",266.926941,270.515503,265.015015,268.468475,4815180,268.468475
"2010-02-12",266.75174,268.843842,265.515503,266.826813,4554841,266.826813
"2010-02-16",268.703705,272.337341,267.417419,270.920929,7301491,270.920929
"2010-02-17",271.271271,271.971985,269.074066,269.374359,4055341,269.374359
"2010-02-18",269.039032,272.777771,268.338348,271.881897,4669126,271.881897
"2010-02-19",270.535522,272.287292,270.120117,270.650665,5101094,270.650665
"2010-02-22",273.948944,274.024017,270.770782,271.671661,4284911,271.671661
"2010-02-23",271.771759,272.087097,266.411407,267.802795,5739455,267.802795
"2010-02-24",267.257263,269.489502,265.520508,266.001007,4648547,266.001007
"2010-02-25",263.823822,264.509521,260.260254,263.478485,6611782,263.478485
"2010-02-26",263.973969,266.141144,262.002014,263.663666,4094501,263.663666
"2010-03-01",264.864868,266.911926,264.134125,266.611603,4471324,266.611603
"2010-03-02",268.007996,273.103088,267.772766,270.800812,8704886,270.800812
"2010-03-03",271.451447,274.33432,269.894897,272.932922,6172621,272.932922
"2010-03-04",273.523529,278.343353,273.373383,277.572571,6361232,277.572571
"2010-03-05",280.955963,284.11911,280.230225,282.38739,7816576,282.38739
"2010-03-08",282.672668,282.872864,280.785797,281.521515,4768027,281.521515
"2010-03-09",280.2052,282.61261,278.528534,280.375366,6346847,280.375366
"2010-03-10",282.16217,289.539551,281.386383,288.513519,11298490,288.513519
"2010-03-11",287.417419,293.398407,287.38739,290.86087,8458133,290.86087
"2010-03-12",294.364349,294.434448,289.869873,290.060059,5501293,290.060059
"2010-03-15",283.623627,285.01001,278.27829,281.871887,9298492,281.871887
"2010-03-16",281.196198,284.494507,280.660675,282.882874,6856137,282.882874
"2010-03-17",284.434448,286.011017,282.40741,283.063049,6636557,283.063049
"2010-03-18",282.642639,284.504517,281.761749,283.48349,3550846,283.48349
"2010-03-19",280.280273,284.284271,278.918915,280.280273,9578812,280.280273
"2010-03-22",278.333344,283.70871,277.417419,279.029022,8001590,279.029022
"2010-03-23",278.798798,279.434448,271.271271,274.77478,10991597,274.77478
"2010-03-24",273.028015,280.2052,270.120117,278.943939,13117270,278.943939
"2010-03-25",279.789795,286.286285,279.609619,281.72171,7853938,281.72171
"2010-03-26",282.917908,283.978973,280.290283,281.626617,5387008,281.626617
"2010-03-29",281.781769,282.642639,280.565552,281.5065,6202791,281.5065
"2010-03-30",281.696686,284.099091,280.42041,283.638641,3951844,283.638641
"2010-03-31",282.8078,285.155151,281.686676,283.843842,6055538,283.843842
"2010-04-01",285.960968,287.012024,283.058044,284.684692,4201195,284.684692
"2010-04-05",285.735748,287.727722,284.78479,285.790802,3799197,285.790802
"2010-04-06",285.015015,285.730743,282.982971,284.394409,4116080,284.394409
"2010-04-07",283.933929,284.659668,281.211212,282.052063,5156838,282.052063
"2010-04-08",281.941956,285.210205,280.305298,284.029022,3891105,284.029022
"2010-04-09",284.029022,284.669678,282.282288,283.393402,4109087,283.393402
"2010-04-12",283.958954,287.287292,283.393402,286.651642,4700095,286.651642
"2010-04-13",286.551544,294.734741,285.850861,293.67868,7816775,293.67868
"2010-04-14",295.325317,296.466461,292.297302,294.7948,6798595,294.7948
"2010-04-15",296.381378,299.219208,294.439453,297.947937,13510076,297.947937
"2010-04-16",281.781769,284.689697,275.090088,275.350342,24446529,275.350342
"2010-04-19",274.649658,277.272278,272.772766,275.325317,7780212,275.325317
"2010-04-20",277.362366,280.110107,275.805817,277.797791,5948845,277.797791
"2010-04-21",278.508514,280.405396,276.356354,277.427429,4778217,277.427429
"2010-04-22",276.276276,276.52652,271.94696,273.803802,6554839,273.803802
"2010-04-23",273.898895,274.934937,271.406403,272.767761,4174621,272.767761
"2010-04-26",272.757751,272.767761,264.869873,266.08609,8728862,266.08609
"2010-04-27",264.739746,269.434448,263.878876,264.7948,7681711,264.7948
"2010-04-28",266.316315,267.682678,260.775787,264.859863,6805388,264.859863
"2010-04-29",266.951965,268.518524,263.598602,266.266266,6111682,266.266266
"2010-04-30",265.830841,269.1091,262.982971,263.113098,4865929,263.113098
"2010-05-03",263.513519,266.726715,262.802795,265.565552,3711884,265.565552
"2010-05-04",263.523529,263.633636,252.357361,253.438431,12140447,253.438431
"2010-05-05",250.740738,258.118103,250.485489,255.135132,9155236,255.135132
"2010-05-06",254.629623,259.019012,230.230225,249.584579,9990200,249.584579
"2010-05-07",250.235229,252.912918,240.905899,246.816818,10167822,246.816818
"2010-05-10",257.242249,261.671661,256.556549,261.08609,8247744,261.08609
"2010-05-11",258.093079,260.200195,254.364365,254.779785,6638555,254.779785
"2010-05-12",256.276276,256.276276,251.251251,252.947952,7695896,252.947952
"2010-05-13",258.508514,261.261261,255.440445,255.695694,6644948,255.695694
"2010-05-14",255.140137,255.750748,248.373367,254.019012,8223768,254.019012
"2010-05-17",253.643646,254.434433,249.424423,254.239243,5582012,254.239243
"2010-05-18",255.255249,255.740738,248.783783,249.434433,5645349,249.434433
"2010-05-19",248.378372,249.969971,244.11412,247.462463,6884509,247.462463
