"dates","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"2010-01-04",38.299999,38.389999,38.029999,38.130001,836900,27.053526
"2010-01-05",37.959999,38.150002,37.549999,38.09,942800,27.025145
"2010-01-06",38.099998,38.25,37.93,38.02,656600,26.975475
"2010-01-07",38.049999,38.290001,37.889999,38.23,753300,27.124485
"2010-01-08",38,38.290001,37.93,38.240002,789700,27.131559
"2010-01-11",38.400002,38.68,38.130001,38.669998,514500,27.436657
"2010-01-12",38.529999,38.790001,38.380001,38.509998,664300,27.323143
"2010-01-13",38.650002,38.93,38.380001,38.700001,949400,27.457949
"2010-01-14",38.66,38.990002,38.43,38.959999,700300,27.642416
"2010-01-15",38.900002,38.990002,38.779999,38.790001,1082200,27.521801
"2010-01-19",38.84,39.240002,38.610001,39.099998,1018600,27.741743
"2010-01-20",38.939999,38.970001,38.34,38.389999,988700,27.238001
"2010-01-21",38.48,38.860001,38.099998,38.150002,904600,27.067715
"2010-01-22",38.18,38.509998,38.080002,38.110001,904700,27.039337
"2010-01-25",38,38.82,38,38.299999,873600,27.17415
"2010-01-26",38.27,38.459999,38.110001,38.27,588100,27.152864
"2010-01-27",38.310001,38.43,37.779999,38.060001,764200,27.003857
"2010-01-28",38.139999,38.139999,37.75,37.959999,882800,26.932919
"2010-01-29",38.07,38.189999,37.66,37.68,1033400,26.73424
"2010-02-01",37.849998,38.110001,37.720001,38.07,680300,27.010962
"2010-02-02",38.200001,39.150002,38.07,39.139999,1003700,27.770142
"2010-02-03",39.029999,39.349998,38.790001,38.810001,814500,27.535994
"2010-02-04",38.52,38.669998,37.849998,37.849998,814000,26.854858
"2010-02-05",37.779999,38.029999,37.09,37.700001,701500,26.748436
"2010-02-08",37.740002,37.779999,36.939999,36.959999,702200,26.223402
"2010-02-09",37.09,37.759998,37.09,37.57,614600,26.656199
"2010-02-10",37.57,37.77,37.220001,37.509998,501800,26.61364
"2010-02-11",37.389999,37.959999,37.130001,37.91,547300,26.897436
"2010-02-12",37.529999,38.240002,37.349998,38.189999,806900,27.096094
"2010-02-16",42.200001,42.200001,39.200001,40.75,2264000,28.912434
"2010-02-17",40.700001,41.099998,40.52,40.700001,1068500,28.876966
"2010-02-18",40.52,40.66,40.209999,40.630001,750700,28.82729
"2010-02-19",40.439999,41.07,40.330002,41.029999,771700,29.111103
"2010-02-22",41.110001,41.110001,40.5,40.68,523400,28.862764
"2010-02-23",40.66,40.849998,39.830002,39.889999,921500,28.302261
"2010-02-24",40.009998,40.389999,40,40.380001,656900,28.649916
"2010-02-25",40.049999,40.380001,39.75,40.299999,880800,28.593164
"2010-02-26",40.380001,40.490002,40.040001,40.360001,507900,28.635725
"2010-03-01",40.48,40.970001,40.16,40.810001,542900,28.955009
"2010-03-02",41.02,41.080002,40.619999,40.939999,772800,29.047237
"2010-03-03",40.77,40.84,40.259998,40.310001,603000,28.889568
"2010-03-04",40.43,40.610001,39.939999,40.209999,754000,28.817896
"2010-03-05",40.470001,40.560001,40.110001,40.400002,612900,28.954065
"2010-03-08",40.540001,40.68,40.25,40.48,533300,29.011396
"2010-03-09",40.48,40.709999,40.380001,40.560001,424700,29.06875
"2010-03-10",40.5,40.75,40.419998,40.580002,528200,29.083075
"2010-03-11",40.59,40.919998,40.34,40.900002,600700,29.31241
"2010-03-12",40.93,40.93,40.43,40.759998,472800,29.212086
"2010-03-15",40.799999,40.91,40.360001,40.5,607300,29.025743
"2010-03-16",40.48,40.970001,40.43,40.959999,587300,29.355413
"2010-03-17",41.009998,41.43,40.93,41.259998,523700,29.570425
