"dates","GPN.Open","GPN.High","GPN.Low","GPN.Close","GPN.Volume","GPN.Adjusted"
"2010-01-04",27.110001,27.25,26.23,26.334999,2533400,25.895443
"2010-01-05",26.25,26.385,26.084999,26.280001,1288600,25.841356
"2010-01-06",26.309999,26.375,26.02,26.184999,1628200,25.747938
"2010-01-07",26.184999,26.200001,25.889999,26.02,2467800,25.585703
"2010-01-08",24.6,24.870001,24.120001,24.485001,6437000,24.076321
"2010-01-11",24.465,24.485001,23.695,23.91,4421000,23.510912
"2010-01-12",23.85,23.924999,23.6,23.885,2311200,23.48634
"2010-01-13",23.870001,23.995001,23.645,23.905001,2179600,23.505995
"2010-01-14",23.780001,23.959999,23.475,23.49,2981600,23.097919
"2010-01-15",23.5,23.6,23.200001,23.24,2340800,22.852093
"2010-01-19",23.285,23.41,23.15,23.379999,2058600,22.989765
"2010-01-20",23.200001,23.375,22.98,23.344999,2188000,22.955347
"2010-01-21",23.385,23.51,22.879999,22.934999,3046800,22.552189
"2010-01-22",22.940001,23.049999,22.690001,22.700001,2421200,22.321114
"2010-01-25",22.905001,22.905001,22.450001,22.65,2003600,22.27194
"2010-01-26",22.559999,22.795,22.450001,22.620001,1948000,22.242449
"2010-01-27",22.504999,22.775,22.475,22.754999,2506200,22.375189
"2010-01-28",23.434999,23.445,22.620001,22.639999,2522200,22.262114
"2010-01-29",22.655001,22.655001,22.25,22.25,2063200,21.878622
"2010-02-01",22.35,22.5,22.025,22.5,1520200,22.124456
"2010-02-02",22.465,22.75,22.375,22.66,1491200,22.281784
"2010-02-03",22.51,22.775,22.51,22.629999,1595200,22.252283
"2010-02-04",23.195,23.195,22.549999,22.610001,2590600,22.232624
"2010-02-05",22.58,22.775,22.379999,22.565001,2548200,22.188368
"2010-02-08",22.525,22.68,22.33,22.49,1417800,22.114618
"2010-02-09",22.73,22.85,22.525,22.74,1079600,22.360449
"2010-02-10",22.65,22.745001,22.5,22.6,740400,22.232563
"2010-02-11",22.620001,22.855,22.395,22.795,697000,22.424391
"2010-02-12",22.66,22.665001,22.120001,22.245001,2655000,21.883331
"2010-02-16",22.365,22.41,22.16,22.295,2835400,21.93251
"2010-02-17",22.295,22.395,21.775,21.85,3589800,21.494755
"2010-02-18",21.77,22.045,21.745001,21.92,2535000,21.563622
"2010-02-19",21.834999,21.92,21.665001,21.795,2136000,21.440643
"2010-02-22",21.834999,21.870001,21.49,21.51,1924400,21.16028
"2010-02-23",21.43,21.565001,21.25,21.360001,2873000,21.012718
"2010-02-24",21.41,21.594999,21.315001,21.545,1398400,21.194725
"2010-02-25",21.375,21.549999,21.25,21.469999,1431000,21.120934
"2010-02-26",21.51,21.52,21.285,21.405001,1969800,21.056988
"2010-03-01",21.485001,21.91,21.485001,21.885,2413000,21.529184
"2010-03-02",21.875,21.945,21.535,21.754999,1795000,21.4013
"2010-03-03",21.715,21.725,21.4,21.41,1580200,21.061913
"2010-03-04",21.395,21.5,21.27,21.375,1300000,21.027472
"2010-03-05",21.455,21.889999,21.395,21.825001,1486400,21.47016
"2010-03-08",21.825001,22.035,21.805,21.98,916800,21.622639
"2010-03-09",22.035,22.709999,22.01,22.514999,2737200,22.148945
"2010-03-10",23.075001,23.075001,22.6,22.705,2272400,22.335855
