"dates","HPQ.Open","HPQ.High","HPQ.Low","HPQ.Close","HPQ.Volume","HPQ.Adjusted"
"2010-01-04",23.405994,23.841963,23.306086,23.819256,27957473,18.013268
"2010-01-05",23.678474,23.950954,23.660309,23.919165,28830566,18.088831
"2010-01-06",23.855585,23.946411,23.637602,23.696638,25866013,17.920538
"2010-01-07",23.701181,23.882833,23.614897,23.705723,22507303,17.92741
"2010-01-08",23.660309,23.90554,23.628519,23.882833,22548260,18.06135
"2010-01-11",23.878292,23.941872,23.587648,23.810173,22335767,18.006393
"2010-01-12",23.628519,23.869209,23.519527,23.601273,27153743,17.848419
"2010-01-13",23.705723,23.80109,23.45595,23.714806,25957837,17.934277
"2010-01-14",23.719345,24.04178,23.673933,23.846502,35483689,18.033869
"2010-01-15",23.882833,24.000908,23.642143,23.828339,29408371,18.020134
"2010-01-19",23.660309,23.97366,23.660309,23.955496,25052594,18.116295
"2010-01-20",23.732969,23.810173,23.383287,23.710262,30609341,17.930845
"2010-01-21",23.80109,23.828339,23.110807,23.292461,40706392,17.614876
"2010-01-22",23.165304,23.251589,22.366032,22.384195,44600189,16.928001
"2010-01-25",22.502272,22.897366,22.438692,22.733877,29677235,17.192448
"2010-01-26",22.752045,22.933697,22.515896,22.588556,34636139,17.08255
"2010-01-27",22.60218,22.60218,22.029972,22.456858,39655818,16.982958
"2010-01-28",22.434151,22.447775,21.57584,21.702997,58488863,16.412853
"2010-01-29",21.966394,22.002726,21.253407,21.376022,51719475,16.165571
"2010-02-01",21.512262,21.752953,21.435059,21.721163,34662122,16.426586
"2010-02-02",21.934605,22.170753,21.789282,22.066303,38453746,16.687597
"2010-02-03",22.011806,22.202543,21.916439,22.129883,25012958,16.735674
"2010-02-04",21.884649,22.125341,21.33515,21.357857,47682328,16.151844
"2010-02-05",21.303362,21.566757,21.099001,21.489555,43448323,16.251434
"2010-02-08",21.412352,21.857403,21.36694,21.612171,38791313,16.344162
"2010-02-09",21.843779,22.179836,21.734787,21.852861,38803644,16.526188
"2010-02-10",22.039055,22.125341,21.684832,21.807447,30548346,16.491844
"2010-02-11",21.798365,22.184378,21.716621,22.079927,28307591,16.697901
"2010-02-12",21.948229,22.075386,21.625795,22.007265,34720916,16.642958
"2010-02-16",22.22525,22.524977,22.157129,22.452316,32341435,16.979523
"2010-02-17",22.60218,22.820164,22.570391,22.761126,51705823,17.213057
"2010-02-18",22.879202,23.142597,22.647593,23.074478,51696134,17.450031
"2010-02-19",22.897366,23.160763,22.797457,23.065395,36685981,17.443157
"2010-02-22",23.029064,23.110807,22.824705,22.960945,27387815,17.364168
"2010-02-23",22.874659,23.042688,22.697548,22.761126,26555019,17.213057
"2010-02-24",22.724796,23.160763,22.715714,23.065395,33065232,17.443157
"2010-02-25",22.797457,23.142597,22.674841,23.124432,28263110,17.487814
"2010-02-26",23.124432,23.156221,22.98365,23.065395,24262076,17.443157
"2010-03-01",23.015442,23.460489,23.015442,23.405994,31158961,17.700735
"2010-03-02",23.415077,23.49682,23.128975,23.21526,33058846,17.556492
"2010-03-03",23.210718,23.31971,23.160763,23.206177,25219506,17.549625
"2010-03-04",23.219801,23.419619,23.178928,23.39237,17791279,17.69043
"2010-03-05",23.487738,23.72843,23.460489,23.628519,34019138,17.869022
"2010-03-08",23.45595,23.605812,23.42416,23.492279,28370128,17.765993
"2010-03-09",23.42416,23.719345,23.374205,23.5604,22527781,17.817507
"2010-03-10",23.551317,23.655767,23.437784,23.514986,25738077,17.783159
"2010-03-11",23.49682,23.628519,23.333332,23.623978,21071599,17.865587
"2010-03-12",23.646685,23.810173,23.533152,23.778383,25892437,17.982355
"2010-03-15",23.687557,23.810173,23.574024,23.805632,22631055,18.030516
"2010-03-16",23.751135,23.823797,23.655767,23.773842,24895812,18.006435
"2010-03-17",23.80109,23.955496,23.696638,23.719345,31279630,17.96516
"2010-03-18",23.714806,23.991825,23.66485,23.946411,31112939,18.13714
"2010-03-19",23.837421,24.046322,23.710262,23.837421,46066501,18.054583
"2010-03-22",23.673933,24.087193,23.673933,24.046322,34552022,18.212811
"2010-03-23",24.073568,24.141689,23.93733,24.137148,21254805,18.28161
"2010-03-24",24.055405,24.168938,23.97366,24.096275,33297543,18.250648
"2010-03-25",24.223433,24.427794,24.146231,24.296095,37032355,18.401995
"2010-03-26",24.332424,24.38238,24.17802,24.259764,31326313,18.374472
"2010-03-29",24.259764,24.355131,24.023615,24.055405,22537250,18.219694
"2010-03-30",24.037239,24.237057,24.037239,24.187103,22335326,18.319447
"2010-03-31",24.019073,24.24614,23.987284,24.137148,28308472,18.28161
"2010-04-01",24.24614,24.409628,24.037239,24.17802,23526168,18.312561
"2010-04-05",24.196184,24.500454,24.155313,24.464125,21758623,18.529257
"2010-04-06",24.377838,24.509537,24.232515,24.459581,21325269,18.525824
"2010-04-07",24.405087,24.4505,24.050863,24.200727,26592893,18.329762
"2010-04-08",24.146231,24.409628,23.964579,24.355131,19832974,18.446709
"2010-04-09",24.359673,24.464125,24.250681,24.464125,16474483,18.529257
"2010-04-12",24.427794,24.523161,24.418711,24.468664,18616369,18.53269
"2010-04-13",24.473206,24.514078,24.323341,24.423252,17861963,18.498301
"2010-04-14",24.532244,24.813807,24.500454,24.75931,26495785,18.752834
"2010-04-15",24.613987,24.663942,24.318802,24.627611,31134078,18.653082
"2010-04-16",24.545868,24.86376,24.309717,24.409628,34406911,18.487982
"2010-04-19",24.273388,24.400545,24.087193,24.359673,23629882,18.450148
"2010-04-20",24.455042,24.51862,24.232515,24.323341,26978684,18.422626
"2010-04-21",24.241598,24.536785,24.182562,24.386921,25513033,18.470783
"2010-04-22",24.214352,24.305178,23.846502,24.209808,27285863,18.336636
"2010-04-23",24.232515,24.482288,24.082651,24.477749,21544148,18.539574
"2010-04-26",24.491371,24.795641,24.441418,24.641235,26640236,18.663397
"2010-04-27",24.532244,24.636694,24.118982,24.182562,32043724,18.316002
"2010-04-28",24.118982,24.31426,24.114441,24.196184,35458366,18.326313
"2010-04-29",23.891916,24.069029,23.864668,24.014532,42994050,18.18873
"2010-04-30",24.069029,24.241598,23.578566,23.601273,34641644,17.875731
"2010-05-03",23.63306,24.046322,23.610353,23.93733,25692936,18.130262
