"dates","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2010-01-04",36.009998,36.259998,35.759998,36.220001,1048000,27.744062
"2010-01-05",36.240002,37.91,36,37.169998,3828900,28.47176
"2010-01-06",37.32,37.529999,36.75,36.849998,1492400,28.226646
"2010-01-07",37.02,37.02,36.360001,36.490002,1148300,27.950886
"2010-01-08",36.549999,36.630001,36.200001,36.380001,836600,27.866621
"2010-01-11",36.419998,36.419998,35.830002,36.18,1257400,27.713417
"2010-01-12",36.200001,37.799999,36.150002,37.75,2368700,28.916025
"2010-01-13",37.369999,38.049999,36.459999,36.610001,4881000,28.042803
"2010-01-14",36.73,37.080002,36.509998,36.959999,1765300,28.31089
"2010-01-15",36.639999,36.860001,35.970001,36.25,1959300,27.767048
"2010-01-19",37.259998,38.009998,37.259998,37.349998,3543800,28.60964
"2010-01-20",37.32,37.32,36.720001,37.080002,1827600,28.402817
"2010-01-21",37.34,37.34,36.18,36.189999,2642200,27.721085
"2010-01-22",36.529999,36.889999,36.099998,36.279999,1648800,27.790024
"2010-01-25",36.400002,36.82,36.150002,36.450001,1876100,27.920244
"2010-01-26",35.950001,36.549999,35.950001,36.5,2754900,27.958542
"2010-01-27",36.43,37.349998,36.400002,37.290001,2956700,28.563679
"2010-01-28",37.290001,37.380001,36.830002,37.130001,1950900,28.441113
"2010-01-29",37.200001,37.23,36.43,36.43,2409800,27.90493
"2010-02-01",36.59,36.810001,36.060001,36.810001,2235200,28.195992
"2010-02-02",37.849998,37.959999,36.950001,37.200001,2704500,28.494738
"2010-02-03",37.23,37.57,36.950001,37.150002,1416200,28.456446
"2010-02-04",37.009998,37.16,36.75,36.900002,2432000,28.264935
"2010-02-05",36.830002,37.5,36.77,37.349998,2325600,28.60964
"2010-02-08",37.459999,37.459999,36.900002,36.950001,1472300,28.303236
"2010-02-09",37.240002,37.369999,37.049999,37.200001,1694000,28.494738
"2010-02-10",37.07,37.279999,36.75,37.220001,1231300,28.510057
"2010-02-11",37.23,37.450001,36.84,37.400002,1341600,28.647934
"2010-02-12",37.25,37.73,37.029999,37.599998,1858400,28.801134
