"dates","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2010-01-04",131.179993,132.970001,130.850006,132.449997,6155300,92.528694
"2010-01-05",131.679993,131.850006,130.100006,130.850006,6841400,91.41095
"2010-01-06",130.679993,131.490005,129.809998,130,5605300,90.817116
"2010-01-07",129.869995,130.25,128.910004,129.550003,5840600,90.502762
"2010-01-08",129.070007,130.919998,129.050003,130.850006,4197200,91.41095
"2010-01-11",131.059998,131.059998,128.669998,129.479996,5730400,90.453857
"2010-01-12",129.029999,131.330002,129,130.509995,8081500,91.173416
"2010-01-13",130.389999,131.119995,129.160004,130.229996,6455400,90.977806
"2010-01-14",130.550003,132.710007,129.910004,132.309998,7111800,92.430878
"2010-01-15",132.029999,132.889999,131.089996,131.779999,8494400,92.060623
"2010-01-19",131.630005,134.25,131.559998,134.139999,13916200,93.709312
"2010-01-20",130.460007,131.149994,128.949997,130.25,15197500,90.991783
"2010-01-21",130.470001,130.690002,128.059998,129,9608600,90.118561
"2010-01-22",128.669998,128.889999,125.370003,125.5,10088600,87.67347
"2010-01-25",126.330002,126.889999,125.709999,126.120003,5738500,88.106613
"2010-01-26",125.919998,127.75,125.410004,125.75,7135300,87.848099
"2010-01-27",125.82,126.959999,125.040001,126.330002,8719200,88.253296
"2010-01-28",127.029999,127.040001,123.050003,123.75,9622200,86.45092
"2010-01-29",124.32,125,121.900002,122.389999,11571200,85.500839
"2010-02-01",123.230003,124.949997,122.779999,124.669998,7242900,87.093628
"2010-02-02",124.790001,125.809998,123.949997,125.529999,5899900,87.69442
"2010-02-03",125.160004,126.07,125.07,125.660004,4177100,87.785225
"2010-02-04",125.190002,125.440002,122.900002,123,9126900,85.926971
"2010-02-05",123.040001,123.720001,121.830002,123.519997,8617000,86.29023
"2010-02-08",123.150002,123.220001,121.739998,121.879997,5718500,85.52536
"2010-02-09",122.650002,124.199997,122.459999,123.209999,6044500,86.458672
"2010-02-10",122.940002,123.650002,122.209999,122.809998,5219100,86.177963
"2010-02-11",122.580002,124.199997,122.059998,123.730003,5089000,86.82357
"2010-02-12",123.010002,124.050003,121.610001,124,8017700,87.013008
"2010-02-16",124.910004,125.230003,124.110001,125.230003,6777300,87.876129
"2010-02-17",125.5,126.529999,125.209999,126.330002,5827400,88.648018
"2010-02-18",126.129997,128,126,127.809998,5525900,89.686546
"2010-02-19",127.349998,128.059998,126.870003,127.190002,6303100,89.251518
"2010-02-22",127.300003,127.43,126.309998,126.849998,3808100,89.012924
"2010-02-23",126.480003,127.660004,126,126.459999,4591900,88.73925
"2010-02-24",127.019997,128.270004,126.809998,127.589996,4782000,89.532181
"2010-02-25",126.050003,127.239998,125.57,127.07,5658700,89.167297
"2010-02-26",127.010002,128,126.739998,127.160004,4784200,89.230453
"2010-03-01",127.5,128.830002,127.470001,128.570007,4577700,90.219864
"2010-03-02",128.699997,129.089996,127.129997,127.419998,6013300,89.412903
"2010-03-03",127.730003,128.020004,126.68,126.879997,6390000,89.033951
"2010-03-04",127.07,127.07,125.470001,126.720001,6032300,88.921692
"2010-03-05",127.169998,127.550003,127.040001,127.25,6140200,89.293579
"2010-03-08",127.059998,127.5,126.360001,126.410004,6199300,88.704163
"2010-03-09",126.269997,126.290001,125.199997,125.550003,7528800,88.100716
"2010-03-10",125.989998,126.360001,125.209999,125.620003,6916200,88.149818
"2010-03-11",125.709999,127.809998,125.709999,127.599998,7922200,89.539192
"2010-03-12",127.910004,128.369995,127.510002,127.940002,5169500,89.777802
"2010-03-15",127.400002,128.339996,127.279999,127.830002,4497700,89.700592
"2010-03-16",128,128.880005,127.449997,128.669998,6134900,90.290039
"2010-03-17",128.899994,128.929993,127.360001,127.760002,6348400,89.651489
"2010-03-18",127.459999,128.75,127.449997,128.380005,4954400,90.086533
"2010-03-19",127.709999,128.929993,126.779999,127.709999,10744300,89.616394
"2010-03-22",127.110001,128.389999,126.57,127.980003,5651900,89.805855
"2010-03-23",127.940002,129.429993,127.639999,129.369995,5978500,90.78125
"2010-03-24",128.630005,129.949997,128.470001,128.529999,6669300,90.191772
"2010-03-25",129.360001,130.729996,129.130005,129.240005,7603200,90.690033
"2010-03-26",128.929993,129.779999,128.720001,129.259995,5550800,90.704056
"2010-03-29",129.300003,129.949997,128.259995,128.589996,4643000,90.233894
"2010-03-30",128.899994,129.130005,128.25,128.770004,3426600,90.360207
"2010-03-31",128.229996,128.75,127.650002,128.25,4904800,89.995323
"2010-04-01",128.949997,129.309998,127.550003,128.25,4980500,89.995323
"2010-04-05",128.380005,129.800003,128.139999,129.350006,4118700,90.76722
"2010-04-06",128.679993,129.300003,128.050003,128.929993,3926300,90.472488
"2010-04-07",128.529999,129.270004,128.009995,128.479996,5157000,90.156708
"2010-04-08",128.039993,128.229996,127.199997,127.610001,6006900,89.546219
"2010-04-09",127.879997,128.869995,127.120003,128.759995,5185100,90.353195
"2010-04-12",128.570007,128.960007,128.240005,128.360001,3992300,90.072495
"2010-04-13",128.259995,129.429993,127.839996,129.029999,6819100,90.542648
"2010-04-14",129.729996,131.419998,129.460007,131.25,8545800,92.100464
"2010-04-15",130.529999,131.139999,130.190002,130.889999,6425300,91.847839
"2010-04-16",130.679993,132.169998,130.25,130.630005,9546200,91.665443
"2010-04-19",130.380005,132.279999,130.380005,132.229996,11353700,92.788124
"2010-04-20",129.199997,130.330002,128.259995,129.690002,15216500,91.005791
"2010-04-21",129.869995,130.270004,128.5,128.990005,7559200,90.514603
"2010-04-22",128.639999,129.360001,127.769997,129.130005,6018500,90.612846
"2010-04-23",129.080002,130.100006,128.710007,129.990005,6197300,91.216324
"2010-04-26",129.759995,131.039993,129.539993,130.729996,5285400,91.735542
"2010-04-27",129.899994,132,128.710007,128.820007,10916700,90.395309
"2010-04-28",129.399994,130.470001,129.029999,130.100006,7122300,91.293503
"2010-04-29",130.550003,131.210007,130.149994,130.460007,5786900,91.546135
"2010-04-30",130.429993,130.639999,128.839996,129,6266700,90.521614
"2010-05-03",129.389999,130.139999,128.800003,129.600006,4992100,90.942635
"2010-05-04",128.889999,128.929993,126.57,128.119995,8285000,89.904076
"2010-05-05",127.120003,128.229996,126.870003,127.459999,6072800,89.440971
"2010-05-06",126.290001,127.93,116,123.919998,13168800,87.402596
"2010-05-07",123.360001,124.389999,120,122.099998,10584800,86.118919
"2010-05-10",126.269997,126.669998,125.059998,126.269997,8463900,89.060097
"2010-05-11",125.209999,128.419998,125.150002,126.889999,6498900,89.497368
"2010-05-12",127.160004,132.850006,127.010002,132.679993,16626900,93.581161
"2010-05-13",130.929993,133.100006,130.850006,131.479996,10497800,92.734772
"2010-05-14",131.059998,131.669998,129.410004,131.190002,9920100,92.530251
"2010-05-17",130.679993,131.759995,128.699997,130.440002,8923400,92.001259
"2010-05-18",131.259995,131.990005,129.899994,129.949997,9330000,91.655632
"2010-05-19",129.369995,130.5,127.82,128.860001,8669300,90.886871
"2010-05-20",127.220001,127.959999,123.68,123.800003,13176500,87.317993
"2010-05-21",122.160004,125.610001,121.400002,125.419998,12639500,88.460587
"2010-05-24",125.260002,126.019997,124.040001,124.449997,6868600,87.77639
"2010-05-25",121.470001,124.949997,121.470001,124.519997,9494800,87.825783
"2010-05-26",124.889999,125.940002,123,123.230003,9083200,86.915939
"2010-05-27",125.050003,126.389999,124.769997,126.389999,7725900,89.14473
"2010-05-28",125.959999,126.279999,124.290001,125.260002,7421900,88.34774
"2010-06-01",124.690002,126.879997,124.199997,124.339996,7135400,87.69883
"2010-06-02",124.849998,127.5,124.349998,127.410004,7705300,89.864143
"2010-06-03",127.75,128.220001,126.459999,127.959999,6645300,90.252098
"2010-06-04",126.370003,127.099998,124.669998,125.279999,9669200,88.361847
"2010-06-07",125.57,125.860001,124.129997,124.129997,6951400,87.550697
"2010-06-08",124.260002,124.459999,122.82,123.720001,8399200,87.261536
"2010-06-09",124.830002,125.839996,123.580002,123.900002,7795500,87.388496
"2010-06-10",125.989998,128.220001,125.800003,127.68,7479700,90.054581
"2010-06-11",126.730003,128.800003,126.440002,128.449997,5820200,90.597687
"2010-06-14",128.5,129.970001,128.490005,128.5,6753000,90.632973
"2010-06-15",128.929993,129.949997,128.369995,129.789993,6652500,91.542793
"2010-06-16",128.339996,130.679993,128.339996,130.350006,6401000,91.93779
"2010-06-17",130.070007,131.029999,129.860001,130.979996,5571000,92.382133
"2010-06-18",131.020004,131.25,130.130005,130.149994,9581400,91.7967
"2010-06-21",131.419998,131.940002,130.220001,130.649994,6857800,92.149376
"2010-06-22",130.369995,131.470001,129.070007,129.300003,6030200,91.19722
"2010-06-23",129.25,131.470001,129.089996,130.110001,6855800,91.768486
"2010-06-24",129.570007,129.729996,127.699997,128.190002,5565500,90.414299
"2010-06-25",128.339996,129.100006,127.120003,127.120003,10420400,89.659615
"2010-06-28",127.650002,129.470001,127.220001,128.979996,6335100,90.971504
"2010-06-29",127.349998,128.399994,124.120003,125.089996,9376200,88.227814
"2010-06-30",124.830002,125.220001,123,123.480003,8018000,87.092262
"2010-07-01",123.550003,124.209999,121.610001,122.57,9742100,86.450439
"2010-07-02",123.290001,123.290001,120.610001,121.860001,6454500,85.949654
"2010-07-06",123.580002,124.629997,122.169998,123.459999,6348700,87.078178
"2010-07-07",123.470001,127.120003,123.470001,127,7090300,89.574966
"2010-07-08",127.370003,128.149994,126.739998,127.970001,5439300,90.259132
"2010-07-09",127.900002,128.199997,127.290001,127.959999,3898000,90.252098
"2010-07-12",127.370003,128.830002,127.160004,128.669998,4206900,90.752861
"2010-07-13",128.970001,130.979996,128.690002,130.479996,6687700,92.029465
"2010-07-14",129.320007,131.600006,129.139999,130.720001,6607200,92.198738
"2010-07-15",129.869995,130.919998,129.550003,130.720001,6186800,92.198738
"2010-07-16",129.960007,130.149994,127.849998,128.029999,7002900,90.30146
"2010-07-19",128.669998,130.380005,128.369995,129.789993,8388600,91.542793
"2010-07-20",122.970001,126.559998,122.93,126.550003,16337400,89.257599
"2010-07-21",126.440002,126.5,124.620003,125.269997,8615500,88.354782
"2010-07-22",126.32,127.779999,126.050003,127.470001,6909000,89.906471
"2010-07-23",127.300003,128.800003,127,128.380005,5078000,90.548302
"2010-07-26",128.179993,128.429993,127.139999,128.410004,5174900,90.569496
"2010-07-27",128.779999,129.169998,127.889999,128.630005,4648200,90.724632
"2010-07-28",128.669998,129.350006,127.879997,128.429993,4248800,90.58358
"2010-07-29",129.059998,129.5,127.139999,128.020004,8994200,90.294395
"2010-07-30",127.43,128.979996,127.040001,128.399994,6021000,90.562431
"2010-08-02",129.25,131.199997,129.25,130.759995,6437500,92.226974
