"dates","IFF.Open","IFF.High","IFF.Low","IFF.Close","IFF.Volume","IFF.Adjusted"
"2010-01-04",41.509998,42.02,41.5,42.009998,286000,33.31464
"2010-01-05",41.860001,41.93,41.439999,41.700001,348900,33.068813
"2010-01-06",41.630001,41.970001,41.509998,41.869999,375600,33.203617
"2010-01-07",41.650002,41.84,41.07,41.549999,402000,32.949863
"2010-01-08",41.330002,41.400002,40.98,41.400002,249000,32.830906
"2010-01-11",41.549999,41.619999,41.169998,41.529999,249900,32.934002
"2010-01-12",41.209999,41.52,41,41.419998,331900,32.846748
"2010-01-13",41.43,42.150002,41.369999,42.110001,295900,33.393959
"2010-01-14",41.889999,42.200001,41.830002,42.119999,278600,33.401878
"2010-01-15",42.029999,42.220001,41.75,42.02,447800,33.322571
"2010-01-19",42.060001,42.759998,41.93,42.759998,272800,33.909409
"2010-01-20",42.360001,42.389999,41.389999,42.119999,757700,33.401878
"2010-01-21",42.349998,42.900002,41.66,41.68,479800,33.052948
"2010-01-22",41.48,41.759998,40.900002,40.950001,536600,32.474049
"2010-01-25",41.389999,41.41,40.720001,40.869999,287900,32.410599
"2010-01-26",40.650002,40.869999,40.23,40.299999,335900,31.958588
"2010-01-27",40.200001,40.57,39.779999,40.279999,286400,31.942724
"2010-01-28",40.349998,40.490002,39.279999,40,560100,31.720678
"2010-01-29",40.16,40.75,39.77,39.77,431000,31.538296
"2010-02-01",40.029999,40.439999,39.830002,40.41,386200,32.045815
"2010-02-02",40.380001,41.150002,40.049999,41.080002,569100,32.577137
"2010-02-03",40.799999,41.490002,40.799999,41.360001,543400,32.799187
"2010-02-04",41.07,41.110001,40.220001,40.23,902000,31.903078
"2010-02-05",40.150002,40.759998,39.32,40.25,803200,31.918926
"2010-02-08",40.169998,40.540001,39.73,39.849998,651900,31.601713
"2010-02-09",40.32,41.400002,39.950001,41.080002,842400,32.577137
"2010-02-10",41.110001,41.650002,40.880001,41.439999,664600,32.862633
"2010-02-11",41.279999,41.73,40.860001,41.689999,671800,33.060867
"2010-02-12",41.200001,41.77,41.110001,41.68,486400,33.052948
"2010-02-16",41.869999,42.029999,41.490002,42,522500,33.306709
"2010-02-17",42.130001,42.610001,41.700001,42.099998,479600,33.386013
"2010-02-18",42.080002,42.419998,41.880001,42.380001,317100,33.608063
"2010-02-19",42.23,42.700001,41.950001,42.48,371400,33.687359
"2010-02-22",42.48,42.48,41.950001,42.25,242400,33.504974
"2010-02-23",42.189999,42.299999,41.630001,41.740002,525400,33.100525
"2010-02-24",41.91,42.130001,41.610001,41.900002,561700,33.227421
"2010-02-25",41.5,41.970001,41.009998,41.970001,462200,33.282925
