"dates","IP.Open","IP.High","IP.Low","IP.Close","IP.Volume","IP.Adjusted"
"2010-01-04",26.814596,27.071007,26.666668,26.804733,4034909,17.951519
"2010-01-05",26.794872,28.057199,26.637081,27.751478,5249478,18.585575
"2010-01-06",27.268246,28.214991,27.248522,27.435898,5864875,18.37422
"2010-01-07",27.287968,27.317554,26.301775,26.390533,7074678,17.67412
"2010-01-08",26.390533,26.656805,25.867849,26.558186,4594434,17.786402
"2010-01-11",26.863905,26.863905,25.996056,26.242603,4463020,17.575056
"2010-01-12",25.91716,27.140039,25.91716,26.311638,8122039,17.621288
"2010-01-13",26.380671,26.646942,26.015779,26.252464,3718744,17.581659
"2010-01-14",26.213018,26.232742,25.729782,25.867849,3301584,17.324078
"2010-01-15",25.828402,26.193295,25.345167,25.719921,4913134,17.225004
"2010-01-19",25.759369,26.617357,25.56213,26.58777,4626882,17.806217
"2010-01-20",26.252464,26.420118,25.591717,25.91716,3609232,17.3571
"2010-01-21",26.02564,26.114397,24.102564,24.112427,7635724,16.148439
"2010-01-22",24.201183,24.674557,23.471399,24.092703,8710970,16.135235
"2010-01-25",24.733728,25.069035,24.112427,24.161736,4958967,16.181469
"2010-01-26",23.905325,24.556213,23.865877,24.132151,4429558,16.161654
"2010-01-27",24.003944,24.013807,22.810652,23.550297,7719683,15.771978
"2010-01-28",23.698225,23.698225,22.317554,22.751478,6844500,15.236993
"2010-01-29",22.948717,23.205128,22.50493,22.593687,4280195,15.13132
"2010-02-01",22.919132,23.599606,22.682446,23.570021,5629829,15.785182
"2010-02-02",23.609467,23.984221,23.323471,23.688362,6502376,15.864446
"2010-02-03",22.376726,22.919132,21.814596,22.357002,15476074,14.972811
"2010-02-04",22.455622,22.455622,21.548323,21.844181,9903231,14.629372
"2010-02-05",21.844181,22.416174,21.360947,22.357002,11987914,14.972811
"2010-02-08",22.287968,22.731754,21.824457,22.199211,7570524,14.867134
"2010-02-09",22.544378,22.978304,22.189348,22.60355,6849063,15.137926
"2010-02-10",22.593687,22.692308,21.745562,22.100592,6050437,14.80109
"2010-02-11",21.972387,22.347139,21.863905,22.061144,6963138,14.791165
"2010-02-12",21.883629,22.287968,21.380671,22.258383,6743506,14.923417
"2010-02-16",22.455622,23.816568,22.455622,23.767258,10379608,15.935055
"2010-02-17",23.717949,24.132151,23.224852,23.382643,6064531,15.677185
"2010-02-18",23.234715,24.112427,23.185404,23.895464,4804636,16.021009
"2010-02-19",23.698225,24.250492,23.52071,23.915188,4622623,16.034237
"2010-02-22",23.925049,24.102564,22.998028,23.658777,5456233,15.862326
"2010-02-23",23.688362,24.536489,23.540434,23.678501,7101650,15.875546
"2010-02-24",23.678501,23.97436,23.441814,23.570021,4051437,15.802814
"2010-02-25",23.362919,23.698225,22.968443,23.560158,5288821,15.796201
"2010-02-26",23.560158,23.639053,22.800789,22.8501,6788223,15.320135
"2010-03-01",23.076923,23.87574,22.978304,23.846153,6035936,15.987955
"2010-03-02",24.043392,24.812622,23.185404,24.684418,8746054,16.549976
"2010-03-03",24.763313,25.246548,24.566074,24.852072,6319552,16.662386
"2010-03-04",24.980276,25.147928,24.240631,24.635109,4463831,16.516912
"2010-03-05",24.842209,25.167652,24.723866,25,6101644,16.761566
"2010-03-08",25,25.069035,24.615385,24.901381,4474985,16.695442
"2010-03-09",24.802761,25.088757,24.575937,24.743589,5911620,16.589645
"2010-03-10",24.723866,25.157791,24.536489,24.763313,4904515,16.602873
"2010-03-11",24.654833,24.871796,24.447733,24.852072,5981890,16.662386
"2010-03-12",25.098619,25.35503,24.901381,24.990137,6231030,16.754946
"2010-03-15",24.871796,24.940828,24.398422,24.566074,4876123,16.470631
"2010-03-16",24.763313,25.147928,24.684418,25.029587,8059982,16.781406
"2010-03-17",25.128204,26.913216,25.128204,26.646942,15856831,17.865774
"2010-03-18",26.489153,26.617357,25.779093,26.055227,7085426,17.469053
"2010-03-19",25.463511,26.360947,25.384615,25.463511,6985852,17.072329
"2010-03-22",25.45365,25.798817,25.197239,25.690334,8174462,17.224415
"2010-03-23",25.690334,25.838264,25.443787,25.798817,9024701,17.29714
"2010-03-24",25.739645,26.104536,25.463511,25.848125,9295845,17.330196
"2010-03-25",26.134123,26.213018,24.861933,24.861933,7968925,16.668987
"2010-03-26",25.029587,25.276134,24.605522,24.64497,9227299,16.523529
"2010-03-29",24.89152,25.128204,24.714005,24.802761,6600227,16.629316
"2010-03-30",24.89152,25.167652,24.556213,24.911243,4270258,16.702055
"2010-03-31",24.763313,24.773176,24.19132,24.270218,5681543,16.272266
"2010-04-01",24.487179,24.940828,24.487179,24.89152,6340441,16.688831
"2010-04-05",25.019724,25.216963,24.852072,25.147928,5971243,16.860746
"2010-04-06",24.970413,25.571993,24.852072,25.552267,7981701,17.131832
"2010-04-07",25.690334,26.952663,25.690334,26.637081,14436318,17.859163
"2010-04-08",26.429979,27.110455,26.114397,27.04142,7969533,18.130253
"2010-04-09",27.04142,27.317554,26.666668,27.090731,5314171,18.163317
"2010-04-12",27.238659,27.238659,26.568047,26.765285,6152141,17.945118
"2010-04-13",26.696253,26.93294,26.489153,26.854042,5934131,18.004625
"2010-04-14",27.051283,27.761341,27.051283,27.712032,5466575,18.579876
"2010-04-15",27.544378,28.076923,27.435898,27.712032,5758709,18.579876
"2010-04-16",27.554241,28.185404,27.071007,27.465483,8446316,18.414577
"2010-04-19",27.268246,27.445759,26.538462,27.061144,5943054,18.14348
"2010-04-20",27.327415,27.672585,26.854042,27.04142,7518202,18.130253
"2010-04-21",27.090731,28.037476,27.090731,27.781065,7788433,18.626165
"2010-04-22",27.455622,28.027613,27.189348,27.978304,4225845,18.758402
"2010-04-23",28.017752,28.402367,27.771202,28.234715,4649291,18.930311
"2010-04-26",28.274162,28.846153,27.731754,28.017752,5977631,18.784855
"2010-04-27",27.919132,27.919132,26.538462,26.676529,6549426,17.885616
"2010-04-28",26.794872,27.278107,26.489153,26.804733,6049220,17.971571
"2010-04-29",27.60355,28.737673,27.39645,27.613413,8664934,18.51376
"2010-04-30",27.879684,28.057199,26.360947,26.37081,7551765,17.680647
"2010-05-03",26.577909,26.755424,25.631165,26.272188,9159361,17.614511
"2010-05-04",25.828402,25.828402,24.467457,24.664694,11337331,16.536751
"2010-05-05",24.260355,25.098619,23.964497,24.418146,8063632,16.371454
"2010-05-06",24.211044,24.812622,20.216963,23.017752,15510955,15.432539
"2010-05-07",22.781065,23.471399,21.232742,22.840237,15315152,15.313521
"2010-05-10",24.664694,25.098619,23.885603,24.447733,8126703,16.391289
"2010-05-11",24.151875,24.536489,23.777121,23.954636,5844493,16.060684
"2010-05-12",24.132151,24.615385,23.994083,24.585798,6155893,16.483852
"2010-05-13",24.378698,24.575937,23.885603,23.97436,5759419,16.154911
"2010-05-14",23.62919,23.708088,23.136095,23.451677,9015575,15.802708
"2010-05-17",23.589745,24.033531,22.712032,23.274162,9356279,15.683084
"2010-05-18",23.639053,23.994083,22.554241,22.613413,6389417,15.237851
"2010-05-19",22.347139,22.524654,21.420118,22.209072,10279121,14.96539
"2010-05-20",21.380671,21.992109,20.936884,21.459566,14167709,14.460339
"2010-05-21",20.887573,22.406313,20.798817,21.972387,10142738,14.805899
"2010-05-24",21.824457,22.218935,21.439842,21.449703,6352102,14.453696
"2010-05-25",20.650888,21.952663,20.483234,21.923077,9488809,14.772672
"2010-05-26",22.268246,22.928993,21.755424,22.031557,7519925,14.845769
"2010-05-27",22.721893,23.441814,22.426037,23.431953,7620413,15.789415
"2010-05-28",23.372782,23.500986,22.682446,22.909269,6038776,15.43721
"2010-06-01",22.50493,23.027613,21.923077,21.93294,5638246,14.779314
"2010-06-02",22.031557,22.672585,21.942801,22.652861,5811335,15.264433
"2010-06-03",22.771202,23.353058,22.524654,23.06706,7290153,15.543537
"2010-06-04",22.426037,22.800789,21.558186,21.627218,8072555,14.573309
"2010-06-07",21.706114,21.755424,20.759369,20.788956,10587478,14.008455
"2010-06-08",20.877712,21.420118,20.749508,21.341223,8901500,14.380597
"2010-06-09",21.597633,22.376726,21.449703,21.568047,7435763,14.53344
"2010-06-10",22.031557,22.712032,22.031557,22.702169,5913851,15.29766
"2010-06-11",22.968443,24.033531,22.702169,23.964497,9371287,16.14826
"2010-06-14",24.368835,25.345167,24.32939,24.704142,12932252,16.646664
"2010-06-15",25.049311,25.867849,24.733728,25.838264,9831845,17.410891
"2010-06-16",25.473373,25.680473,25.128204,25.305719,6483313,17.052038
"2010-06-17",25.443787,25.493097,24.714005,25.167652,6531681,16.959002
"2010-06-18",25.285995,25.56213,25.128204,25.374754,6579542,17.098558
"2010-06-21",26.114397,26.597633,25.798817,25.946747,7696057,17.483982
"2010-06-22",25.897436,26.203156,23.925049,24.013807,11183203,16.18149
"2010-06-23",23.925049,24.921104,23.648914,24.852072,10996019,16.746346
"2010-06-24",24.704142,24.812622,23.284023,23.392506,9527138,15.762831
"2010-06-25",23.461538,24.299803,23.214991,24.250492,17012385,16.340982
"2010-06-28",24.142012,24.378698,23.461538,23.658777,6992240,15.942262
"2010-06-29",23.136095,23.136095,21.873768,22.080868,12052100,14.878999
"2010-06-30",22.071007,22.968443,21.992109,22.317554,10578656,15.038482
"2010-07-01",22.50493,22.859961,21.656805,22.623274,9610692,15.244493
"2010-07-02",22.721893,23.007891,21.942801,22.278107,6397427,15.011909
"2010-07-06",22.899408,23.017752,21.735701,22.021696,5784464,14.839125
"2010-07-07",21.923077,22.820513,21.923077,22.810652,6457659,15.370757
"2010-07-08",22.95858,23.175543,22.416174,22.830376,8356982,15.384044
"2010-07-09",22.781065,23.530573,22.781065,23.343195,5077098,15.729604
"2010-07-12",23.372782,23.481262,22.771202,22.998028,6295115,15.497025
"2010-07-13",23.382643,24.072977,23.382643,23.806705,6550947,16.041941
"2010-07-14",23.786982,23.786982,23.106508,23.461538,6394183,15.809356
"2010-07-15",23.481262,23.481262,22.652861,23.264299,5411718,15.676441
"2010-07-16",23.116371,23.244576,22.39645,22.465483,6598402,15.138168
"2010-07-19",22.810652,22.8501,22.090731,22.741617,5581664,15.324239
"2010-07-20",22.426037,23.944773,22.179487,23.944773,7505831,16.134972
"2010-07-21",24.19132,24.309666,23.007891,23.16568,6134497,15.609985
"2010-07-22",23.510847,24.408283,23.431953,24.250492,5757086,16.340982
"2010-07-23",24.220907,24.714005,24.023668,24.635109,5552563,16.600149
"2010-07-26",24.812622,25.167652,24.477318,25.147928,5538265,16.945709
"2010-07-27",25.384615,25.433926,24.654833,25.138067,7144441,16.939066
"2010-07-28",24.280079,24.506903,23.116371,23.786982,13374052,16.02865
"2010-07-29",24.08284,24.447733,23.491123,23.757397,8664934,16.008717
"2010-07-30",23.422091,24.003944,23.303747,23.865877,4904312,16.081812
"2010-08-02",24.319527,24.930965,24.220907,24.832348,6356969,16.733061
"2010-08-03",24.477318,24.654833,24.053253,24.171598,5327657,16.287817
"2010-08-04",24.408283,24.536489,23.944773,24.201183,3867802,16.307755
"2010-08-05",24.053253,24.487179,23.964497,24.289942,4709523,16.367565
"2010-08-06",24.013807,24.32939,23.16568,23.727812,6772405,15.988777
"2010-08-09",23.944773,24.122288,23.333332,23.362919,5181439,15.742899
"2010-08-10",23.126232,23.16568,22.337278,22.593687,9202760,15.224557
"2010-08-11",22.199211,22.228798,21.538462,21.568047,6866200,14.53344
"2010-08-12",21.153847,21.83432,20.887573,21.568047,6199596,14.616986
"2010-08-13",21.449703,21.854042,21.37081,21.568047,4424690,14.616986
"2010-08-16",21.420118,21.913216,21.12426,21.291912,8161990,14.429842
"2010-08-17",21.666668,21.913216,21.351086,21.686392,6344902,14.697186
"2010-08-18",21.775148,21.785009,21.291912,21.568047,4019496,14.616986
"2010-08-19",21.351086,21.518738,20.818541,20.986193,5382819,14.222655
"2010-08-20",20.739645,21.12426,20.660749,20.91716,4784559,14.175867
"2010-08-23",21.183432,21.499014,20.700197,20.719921,5140574,14.0422
"2010-08-24",20.384615,20.759369,20.177515,20.256411,6095357,13.72807
"2010-08-25",19.911243,20.157791,19.418146,20.039448,11322730,13.581027
"2010-08-26",20.138067,20.473373,19.595661,19.605522,6842878,13.286952
"2010-08-27",19.871796,20.147928,19.063116,20.098619,8553394,13.621132
"2010-08-30",20.167652,20.167652,19.694281,19.694281,4472247,13.347105
"2010-08-31",19.497042,20.443787,19.447733,20.177515,7026716,13.6746
"2010-09-01",20.680473,21.321499,20.512821,21.282051,6906557,14.42316
"2010-09-02",21.301775,21.706114,21.134123,21.686392,6557538,14.697186
"2010-09-03",21.982248,22.583826,21.942801,22.080868,6935253,14.964532
"2010-09-07",22.04142,22.04142,21.508877,21.706114,5236702,14.710554
"2010-09-08",21.725838,21.854042,21.035503,21.282051,7894193,14.42316
"2010-09-09",21.854042,21.913216,21.390533,21.745562,7088164,14.737287
"2010-09-10",21.83432,22.140039,21.735701,22.080868,5636116,14.964532
"2010-09-13",22.337278,22.751478,22.228798,22.741617,5419019,15.412327
"2010-09-14",22.662722,22.721893,22.287968,22.366863,6357577,15.158349
"2010-09-15",22.287968,22.781065,22.287968,22.583826,5316199,15.305391
"2010-09-16",22.435898,22.820513,22.287968,22.465483,4021220,15.225187
"2010-09-17",22.642998,23.313608,22.376726,23.136095,8689169,15.679676
"2010-09-20",21.311638,21.745562,20.621302,21.666668,20558242,14.683819
"2010-09-21",21.735701,21.863905,21.429979,21.686392,8934354,14.697186
"2010-09-22",21.469427,21.883629,20.976332,21.055227,11104415,14.269439
"2010-09-23",20.828402,20.887573,20.483234,20.581854,12335107,13.948624
"2010-09-24",21.114397,21.607494,21.035503,21.528601,6771492,14.590253
"2010-09-27",21.449703,21.617357,21.232742,21.420118,3997594,14.516732
"2010-09-28",21.420118,21.469427,20.788956,21.114397,9382846,14.309535
"2010-09-29",21.094675,21.252464,20.80868,21.134123,6214603,14.322906
"2010-09-30",21.360947,21.637081,21.203156,21.449703,8674263,14.536781
"2010-10-01",21.755424,22.209072,21.656805,22.051283,6792583,14.94448
"2010-10-04",21.992109,22.021696,21.143984,21.222879,7239554,14.383056
"2010-10-05",21.489153,22.061144,21.232742,21.962524,9622961,14.884327
"2010-10-06",22.001972,22.120316,21.735701,22.04142,8209750,14.937797
"2010-10-07",22.110455,22.248522,21.449703,21.646942,4849759,14.670455
"2010-10-08",21.715977,22.051283,21.666668,21.883629,6130543,14.830859
"2010-10-11",21.854042,22.179487,21.794872,22.080868,3680414,14.964532
"2010-10-12",22.031557,22.800789,21.873768,22.406313,10134626,15.185083
"2010-10-13",22.642998,23.155819,22.49507,22.840237,7334870,15.479163
"2010-10-14",22.830376,23.057199,22.465483,22.790928,6109451,15.445748
"2010-10-15",23.136095,23.658777,22.761341,23.205128,9084527,15.726457
"2010-10-18",23.353058,23.708088,23.017752,23.708088,6027926,16.067322
"2010-10-19",23.372782,23.372782,22.583826,22.781065,7569814,15.43906
"2010-10-20",22.899408,23.510847,22.859961,23.313608,5096161,15.799977
"2010-10-21",23.471399,23.658777,22.879684,23.195267,4789122,15.719769
"2010-10-22",23.274162,23.362919,23.027613,23.353058,2648264,15.826712
