"dates","ISRG.Open","ISRG.High","ISRG.Low","ISRG.Close","ISRG.Volume","ISRG.Adjusted"
"2010-01-04",102.400002,103.029999,101.933334,102.923332,1011300,102.923332
"2010-01-05",102.669998,103.306664,101.333336,102.459999,1230300,102.459999
"2010-01-06",101.816666,104.263336,101.816666,103.946671,1665300,103.946671
"2010-01-07",103.573334,104.666664,103.139999,103.556664,883800,103.556664
"2010-01-08",103.556664,104.23333,102.830002,102.986664,885900,102.986664
"2010-01-11",102.986664,104.166664,102.466667,103.763336,951600,103.763336
"2010-01-12",103.123337,103.220001,100.926666,101.463333,1330500,101.463333
"2010-01-13",101.866669,102.723335,100.43,102.013336,1307400,102.013336
"2010-01-14",101.919998,103.25,101.82,102.666664,920100,102.666664
"2010-01-15",102.966667,103.333336,101.763336,102.860001,1642800,102.860001
"2010-01-19",102.333336,105.73333,102.333336,103.603333,2082900,103.603333
"2010-01-20",104.033333,104.18,100.963333,102.996666,2597700,102.996666
"2010-01-21",102.933334,103.996666,100.550003,101.496666,3608400,101.496666
"2010-01-22",109.583336,115.43,109.503334,113.449997,7997400,113.449997
"2010-01-25",113.546669,114.209999,112.333336,112.83667,1974300,112.83667
"2010-01-26",111.553329,113.333336,111.036667,111.816666,2109300,111.816666
"2010-01-27",111.206665,113.313332,111.173332,113.07,1648800,113.07
"2010-01-28",112.473335,113.650002,111.113335,111.669998,1647900,111.669998
"2010-01-29",111.693336,112.333336,108.956665,109.353333,1933200,109.353333
"2010-02-01",109.453331,110.403336,107.910004,109.550003,1440000,109.550003
"2010-02-02",109.486664,112.626663,108.876663,111.863335,1425900,111.863335
"2010-02-03",111.333336,112.363335,110.370003,110.746666,1517100,110.746666
"2010-02-04",110.746666,111.236664,107.066666,107.066666,1702200,107.066666
"2010-02-05",107.25,108.816666,105.173332,108.470001,2318100,108.470001
"2010-02-08",108.5,109.563332,107.32,107.98333,1119000,107.98333
"2010-02-09",109.333336,109.91333,108.046669,108.946671,987900,108.946671
