"dates","ITW.Open","ITW.High","ITW.Low","ITW.Close","ITW.Volume","ITW.Adjusted"
"2010-01-04",48.59,48.939999,48.060001,48.57,2728100,37.051071
"2010-01-05",48.439999,48.580002,48.080002,48.439999,2247700,36.951904
"2010-01-06",48.490002,48.490002,48.029999,48.330002,2575200,36.868004
"2010-01-07",48.139999,48.689999,48.139999,48.639999,2593100,37.104485
"2010-01-08",48.52,49.150002,48.459999,49.099998,3119500,37.455391
"2010-01-11",49.41,50.150002,49.099998,49.950001,2944300,38.103794
"2010-01-12",49.060001,49.689999,48.439999,48.689999,3908700,37.142624
"2010-01-13",48.700001,48.880001,48.220001,48.66,2433700,37.119743
"2010-01-14",48.48,48.599998,48.23,48.509998,1803500,37.00531
"2010-01-15",48.610001,48.610001,47.790001,47.880001,3264200,36.524719
"2010-01-19",47.93,48.669998,47.810001,48.66,3319100,37.119743
"2010-01-20",48.150002,48.349998,47.779999,48.25,2660700,36.806973
"2010-01-21",48.049999,48.209999,45.849998,45.900002,5862000,35.014301
"2010-01-22",45.73,46.25,45.290001,45.349998,3519400,34.594742
"2010-01-25",45.75,46.02,45.240002,45.43,2080300,34.655777
"2010-01-26",45.23,45.740002,44.849998,45.189999,3237400,34.472691
"2010-01-27",42.849998,44.560001,42.389999,43.990002,7651100,33.557274
"2010-01-28",44.66,44.889999,43.810001,43.93,4070500,33.511509
"2010-01-29",44.139999,44.689999,43.5,43.59,3473300,33.252136
"2010-02-01",43.919998,44.279999,43.490002,43.700001,3297300,33.336067
"2010-02-02",43.799999,44.150002,43.639999,44.02,5056100,33.580154
"2010-02-03",43.75,44.07,43.5,43.740002,3233200,33.366573
"2010-02-04",43.400002,43.419998,42.459999,42.529999,4017000,32.443535
"2010-02-05",42.599998,42.700001,41.939999,42.66,4144200,32.542702
"2010-02-08",42.709999,43.029999,42.240002,42.25,2383200,32.229946
"2010-02-09",42.709999,43.919998,42.610001,43.290001,3267100,33.023296
"2010-02-10",43.240002,43.349998,42.639999,42.990002,2126000,32.794449
"2010-02-11",43.25,43.990002,42.68,43.900002,3633600,33.488625
"2010-02-12",43.380001,43.810001,42.919998,43.639999,3109400,33.290298
"2010-02-16",43.970001,44.779999,43.77,44.689999,2493900,34.091267
"2010-02-17",44.950001,45.549999,44.73,45.450001,3815000,34.671024
"2010-02-18",45.459999,46.73,45.459999,46.57,4462500,35.525406
"2010-02-19",46.34,47.110001,46.279999,46.759998,3001800,35.670338
