"dates","JBHT.Open","JBHT.High","JBHT.Low","JBHT.Close","JBHT.Volume","JBHT.Adjusted"
"2010-01-04",32.560001,33.110001,32.240002,33.060001,1876000,29.458813
"2010-01-05",33.049999,33.150002,32.459999,33.150002,2186900,29.539011
"2010-01-06",32.970001,33.299999,32.849998,32.950001,1147200,29.360798
"2010-01-07",32.880001,33.259998,32.619999,33.080002,1272400,29.476639
"2010-01-08",33.119999,34.139999,33.119999,34.040001,2068200,30.332073
"2010-01-11",34.040001,34.900002,33.98,34.540001,1897100,30.777605
"2010-01-12",34.400002,34.459999,33.509998,33.709999,1326500,30.038006
"2010-01-13",34.209999,34.209999,33.540001,33.860001,1371400,30.171673
"2010-01-14",33.669998,34.82,33.669998,34.700001,1723400,30.920177
"2010-01-15",34.470001,34.830002,33.689999,34.02,1241200,30.314243
"2010-01-19",34.09,34.290001,33.759998,33.900002,1381200,30.207321
"2010-01-20",33.689999,33.919998,32.919998,33.82,1200400,30.136042
"2010-01-21",33.740002,34.110001,32.689999,32.919998,1668800,29.334063
"2010-01-22",32.950001,33.080002,32.119999,32.23,1032600,28.719221
"2010-01-25",32.360001,32.650002,32.18,32.400002,687700,28.870712
"2010-01-26",32.240002,32.759998,31.98,32.389999,688400,28.861788
"2010-01-27",32.23,32.990002,32.139999,32.830002,1073100,29.253872
"2010-01-28",32.82,32.82,30.02,30.959999,4540300,27.587564
"2010-01-29",31.08,31.299999,30.48,30.66,2246000,27.320244
"2010-02-01",30.83,31.09,30.459999,30.870001,1397100,27.507364
"2010-02-02",30.860001,30.940001,30.32,30.66,1413600,27.320244
"2010-02-03",30.4,31.200001,30.200001,31.17,1101000,27.774689
"2010-02-04",30.9,31.1,30.26,30.290001,1618100,26.990549
"2010-02-05",30.41,30.709999,29.450001,30.49,2318200,27.168764
"2010-02-08",30.48,30.780001,30.01,30.43,880400,27.115294
"2010-02-09",30.790001,31.1,30.389999,30.68,1107300,27.338066
"2010-02-10",30.49,31.450001,30.299999,31.450001,2193800,28.134235
"2010-02-11",31.469999,31.809999,31.17,31.57,2739500,28.241581
"2010-02-12",31.290001,31.690001,31,31.68,1325700,28.339989
"2010-02-16",31.879999,32.09,31.6,32.09,708400,28.70676
"2010-02-17",32.290001,32.66,32.259998,32.66,1508300,29.216656
"2010-02-18",32.68,32.68,32.099998,32.349998,1103100,28.939348
"2010-02-19",32.200001,32.98,32.200001,32.950001,1413000,29.476088
"2010-02-22",33.189999,33.779999,33.150002,33.400002,1626800,29.878647
"2010-02-23",33.400002,33.740002,32.950001,33.450001,2247400,29.923368
"2010-02-24",33.68,34.349998,33.400002,34.209999,1579100,30.603239
"2010-02-25",33.830002,34.810001,33.439999,34.720001,2026400,31.059475
"2010-02-26",34.75,35.5,34.73,35.48,1858700,31.739361
"2010-03-01",35.459999,35.82,34.82,34.93,2163700,31.24733
"2010-03-02",34.959999,35.34,34.880001,35.099998,1786200,31.399408
"2010-03-03",34.060001,34.849998,34.060001,34.599998,2381000,30.952129
"2010-03-04",34.52,34.669998,33.959999,34.299999,1761000,30.683748
"2010-03-05",34.41,35.119999,34.380001,34.98,1023300,31.292057
"2010-03-08",35.02,35.549999,34.790001,35.27,1399900,31.551481
"2010-03-09",35.209999,36.209999,35.169998,36.150002,2095400,32.338699
"2010-03-10",36.209999,36.709999,35.630001,35.779999,1904300,32.007725
"2010-03-11",35.639999,35.82,35.209999,35.619999,1779900,31.864592
"2010-03-12",35.630001,35.759998,35.110001,35.41,1407800,31.676733
"2010-03-15",35.459999,35.740002,35.25,35.689999,824100,31.927212
"2010-03-16",35.75,36.549999,35.700001,36.540001,1193900,32.687588
"2010-03-17",36.57,36.93,35.900002,36.02,1388700,32.222427
"2010-03-18",35.93,36.419998,35.73,36.349998,1304700,32.51762
"2010-03-19",36.490002,36.720001,35.830002,35.91,2153900,32.124023
"2010-03-22",35.849998,36.299999,35.52,36.259998,1478000,32.437115
"2010-03-23",36.419998,36.560001,36.02,36.540001,1295800,32.687588
"2010-03-24",36.52,36.689999,36.209999,36.380001,1623300,32.544468
"2010-03-25",36.779999,36.939999,35.73,35.759998,1408600,31.989834
"2010-03-26",35.970001,36.209999,35.349998,35.639999,1544900,31.882483
"2010-03-29",35.700001,36.09,35.529999,35.639999,1760600,31.882483
"2010-03-30",35.82,35.880001,35.310001,35.689999,2066300,31.927212
"2010-03-31",35.669998,36.169998,35.48,35.880001,1448200,32.097176
"2010-04-01",36.139999,36.529999,35.220001,35.610001,1237100,31.855648
"2010-04-05",35.75,35.900002,35.52,35.669998,1222000,31.909317
"2010-04-06",35.509998,35.990002,35.43,35.880001,1279400,32.097176
"2010-04-07",35.709999,35.900002,34.869999,35.07,2158900,31.372581
"2010-04-08",34.869999,36.099998,34.560001,35.98,1810100,32.186623
"2010-04-09",36.099998,36.130001,35.759998,36.099998,887900,32.293972
"2010-04-12",36.099998,36.220001,35.93,36.040001,911900,32.240299
"2010-04-13",35.93,36.23,35.560001,36.23,1062100,32.410282
"2010-04-14",36.259998,37.07,35.98,37.049999,1866400,33.143822
